Country,Region,17 Danceability,17 Valence,17 Energy,18 Danceability,18 Valence,18 Energy,19 Danceability,19 Valence,19 Energy,17 Happiness,18 Happiness,19 Happiness,17 18 Valence,17 18 Danceability,17 18 Energy,17 18 Happiness,18 19 Danceability,18 19 Valence,18 19 Energy,18 19 Happiness,17 Rank,18 Rank,19 Rank,Main Language,Spanish
Argentina,Latin America and Caribbean,0.7286,0.70028,0.79696,0.74662,0.59394,0.72946,0.74148,0.65866,0.71154,6.599,6.388,6.086,-0.10634,0.01802,-0.0675,-0.211,-0.00514,0.06472,-0.01792,-0.302,24,29,47,Spanish,Yes
Australia,Australia and New Zealand,0.69818,0.529104,0.63482,0.6961,0.463166,0.66588,0.7104,0.4655,0.56126,7.284,7.272,7.228,-0.065938,-0.00208,0.03106,-0.012,0.0143,0.002334,-0.10462,-0.044,10,10,11,English,No
Austria,Western Europe,0.68938,0.545878,0.68766,0.71092,0.526406,0.6889,0.7182,0.5,0.65636,7.006,7.139,7.246,-0.019472,0.02154,0.00124,0.133,0.00728,-0.026406,-0.03254,0.107,13,12,10,German,No
Belgium,Western Europe,0.69836,0.548964,0.68694,0.71188,0.462746,0.65732,0.69622,0.483774,0.63192,6.891,6.927,6.923,-0.086218,0.01352,-0.02962,0.036,-0.01566,0.021028,-0.0254,-0.004,17,16,18,Dutch,No
Bolivia,Latin America and Caribbean,0.72084,0.68612,0.79928,0.76426,0.6387,0.73862,0.75474,0.67404,0.69986,5.823,5.752,5.779,-0.04742,0.04342,-0.06066,-0.071,-0.00952,0.03534,-0.03876,0.027,58,62,61,Spanish,Yes
Brazil,Latin America and Caribbean,0.68968,0.66038,0.7331,0.69392,0.67314,0.70984,0.6751,0.65242,0.7107,6.635,6.419,6.3,0.01276,0.00424,-0.02326,-0.216,-0.01882,-0.02072,0.00086,-0.119,22,28,32,Portuguese,Yes
Bulgaria,Central and Eastern Europe,0.6984,0.541138,0.67078,0.76156,0.418466,0.63988,0.74066,0.47877,0.59322,4.714,4.933,5.011,-0.122672,0.06316,-0.0309,0.219,-0.0209,0.060304,-0.04666,0.078,105,100,97,Bulgarian,No
Canada,North America,0.7269,0.516324,0.63242,0.74992,0.444246,0.6257,0.71922,0.43577,0.57068,7.316,7.328,7.278,-0.072078,0.02302,-0.00672,0.012,-0.0307,-0.008476,-0.05502,-0.05,7,7,9,English,No
Chile,Latin America and Caribbean,0.72192,0.65916,0.7656,0.76428,0.59692,0.72728,0.76194,0.59026,0.71152,6.652,6.476,6.444,-0.06224,0.04236,-0.03832,-0.176,-0.00234,-0.00666,-0.01576,-0.032,20,25,26,Spanish,Yes
Colombia,Latin America and Caribbean,0.72684,0.67486,0.774,0.76284,0.64706,0.69668,0.75082,0.70348,0.72804,6.357,6.26,6.125,-0.0278,0.036,-0.07732,-0.097,-0.01202,0.05642,0.03136,-0.135,36,37,43,Spanish,Yes
Cyprus,Western Europe,0.68546,0.538098,0.6704,0.70366,0.452226,0.65822,0.7098,0.46059,0.61566,5.621,5.762,6.046,-0.085872,0.0182,-0.01218,0.141,0.00614,0.008364,-0.04256,0.284,65,61,49,Greek,No
Czech Republic,Central and Eastern Europe,0.68234,0.542318,0.6694,0.6829,0.45168,0.66722,0.68586,0.468866,0.62062,6.609,6.711,6.852,-0.090638,0.00056,-0.00218,0.102,0.00296,0.017186,-0.0466,0.141,23,21,20,Czech,No
Denmark,Western Europe,0.71372,0.549404,0.66112,0.72474,0.494986,0.65544,0.7597,0.57212,0.61026,7.522,7.555,7.6,-0.054418,0.01102,-0.00568,0.033,0.03496,0.077134,-0.04518,0.045,2,3,2,Danish,No
El Salvador,Latin America and Caribbean,0.71754,0.613364,0.7362,0.75784,0.61072,0.7183,0.75686,0.67206,0.71846,6.003,6.167,6.253,-0.002644,0.0403,-0.0179,0.164,-0.00098,0.06134,0.00016,0.086,45,40,35,Spanish,Yes
Finland,Western Europe,0.67608,0.526558,0.71182,0.70992,0.49816,0.73272,0.68802,0.50622,0.67062,7.469,7.632,7.769,-0.028398,0.03384,0.0209,0.163,-0.0219,0.00806,-0.0621,0.137,5,1,1,Finnish,No
France,Western Europe,0.73728,0.512804,0.64804,0.72958,0.562606,0.66484,0.7442,0.48122,0.63928,6.442,6.489,6.592,0.049802,-0.0077,0.0168,0.047,0.01462,-0.081386,-0.02556,0.103,31,23,24,French,No
Germany,Western Europe,0.7051,0.568158,0.68,0.72172,0.515226,0.67542,0.74056,0.53426,0.65876,6.951,6.965,6.985,-0.052932,0.01662,-0.00458,0.014,0.01884,0.019034,-0.01666,0.02,16,15,17,German,No
Honduras,Latin America and Caribbean,0.72088,0.609964,0.72626,0.76382,0.60738,0.7012,0.7646,0.6309,0.70014,5.181,5.504,5.86,-0.002584,0.04294,-0.02506,0.323,0.00078,0.02352,-0.00106,0.356,91,72,59,Spanish,Yes
Hong Kong,Eastern Asia,0.62948,0.471578,0.61196,0.60754,0.38602,0.566824,0.61588,0.45932,0.5452,5.472,5.43,5.43,-0.085558,-0.02194,-0.045136,-0.042,0.00834,0.0733,-0.021624,0,71,76,76,Chinese,No
Hungary,Central and Eastern Europe,0.6858,0.533258,0.67622,0.68208,0.434486,0.69642,0.7066,0.49607,0.62148,5.324,5.62,5.758,-0.098772,-0.00372,0.0202,0.296,0.02452,0.061584,-0.07494,0.138,75,69,62,Hungarian,No
Iceland,Western Europe,0.72452,0.509816,0.61316,0.76204,0.47837,0.5787,0.73718,0.5123,0.55684,7.504,7.495,7.494,-0.031446,0.03752,-0.03446,-0.009,-0.02486,0.03393,-0.02186,-0.001,3,4,4,Icelandic,No
Indonesia,Southeastern Asia,0.66906,0.502418,0.62064,0.63474,0.474494,0.53904,0.6186,0.436246,0.47148,5.262,5.093,5.192,-0.027924,-0.03432,-0.0816,-0.169,-0.01614,-0.038248,-0.06756,0.099,81,96,92,Indonesian,No
Ireland,Western Europe,0.68534,0.539638,0.65556,0.6969,0.507906,0.7073,0.70168,0.5168,0.61528,6.977,6.977,7.021,-0.031732,0.01156,0.05174,0.000,0.00478,0.008894,-0.09202,0.044,15,14,16,Irish,No
Italy,Western Europe,0.71474,0.549572,0.6926,0.71688,0.5294,0.68062,0.71806,0.54854,0.66562,5.964,6,6.223,-0.020172,0.00214,-0.01198,0.036,0.00118,0.01914,-0.015,0.223,48,47,36,Italian,No
Japan,Eastern Asia,0.65566,0.542774,0.69702,0.57012,0.50852,0.73164,0.54316,0.5403,0.77192,5.920,5.915,5.886,-0.034254,-0.08554,0.03462,-0.005,-0.02696,0.03178,0.04028,-0.029,51,54,58,Japanese,No
Latvia,Central and Eastern Europe,0.68942,0.512938,0.65054,0.72578,0.443506,0.63844,0.70086,0.44407,0.59124,5.850,5.933,5.94,-0.069432,0.03636,-0.0121,0.083,-0.02492,0.000564,-0.0472,0.007,54,53,53,Latvian,No
Luxembourg,Western Europe,0.68378,0.539898,0.67566,0.72476,0.458206,0.65652,0.71584,0.481844,0.63444,6.863,6.91,7.09,-0.081692,0.04098,-0.01914,0.047,-0.00892,0.023638,-0.02208,0.18,18,17,14,French,No
Malaysia,Southeastern Asia,0.66026,0.481458,0.62566,0.63508,0.406194,0.61524,0.63262,0.46054,0.55846,6.084,6.322,5.339,-0.075264,-0.02518,-0.01042,0.238,-0.00246,0.054346,-0.05678,-0.983,42,35,80,Malay,No
Mexico,Latin America and Caribbean,0.71424,0.67664,0.74982,0.76062,0.64594,0.70262,0.75784,0.6608,0.69216,6.578,6.488,6.595,-0.0307,0.04638,-0.0472,-0.090,-0.00278,0.01486,-0.01046,0.107,25,24,23,Spanish,Yes
Nicaragua,Latin America and Caribbean,0.71994,0.605344,0.73764,0.76872,0.60984,0.71546,0.75894,0.60604,0.69446,6.071,6.141,6.105,0.004496,0.04878,-0.02218,0.070,-0.00978,-0.0038,-0.021,-0.036,43,41,45,Spanish,Yes
Norway,Western Europe,0.663,0.505458,0.6813,0.67822,0.449246,0.65322,0.64618,0.44352,0.61894,7.537,7.594,7.554,-0.056212,0.01522,-0.02808,0.057,-0.03204,-0.005726,-0.03428,-0.04,1,2,3,Norwegian,No
Paraguay,Latin America and Caribbean,0.74358,0.64082,0.73002,0.76586,0.61616,0.70516,0.74188,0.64724,0.70604,5.493,5.681,5.743,-0.02466,0.02228,-0.02486,0.188,-0.02398,0.03108,0.00088,0.062,70,64,63,Spanish,Yes
Peru,Latin America and Caribbean,0.7299,0.6723,0.79064,0.76728,0.63936,0.73174,0.7538,0.6698,0.7206,5.715,5.663,5.697,-0.03294,0.03738,-0.0589,-0.052,-0.01348,0.03044,-0.01114,0.034,63,65,65,Spanish,Yes
