position,track name,artist,streams,region,date,spotify_id
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
NA,NA,NA,NA,ad,2017-01-13--2017-01-20,NA
