Position,Track Name,Artist,Streams,date,region,spotify_id
1,Deu Onda,MC G15,2649642,2017-01-13--2017-01-20,br,0EPxmvsG1BY5td4aTOkWBF
2,Hear Me Now,Alok,2254659,2017-01-13--2017-01-20,br,1a5Yu5L18qNxVhXx38njON
3,Shape of You,Ed Sheeran,2008119,2017-01-13--2017-01-20,br,7qiZfU4dY1lWllzX7mPBI3
4,Loka,Simone & Simaria,1565295,2017-01-13--2017-01-20,br,257tme6AhneIKAqVF1HTH4
5,Olha a Explosão,MC Kevinho,1394877,2017-01-13--2017-01-20,br,6m2LNopVJKsvBB9l7Z1rwn
6,Eu Sei de Cor - Ao Vivo | Acústico,Marília Mendonça,1352922,2017-01-13--2017-01-20,br,45wqPwIH4A5cr2IyyD4WKf
7,Starboy,The Weeknd,1331413,2017-01-13--2017-01-20,br,5aAx2yezTd8zXrkmtKl66Z
8,Closer,The Chainsmokers,1301921,2017-01-13--2017-01-20,br,7BKLCZ1jbUBVqRi2FVlTVw
9,Te Assumi Pro Brasil - Ao Vivo,Matheus & Kauan,1275535,2017-01-13--2017-01-20,br,2d3TbSkAscvT3QRQalq6uT
10,Medo Bobo - Ao Vivo,Maiara & Maraisa,1274776,2017-01-13--2017-01-20,br,2CW04trIoYMbroZWDzPAjs
11,Meu Coração Deu PT - Ao Vivo,Wesley Safadão,1162260,2017-01-13--2017-01-20,br,6zCqeUUqLb2CapBmVwAHll
12,Sim ou não (participação especial Maluma),Anitta,1116696,2017-01-13--2017-01-20,br,4FxumkF81ICxITeqxx4nK9
13,10% - Ao Vivo,Maiara & Maraisa,1110498,2017-01-13--2017-01-20,br,2wFnRPjuqwNySFiK0Qfg8L
14,Let Me Love You,DJ Snake,1091669,2017-01-13--2017-01-20,br,4pdPtRcBmOSQDlJ3Fk945m
15,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1090880,2017-01-13--2017-01-20,br,6DNtNfH8hXkqOX1sjqmI7p
16,Don't Wanna Know,Maroon 5,1049929,2017-01-13--2017-01-20,br,5MFzQMkrl1FOOng9tq6R9r
17,Decide Aí - Na Praia / Ao Vivo,Matheus & Kauan,1006695,2017-01-13--2017-01-20,br,0jIitZeIQRTaZgFQf2WpGK
18,Chantaje (feat. Maluma),Shakira,1005904,2017-01-13--2017-01-20,br,6mICuAdrwEjh6Y6lroV2Kg
19,Paris,The Chainsmokers,977252,2017-01-13--2017-01-20,br,72jbDTw1piOOj770jWNeaG
20,Side To Side,Ariana Grande,965401,2017-01-13--2017-01-20,br,4pLwZjInHj3SimIyN9SnOz
21,Infiel - Ao Vivo,Marília Mendonça,953408,2017-01-13--2017-01-20,br,38MpAndIjGAyVdcC6npX95
22,"Eu, Você, O Mar e Ela",Luan Santana,941851,2017-01-13--2017-01-20,br,000xYdQfIZ4pDmBGzQalKU
23,One Dance,Drake,930774,2017-01-13--2017-01-20,br,1xznGGDReH1oQq0xzbwXa3
24,My Way,Calvin Harris,928214,2017-01-13--2017-01-20,br,1vvNmPOiUuyCbgWmtc6yfm
25,Malbec (Part. DENNIS) (feat. DENNIS) - Ao Vivo,Henrique & Diego,918786,2017-01-13--2017-01-20,br,5SnQDj5REQVvAdSlhqkEcE
26,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,906975,2017-01-13--2017-01-20,br,5knuzwU65gJK7IF5yJsuaW
