Position,Track Name,Artist,Streams,date,region,spotify_id
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,1199983,2017-01-13--2017-01-20,cl,4aWmUDTfIPGksMNLV2rQP2
2,Reggaetón Lento (Bailemos),CNCO,879633,2017-01-13--2017-01-20,cl,3AEZUABDXNtecAOSC1qTfo
3,Chantaje (feat. Maluma),Shakira,845139,2017-01-13--2017-01-20,cl,6mICuAdrwEjh6Y6lroV2Kg
4,Otra vez (feat. J Balvin),Zion & Lennox,772356,2017-01-13--2017-01-20,cl,3QwBODjSEzelZyVjxPOHdq
5,Vente Pa' Ca (feat. Maluma),Ricky Martin,583200,2017-01-13--2017-01-20,cl,7DM4BPaS7uofFul3ywMe46
6,Safari,J Balvin,571172,2017-01-13--2017-01-20,cl,6rQSrBHf7HlZjtcMZ4S4bO
7,Vacaciones,Wisin,551215,2017-01-13--2017-01-20,cl,3dQDid3IUNhZy1OehIfYfE
8,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,476219,2017-01-13--2017-01-20,cl,6stYbAJgTszHAHZMPxWWCY
9,Me llamas (feat. Maluma) - Remix,Piso 21,468011,2017-01-13--2017-01-20,cl,5hEM0JchdVzQ5PwvSfITeX
10,Let Me Love You,DJ Snake,433472,2017-01-13--2017-01-20,cl,4pdPtRcBmOSQDlJ3Fk945m
11,Te Quiero Pa´Mi,Don Omar,424145,2017-01-13--2017-01-20,cl,3BY2mafsbsoKGqS380Xnuz
12,Dile Que Tu Me Quieres,Ozuna,414553,2017-01-13--2017-01-20,cl,20ZAJdsKB5IGbGj4ilRt2o
13,Shape of You,Ed Sheeran,406898,2017-01-13--2017-01-20,cl,7qiZfU4dY1lWllzX7mPBI3
14,Shaky Shaky,Daddy Yankee,405668,2017-01-13--2017-01-20,cl,58IL315gMSTD37DOZPJ2hf
15,Andas En Mi Cabeza,Chino & Nacho,404199,2017-01-13--2017-01-20,cl,5mey7CLLuFToM2P68Qu1gF
16,Bailame Despacio,Xantos,391168,2017-01-13--2017-01-20,cl,4OaTpLJIa2harufGxfOPUu
17,24K Magic,Bruno Mars,379164,2017-01-13--2017-01-20,cl,6b8Be6ljOzmkOmFslEb23P
18,Chillax (feat. Ky-Mani Marley),Farruko,365064,2017-01-13--2017-01-20,cl,1lxswgIpzV6HhENRvkflES
19,Traicionera,Sebastian Yatra,359704,2017-01-13--2017-01-20,cl,5J1c3M4EldCfNxXwrwt8mT
20,Don't Wanna Know,Maroon 5,353041,2017-01-13--2017-01-20,cl,5MFzQMkrl1FOOng9tq6R9r
21,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,346677,2017-01-13--2017-01-20,cl,5q2JbCNi4FcnglgPfxcV65
22,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,343804,2017-01-13--2017-01-20,cl,5knuzwU65gJK7IF5yJsuaW
23,Borro Cassette,Maluma,329363,2017-01-13--2017-01-20,cl,6DUdDIRgLqCGq1DwkNWQTN
24,One Dance,Drake,320173,2017-01-13--2017-01-20,cl,1xznGGDReH1oQq0xzbwXa3
25,Starboy,The Weeknd,320162,2017-01-13--2017-01-20,cl,5aAx2yezTd8zXrkmtKl66Z
26,Gyal You A Party Animal - Remix,Charly Black,306870,2017-01-13--2017-01-20,cl,1AkTW13ysu0AJrwuM6UY0I
