Position,Track Name,Artist,Streams,date,region,spotify_id
1,Reggaetón Lento (Bailemos),CNCO,142529,2017-01-13--2017-01-20,cr,3AEZUABDXNtecAOSC1qTfo
2,Shape of You,Ed Sheeran,135254,2017-01-13--2017-01-20,cr,7qiZfU4dY1lWllzX7mPBI3
3,Otra vez (feat. J Balvin),Zion & Lennox,129793,2017-01-13--2017-01-20,cr,3QwBODjSEzelZyVjxPOHdq
4,Chantaje (feat. Maluma),Shakira,112851,2017-01-13--2017-01-20,cr,6mICuAdrwEjh6Y6lroV2Kg
5,Safari,J Balvin,102159,2017-01-13--2017-01-20,cr,6rQSrBHf7HlZjtcMZ4S4bO
6,Closer,The Chainsmokers,94350,2017-01-13--2017-01-20,cr,7BKLCZ1jbUBVqRi2FVlTVw
7,Let Me Love You,DJ Snake,92585,2017-01-13--2017-01-20,cr,4pdPtRcBmOSQDlJ3Fk945m
8,Chillax (feat. Ky-Mani Marley),Farruko,78738,2017-01-13--2017-01-20,cr,1lxswgIpzV6HhENRvkflES
9,Despacito (Featuring Daddy Yankee),Luis Fonsi,78065,2017-01-13--2017-01-20,cr,4aWmUDTfIPGksMNLV2rQP2
10,One Dance,Drake,76891,2017-01-13--2017-01-20,cr,1xznGGDReH1oQq0xzbwXa3
11,Starboy,The Weeknd,72368,2017-01-13--2017-01-20,cr,5aAx2yezTd8zXrkmtKl66Z
12,Vente Pa' Ca (feat. Maluma),Ricky Martin,68247,2017-01-13--2017-01-20,cr,7DM4BPaS7uofFul3ywMe46
13,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,67646,2017-01-13--2017-01-20,cr,5knuzwU65gJK7IF5yJsuaW
14,Don't Wanna Know,Maroon 5,66798,2017-01-13--2017-01-20,cr,5MFzQMkrl1FOOng9tq6R9r
15,24K Magic,Bruno Mars,63962,2017-01-13--2017-01-20,cr,6b8Be6ljOzmkOmFslEb23P
16,Traicionera,Sebastian Yatra,63896,2017-01-13--2017-01-20,cr,5J1c3M4EldCfNxXwrwt8mT
17,Cold Water (feat. Justin Bieber & MØ),Major Lazer,63699,2017-01-13--2017-01-20,cr,6DNtNfH8hXkqOX1sjqmI7p
18,In the Name of Love,Martin Garrix,61410,2017-01-13--2017-01-20,cr,04DwTuZ2VBdJCCC5TROn7L
19,La Bicicleta,Carlos Vives,61390,2017-01-13--2017-01-20,cr,0sXvAOmXgjR2QUqLK1MltU
20,Don't Let Me Down (feat. Daya),The Chainsmokers,58920,2017-01-13--2017-01-20,cr,0QsvXIfqM0zZoerQfsI9lm
21,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,56810,2017-01-13--2017-01-20,cr,0JoHqmlqE0W0i9prt6kcHR
22,Side To Side,Ariana Grande,56602,2017-01-13--2017-01-20,cr,4pLwZjInHj3SimIyN9SnOz
23,Treat You Better,Shawn Mendes,56518,2017-01-13--2017-01-20,cr,4Hf7WnR761jpxPr5D46Bcd
24,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,56484,2017-01-13--2017-01-20,cr,6stYbAJgTszHAHZMPxWWCY
25,Fever,Vybz Kartel,54349,2017-01-13--2017-01-20,cr,4C1Smq2t3MVOPzsUPWW0oX
26,My Way,Calvin Harris,54136,2017-01-13--2017-01-20,cr,1vvNmPOiUuyCbgWmtc6yfm
27,Castle on the Hill,Ed Sheeran,51856,2017-01-13--2017-01-20,cr,6PCUP3dWmTjcTtXY02oFdT
28,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,50768,2017-01-13--2017-01-20,cr,17Fd6Yb7mSbinKG8LoWfFl
29,Heathens,Twenty One Pilots,49611,2017-01-13--2017-01-20,cr,6i0V12jOa3mr6uu4WYhUBr
30,Shaky Shaky,Daddy Yankee,49314,2017-01-13--2017-01-20,cr,58IL315gMSTD37DOZPJ2hf
31,Andas En Mi Cabeza,Chino & Nacho,48783,2017-01-13--2017-01-20,cr,5mey7CLLuFToM2P68Qu1gF
32,Vacaciones,Wisin,48366,2017-01-13--2017-01-20,cr,3dQDid3IUNhZy1OehIfYfE
33,Paris,The Chainsmokers,46850,2017-01-13--2017-01-20,cr,72jbDTw1piOOj770jWNeaG
34,Ride,Twenty One Pilots,45970,2017-01-13--2017-01-20,cr,2Z8WuEywRWYTKe1NybPQEW
35,Cheap Thrills,Sia,45969,2017-01-13--2017-01-20,cr,27SdWb2rFzO6GWiYDBTD9j
36,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,45556,2017-01-13--2017-01-20,cr,3NdDpSvN911VPGivFlV5d0
37,Pa Que Me Invitan - Spanglish Version,JENCARLOS,45290,2017-01-13--2017-01-20,cr,2VRssqds7rRNb4eaG9FaY8
38,I Feel It Coming,The Weeknd,44355,2017-01-13--2017-01-20,cr,5GXAXm5YOmYT0kL5jHvYBt
39,Borro Cassette,Maluma,42883,2017-01-13--2017-01-20,cr,6DUdDIRgLqCGq1DwkNWQTN
40,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,42769,2017-01-13--2017-01-20,cr,68EMU2RD1ECNeOeJ5qAXCV
41,Gyal You A Party Animal,Charly Black,42350,2017-01-13--2017-01-20,cr,1mSzZKMIPZIkn3jFV7v62b
42,Stressed Out,Twenty One Pilots,41407,2017-01-13--2017-01-20,cr,3CRDbSIZ4r5MsZ0YwxuEkn
43,Me Rehúso,Danny Ocean,41160,2017-01-13--2017-01-20,cr,6De0lHrwBfPfrhorm9q1Xl
44,Thinking out Loud,Ed Sheeran,41117,2017-01-13--2017-01-20,cr,1Slwb6dOYkBlWal1PGtnNg
45,Photograph,Ed Sheeran,40800,2017-01-13--2017-01-20,cr,6fxVffaTuwjgEk5h9QyRjy
46,Black Beatles,Rae Sremmurd,40333,2017-01-13--2017-01-20,cr,6fujklziTHa8uoM5OQSfIo
47,Cake By The Ocean,DNCE,39809,2017-01-13--2017-01-20,cr,2aFiaMXmWsM3Vj72F9ksBl
48,Cheap Thrills (feat. Sean Paul),Sia,38386,2017-01-13--2017-01-20,cr,378iszndTZAR4dH8kwsLC6
49,Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik,37308,2017-01-13--2017-01-20,cr,2SSYqDX8KTgy01NlqtUo0F
50,This Is What You Came For (feat. Rihanna),Calvin Harris,37257,2017-01-13--2017-01-20,cr,0azC730Exh71aQlOt9Zj3y
51,DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,33107,2017-01-13--2017-01-20,cr,6YZdkObH88npeKrrkb8Ggf
52,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,31932,2017-01-13--2017-01-20,cr,6JV2JOEocMgcZxYSZelKcc
53,Work,Rihanna,31127,2017-01-13--2017-01-20,cr,14WWzenpaEgQZlqPq2nk4v
54,Mercy,Shawn Mendes,30836,2017-01-13--2017-01-20,cr,4TZy1wLyHec06pwgFYDh1a
55,Just Hold On,Steve Aoki,29507,2017-01-13--2017-01-20,cr,3EmmCZoqpWOTY1g2GBwJoR
56,Bobo,J Balvin,29064,2017-01-13--2017-01-20,cr,7AtlMCIauSQZqiXSlbBPW6
57,Fake Love,Drake,28142,2017-01-13--2017-01-20,cr,343YBumqHu19cGoGARUTsd
58,All We Know,The Chainsmokers,27671,2017-01-13--2017-01-20,cr,2rizacJSyD9S1IQUxUxnsK
59,Faded,Alan Walker,27577,2017-01-13--2017-01-20,cr,7gHs73wELdeycvS48JfIos
60,The Greatest (feat. Kendrick Lamar),Sia,27152,2017-01-13--2017-01-20,cr,7xHWNBFm6ObGEQPaUxHuKO
61,La Gozadera (feat. Marc Anthony),Gente De Zona,26845,2017-01-13--2017-01-20,cr,0OMRAvrtLWE2TvcXorRiB9
62,El chisme,Reykon,26588,2017-01-13--2017-01-20,cr,4VXejnj5WgM6H72ct2fSgQ
63,"How Far I'll Go - From ""Moana""",Alessia Cara,26539,2017-01-13--2017-01-20,cr,5hYTyyh2odQKphUbMqc5gN
64,Hasta el Amanecer,Nicky Jam,26000,2017-01-13--2017-01-20,cr,5Fim1gaXBgsiFfsQAfQSDS
65,Say You Won't Let Go,James Arthur,25970,2017-01-13--2017-01-20,cr,5uCax9HTNlzGybIStD3vDh
66,Sorry,Justin Bieber,25955,2017-01-13--2017-01-20,cr,69bp2EbF7Q2rqc5N3ylezZ
67,Love Yourself,Justin Bieber,25561,2017-01-13--2017-01-20,cr,3hB5DgAiMAQ4DzYbsMq1IT
68,Desde Esa Noche (feat. Maluma),Thalia,25513,2017-01-13--2017-01-20,cr,1pWYnQIlqxTh5bxuPmTG4E
69,"La Ocasion (feat. Arcangel, Ozuna & Anuel Aa)",De La Ghetto,25345,2017-01-13--2017-01-20,cr,498YWgZPJWIA4lphXtCNma
70,Panda,Desiigner,25323,2017-01-13--2017-01-20,cr,5OOkp4U9P9oL23maHFHL1h
71,Te Quiero Pa´Mi,Don Omar,25269,2017-01-13--2017-01-20,cr,3BY2mafsbsoKGqS380Xnuz
72,Me llamas (feat. Maluma) - Remix,Piso 21,25268,2017-01-13--2017-01-20,cr,5hEM0JchdVzQ5PwvSfITeX
73,Call On Me - Ryan Riback Extended Remix,Starley,24433,2017-01-13--2017-01-20,cr,78rIJddV4X0HkNAInEcYde
74,Bailame Despacio,Xantos,24262,2017-01-13--2017-01-20,cr,4OaTpLJIa2harufGxfOPUu
75,Ya Me Enteré,Reik,23538,2017-01-13--2017-01-20,cr,0lPXFrKyl8HkdQ2E6NmNja
