Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,13308,2017-01-13--2017-01-20,cy,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,5887,2017-01-13--2017-01-20,cy,6PCUP3dWmTjcTtXY02oFdT
3,Paris,The Chainsmokers,4687,2017-01-13--2017-01-20,cy,72jbDTw1piOOj770jWNeaG
4,Starboy,The Weeknd,4606,2017-01-13--2017-01-20,cy,5aAx2yezTd8zXrkmtKl66Z
5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,4378,2017-01-13--2017-01-20,cy,5knuzwU65gJK7IF5yJsuaW
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,4220,2017-01-13--2017-01-20,cy,3NdDpSvN911VPGivFlV5d0
7,I Feel It Coming,The Weeknd,3156,2017-01-13--2017-01-20,cy,5GXAXm5YOmYT0kL5jHvYBt
8,Say You Won't Let Go,James Arthur,3014,2017-01-13--2017-01-20,cy,5uCax9HTNlzGybIStD3vDh
9,Don't Wanna Know,Maroon 5,2917,2017-01-13--2017-01-20,cy,5MFzQMkrl1FOOng9tq6R9r
10,Call On Me - Ryan Riback Extended Remix,Starley,2836,2017-01-13--2017-01-20,cy,78rIJddV4X0HkNAInEcYde
11,Chantaje (feat. Maluma),Shakira,2744,2017-01-13--2017-01-20,cy,6mICuAdrwEjh6Y6lroV2Kg
12,Fake Love,Drake,2732,2017-01-13--2017-01-20,cy,343YBumqHu19cGoGARUTsd
13,Closer,The Chainsmokers,2687,2017-01-13--2017-01-20,cy,7BKLCZ1jbUBVqRi2FVlTVw
14,24K Magic,Bruno Mars,2507,2017-01-13--2017-01-20,cy,6b8Be6ljOzmkOmFslEb23P
15,Just Hold On,Steve Aoki,2325,2017-01-13--2017-01-20,cy,3EmmCZoqpWOTY1g2GBwJoR
16,Now and Later,Sage The Gemini,2221,2017-01-13--2017-01-20,cy,43jBqV3j3Xi1g6wO0bhIMd
17,Let Me Love You,DJ Snake,2197,2017-01-13--2017-01-20,cy,4pdPtRcBmOSQDlJ3Fk945m
18,"How Far I'll Go - From ""Moana""",Alessia Cara,2168,2017-01-13--2017-01-20,cy,5hYTyyh2odQKphUbMqc5gN
19,Bad Things (with Camila Cabello),Machine Gun Kelly,2163,2017-01-13--2017-01-20,cy,1PSBzsahR2AKwLJgx8ehBj
20,Side To Side,Ariana Grande,2110,2017-01-13--2017-01-20,cy,4pLwZjInHj3SimIyN9SnOz
21,All Night,The Vamps,1980,2017-01-13--2017-01-20,cy,1yNyoWWWikbLhwIGWjZuDW
22,All We Know,The Chainsmokers,1975,2017-01-13--2017-01-20,cy,2rizacJSyD9S1IQUxUxnsK
23,One Dance,Drake,1948,2017-01-13--2017-01-20,cy,1xznGGDReH1oQq0xzbwXa3
24,I Would Like,Zara Larsson,1898,2017-01-13--2017-01-20,cy,4Q4jmPHwu0wrJvqrld0FQ6
25,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1893,2017-01-13--2017-01-20,cy,6DNtNfH8hXkqOX1sjqmI7p
26,All Time Low,Jon Bellion,1888,2017-01-13--2017-01-20,cy,1CnPYaKxTVb4LWOtiGOm0m
27,Mercy,Shawn Mendes,1828,2017-01-13--2017-01-20,cy,4TZy1wLyHec06pwgFYDh1a
28,Starving,Hailee Steinfeld,1828,2017-01-13--2017-01-20,cy,1qOLh0tI7trd1zdDKxYZTe
29,Love Me Now,John Legend,1767,2017-01-13--2017-01-20,cy,6nxQdXa1uAL0rY72wPZu89
30,Black Beatles,Rae Sremmurd,1757,2017-01-13--2017-01-20,cy,6fujklziTHa8uoM5OQSfIo
31,Weak,AJR,1732,2017-01-13--2017-01-20,cy,3E2Zh20GDCR9B1EYjfXWyv
32,Human,Rag'n'Bone Man,1714,2017-01-13--2017-01-20,cy,58zsLZPvfflaiIbNWoA22O
33,In the Name of Love,Martin Garrix,1695,2017-01-13--2017-01-20,cy,04DwTuZ2VBdJCCC5TROn7L
34,By Your Side,Jonas Blue,1680,2017-01-13--2017-01-20,cy,1D3ODoXHBLpdxolZRHWV1j
35,Bad and Boujee (feat. Lil Uzi Vert),Migos,1669,2017-01-13--2017-01-20,cy,4Km5HrUvYTaSUfiSGPJeQR
36,Solo Dance,Martin Jensen,1663,2017-01-13--2017-01-20,cy,6HUnnBwYZqcED1eQztxMBN
