Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,142028,2017-01-13--2017-01-20,cz,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,71431,2017-01-13--2017-01-20,cz,6PCUP3dWmTjcTtXY02oFdT
3,Paris,The Chainsmokers,67556,2017-01-13--2017-01-20,cz,72jbDTw1piOOj770jWNeaG
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,60493,2017-01-13--2017-01-20,cz,3NdDpSvN911VPGivFlV5d0
5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,58174,2017-01-13--2017-01-20,cz,5knuzwU65gJK7IF5yJsuaW
6,Starboy,The Weeknd,55168,2017-01-13--2017-01-20,cz,5aAx2yezTd8zXrkmtKl66Z
7,Call On Me - Ryan Riback Extended Remix,Starley,47932,2017-01-13--2017-01-20,cz,78rIJddV4X0HkNAInEcYde
8,Closer,The Chainsmokers,44748,2017-01-13--2017-01-20,cz,7BKLCZ1jbUBVqRi2FVlTVw
9,Don't Wanna Know,Maroon 5,43428,2017-01-13--2017-01-20,cz,5MFzQMkrl1FOOng9tq6R9r
10,Say You Won't Let Go,James Arthur,42242,2017-01-13--2017-01-20,cz,5uCax9HTNlzGybIStD3vDh
11,Just Hold On,Steve Aoki,40637,2017-01-13--2017-01-20,cz,3EmmCZoqpWOTY1g2GBwJoR
12,I Feel It Coming,The Weeknd,40172,2017-01-13--2017-01-20,cz,5GXAXm5YOmYT0kL5jHvYBt
13,Let Me Love You,DJ Snake,39519,2017-01-13--2017-01-20,cz,4pdPtRcBmOSQDlJ3Fk945m
14,Bad Things (with Camila Cabello),Machine Gun Kelly,38464,2017-01-13--2017-01-20,cz,1PSBzsahR2AKwLJgx8ehBj
15,All Night,The Vamps,37862,2017-01-13--2017-01-20,cz,1yNyoWWWikbLhwIGWjZuDW
16,All We Know,The Chainsmokers,37498,2017-01-13--2017-01-20,cz,2rizacJSyD9S1IQUxUxnsK
17,Alone,Alan Walker,35471,2017-01-13--2017-01-20,cz,0JiVRyTJcJnmlwCZ854K4p
18,Mercy,Shawn Mendes,35337,2017-01-13--2017-01-20,cz,4TZy1wLyHec06pwgFYDh1a
19,Heathens,Twenty One Pilots,35127,2017-01-13--2017-01-20,cz,6i0V12jOa3mr6uu4WYhUBr
20,All Time Low,Jon Bellion,35026,2017-01-13--2017-01-20,cz,1CnPYaKxTVb4LWOtiGOm0m
21,My Way,Calvin Harris,34540,2017-01-13--2017-01-20,cz,1vvNmPOiUuyCbgWmtc6yfm
22,Solo Dance,Martin Jensen,33227,2017-01-13--2017-01-20,cz,6HUnnBwYZqcED1eQztxMBN
23,"How Far I'll Go - From ""Moana""",Alessia Cara,33197,2017-01-13--2017-01-20,cz,5hYTyyh2odQKphUbMqc5gN
24,Black Beatles,Rae Sremmurd,30477,2017-01-13--2017-01-20,cz,6fujklziTHa8uoM5OQSfIo
25,Now and Later,Sage The Gemini,30187,2017-01-13--2017-01-20,cz,43jBqV3j3Xi1g6wO0bhIMd
26,In the Name of Love,Martin Garrix,29487,2017-01-13--2017-01-20,cz,04DwTuZ2VBdJCCC5TROn7L
27,Shed a Light,Robin Schulz,29243,2017-01-13--2017-01-20,cz,1cG0umU5TKStygKsPFZ9pY
28,Hear Me Now,Alok,28695,2017-01-13--2017-01-20,cz,1a5Yu5L18qNxVhXx38njON
