Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,3578140,2017-01-13--2017-01-20,de,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,1972127,2017-01-13--2017-01-20,de,6PCUP3dWmTjcTtXY02oFdT
3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1832559,2017-01-13--2017-01-20,de,5knuzwU65gJK7IF5yJsuaW
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1722629,2017-01-13--2017-01-20,de,3NdDpSvN911VPGivFlV5d0
5,Alone,Alan Walker,1615071,2017-01-13--2017-01-20,de,0JiVRyTJcJnmlwCZ854K4p
6,Now and Later,Sage The Gemini,1522686,2017-01-13--2017-01-20,de,43jBqV3j3Xi1g6wO0bhIMd
7,Solo Dance,Martin Jensen,1467262,2017-01-13--2017-01-20,de,6HUnnBwYZqcED1eQztxMBN
8,Call On Me - Ryan Riback Extended Remix,Starley,1414929,2017-01-13--2017-01-20,de,78rIJddV4X0HkNAInEcYde
9,Starboy,The Weeknd,1356441,2017-01-13--2017-01-20,de,5aAx2yezTd8zXrkmtKl66Z
10,Shed a Light,Robin Schulz,1342052,2017-01-13--2017-01-20,de,1cG0umU5TKStygKsPFZ9pY
11,Ohne mein Team,Bonez MC,1284454,2017-01-13--2017-01-20,de,05Mp2UJulSttxQ4E6hQPH3
12,Paris,The Chainsmokers,1225598,2017-01-13--2017-01-20,de,72jbDTw1piOOj770jWNeaG
13,Say You Won't Let Go,James Arthur,1221254,2017-01-13--2017-01-20,de,5uCax9HTNlzGybIStD3vDh
14,Chöre,Mark Forster,1193342,2017-01-13--2017-01-20,de,2nYpbaLykC2cjU8Yt5KF1v
15,No Lie,Sean Paul,1186782,2017-01-13--2017-01-20,de,3cFsmM51N5zMAuu1nNY4Tw
16,Closer,The Chainsmokers,1164225,2017-01-13--2017-01-20,de,7BKLCZ1jbUBVqRi2FVlTVw
17,Bad Ideas,Alle Farben,1141341,2017-01-13--2017-01-20,de,76gwG061wqdatYhicO2hG4
18,Just Hold On,Steve Aoki,1105633,2017-01-13--2017-01-20,de,3EmmCZoqpWOTY1g2GBwJoR
19,Lot to Learn,Luke Christopher,1060160,2017-01-13--2017-01-20,de,3TRFq09DUgYj1mug6RRqJW
20,An ihnen vorbei,Bonez MC,1059301,2017-01-13--2017-01-20,de,7istTRCq9OK5cEC8sPAc50
21,iPhone 17 (feat. Moé),KC Rebell,1046146,2017-01-13--2017-01-20,de,6rwCkGBh7CV6pcdxZKbcsG
