Position,Track Name,Artist,Streams,date,region,spotify_id
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,207896,2017-01-13--2017-01-20,ec,4aWmUDTfIPGksMNLV2rQP2
2,Reggaetón Lento (Bailemos),CNCO,126374,2017-01-13--2017-01-20,ec,3AEZUABDXNtecAOSC1qTfo
3,Chantaje (feat. Maluma),Shakira,116640,2017-01-13--2017-01-20,ec,6mICuAdrwEjh6Y6lroV2Kg
4,Otra vez (feat. J Balvin),Zion & Lennox,104808,2017-01-13--2017-01-20,ec,3QwBODjSEzelZyVjxPOHdq
5,Shape of You,Ed Sheeran,102403,2017-01-13--2017-01-20,ec,7qiZfU4dY1lWllzX7mPBI3
6,Safari,J Balvin,89199,2017-01-13--2017-01-20,ec,6rQSrBHf7HlZjtcMZ4S4bO
7,Vacaciones,Wisin,79034,2017-01-13--2017-01-20,ec,3dQDid3IUNhZy1OehIfYfE
8,Vente Pa' Ca (feat. Maluma),Ricky Martin,78289,2017-01-13--2017-01-20,ec,7DM4BPaS7uofFul3ywMe46
9,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,76128,2017-01-13--2017-01-20,ec,6stYbAJgTszHAHZMPxWWCY
10,Let Me Love You,DJ Snake,71443,2017-01-13--2017-01-20,ec,4pdPtRcBmOSQDlJ3Fk945m
11,Traicionera,Sebastian Yatra,66428,2017-01-13--2017-01-20,ec,5J1c3M4EldCfNxXwrwt8mT
12,Dile Que Tu Me Quieres,Ozuna,62045,2017-01-13--2017-01-20,ec,20ZAJdsKB5IGbGj4ilRt2o
13,Closer,The Chainsmokers,59619,2017-01-13--2017-01-20,ec,7BKLCZ1jbUBVqRi2FVlTVw
14,Starboy,The Weeknd,59125,2017-01-13--2017-01-20,ec,5aAx2yezTd8zXrkmtKl66Z
15,Don't Wanna Know,Maroon 5,58180,2017-01-13--2017-01-20,ec,5MFzQMkrl1FOOng9tq6R9r
16,Chillax (feat. Ky-Mani Marley),Farruko,57375,2017-01-13--2017-01-20,ec,1lxswgIpzV6HhENRvkflES
17,Andas En Mi Cabeza,Chino & Nacho,54340,2017-01-13--2017-01-20,ec,5mey7CLLuFToM2P68Qu1gF
18,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,52506,2017-01-13--2017-01-20,ec,0JoHqmlqE0W0i9prt6kcHR
19,La Bicicleta,Carlos Vives,52242,2017-01-13--2017-01-20,ec,0sXvAOmXgjR2QUqLK1MltU
20,Me llamas (feat. Maluma) - Remix,Piso 21,51074,2017-01-13--2017-01-20,ec,5hEM0JchdVzQ5PwvSfITeX
21,24K Magic,Bruno Mars,49273,2017-01-13--2017-01-20,ec,6b8Be6ljOzmkOmFslEb23P
22,Shaky Shaky,Daddy Yankee,48840,2017-01-13--2017-01-20,ec,58IL315gMSTD37DOZPJ2hf
23,My Way,Calvin Harris,48790,2017-01-13--2017-01-20,ec,1vvNmPOiUuyCbgWmtc6yfm
24,One Dance,Drake,48407,2017-01-13--2017-01-20,ec,1xznGGDReH1oQq0xzbwXa3
25,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,48206,2017-01-13--2017-01-20,ec,5knuzwU65gJK7IF5yJsuaW
26,I Feel It Coming,The Weeknd,44701,2017-01-13--2017-01-20,ec,5GXAXm5YOmYT0kL5jHvYBt
27,Bailame Despacio,Xantos,43133,2017-01-13--2017-01-20,ec,4OaTpLJIa2harufGxfOPUu
28,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,41669,2017-01-13--2017-01-20,ec,68EMU2RD1ECNeOeJ5qAXCV
29,Cold Water (feat. Justin Bieber & MØ),Major Lazer,41079,2017-01-13--2017-01-20,ec,6DNtNfH8hXkqOX1sjqmI7p
30,In the Name of Love,Martin Garrix,39808,2017-01-13--2017-01-20,ec,04DwTuZ2VBdJCCC5TROn7L
31,Te Quiero Pa´Mi,Don Omar,39331,2017-01-13--2017-01-20,ec,3BY2mafsbsoKGqS380Xnuz
32,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,38139,2017-01-13--2017-01-20,ec,3NdDpSvN911VPGivFlV5d0
33,Gyal You A Party Animal - Remix,Charly Black,37794,2017-01-13--2017-01-20,ec,1AkTW13ysu0AJrwuM6UY0I
34,Side To Side,Ariana Grande,37779,2017-01-13--2017-01-20,ec,4pLwZjInHj3SimIyN9SnOz
35,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,37694,2017-01-13--2017-01-20,ec,17Fd6Yb7mSbinKG8LoWfFl
36,Paris,The Chainsmokers,37346,2017-01-13--2017-01-20,ec,72jbDTw1piOOj770jWNeaG
37,Borro Cassette,Maluma,36901,2017-01-13--2017-01-20,ec,6DUdDIRgLqCGq1DwkNWQTN
38,Me Rehúso,Danny Ocean,36222,2017-01-13--2017-01-20,ec,6De0lHrwBfPfrhorm9q1Xl
39,DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,36123,2017-01-13--2017-01-20,ec,6YZdkObH88npeKrrkb8Ggf
40,Treat You Better,Shawn Mendes,35650,2017-01-13--2017-01-20,ec,4Hf7WnR761jpxPr5D46Bcd
