Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,56713,2017-01-13--2017-01-20,ee,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,26515,2017-01-13--2017-01-20,ee,6PCUP3dWmTjcTtXY02oFdT
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,20675,2017-01-13--2017-01-20,ee,3NdDpSvN911VPGivFlV5d0
4,Starboy,The Weeknd,18018,2017-01-13--2017-01-20,ee,5aAx2yezTd8zXrkmtKl66Z
5,Paris,The Chainsmokers,17854,2017-01-13--2017-01-20,ee,72jbDTw1piOOj770jWNeaG
6,I Feel It Coming,The Weeknd,16387,2017-01-13--2017-01-20,ee,5GXAXm5YOmYT0kL5jHvYBt
7,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,16160,2017-01-13--2017-01-20,ee,5knuzwU65gJK7IF5yJsuaW
8,Tuesday,Burak Yeter,15488,2017-01-13--2017-01-20,ee,7abpmGpF7PGep2rDU68GBR
9,Alone,Alan Walker,14842,2017-01-13--2017-01-20,ee,0JiVRyTJcJnmlwCZ854K4p
10,Call On Me - Ryan Riback Extended Remix,Starley,14836,2017-01-13--2017-01-20,ee,78rIJddV4X0HkNAInEcYde
11,Say You Won't Let Go,James Arthur,13683,2017-01-13--2017-01-20,ee,5uCax9HTNlzGybIStD3vDh
12,Bad Things (with Camila Cabello),Machine Gun Kelly,13258,2017-01-13--2017-01-20,ee,1PSBzsahR2AKwLJgx8ehBj
13,Hear Me Now,Alok,12591,2017-01-13--2017-01-20,ee,1a5Yu5L18qNxVhXx38njON
14,Just Hold On,Steve Aoki,12406,2017-01-13--2017-01-20,ee,3EmmCZoqpWOTY1g2GBwJoR
15,Closer,The Chainsmokers,12141,2017-01-13--2017-01-20,ee,7BKLCZ1jbUBVqRi2FVlTVw
16,Don't Wanna Know,Maroon 5,11670,2017-01-13--2017-01-20,ee,5MFzQMkrl1FOOng9tq6R9r
17,Black Beatles,Rae Sremmurd,11587,2017-01-13--2017-01-20,ee,6fujklziTHa8uoM5OQSfIo
18,All We Know,The Chainsmokers,10326,2017-01-13--2017-01-20,ee,2rizacJSyD9S1IQUxUxnsK
19,Shed a Light,Robin Schulz,10272,2017-01-13--2017-01-20,ee,1cG0umU5TKStygKsPFZ9pY
20,All Time Low,Jon Bellion,10197,2017-01-13--2017-01-20,ee,1CnPYaKxTVb4LWOtiGOm0m
21,Fake Love,Drake,10180,2017-01-13--2017-01-20,ee,343YBumqHu19cGoGARUTsd
22,Now and Later,Sage The Gemini,10158,2017-01-13--2017-01-20,ee,43jBqV3j3Xi1g6wO0bhIMd
23,All Night,The Vamps,9955,2017-01-13--2017-01-20,ee,1yNyoWWWikbLhwIGWjZuDW
24,"How Far I'll Go - From ""Moana""",Alessia Cara,9675,2017-01-13--2017-01-20,ee,5hYTyyh2odQKphUbMqc5gN
25,Let Me Love You,DJ Snake,9369,2017-01-13--2017-01-20,ee,4pdPtRcBmOSQDlJ3Fk945m
26,Sunset Lover,Petit Biscuit,8733,2017-01-13--2017-01-20,ee,0hNduWmlWmEmuwEFcYvRu1
27,Solo Dance,Martin Jensen,8364,2017-01-13--2017-01-20,ee,6HUnnBwYZqcED1eQztxMBN
28,Rooftop,NOËP,8123,2017-01-13--2017-01-20,ee,39MsGu3FUJ5mofWxTvDL1A
29,Mercy,Shawn Mendes,7974,2017-01-13--2017-01-20,ee,4TZy1wLyHec06pwgFYDh1a
30,In the Name of Love,Martin Garrix,7951,2017-01-13--2017-01-20,ee,04DwTuZ2VBdJCCC5TROn7L
31,Starving,Hailee Steinfeld,7800,2017-01-13--2017-01-20,ee,1qOLh0tI7trd1zdDKxYZTe
32,Love Me Now,John Legend,7747,2017-01-13--2017-01-20,ee,6nxQdXa1uAL0rY72wPZu89
33,By Your Side,Jonas Blue,7744,2017-01-13--2017-01-20,ee,1D3ODoXHBLpdxolZRHWV1j
34,Human,Rag'n'Bone Man,7736,2017-01-13--2017-01-20,ee,58zsLZPvfflaiIbNWoA22O
35,Scars To Your Beautiful,Alessia Cara,7606,2017-01-13--2017-01-20,ee,0prNGof3XqfTvNDxHonvdK
36,I Got You,Bebe Rexha,7322,2017-01-13--2017-01-20,ee,1FUViuNSldssMIawrOXF2i
37,Heathens,Twenty One Pilots,7294,2017-01-13--2017-01-20,ee,6i0V12jOa3mr6uu4WYhUBr
38,Weak,AJR,7225,2017-01-13--2017-01-20,ee,3E2Zh20GDCR9B1EYjfXWyv
39,Cold Water (feat. Justin Bieber & MØ),Major Lazer,7149,2017-01-13--2017-01-20,ee,6DNtNfH8hXkqOX1sjqmI7p
40,Bad and Boujee (feat. Lil Uzi Vert),Migos,7113,2017-01-13--2017-01-20,ee,4Km5HrUvYTaSUfiSGPJeQR
41,One Dance,Drake,6742,2017-01-13--2017-01-20,ee,1xznGGDReH1oQq0xzbwXa3
42,Lähedal,Karl-Erik Taukar,6738,2017-01-13--2017-01-20,ee,6An4IIXQmfdJHYWkwY1eLE
43,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,6729,2017-01-13--2017-01-20,ee,40UroIGvsMPLPBYwH8rMNA
44,My Way,Calvin Harris,6638,2017-01-13--2017-01-20,ee,1vvNmPOiUuyCbgWmtc6yfm
45,Don't Leave,Snakehips,6585,2017-01-13--2017-01-20,ee,0Zx8khUcEfCFK2AEoIhC92
46,Not Going Home (feat. Gia Koka),DVBBS,6523,2017-01-13--2017-01-20,ee,042x9bsUBWW2fJgJ6fUh61
47,I Would Like,Zara Larsson,6496,2017-01-13--2017-01-20,ee,4Q4jmPHwu0wrJvqrld0FQ6
48,24K Magic,Bruno Mars,6438,2017-01-13--2017-01-20,ee,6b8Be6ljOzmkOmFslEb23P
49,Photograph,Ed Sheeran,6375,2017-01-13--2017-01-20,ee,6fxVffaTuwjgEk5h9QyRjy
50,Side To Side,Ariana Grande,6201,2017-01-13--2017-01-20,ee,4pLwZjInHj3SimIyN9SnOz
51,Chantaje (feat. Maluma),Shakira,5943,2017-01-13--2017-01-20,ee,6mICuAdrwEjh6Y6lroV2Kg
52,Lot to Learn,Luke Christopher,5937,2017-01-13--2017-01-20,ee,3TRFq09DUgYj1mug6RRqJW
53,Lighthouse - Andrelli Remix,Hearts & Colors,5920,2017-01-13--2017-01-20,ee,04CttTezSnv71USiiG9mIo
54,Don't Let Me Down (feat. Daya),The Chainsmokers,5844,2017-01-13--2017-01-20,ee,0QsvXIfqM0zZoerQfsI9lm
55,Treat You Better,Shawn Mendes,5759,2017-01-13--2017-01-20,ee,4Hf7WnR761jpxPr5D46Bcd
56,Make Me (Cry),Noah Cyrus,5734,2017-01-13--2017-01-20,ee,2BrzlUj1u1CtvaJDGIKpsP
57,Light,San Holo,5701,2017-01-13--2017-01-20,ee,7zTx8ePYAmPFQuxP3xlXZn
58,Say Something Loving,The xx,5487,2017-01-13--2017-01-20,ee,728zbo72kOoYdGR3AhNsyF
59,Party Monster,The Weeknd,5462,2017-01-13--2017-01-20,ee,4F7A0DXBrmUAkp32uenhZt
60,Run Run Run,Junge Junge,5459,2017-01-13--2017-01-20,ee,29Xp9qXcl1LBpGMFtfUZ4O
61,The Ocean (feat. Shy Martin),Mike Perry,5400,2017-01-13--2017-01-20,ee,2CPqh63wRVscbceKcPxwvv
