Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,7713620,2017-01-13--2017-01-20,gb,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,5483604,2017-01-13--2017-01-20,gb,6PCUP3dWmTjcTtXY02oFdT
3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2479094,2017-01-13--2017-01-20,gb,5knuzwU65gJK7IF5yJsuaW
4,Touch,Little Mix,2390087,2017-01-13--2017-01-20,gb,5Ua3GXyHwiSfpNTMjq6m2z
5,You Don't Know Me - Radio Edit,Jax Jones,2369698,2017-01-13--2017-01-20,gb,00lNx0OcTJrS3MKHcB80HY
6,I Would Like,Zara Larsson,2223376,2017-01-13--2017-01-20,gb,4Q4jmPHwu0wrJvqrld0FQ6
7,Paris,The Chainsmokers,2077659,2017-01-13--2017-01-20,gb,72jbDTw1piOOj770jWNeaG
8,Call On Me - Ryan Riback Extended Remix,Starley,1941258,2017-01-13--2017-01-20,gb,78rIJddV4X0HkNAInEcYde
9,Human,Rag'n'Bone Man,1940298,2017-01-13--2017-01-20,gb,58zsLZPvfflaiIbNWoA22O
10,Say You Won't Let Go,James Arthur,1934042,2017-01-13--2017-01-20,gb,5uCax9HTNlzGybIStD3vDh
11,Just Hold On,Steve Aoki,1914256,2017-01-13--2017-01-20,gb,3EmmCZoqpWOTY1g2GBwJoR
12,Starboy,The Weeknd,1794076,2017-01-13--2017-01-20,gb,5aAx2yezTd8zXrkmtKl66Z
13,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1759482,2017-01-13--2017-01-20,gb,3NdDpSvN911VPGivFlV5d0
14,Don't Wanna Know,Maroon 5,1648043,2017-01-13--2017-01-20,gb,5MFzQMkrl1FOOng9tq6R9r
15,I Feel It Coming,The Weeknd,1642545,2017-01-13--2017-01-20,gb,5GXAXm5YOmYT0kL5jHvYBt
16,September Song,JP Cooper,1639600,2017-01-13--2017-01-20,gb,0FuTx2s3YH1ppmtiM6l0zI
17,Sexual,NEIKED,1625341,2017-01-13--2017-01-20,gb,3AsAuGTaDQzavZZThyYlop
18,All Night,The Vamps,1522786,2017-01-13--2017-01-20,gb,1yNyoWWWikbLhwIGWjZuDW
19,By Your Side,Jonas Blue,1438510,2017-01-13--2017-01-20,gb,1D3ODoXHBLpdxolZRHWV1j
20,Fake Love,Drake,1436678,2017-01-13--2017-01-20,gb,343YBumqHu19cGoGARUTsd
21,Closer,The Chainsmokers,1337350,2017-01-13--2017-01-20,gb,7BKLCZ1jbUBVqRi2FVlTVw
22,24K Magic,Bruno Mars,1334628,2017-01-13--2017-01-20,gb,6b8Be6ljOzmkOmFslEb23P
23,Black Beatles,Rae Sremmurd,1275543,2017-01-13--2017-01-20,gb,6fujklziTHa8uoM5OQSfIo
24,The Mack,Nevada,1263940,2017-01-13--2017-01-20,gb,7aV2mflaASUmGhCErm7kBO
25,Bad Things (with Camila Cabello),Machine Gun Kelly,1258562,2017-01-13--2017-01-20,gb,1PSBzsahR2AKwLJgx8ehBj
26,You Want Me (feat. Sadie Ama),Tom Zanetti,1240721,2017-01-13--2017-01-20,gb,4xX7OsX8XTGWJgRxNNIaFT
