Position,Track Name,Artist,Streams,date,region,spotify_id
1,Reggaetón Lento (Bailemos),CNCO,63201,2017-01-13--2017-01-20,gt,3AEZUABDXNtecAOSC1qTfo
2,Despacito (Featuring Daddy Yankee),Luis Fonsi,56940,2017-01-13--2017-01-20,gt,4aWmUDTfIPGksMNLV2rQP2
3,Chantaje (feat. Maluma),Shakira,56257,2017-01-13--2017-01-20,gt,6mICuAdrwEjh6Y6lroV2Kg
4,Otra vez (feat. J Balvin),Zion & Lennox,56147,2017-01-13--2017-01-20,gt,3QwBODjSEzelZyVjxPOHdq
5,Shape of You,Ed Sheeran,46566,2017-01-13--2017-01-20,gt,7qiZfU4dY1lWllzX7mPBI3
6,Safari,J Balvin,44263,2017-01-13--2017-01-20,gt,6rQSrBHf7HlZjtcMZ4S4bO
7,Let Me Love You,DJ Snake,43029,2017-01-13--2017-01-20,gt,4pdPtRcBmOSQDlJ3Fk945m
8,Closer,The Chainsmokers,39186,2017-01-13--2017-01-20,gt,7BKLCZ1jbUBVqRi2FVlTVw
9,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,35519,2017-01-13--2017-01-20,gt,6stYbAJgTszHAHZMPxWWCY
10,Vente Pa' Ca (feat. Maluma),Ricky Martin,35476,2017-01-13--2017-01-20,gt,7DM4BPaS7uofFul3ywMe46
11,Dile Que Tu Me Quieres,Ozuna,33648,2017-01-13--2017-01-20,gt,20ZAJdsKB5IGbGj4ilRt2o
12,Don't Wanna Know,Maroon 5,33321,2017-01-13--2017-01-20,gt,5MFzQMkrl1FOOng9tq6R9r
13,Starboy,The Weeknd,33048,2017-01-13--2017-01-20,gt,5aAx2yezTd8zXrkmtKl66Z
14,Me Rehúso,Danny Ocean,33014,2017-01-13--2017-01-20,gt,6De0lHrwBfPfrhorm9q1Xl
15,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,32655,2017-01-13--2017-01-20,gt,0JoHqmlqE0W0i9prt6kcHR
16,Traicionera,Sebastian Yatra,31361,2017-01-13--2017-01-20,gt,5J1c3M4EldCfNxXwrwt8mT
17,Vacaciones,Wisin,30514,2017-01-13--2017-01-20,gt,3dQDid3IUNhZy1OehIfYfE
18,In the Name of Love,Martin Garrix,29265,2017-01-13--2017-01-20,gt,04DwTuZ2VBdJCCC5TROn7L
19,Chillax (feat. Ky-Mani Marley),Farruko,28944,2017-01-13--2017-01-20,gt,1lxswgIpzV6HhENRvkflES
20,One Dance,Drake,27661,2017-01-13--2017-01-20,gt,1xznGGDReH1oQq0xzbwXa3
21,Paris,The Chainsmokers,27205,2017-01-13--2017-01-20,gt,72jbDTw1piOOj770jWNeaG
22,I Feel It Coming,The Weeknd,26329,2017-01-13--2017-01-20,gt,5GXAXm5YOmYT0kL5jHvYBt
23,La Bicicleta,Carlos Vives,26273,2017-01-13--2017-01-20,gt,0sXvAOmXgjR2QUqLK1MltU
24,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,25995,2017-01-13--2017-01-20,gt,5knuzwU65gJK7IF5yJsuaW
25,24K Magic,Bruno Mars,25394,2017-01-13--2017-01-20,gt,6b8Be6ljOzmkOmFslEb23P
26,Shaky Shaky,Daddy Yankee,25360,2017-01-13--2017-01-20,gt,58IL315gMSTD37DOZPJ2hf
27,My Way,Calvin Harris,24982,2017-01-13--2017-01-20,gt,1vvNmPOiUuyCbgWmtc6yfm
28,Cold Water (feat. Justin Bieber & MØ),Major Lazer,24975,2017-01-13--2017-01-20,gt,6DNtNfH8hXkqOX1sjqmI7p
