Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,146394,2017-01-13--2017-01-20,hk,7qiZfU4dY1lWllzX7mPBI3
2,Paris,The Chainsmokers,113318,2017-01-13--2017-01-20,hk,72jbDTw1piOOj770jWNeaG
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,87496,2017-01-13--2017-01-20,hk,3NdDpSvN911VPGivFlV5d0
4,Castle on the Hill,Ed Sheeran,86977,2017-01-13--2017-01-20,hk,6PCUP3dWmTjcTtXY02oFdT
5,Closer,The Chainsmokers,84657,2017-01-13--2017-01-20,hk,7BKLCZ1jbUBVqRi2FVlTVw
6,Starboy,The Weeknd,80808,2017-01-13--2017-01-20,hk,5aAx2yezTd8zXrkmtKl66Z
7,Bad Things (with Camila Cabello),Machine Gun Kelly,68418,2017-01-13--2017-01-20,hk,1PSBzsahR2AKwLJgx8ehBj
8,Don't Wanna Know,Maroon 5,67399,2017-01-13--2017-01-20,hk,5MFzQMkrl1FOOng9tq6R9r
9,Say You Won't Let Go,James Arthur,66696,2017-01-13--2017-01-20,hk,5uCax9HTNlzGybIStD3vDh
10,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,63086,2017-01-13--2017-01-20,hk,5knuzwU65gJK7IF5yJsuaW
11,All We Know,The Chainsmokers,59808,2017-01-13--2017-01-20,hk,2rizacJSyD9S1IQUxUxnsK
12,I Feel It Coming,The Weeknd,57606,2017-01-13--2017-01-20,hk,5GXAXm5YOmYT0kL5jHvYBt
13,Call On Me - Ryan Riback Extended Remix,Starley,56563,2017-01-13--2017-01-20,hk,78rIJddV4X0HkNAInEcYde
14,Just Hold On,Steve Aoki,55831,2017-01-13--2017-01-20,hk,3EmmCZoqpWOTY1g2GBwJoR
15,Let Me Love You,DJ Snake,55076,2017-01-13--2017-01-20,hk,4pdPtRcBmOSQDlJ3Fk945m
16,告白氣球,Jay Chou,52715,2017-01-13--2017-01-20,hk,1ivCIgrYZyE0BvItL4Z8lk
17,24K Magic,Bruno Mars,51519,2017-01-13--2017-01-20,hk,6b8Be6ljOzmkOmFslEb23P
18,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,51453,2017-01-13--2017-01-20,hk,68EMU2RD1ECNeOeJ5qAXCV
19,"How Far I'll Go - From ""Moana""",Alessia Cara,50912,2017-01-13--2017-01-20,hk,5hYTyyh2odQKphUbMqc5gN
20,分手總約在雨天,Charmaine Fong,48290,2017-01-13--2017-01-20,hk,4F58voptx3uo1bNiJ6i1P9
21,經過一些秋與冬,Dear Jane,47840,2017-01-13--2017-01-20,hk,4pw59ml6lY3WnP90tfyDGP
22,Alone,Alan Walker,46745,2017-01-13--2017-01-20,hk,0JiVRyTJcJnmlwCZ854K4p
23,All Night,The Vamps,45786,2017-01-13--2017-01-20,hk,1yNyoWWWikbLhwIGWjZuDW
24,"沒有你, 我甚麼都不是",Jason Chan,45281,2017-01-13--2017-01-20,hk,1zlUxL11eVVjPSPSI7tIjQ
25,Faded,Alan Walker,44459,2017-01-13--2017-01-20,hk,7gHs73wELdeycvS48JfIos
26,Cold Water (feat. Justin Bieber & MØ),Major Lazer,43871,2017-01-13--2017-01-20,hk,6DNtNfH8hXkqOX1sjqmI7p
27,哪裡只得我共你,Dear Jane,42323,2017-01-13--2017-01-20,hk,6oHNXUrt4s5JJIM1WoOwsZ
