Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,125521,2017-01-13--2017-01-20,hu,7qiZfU4dY1lWllzX7mPBI3
2,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,64961,2017-01-13--2017-01-20,hu,5knuzwU65gJK7IF5yJsuaW
3,Castle on the Hill,Ed Sheeran,55630,2017-01-13--2017-01-20,hu,6PCUP3dWmTjcTtXY02oFdT
4,Paris,The Chainsmokers,52080,2017-01-13--2017-01-20,hu,72jbDTw1piOOj770jWNeaG
5,Starboy,The Weeknd,47012,2017-01-13--2017-01-20,hu,5aAx2yezTd8zXrkmtKl66Z
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,45311,2017-01-13--2017-01-20,hu,3NdDpSvN911VPGivFlV5d0
7,Call On Me - Ryan Riback Extended Remix,Starley,39352,2017-01-13--2017-01-20,hu,78rIJddV4X0HkNAInEcYde
8,Closer,The Chainsmokers,37410,2017-01-13--2017-01-20,hu,7BKLCZ1jbUBVqRi2FVlTVw
9,Don't Wanna Know,Maroon 5,35920,2017-01-13--2017-01-20,hu,5MFzQMkrl1FOOng9tq6R9r
10,Just Hold On,Steve Aoki,35692,2017-01-13--2017-01-20,hu,3EmmCZoqpWOTY1g2GBwJoR
11,Human,Rag'n'Bone Man,34912,2017-01-13--2017-01-20,hu,58zsLZPvfflaiIbNWoA22O
12,I Feel It Coming,The Weeknd,34052,2017-01-13--2017-01-20,hu,5GXAXm5YOmYT0kL5jHvYBt
13,Let Me Love You,DJ Snake,33422,2017-01-13--2017-01-20,hu,4pdPtRcBmOSQDlJ3Fk945m
14,Say You Won't Let Go,James Arthur,32271,2017-01-13--2017-01-20,hu,5uCax9HTNlzGybIStD3vDh
15,Alone,Alan Walker,30148,2017-01-13--2017-01-20,hu,0JiVRyTJcJnmlwCZ854K4p
16,All Night,The Vamps,29393,2017-01-13--2017-01-20,hu,1yNyoWWWikbLhwIGWjZuDW
17,Heathens,Twenty One Pilots,29267,2017-01-13--2017-01-20,hu,6i0V12jOa3mr6uu4WYhUBr
18,Now and Later,Sage The Gemini,29057,2017-01-13--2017-01-20,hu,43jBqV3j3Xi1g6wO0bhIMd
19,My Way,Calvin Harris,27470,2017-01-13--2017-01-20,hu,1vvNmPOiUuyCbgWmtc6yfm
20,Bad Things (with Camila Cabello),Machine Gun Kelly,26680,2017-01-13--2017-01-20,hu,1PSBzsahR2AKwLJgx8ehBj
21,Shed a Light,Robin Schulz,26376,2017-01-13--2017-01-20,hu,1cG0umU5TKStygKsPFZ9pY
