Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,50835,2017-01-13--2017-01-20,lt,7qiZfU4dY1lWllzX7mPBI3
2,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,25626,2017-01-13--2017-01-20,lt,3NdDpSvN911VPGivFlV5d0
3,Castle on the Hill,Ed Sheeran,22553,2017-01-13--2017-01-20,lt,6PCUP3dWmTjcTtXY02oFdT
4,Starboy,The Weeknd,21104,2017-01-13--2017-01-20,lt,5aAx2yezTd8zXrkmtKl66Z
5,I Feel It Coming,The Weeknd,20865,2017-01-13--2017-01-20,lt,5GXAXm5YOmYT0kL5jHvYBt
6,Paris,The Chainsmokers,20668,2017-01-13--2017-01-20,lt,72jbDTw1piOOj770jWNeaG
7,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,18068,2017-01-13--2017-01-20,lt,5knuzwU65gJK7IF5yJsuaW
8,Call On Me - Ryan Riback Extended Remix,Starley,16686,2017-01-13--2017-01-20,lt,78rIJddV4X0HkNAInEcYde
9,Don't Wanna Know,Maroon 5,14985,2017-01-13--2017-01-20,lt,5MFzQMkrl1FOOng9tq6R9r
10,Just Hold On,Steve Aoki,14277,2017-01-13--2017-01-20,lt,3EmmCZoqpWOTY1g2GBwJoR
11,Bad Things (with Camila Cabello),Machine Gun Kelly,13204,2017-01-13--2017-01-20,lt,1PSBzsahR2AKwLJgx8ehBj
12,Say You Won't Let Go,James Arthur,13080,2017-01-13--2017-01-20,lt,5uCax9HTNlzGybIStD3vDh
13,Hear Me Now,Alok,13071,2017-01-13--2017-01-20,lt,1a5Yu5L18qNxVhXx38njON
14,All Night,The Vamps,12909,2017-01-13--2017-01-20,lt,1yNyoWWWikbLhwIGWjZuDW
15,Fake Love,Drake,12557,2017-01-13--2017-01-20,lt,343YBumqHu19cGoGARUTsd
16,Tuesday,Burak Yeter,12111,2017-01-13--2017-01-20,lt,7abpmGpF7PGep2rDU68GBR
17,Now and Later,Sage The Gemini,12060,2017-01-13--2017-01-20,lt,43jBqV3j3Xi1g6wO0bhIMd
18,"How Far I'll Go - From ""Moana""",Alessia Cara,11928,2017-01-13--2017-01-20,lt,5hYTyyh2odQKphUbMqc5gN
19,All Time Low,Jon Bellion,11480,2017-01-13--2017-01-20,lt,1CnPYaKxTVb4LWOtiGOm0m
20,Shed a Light,Robin Schulz,11470,2017-01-13--2017-01-20,lt,1cG0umU5TKStygKsPFZ9pY
21,Closer,The Chainsmokers,11382,2017-01-13--2017-01-20,lt,7BKLCZ1jbUBVqRi2FVlTVw
22,All We Know,The Chainsmokers,11237,2017-01-13--2017-01-20,lt,2rizacJSyD9S1IQUxUxnsK
23,Love Me Now,John Legend,10978,2017-01-13--2017-01-20,lt,6nxQdXa1uAL0rY72wPZu89
24,Chantaje (feat. Maluma),Shakira,10786,2017-01-13--2017-01-20,lt,6mICuAdrwEjh6Y6lroV2Kg
25,Solo Dance,Martin Jensen,10384,2017-01-13--2017-01-20,lt,6HUnnBwYZqcED1eQztxMBN
26,Sunset Lover,Petit Biscuit,10313,2017-01-13--2017-01-20,lt,0hNduWmlWmEmuwEFcYvRu1
27,I Would Like,Zara Larsson,10236,2017-01-13--2017-01-20,lt,4Q4jmPHwu0wrJvqrld0FQ6
28,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,10092,2017-01-13--2017-01-20,lt,40UroIGvsMPLPBYwH8rMNA
29,Black Beatles,Rae Sremmurd,10022,2017-01-13--2017-01-20,lt,6fujklziTHa8uoM5OQSfIo
30,Let Me Love You,DJ Snake,10011,2017-01-13--2017-01-20,lt,4pdPtRcBmOSQDlJ3Fk945m
31,By Your Side,Jonas Blue,9866,2017-01-13--2017-01-20,lt,1D3ODoXHBLpdxolZRHWV1j
32,Alone,Alan Walker,9676,2017-01-13--2017-01-20,lt,0JiVRyTJcJnmlwCZ854K4p
33,Weak,AJR,9636,2017-01-13--2017-01-20,lt,3E2Zh20GDCR9B1EYjfXWyv
34,Mercy,Shawn Mendes,8800,2017-01-13--2017-01-20,lt,4TZy1wLyHec06pwgFYDh1a
35,I Got You,Bebe Rexha,8786,2017-01-13--2017-01-20,lt,1FUViuNSldssMIawrOXF2i
36,Don't Leave,Snakehips,8639,2017-01-13--2017-01-20,lt,0Zx8khUcEfCFK2AEoIhC92
37,On Hold,The xx,8473,2017-01-13--2017-01-20,lt,5CPqOpKSk0QcJ3dGdaWcRB
38,Not Going Home (feat. Gia Koka),DVBBS,8431,2017-01-13--2017-01-20,lt,042x9bsUBWW2fJgJ6fUh61
39,Lighthouse - Andrelli Remix,Hearts & Colors,8413,2017-01-13--2017-01-20,lt,04CttTezSnv71USiiG9mIo
40,Scars To Your Beautiful,Alessia Cara,8351,2017-01-13--2017-01-20,lt,0prNGof3XqfTvNDxHonvdK
41,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,8102,2017-01-13--2017-01-20,lt,2wDjpPW3HZdA9quPPmZAMu
42,Make Me (Cry),Noah Cyrus,7847,2017-01-13--2017-01-20,lt,2BrzlUj1u1CtvaJDGIKpsP
43,One Dance,Drake,7775,2017-01-13--2017-01-20,lt,1xznGGDReH1oQq0xzbwXa3
44,24K Magic,Bruno Mars,7741,2017-01-13--2017-01-20,lt,6b8Be6ljOzmkOmFslEb23P
45,My Way,Calvin Harris,7731,2017-01-13--2017-01-20,lt,1vvNmPOiUuyCbgWmtc6yfm
46,Side To Side,Ariana Grande,7627,2017-01-13--2017-01-20,lt,4pLwZjInHj3SimIyN9SnOz
47,Starving,Hailee Steinfeld,7572,2017-01-13--2017-01-20,lt,1qOLh0tI7trd1zdDKxYZTe
48,Say Something Loving,The xx,7396,2017-01-13--2017-01-20,lt,728zbo72kOoYdGR3AhNsyF
49,Lot to Learn,Luke Christopher,7392,2017-01-13--2017-01-20,lt,3TRFq09DUgYj1mug6RRqJW
50,Water Under the Bridge,Adele,7186,2017-01-13--2017-01-20,lt,4vb4mFvYsr2h6enhjJsq9Y
51,Light,San Holo,7145,2017-01-13--2017-01-20,lt,7zTx8ePYAmPFQuxP3xlXZn
52,Lips,The xx,6997,2017-01-13--2017-01-20,lt,1onfcprzpSGh2LqrBh17AA
53,Heathens,Twenty One Pilots,6955,2017-01-13--2017-01-20,lt,6i0V12jOa3mr6uu4WYhUBr
54,In the Name of Love,Martin Garrix,6809,2017-01-13--2017-01-20,lt,04DwTuZ2VBdJCCC5TROn7L
55,Some Kind Of Drug (feat. Marc E. Bassy),G-Eazy,6742,2017-01-13--2017-01-20,lt,1Bqxj0aH5KewYHKUg1IdrF
56,History,Olivia Holt,6606,2017-01-13--2017-01-20,lt,0WCEaydwN65cvwaW8aqptF
57,It's Gotta Be You,Isaiah Firebrace,6558,2017-01-13--2017-01-20,lt,6cAKeFFYW2aClZSUyvqAEW
58,Setting Fires,The Chainsmokers,6549,2017-01-13--2017-01-20,lt,0B8B8cVRFIG1yznoQe7c9s
59,Cold Water (feat. Justin Bieber & MØ),Major Lazer,6489,2017-01-13--2017-01-20,lt,6DNtNfH8hXkqOX1sjqmI7p
60,Oceans Away,A R I Z O N A,6468,2017-01-13--2017-01-20,lt,6A8dnC0xkiuWN4BshmTB2I
61,Bad and Boujee (feat. Lil Uzi Vert),Migos,6343,2017-01-13--2017-01-20,lt,4Km5HrUvYTaSUfiSGPJeQR
62,Taped up Heart (feat. Clara Mae),KREAM,6191,2017-01-13--2017-01-20,lt,26hcyzSE154xMZCbFdtInA
63,Dangerous,The xx,6051,2017-01-13--2017-01-20,lt,33B2QbtAj8mbDpwvGTOnBt
64,I Dare You,The xx,5986,2017-01-13--2017-01-20,lt,044qU7kwVZaDwzWnRsmVVL
65,The Other,Lauv,5833,2017-01-13--2017-01-20,lt,1lntL1cI2UIWlxjL5QiN8g
66,Party Monster,The Weeknd,5790,2017-01-13--2017-01-20,lt,4F7A0DXBrmUAkp32uenhZt
67,Oh Lord,MiC LOWRY,5779,2017-01-13--2017-01-20,lt,1sTUEdVO85YU8Ymk2jeAls
68,Romantic - NOTD Remix,Stanaj,5608,2017-01-13--2017-01-20,lt,3SGWp9fJCzgK0WcpcKSQdy
69,Sexual,NEIKED,5571,2017-01-13--2017-01-20,lt,3AsAuGTaDQzavZZThyYlop
70,Human,Rag'n'Bone Man,5485,2017-01-13--2017-01-20,lt,58zsLZPvfflaiIbNWoA22O
71,Treat You Better,Shawn Mendes,5481,2017-01-13--2017-01-20,lt,4Hf7WnR761jpxPr5D46Bcd
72,A Violent Noise,The xx,5374,2017-01-13--2017-01-20,lt,661bbtA19xopO3lH0J4Qvr
73,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,5325,2017-01-13--2017-01-20,lt,6JV2JOEocMgcZxYSZelKcc
74,Cake - Challenge Version,Flo Rida,5319,2017-01-13--2017-01-20,lt,6t2ubAB4iSYOuIpRAOGd4t
75,Somebody Else,VÉRITÉ,5271,2017-01-13--2017-01-20,lt,34i4yxPrHWquuR4kjiivFO
76,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,5200,2017-01-13--2017-01-20,lt,68EMU2RD1ECNeOeJ5qAXCV
77,Cheap Thrills,Sia,5171,2017-01-13--2017-01-20,lt,27SdWb2rFzO6GWiYDBTD9j
78,The Greatest (feat. Kendrick Lamar),Sia,5150,2017-01-13--2017-01-20,lt,7xHWNBFm6ObGEQPaUxHuKO
79,Photograph,Ed Sheeran,5021,2017-01-13--2017-01-20,lt,6fxVffaTuwjgEk5h9QyRjy
80,Capsize,FRENSHIP,4982,2017-01-13--2017-01-20,lt,2XMTqoHHSH0lvuXrvIEdco
81,Don't Let Me Down (feat. Daya),The Chainsmokers,4970,2017-01-13--2017-01-20,lt,0QsvXIfqM0zZoerQfsI9lm
82,Replica,The xx,4954,2017-01-13--2017-01-20,lt,4O4xuKdvJvl7HpFlYGwudS
83,You Don't Know Me - Radio Edit,Jax Jones,4868,2017-01-13--2017-01-20,lt,00lNx0OcTJrS3MKHcB80HY
84,Lost on You,LP,4767,2017-01-13--2017-01-20,lt,3SqvR3HYLlCTYzbDXJ52OC
85,Not Afraid Anymore,Halsey,4706,2017-01-13--2017-01-20,lt,1uoL9GX45dTnmrWQ7Ii1Ft
86,Performance,The xx,4646,2017-01-13--2017-01-20,lt,5UCsGZSezdlGA1bY3QMgXG
87,On My Way,Tiësto,4614,2017-01-13--2017-01-20,lt,4hiUYb2nb6NlfTP9CD38Pe
88,Lordly (feat. Alex Aiono),Feder,4566,2017-01-13--2017-01-20,lt,6c12fBpCtuVIq8OFxT0A3S
89,Hymn for the Weekend - Seeb Remix,Coldplay,4485,2017-01-13--2017-01-20,lt,1OAiWI2oPmglaOiv9fdioU
90,The Ocean (feat. Shy Martin),Mike Perry,4479,2017-01-13--2017-01-20,lt,2CPqh63wRVscbceKcPxwvv
91,Dynamite (feat. Pretty Sister),Nause,4420,2017-01-13--2017-01-20,lt,2Ae5awwKvQpTBKQHr1TYCg
92,September Song,JP Cooper,4396,2017-01-13--2017-01-20,lt,0FuTx2s3YH1ppmtiM6l0zI
93,Brave For You,The xx,4382,2017-01-13--2017-01-20,lt,53e5O0USYgSCv4md0CXpMY
94,Dviese,Vaidas Baumila,4334,2017-01-13--2017-01-20,lt,7BjOziubQCAf84ss6Si1ce
