Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,16334,2017-01-13--2017-01-20,ni,7qiZfU4dY1lWllzX7mPBI3
2,Chantaje (feat. Maluma),Shakira,13958,2017-01-13--2017-01-20,ni,6mICuAdrwEjh6Y6lroV2Kg
3,Safari,J Balvin,13525,2017-01-13--2017-01-20,ni,6rQSrBHf7HlZjtcMZ4S4bO
4,Reggaetón Lento (Bailemos),CNCO,13439,2017-01-13--2017-01-20,ni,3AEZUABDXNtecAOSC1qTfo
5,Otra vez (feat. J Balvin),Zion & Lennox,12276,2017-01-13--2017-01-20,ni,3QwBODjSEzelZyVjxPOHdq
6,Let Me Love You,DJ Snake,12231,2017-01-13--2017-01-20,ni,4pdPtRcBmOSQDlJ3Fk945m
7,Closer,The Chainsmokers,12176,2017-01-13--2017-01-20,ni,7BKLCZ1jbUBVqRi2FVlTVw
8,Starboy,The Weeknd,9228,2017-01-13--2017-01-20,ni,5aAx2yezTd8zXrkmtKl66Z
9,One Dance,Drake,8387,2017-01-13--2017-01-20,ni,1xznGGDReH1oQq0xzbwXa3
10,Despacito (Featuring Daddy Yankee),Luis Fonsi,8370,2017-01-13--2017-01-20,ni,4aWmUDTfIPGksMNLV2rQP2
11,Don't Wanna Know,Maroon 5,8283,2017-01-13--2017-01-20,ni,5MFzQMkrl1FOOng9tq6R9r
12,Vente Pa' Ca (feat. Maluma),Ricky Martin,8271,2017-01-13--2017-01-20,ni,7DM4BPaS7uofFul3ywMe46
13,Paris,The Chainsmokers,8226,2017-01-13--2017-01-20,ni,72jbDTw1piOOj770jWNeaG
14,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,8210,2017-01-13--2017-01-20,ni,0JoHqmlqE0W0i9prt6kcHR
15,La Bicicleta,Carlos Vives,7583,2017-01-13--2017-01-20,ni,0sXvAOmXgjR2QUqLK1MltU
16,Cold Water (feat. Justin Bieber & MØ),Major Lazer,7316,2017-01-13--2017-01-20,ni,6DNtNfH8hXkqOX1sjqmI7p
17,In the Name of Love,Martin Garrix,7221,2017-01-13--2017-01-20,ni,04DwTuZ2VBdJCCC5TROn7L
18,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,6776,2017-01-13--2017-01-20,ni,17Fd6Yb7mSbinKG8LoWfFl
19,Don't Let Me Down (feat. Daya),The Chainsmokers,6748,2017-01-13--2017-01-20,ni,0QsvXIfqM0zZoerQfsI9lm
20,Me Rehúso,Danny Ocean,6496,2017-01-13--2017-01-20,ni,6De0lHrwBfPfrhorm9q1Xl
21,I Feel It Coming,The Weeknd,6404,2017-01-13--2017-01-20,ni,5GXAXm5YOmYT0kL5jHvYBt
22,My Way,Calvin Harris,6374,2017-01-13--2017-01-20,ni,1vvNmPOiUuyCbgWmtc6yfm
23,24K Magic,Bruno Mars,6340,2017-01-13--2017-01-20,ni,6b8Be6ljOzmkOmFslEb23P
24,Treat You Better,Shawn Mendes,6172,2017-01-13--2017-01-20,ni,4Hf7WnR761jpxPr5D46Bcd
25,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,6106,2017-01-13--2017-01-20,ni,5knuzwU65gJK7IF5yJsuaW
26,Castle on the Hill,Ed Sheeran,6003,2017-01-13--2017-01-20,ni,6PCUP3dWmTjcTtXY02oFdT
27,Shaky Shaky,Daddy Yankee,5943,2017-01-13--2017-01-20,ni,58IL315gMSTD37DOZPJ2hf
28,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,5941,2017-01-13--2017-01-20,ni,6stYbAJgTszHAHZMPxWWCY
29,Side To Side,Ariana Grande,5925,2017-01-13--2017-01-20,ni,4pLwZjInHj3SimIyN9SnOz
30,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,5882,2017-01-13--2017-01-20,ni,3NdDpSvN911VPGivFlV5d0
31,Chillax (feat. Ky-Mani Marley),Farruko,5834,2017-01-13--2017-01-20,ni,1lxswgIpzV6HhENRvkflES
32,Vacaciones,Wisin,5647,2017-01-13--2017-01-20,ni,3dQDid3IUNhZy1OehIfYfE
33,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,5349,2017-01-13--2017-01-20,ni,68EMU2RD1ECNeOeJ5qAXCV
34,Middle,DJ Snake,5313,2017-01-13--2017-01-20,ni,4OZEu0Vwq0RB2LAq14v99n
35,Dile Que Tu Me Quieres,Ozuna,5026,2017-01-13--2017-01-20,ni,20ZAJdsKB5IGbGj4ilRt2o
36,Cheap Thrills,Sia,4988,2017-01-13--2017-01-20,ni,27SdWb2rFzO6GWiYDBTD9j
37,Just Hold On,Steve Aoki,4924,2017-01-13--2017-01-20,ni,3EmmCZoqpWOTY1g2GBwJoR
38,All We Know,The Chainsmokers,4907,2017-01-13--2017-01-20,ni,2rizacJSyD9S1IQUxUxnsK
39,Andas En Mi Cabeza,Chino & Nacho,4868,2017-01-13--2017-01-20,ni,5mey7CLLuFToM2P68Qu1gF
40,Heathens,Twenty One Pilots,4865,2017-01-13--2017-01-20,ni,6i0V12jOa3mr6uu4WYhUBr
41,Ride,Twenty One Pilots,4690,2017-01-13--2017-01-20,ni,2Z8WuEywRWYTKe1NybPQEW
42,Traicionera,Sebastian Yatra,4669,2017-01-13--2017-01-20,ni,5J1c3M4EldCfNxXwrwt8mT
43,Black Beatles,Rae Sremmurd,4649,2017-01-13--2017-01-20,ni,6fujklziTHa8uoM5OQSfIo
44,This Is What You Came For (feat. Rihanna),Calvin Harris,4538,2017-01-13--2017-01-20,ni,0azC730Exh71aQlOt9Zj3y
45,Photograph,Ed Sheeran,4386,2017-01-13--2017-01-20,ni,6fxVffaTuwjgEk5h9QyRjy
46,Thinking out Loud,Ed Sheeran,4348,2017-01-13--2017-01-20,ni,1Slwb6dOYkBlWal1PGtnNg
47,Mercy,Shawn Mendes,4232,2017-01-13--2017-01-20,ni,4TZy1wLyHec06pwgFYDh1a
48,Fake Love,Drake,4162,2017-01-13--2017-01-20,ni,343YBumqHu19cGoGARUTsd
49,Stressed Out,Twenty One Pilots,4063,2017-01-13--2017-01-20,ni,3CRDbSIZ4r5MsZ0YwxuEkn
