Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,491981,2017-01-13--2017-01-20,nz,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,350758,2017-01-13--2017-01-20,nz,6PCUP3dWmTjcTtXY02oFdT
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,259456,2017-01-13--2017-01-20,nz,3NdDpSvN911VPGivFlV5d0
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,255145,2017-01-13--2017-01-20,nz,5knuzwU65gJK7IF5yJsuaW
5,Starboy,The Weeknd,222125,2017-01-13--2017-01-20,nz,5aAx2yezTd8zXrkmtKl66Z
6,"How Far I'll Go - From ""Moana""",Alessia Cara,213780,2017-01-13--2017-01-20,nz,5hYTyyh2odQKphUbMqc5gN
7,Say You Won't Let Go,James Arthur,209565,2017-01-13--2017-01-20,nz,5uCax9HTNlzGybIStD3vDh
8,I Feel It Coming,The Weeknd,208784,2017-01-13--2017-01-20,nz,5GXAXm5YOmYT0kL5jHvYBt
9,Call On Me - Ryan Riback Extended Remix,Starley,202910,2017-01-13--2017-01-20,nz,78rIJddV4X0HkNAInEcYde
10,Closer,The Chainsmokers,200317,2017-01-13--2017-01-20,nz,7BKLCZ1jbUBVqRi2FVlTVw
11,Bad Things (with Camila Cabello),Machine Gun Kelly,191341,2017-01-13--2017-01-20,nz,1PSBzsahR2AKwLJgx8ehBj
12,All Night,The Vamps,190095,2017-01-13--2017-01-20,nz,1yNyoWWWikbLhwIGWjZuDW
13,Sexual,NEIKED,188223,2017-01-13--2017-01-20,nz,3AsAuGTaDQzavZZThyYlop
14,24K Magic,Bruno Mars,185883,2017-01-13--2017-01-20,nz,6b8Be6ljOzmkOmFslEb23P
15,Paris,The Chainsmokers,185031,2017-01-13--2017-01-20,nz,72jbDTw1piOOj770jWNeaG
16,Fresh Eyes,Andy Grammer,182328,2017-01-13--2017-01-20,nz,4nMlau89VAjmV7agkl7OY3
17,Don't Wanna Know,Maroon 5,181263,2017-01-13--2017-01-20,nz,5MFzQMkrl1FOOng9tq6R9r
18,Fake Love,Drake,179390,2017-01-13--2017-01-20,nz,343YBumqHu19cGoGARUTsd
