Position,Track Name,Artist,Streams,date,region,spotify_id
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,61525,2017-01-13--2017-01-20,pa,4aWmUDTfIPGksMNLV2rQP2
2,Reggaetón Lento (Bailemos),CNCO,51613,2017-01-13--2017-01-20,pa,3AEZUABDXNtecAOSC1qTfo
3,Chantaje (feat. Maluma),Shakira,50049,2017-01-13--2017-01-20,pa,6mICuAdrwEjh6Y6lroV2Kg
4,Shape of You,Ed Sheeran,45916,2017-01-13--2017-01-20,pa,7qiZfU4dY1lWllzX7mPBI3
5,Otra vez (feat. J Balvin),Zion & Lennox,45913,2017-01-13--2017-01-20,pa,3QwBODjSEzelZyVjxPOHdq
6,Safari,J Balvin,40238,2017-01-13--2017-01-20,pa,6rQSrBHf7HlZjtcMZ4S4bO
7,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,39828,2017-01-13--2017-01-20,pa,5q2JbCNi4FcnglgPfxcV65
8,Let Me Love You,DJ Snake,34090,2017-01-13--2017-01-20,pa,4pdPtRcBmOSQDlJ3Fk945m
9,Vente Pa' Ca (feat. Maluma),Ricky Martin,33661,2017-01-13--2017-01-20,pa,7DM4BPaS7uofFul3ywMe46
10,Starboy,The Weeknd,29902,2017-01-13--2017-01-20,pa,5aAx2yezTd8zXrkmtKl66Z
11,Dile Que Tu Me Quieres,Ozuna,29855,2017-01-13--2017-01-20,pa,20ZAJdsKB5IGbGj4ilRt2o
12,Closer,The Chainsmokers,29655,2017-01-13--2017-01-20,pa,7BKLCZ1jbUBVqRi2FVlTVw
13,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,27229,2017-01-13--2017-01-20,pa,5knuzwU65gJK7IF5yJsuaW
14,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,26373,2017-01-13--2017-01-20,pa,2FrnTVSHjgnEylKGdHRUK1
15,24K Magic,Bruno Mars,26172,2017-01-13--2017-01-20,pa,6b8Be6ljOzmkOmFslEb23P
