Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,511924,2017-01-13--2017-01-20,sg,7qiZfU4dY1lWllzX7mPBI3
2,Say You Won't Let Go,James Arthur,296519,2017-01-13--2017-01-20,sg,5uCax9HTNlzGybIStD3vDh
3,Castle on the Hill,Ed Sheeran,289860,2017-01-13--2017-01-20,sg,6PCUP3dWmTjcTtXY02oFdT
4,Paris,The Chainsmokers,286378,2017-01-13--2017-01-20,sg,72jbDTw1piOOj770jWNeaG
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,258931,2017-01-13--2017-01-20,sg,3NdDpSvN911VPGivFlV5d0
6,Closer,The Chainsmokers,249345,2017-01-13--2017-01-20,sg,7BKLCZ1jbUBVqRi2FVlTVw
7,Starboy,The Weeknd,243755,2017-01-13--2017-01-20,sg,5aAx2yezTd8zXrkmtKl66Z
8,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,229403,2017-01-13--2017-01-20,sg,5knuzwU65gJK7IF5yJsuaW
9,Bad Things (with Camila Cabello),Machine Gun Kelly,217300,2017-01-13--2017-01-20,sg,1PSBzsahR2AKwLJgx8ehBj
10,Don't Wanna Know,Maroon 5,210953,2017-01-13--2017-01-20,sg,5MFzQMkrl1FOOng9tq6R9r
11,All We Know,The Chainsmokers,203001,2017-01-13--2017-01-20,sg,2rizacJSyD9S1IQUxUxnsK
12,Just Hold On,Steve Aoki,198460,2017-01-13--2017-01-20,sg,3EmmCZoqpWOTY1g2GBwJoR
13,"How Far I'll Go - From ""Moana""",Alessia Cara,188390,2017-01-13--2017-01-20,sg,5hYTyyh2odQKphUbMqc5gN
14,Let Me Love You,DJ Snake,179005,2017-01-13--2017-01-20,sg,4pdPtRcBmOSQDlJ3Fk945m
15,Call On Me - Ryan Riback Extended Remix,Starley,175608,2017-01-13--2017-01-20,sg,78rIJddV4X0HkNAInEcYde
16,All Night,The Vamps,166124,2017-01-13--2017-01-20,sg,1yNyoWWWikbLhwIGWjZuDW
17,I Feel It Coming,The Weeknd,162349,2017-01-13--2017-01-20,sg,5GXAXm5YOmYT0kL5jHvYBt
18,24K Magic,Bruno Mars,159433,2017-01-13--2017-01-20,sg,6b8Be6ljOzmkOmFslEb23P
19,By Your Side,Jonas Blue,153531,2017-01-13--2017-01-20,sg,1D3ODoXHBLpdxolZRHWV1j
20,Cold Water (feat. Justin Bieber & MØ),Major Lazer,152213,2017-01-13--2017-01-20,sg,6DNtNfH8hXkqOX1sjqmI7p
21,Stay With Me,CHANYEOL,146730,2017-01-13--2017-01-20,sg,1HYzRuWjmS9LXCkdVHi25K
22,Mercy,Shawn Mendes,143707,2017-01-13--2017-01-20,sg,4TZy1wLyHec06pwgFYDh1a
23,Starving,Hailee Steinfeld,141449,2017-01-13--2017-01-20,sg,1qOLh0tI7trd1zdDKxYZTe
24,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,136200,2017-01-13--2017-01-20,sg,68EMU2RD1ECNeOeJ5qAXCV
25,Treat You Better,Shawn Mendes,133788,2017-01-13--2017-01-20,sg,4Hf7WnR761jpxPr5D46Bcd
26,Versace on the Floor,Bruno Mars,130904,2017-01-13--2017-01-20,sg,0kN8xEmgMW9mh7UmDYHlJP
27,Scars To Your Beautiful,Alessia Cara,130215,2017-01-13--2017-01-20,sg,0prNGof3XqfTvNDxHonvdK
28,Side To Side,Ariana Grande,129599,2017-01-13--2017-01-20,sg,4pLwZjInHj3SimIyN9SnOz
29,Alone,Alan Walker,128379,2017-01-13--2017-01-20,sg,0JiVRyTJcJnmlwCZ854K4p
30,In the Name of Love,Martin Garrix,128313,2017-01-13--2017-01-20,sg,04DwTuZ2VBdJCCC5TROn7L
31,Love Me Now,John Legend,125791,2017-01-13--2017-01-20,sg,6nxQdXa1uAL0rY72wPZu89
32,Fake Love,Drake,122093,2017-01-13--2017-01-20,sg,343YBumqHu19cGoGARUTsd
33,Faded,Alan Walker,120187,2017-01-13--2017-01-20,sg,7gHs73wELdeycvS48JfIos
34,Don't Let Me Down (feat. Daya),The Chainsmokers,118138,2017-01-13--2017-01-20,sg,0QsvXIfqM0zZoerQfsI9lm
35,All Time Low,Jon Bellion,117438,2017-01-13--2017-01-20,sg,1CnPYaKxTVb4LWOtiGOm0m
