Position,Track Name,Artist,Streams,date,region,spotify_id
1,Reggaetón Lento (Bailemos),CNCO,38356,2017-01-13--2017-01-20,sv,3AEZUABDXNtecAOSC1qTfo
2,Despacito (Featuring Daddy Yankee),Luis Fonsi,36335,2017-01-13--2017-01-20,sv,4aWmUDTfIPGksMNLV2rQP2
3,Chantaje (feat. Maluma),Shakira,32662,2017-01-13--2017-01-20,sv,6mICuAdrwEjh6Y6lroV2Kg
4,Shape of You,Ed Sheeran,31785,2017-01-13--2017-01-20,sv,7qiZfU4dY1lWllzX7mPBI3
5,Otra vez (feat. J Balvin),Zion & Lennox,31453,2017-01-13--2017-01-20,sv,3QwBODjSEzelZyVjxPOHdq
6,Safari,J Balvin,27212,2017-01-13--2017-01-20,sv,6rQSrBHf7HlZjtcMZ4S4bO
7,Closer,The Chainsmokers,26816,2017-01-13--2017-01-20,sv,7BKLCZ1jbUBVqRi2FVlTVw
8,Let Me Love You,DJ Snake,24840,2017-01-13--2017-01-20,sv,4pdPtRcBmOSQDlJ3Fk945m
9,Me Rehúso,Danny Ocean,24397,2017-01-13--2017-01-20,sv,6De0lHrwBfPfrhorm9q1Xl
10,Starboy,The Weeknd,22718,2017-01-13--2017-01-20,sv,5aAx2yezTd8zXrkmtKl66Z
11,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,21700,2017-01-13--2017-01-20,sv,0JoHqmlqE0W0i9prt6kcHR
12,Don't Wanna Know,Maroon 5,19981,2017-01-13--2017-01-20,sv,5MFzQMkrl1FOOng9tq6R9r
13,Vente Pa' Ca (feat. Maluma),Ricky Martin,19723,2017-01-13--2017-01-20,sv,7DM4BPaS7uofFul3ywMe46
14,Dile Que Tu Me Quieres,Ozuna,19529,2017-01-13--2017-01-20,sv,20ZAJdsKB5IGbGj4ilRt2o
15,Paris,The Chainsmokers,18762,2017-01-13--2017-01-20,sv,72jbDTw1piOOj770jWNeaG
16,In the Name of Love,Martin Garrix,18504,2017-01-13--2017-01-20,sv,04DwTuZ2VBdJCCC5TROn7L
17,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,18182,2017-01-13--2017-01-20,sv,6stYbAJgTszHAHZMPxWWCY
18,One Dance,Drake,17824,2017-01-13--2017-01-20,sv,1xznGGDReH1oQq0xzbwXa3
19,24K Magic,Bruno Mars,17143,2017-01-13--2017-01-20,sv,6b8Be6ljOzmkOmFslEb23P
20,Shaky Shaky,Daddy Yankee,16177,2017-01-13--2017-01-20,sv,58IL315gMSTD37DOZPJ2hf
21,Cold Water (feat. Justin Bieber & MØ),Major Lazer,15824,2017-01-13--2017-01-20,sv,6DNtNfH8hXkqOX1sjqmI7p
22,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Ozuna,15734,2017-01-13--2017-01-20,sv,2FrnTVSHjgnEylKGdHRUK1
23,Don't Let Me Down (feat. Daya),The Chainsmokers,15666,2017-01-13--2017-01-20,sv,0QsvXIfqM0zZoerQfsI9lm
24,Vacaciones,Wisin,15656,2017-01-13--2017-01-20,sv,3dQDid3IUNhZy1OehIfYfE
25,La Bicicleta,Carlos Vives,15585,2017-01-13--2017-01-20,sv,0sXvAOmXgjR2QUqLK1MltU
26,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,15570,2017-01-13--2017-01-20,sv,5knuzwU65gJK7IF5yJsuaW
27,My Way,Calvin Harris,15004,2017-01-13--2017-01-20,sv,1vvNmPOiUuyCbgWmtc6yfm
28,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,15003,2017-01-13--2017-01-20,sv,17Fd6Yb7mSbinKG8LoWfFl
29,Side To Side,Ariana Grande,14919,2017-01-13--2017-01-20,sv,4pLwZjInHj3SimIyN9SnOz
30,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,14406,2017-01-13--2017-01-20,sv,3NdDpSvN911VPGivFlV5d0
31,Chillax (feat. Ky-Mani Marley),Farruko,14238,2017-01-13--2017-01-20,sv,1lxswgIpzV6HhENRvkflES
32,I Feel It Coming,The Weeknd,14210,2017-01-13--2017-01-20,sv,5GXAXm5YOmYT0kL5jHvYBt
33,Castle on the Hill,Ed Sheeran,13730,2017-01-13--2017-01-20,sv,6PCUP3dWmTjcTtXY02oFdT
34,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,13608,2017-01-13--2017-01-20,sv,68EMU2RD1ECNeOeJ5qAXCV
35,Heathens,Twenty One Pilots,13570,2017-01-13--2017-01-20,sv,6i0V12jOa3mr6uu4WYhUBr
36,Treat You Better,Shawn Mendes,13227,2017-01-13--2017-01-20,sv,4Hf7WnR761jpxPr5D46Bcd
37,Andas En Mi Cabeza,Chino & Nacho,13105,2017-01-13--2017-01-20,sv,5mey7CLLuFToM2P68Qu1gF
38,Traicionera,Sebastian Yatra,13083,2017-01-13--2017-01-20,sv,5J1c3M4EldCfNxXwrwt8mT
39,Middle,DJ Snake,13028,2017-01-13--2017-01-20,sv,4OZEu0Vwq0RB2LAq14v99n
40,Black Beatles,Rae Sremmurd,12501,2017-01-13--2017-01-20,sv,6fujklziTHa8uoM5OQSfIo
