Position,Track Name,Artist,Streams,date,region,spotify_id
1,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,84849,2018-01-12--2018-01-19,bo,33bnxcjePIkcmNjEFTJX0l
2,Corazón,Maluma,70855,2018-01-12--2018-01-19,bo,4lESS6vuruP6a79KWRaQou
3,Échame La Culpa,Luis Fonsi,64573,2018-01-12--2018-01-19,bo,1zsG4eaZmkA1dvjDDsAGLK
4,Sensualidad,Bad Bunny,56357,2018-01-12--2018-01-19,bo,5hcisvFMidkMJlElTO9Qmw
5,Criminal,Natti Natasha,55621,2018-01-12--2018-01-19,bo,6Za3190Sbw39BBC77WSS1C
6,EL BAÑO (feat. Bad Bunny),Enrique Iglesias,55390,2018-01-12--2018-01-19,bo,2vvdTrdryjsl8DmPIMDWZU
7,Downtown,Anitta,52124,2018-01-12--2018-01-19,bo,3Ga6eKrUFf12ouh9Yw3v2D
8,Dembow,Danny Ocean,47848,2018-01-12--2018-01-19,bo,2EzRdhuoPyNJDlep7lnNf2
9,Suena El Dembow,Joey Montana,42157,2018-01-12--2018-01-19,bo,5TysCiZtv1HnSWcTcUFusI
10,Que Va,Alex Sensation,41974,2018-01-12--2018-01-19,bo,7ofxPmTNMj2GP07g1VZa0O
11,Se Preparó,Ozuna,40246,2018-01-12--2018-01-19,bo,1m69ELEgE6k5ZWsap40ozt
12,Mayores,Becky G,39815,2018-01-12--2018-01-19,bo,7JNh1cfm0eXjqFVOzKLyau
13,Déjate Llevar,Juan Magán,37894,2018-01-12--2018-01-19,bo,3xWEI23MLJrD0dpDcDUTW6
14,Me Rehúso,Danny Ocean,37095,2018-01-12--2018-01-19,bo,6De0lHrwBfPfrhorm9q1Xl
15,Bella,Wolfine,36541,2018-01-12--2018-01-19,bo,4R55IUi2x7S5ek2SpebOiE
16,Báilame - Remix,Nacho,36427,2018-01-12--2018-01-19,bo,3VClLWqNn80Llv0PJOsKgr
17,Esperándote,Manuel Turizo,36418,2018-01-12--2018-01-19,bo,1nfyE13arjOuO54HH0zmqj
18,SUTRA,Sebastian Yatra,36095,2018-01-12--2018-01-19,bo,5TmZYdHW6HJ9gt7Aokuql5
19,Perro Fiel (feat. Nicky Jam),Shakira,33684,2018-01-12--2018-01-19,bo,70lnL3QaSOIIyMa2X9aVRL
20,Quiero Repetir,Ozuna,31512,2018-01-12--2018-01-19,bo,0MIcPSq9n2z5H8TAfEstri
21,Robarte un Beso,Carlos Vives,31481,2018-01-12--2018-01-19,bo,0JcNysfWVWaMS7R6vzGB2k
22,Mamita,CNCO,30615,2018-01-12--2018-01-19,bo,5ojXuKXBYq0apcNucYSDXq
23,Vuelve,Daddy Yankee,29563,2018-01-12--2018-01-19,bo,0lJCqIx5BhZtf6QtYI2fbv
24,Escápate Conmigo (feat. Ozuna),Wisin,28937,2018-01-12--2018-01-19,bo,1KSqYYJFyfTecXFk9M0prc
