Position,Track Name,Artist,Streams,date,region,spotify_id
1,Havana (feat. Young Thug),Camila Cabello,195178,2018-01-12--2018-01-19,ch,1rfofaqEpACxVEHIZBJe6W
2,rockstar,Post Malone,177570,2018-01-12--2018-01-19,ch,7wGoVu4Dady5GV0Sv4UIsx
3,River (feat. Ed Sheeran),Eminem,173393,2018-01-12--2018-01-19,ch,5UEnHoDYpsxlfzWLZIc7LD
4,Échame La Culpa,Luis Fonsi,149601,2018-01-12--2018-01-19,ch,1zsG4eaZmkA1dvjDDsAGLK
5,Him & I (with Halsey),G-Eazy,144288,2018-01-12--2018-01-19,ch,5k38wzpLb15YgncyWdTZE4
6,9 Milly,Azet,134352,2018-01-12--2018-01-19,ch,2vIZ2BKgzCFPF2qqUXVS3R
7,Let You Down,NF,133923,2018-01-12--2018-01-19,ch,6mrKP2jyIQmM0rw6fQryjr
8,Wolves,Selena Gomez,132085,2018-01-12--2018-01-19,ch,7EmGUiUaOSGDnUUQUDrOXC
9,Was du Liebe nennst,Bausa,126117,2018-01-12--2018-01-19,ch,4hKWUzhQWsOkgT6LnDEASe
10,Perfect,Ed Sheeran,121611,2018-01-12--2018-01-19,ch,0tgVpDi06FyKpA1z0VMD4v
11,Dusk Till Dawn - Radio Edit,ZAYN,117609,2018-01-12--2018-01-19,ch,1j4kHkkpqZRBwE0A4CN4Yv
12,New Rules,Dua Lipa,115426,2018-01-12--2018-01-19,ch,2ekn2ttSfGqwhhate0LSR0
13,Shape of You,Ed Sheeran,115316,2018-01-12--2018-01-19,ch,7qiZfU4dY1lWllzX7mPBI3
14,Never Be the Same,Camila Cabello,114586,2018-01-12--2018-01-19,ch,4eWQlBRaTjPPUlzacqEeoQ
15,Stargazing,Kygo,112914,2018-01-12--2018-01-19,ch,0Zbbxnx4SGGHoIow4PpISP
16,Silence,Marshmello,104861,2018-01-12--2018-01-19,ch,7vGuf3Y35N4wmASOKLUVVU
17,What Lovers Do (feat. SZA),Maroon 5,102697,2018-01-12--2018-01-19,ch,3hBBKuWJfxlIlnd9QFoC8k
18,More Than You Know,Axwell /\ Ingrosso,96148,2018-01-12--2018-01-19,ch,71bBFbfn2OBK5QwUJSLS44
19,Rooftop,Nico Santos,95759,2018-01-12--2018-01-19,ch,637yH6Qs3wXdgjPjO7QGdr
20,Anywhere,Rita Ora,95119,2018-01-12--2018-01-19,ch,7EI6Iki24tBHAMxtb4xQN2
21,Finesse - Remix; feat. Cardi B,Bruno Mars,94709,2018-01-12--2018-01-19,ch,3Vo4wInECJQuz9BIBMOu8i
22,Qa bone,Azet,93774,2018-01-12--2018-01-19,ch,6X0pg9AHaLYLq8Cy5j8Suz
23,I Like Me Better,Lauv,89189,2018-01-12--2018-01-19,ch,1wjzFQodRWrPcQ0AnYnvQ9
24,Too Good At Goodbyes,Sam Smith,88884,2018-01-12--2018-01-19,ch,1mXVgsBdtIVeCLJnSnmtdV
25,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,88626,2018-01-12--2018-01-19,ch,1bhUWB0zJMIKr9yVPrkEuI
