Position,Track Name,Artist,Streams,date,region,spotify_id
1,Bella,Wolfine,3392052,2018-01-12--2018-01-19,mx,4R55IUi2x7S5ek2SpebOiE
2,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,3388227,2018-01-12--2018-01-19,mx,33bnxcjePIkcmNjEFTJX0l
3,Corazón,Maluma,3168978,2018-01-12--2018-01-19,mx,4lESS6vuruP6a79KWRaQou
4,Criminal,Natti Natasha,2802472,2018-01-12--2018-01-19,mx,6Za3190Sbw39BBC77WSS1C
5,Downtown,Anitta,2340229,2018-01-12--2018-01-19,mx,3Ga6eKrUFf12ouh9Yw3v2D
6,Échame La Culpa,Luis Fonsi,2329186,2018-01-12--2018-01-19,mx,1zsG4eaZmkA1dvjDDsAGLK
7,Sensualidad,Bad Bunny,2314472,2018-01-12--2018-01-19,mx,5hcisvFMidkMJlElTO9Qmw
8,Se Preparó,Ozuna,1923858,2018-01-12--2018-01-19,mx,1m69ELEgE6k5ZWsap40ozt
9,EL BAÑO (feat. Bad Bunny),Enrique Iglesias,1782263,2018-01-12--2018-01-19,mx,2vvdTrdryjsl8DmPIMDWZU
10,SUTRA,Sebastian Yatra,1732461,2018-01-12--2018-01-19,mx,5TmZYdHW6HJ9gt7Aokuql5
11,Perro Fiel (feat. Nicky Jam),Shakira,1730568,2018-01-12--2018-01-19,mx,70lnL3QaSOIIyMa2X9aVRL
12,Mayores,Becky G,1730008,2018-01-12--2018-01-19,mx,7JNh1cfm0eXjqFVOzKLyau
13,Que Va,Alex Sensation,1602167,2018-01-12--2018-01-19,mx,7ofxPmTNMj2GP07g1VZa0O
14,Me Rehúso,Danny Ocean,1576318,2018-01-12--2018-01-19,mx,6De0lHrwBfPfrhorm9q1Xl
15,Bonita,J Balvin,1492785,2018-01-12--2018-01-19,mx,693iqPOQvhI7PobtR8CC8v
16,GPS (feat. French Montana),Maluma,1450212,2018-01-12--2018-01-19,mx,3t6j6WNv2OSn6qm5Vxynub
17,Robarte un Beso,Carlos Vives,1446314,2018-01-12--2018-01-19,mx,0JcNysfWVWaMS7R6vzGB2k
18,Dembow,Danny Ocean,1427151,2018-01-12--2018-01-19,mx,2EzRdhuoPyNJDlep7lnNf2
