Position,Track Name,Artist,Streams,date,region,spotify_id
1,Havana (feat. Young Thug),Camila Cabello,298400,2018-01-12--2018-01-19,my,1rfofaqEpACxVEHIZBJe6W
2,Wolves,Selena Gomez,253373,2018-01-12--2018-01-19,my,7EmGUiUaOSGDnUUQUDrOXC
3,Rewrite The Stars,Zac Efron,221026,2018-01-12--2018-01-19,my,630sXRhIcfwr2e4RdNtjKN
4,Perfect,Ed Sheeran,210016,2018-01-12--2018-01-19,my,0tgVpDi06FyKpA1z0VMD4v
5,Never Be the Same,Camila Cabello,200760,2018-01-12--2018-01-19,my,4eWQlBRaTjPPUlzacqEeoQ
6,What Lovers Do (feat. SZA),Maroon 5,192915,2018-01-12--2018-01-19,my,3hBBKuWJfxlIlnd9QFoC8k
7,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,183621,2018-01-12--2018-01-19,my,5AEtlRudpgdT5FtNiuly6Y
8,This Is Me,Keala Settle,183158,2018-01-12--2018-01-19,my,2xGjteMU3E1tkEPVFBO08U
9,Paris in the Rain,Lauv,180242,2018-01-12--2018-01-19,my,0RGUIOZtmOXTWOy5EjvQbP
10,All Falls Down (feat. Juliander),Alan Walker,179256,2018-01-12--2018-01-19,my,5yFSF6qQA1rcLsQRnBsZgb
11,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,176214,2018-01-12--2018-01-19,my,0OlnLZY4cmQzT6ZGttvWBM
12,Too Good At Goodbyes,Sam Smith,172799,2018-01-12--2018-01-19,my,1mXVgsBdtIVeCLJnSnmtdV
13,Finesse - Remix; feat. Cardi B,Bruno Mars,170323,2018-01-12--2018-01-19,my,3Vo4wInECJQuz9BIBMOu8i
14,New Rules,Dua Lipa,166508,2018-01-12--2018-01-19,my,2ekn2ttSfGqwhhate0LSR0
15,How Long,Charlie Puth,155377,2018-01-12--2018-01-19,my,32DGGj6KlNuBr6WaqRxpxi
16,Let You Down,NF,152774,2018-01-12--2018-01-19,my,6mrKP2jyIQmM0rw6fQryjr
17,IDGAF,Dua Lipa,152189,2018-01-12--2018-01-19,my,76cy1WJvNGJTj78UqeA5zr
18,Dusk Till Dawn - Radio Edit,ZAYN,148550,2018-01-12--2018-01-19,my,1j4kHkkpqZRBwE0A4CN4Yv
19,Young Dumb & Broke,Khalid,144199,2018-01-12--2018-01-19,my,5Z3GHaZ6ec9bsiI5BenrbY
20,River (feat. Ed Sheeran),Eminem,144078,2018-01-12--2018-01-19,my,5UEnHoDYpsxlfzWLZIc7LD
21,Surat Cinta Untuk Starla,Virgoun,143801,2018-01-12--2018-01-19,my,5o6StwqqVfG3vRLx8UP310
22,Him & I (with Halsey),G-Eazy,143145,2018-01-12--2018-01-19,my,5k38wzpLb15YgncyWdTZE4
23,I Miss You (feat. Julia Michaels),Clean Bandit,142255,2018-01-12--2018-01-19,my,2xmrfQpmS2iJExTlklLoAL
24,All The Stars (with SZA),Kendrick Lamar,139419,2018-01-12--2018-01-19,my,12SJpYZEdj4kzWZ8FPFg4Y
25,Never Enough,Loren Allred,138021,2018-01-12--2018-01-19,my,0Gl5s8IhMmQE5YQwM8Qx1J
26,The Greatest Show,Hugh Jackman,127679,2018-01-12--2018-01-19,my,43ay9lQZ5rfNcOOHhRF2cM
27,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,127588,2018-01-12--2018-01-19,my,1bhUWB0zJMIKr9yVPrkEuI
28,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,126143,2018-01-12--2018-01-19,my,7iDa6hUg2VgEL1o1HjmfBn
29,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,124565,2018-01-12--2018-01-19,my,7F9vK8hNFMml4GtHsaXui6
30,A Million Dreams,Ziv Zaifman,124461,2018-01-12--2018-01-19,my,0RoA7ObU6phWpqhlC9zH4Z
31,I Like Me Better,Lauv,120413,2018-01-12--2018-01-19,my,1wjzFQodRWrPcQ0AnYnvQ9
32,rockstar,Post Malone,116843,2018-01-12--2018-01-19,my,7wGoVu4Dady5GV0Sv4UIsx
33,For You (Fifty Shades Freed) (& Rita Ora),Liam Payne,114189,2018-01-12--2018-01-19,my,5hM6sP0Gh1jD57drszNueC
34,Silence,Marshmello,112763,2018-01-12--2018-01-19,my,7vGuf3Y35N4wmASOKLUVVU
35,Anywhere,Rita Ora,110299,2018-01-12--2018-01-19,my,7EI6Iki24tBHAMxtb4xQN2
36,My My My!,Troye Sivan,109939,2018-01-12--2018-01-19,my,2Tq2R8sRftNEqdgJK5HadO
37,Pematah Hati,Nabila Razali,98504,2018-01-12--2018-01-19,my,0NXpqHfde4FTBF6O1Cvq4U
38,Real Friends,Camila Cabello,97670,2018-01-12--2018-01-19,my,3iq9nhbI8fcnNamxMft1uv
39,Stargazing,Kygo,96262,2018-01-12--2018-01-19,my,0Zbbxnx4SGGHoIow4PpISP
40,The Other Side,Hugh Jackman,95882,2018-01-12--2018-01-19,my,2cKovq3l6OJjhVVDbVKOsr
41,New,Daya,94491,2018-01-12--2018-01-19,my,7y4JznkAv2W3IKw9T1o2VK
42,From Now On,Hugh Jackman,93363,2018-01-12--2018-01-19,my,3IkWmgGsXbsafrunwPojXO
43,MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS,92927,2018-01-12--2018-01-19,my,7Ed6BkggCS2KaKY5YlINaF
44,Lonely Together (feat. Rita Ora),Avicii,92182,2018-01-12--2018-01-19,my,2OALaHcDdKkjYEpAr0Qzab
45,Attention,Charlie Puth,88583,2018-01-12--2018-01-19,my,4iLqG9SeJSnt0cSPICSjxv
46,Shape of You,Ed Sheeran,88546,2018-01-12--2018-01-19,my,7qiZfU4dY1lWllzX7mPBI3
47,Come Alive,Hugh Jackman,87790,2018-01-12--2018-01-19,my,5xNUR50KxswPRAvx7S163g
48,Say You Won't Let Go,James Arthur,87499,2018-01-12--2018-01-19,my,5uCax9HTNlzGybIStD3vDh
49,Tightrope,Michelle Williams,86784,2018-01-12--2018-01-19,my,0GVuLQtPXFaL18ijEOqoAa
50,Thunder,Imagine Dragons,85083,2018-01-12--2018-01-19,my,0tKcYR2II1VCQWT79i5NrW
51,Wait,Maroon 5,81944,2018-01-12--2018-01-19,my,1Qg9jWGDkKAGZXj5v2OG59
52,Naked,James Arthur,81730,2018-01-12--2018-01-19,my,7krbSH3rd8lhIZvuzTV3Bl
53,Mama,Jonas Blue,81606,2018-01-12--2018-01-19,my,0NiXXAI876aGImAd6rTj8w
54,End Game,Taylor Swift,80739,2018-01-12--2018-01-19,my,2x0WlnmfG39ZuDmstl9xfX
55,Luluh,Khai Bahar,79048,2018-01-12--2018-01-19,my,5oq6nAmWWvj0pxRKjBmIOa
56,Photograph,Ed Sheeran,77027,2018-01-12--2018-01-19,my,6fxVffaTuwjgEk5h9QyRjy
57,Sober,G-Eazy,76958,2018-01-12--2018-01-19,my,3qk4wRMDlaeagZGjSYbsOV
58,Bunga,Ara Johari,74077,2018-01-12--2018-01-19,my,6eCFAP5OyiIvlarb4Ac8bq
59,Stranger Things (feat. OneRepublic),Kygo,72269,2018-01-12--2018-01-19,my,5gIRPQWULwrvIt0F6pY7ph
60,Dreamer,Axwell /\ Ingrosso,71824,2018-01-12--2018-01-19,my,0RTzJVkunbGwuRjXDFHnjf
61,Asal Kau Bahagia,Armada,71734,2018-01-12--2018-01-19,my,2F4x7TRtf5K3LNSpEuKGhY
62,Stay With You,Cheat Codes,70748,2018-01-12--2018-01-19,my,7q8jJ1XZEliBakZSUMFde5
63,A Million Dreams (Reprise),Austyn Johnson,70679,2018-01-12--2018-01-19,my,66y7x28jXOPrcmu3D5Zjh6
64,Symphony (feat. Zara Larsson),Clean Bandit,69700,2018-01-12--2018-01-19,my,1x5sYLZiu9r5E43kMlt9f8
65,Something Just Like This,The Chainsmokers,69689,2018-01-12--2018-01-19,my,6RUKPb4LETWmmr3iAEQktW
66,A Different Way (with Lauv),DJ Snake,69032,2018-01-12--2018-01-19,my,0Wv5wuenRLI3BcwgT3HPIP
67,Feels Great (feat. Fetty Wap & CVBZ),Cheat Codes,68970,2018-01-12--2018-01-19,my,5uu28fUesZMl89lf9CLrgN
68,No Limit,G-Eazy,68794,2018-01-12--2018-01-19,my,2DQ1ITjI0YoLFzuADN1ZBW
69,She Loves Control,Camila Cabello,68506,2018-01-12--2018-01-19,my,5HwnezK198pJCEj1l2Adjy
70,More Than You Know,Axwell /\ Ingrosso,68124,2018-01-12--2018-01-19,my,71bBFbfn2OBK5QwUJSLS44
71,Sandiwara,XPOSE,67872,2018-01-12--2018-01-19,my,23MVwlPrWjlfqWZ7EOedwF
72,Scared to Be Lonely,Martin Garrix,65808,2018-01-12--2018-01-19,my,3ebXMykcMXOcLeJ9xZ17XH
73,Never Enough (Reprise),Loren Allred,65482,2018-01-12--2018-01-19,my,6f8b6mxNNDJdE5tC4MCTxt
74,There for You,Martin Garrix,65410,2018-01-12--2018-01-19,my,6jA8HL9i4QGzsj6fjoxp8Y
75,Strip That Down,Liam Payne,64865,2018-01-12--2018-01-19,my,6EpRaXYhGOB3fj4V2uDkMJ
76,No Promises (feat. Demi Lovato),Cheat Codes,64288,2018-01-12--2018-01-19,my,1louJpMmzEicAn7lzDalPW
77,Sorry Not Sorry,Demi Lovato,63784,2018-01-12--2018-01-19,my,3m660poUr1chesgkkjQM7P
78,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,61860,2018-01-12--2018-01-19,my,5bcTCxgc7xVfSaMV3RuVke
79,Capital Letters,Hailee Steinfeld,61362,2018-01-12--2018-01-19,my,3towKHKVOXCCcL1fHv6xFO
80,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",Machine Gun Kelly,61249,2018-01-12--2018-01-19,my,0OI7AFifLSoGzpb8bdBLLV
81,Gucci Gang,Lil Pump,60954,2018-01-12--2018-01-19,my,43ZyHQITOjhciSUUNPVRHc
82,Man's Not Hot,Big Shaq,60106,2018-01-12--2018-01-19,my,2nUJvBO87SkxCViQsLc9Zr
83,Too Much To Ask,Niall Horan,58827,2018-01-12--2018-01-19,my,4v094LQ9eF10k2O2Te2ngK
84,Tip Toe (feat. French Montana),Jason Derulo,58779,2018-01-12--2018-01-19,my,2z4pcBLQXF2BXKFvd0BuB6
85,Tergantung Sepi,Haqiem Rusli,56179,2018-01-12--2018-01-19,my,62HFUYpmzbNzCA2WjKAzTW
86,I Fall Apart,Post Malone,56108,2018-01-12--2018-01-19,my,75ZvA4QfFiZvzhj2xkaWAh
87,2U (feat. Justin Bieber),David Guetta,55208,2018-01-12--2018-01-19,my,3A7qX2QjDlPnazUsRk5y0M
88,Jampi,Hael Husaini,54852,2018-01-12--2018-01-19,my,5bUabhDYpMqgppTZTYVqp1
89,Échame La Culpa,Luis Fonsi,54544,2018-01-12--2018-01-19,my,1zsG4eaZmkA1dvjDDsAGLK
