Position,Track Name,Artist,Streams,date,region,spotify_id
1,Corazón,Maluma,726830,2018-01-12--2018-01-19,pe,4lESS6vuruP6a79KWRaQou
2,Échame La Culpa,Luis Fonsi,665384,2018-01-12--2018-01-19,pe,1zsG4eaZmkA1dvjDDsAGLK
3,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,658534,2018-01-12--2018-01-19,pe,33bnxcjePIkcmNjEFTJX0l
4,Sensualidad,Bad Bunny,580938,2018-01-12--2018-01-19,pe,5hcisvFMidkMJlElTO9Qmw
5,Criminal,Natti Natasha,561930,2018-01-12--2018-01-19,pe,6Za3190Sbw39BBC77WSS1C
6,Downtown,Anitta,453328,2018-01-12--2018-01-19,pe,3Ga6eKrUFf12ouh9Yw3v2D
7,Se Preparó,Ozuna,432180,2018-01-12--2018-01-19,pe,1m69ELEgE6k5ZWsap40ozt
8,Báilame - Remix,Nacho,408005,2018-01-12--2018-01-19,pe,3VClLWqNn80Llv0PJOsKgr
9,Suena El Dembow,Joey Montana,386567,2018-01-12--2018-01-19,pe,5TysCiZtv1HnSWcTcUFusI
10,Robarte un Beso,Carlos Vives,381357,2018-01-12--2018-01-19,pe,0JcNysfWVWaMS7R6vzGB2k
11,Que Va,Alex Sensation,377873,2018-01-12--2018-01-19,pe,7ofxPmTNMj2GP07g1VZa0O
12,Perro Fiel (feat. Nicky Jam),Shakira,368176,2018-01-12--2018-01-19,pe,70lnL3QaSOIIyMa2X9aVRL
13,Mayores,Becky G,367791,2018-01-12--2018-01-19,pe,7JNh1cfm0eXjqFVOzKLyau
14,EL BAÑO (feat. Bad Bunny),Enrique Iglesias,354817,2018-01-12--2018-01-19,pe,2vvdTrdryjsl8DmPIMDWZU
15,Me Rehúso,Danny Ocean,351184,2018-01-12--2018-01-19,pe,6De0lHrwBfPfrhorm9q1Xl
16,SUTRA,Sebastian Yatra,310973,2018-01-12--2018-01-19,pe,5TmZYdHW6HJ9gt7Aokuql5
17,Mala y Peligrosa (feat. Bad Bunny),Víctor Manuelle,309891,2018-01-12--2018-01-19,pe,0afpbPmRHldjP59YRslQz9
18,Bella y Sensual,Romeo Santos,302201,2018-01-12--2018-01-19,pe,0ERbK7qVqveCaBWIiYCrl3
19,Vuelve,Daddy Yankee,301806,2018-01-12--2018-01-19,pe,0lJCqIx5BhZtf6QtYI2fbv
20,Escápate Conmigo (feat. Ozuna),Wisin,292440,2018-01-12--2018-01-19,pe,1KSqYYJFyfTecXFk9M0prc
21,Havana - Remix,Camila Cabello,270028,2018-01-12--2018-01-19,pe,3whrwq4DtvucphBPUogRuJ
22,Loco Enamorado,Abraham Mateo,260981,2018-01-12--2018-01-19,pe,4N1c5rmWOzRmB9SMacr5wB
23,Una Lady Como Tú,Manuel Turizo,257997,2018-01-12--2018-01-19,pe,7MHN1aCFtLXjownGhvEQlF
24,Olha a Explosão,MC Kevinho,254542,2018-01-12--2018-01-19,pe,6m2LNopVJKsvBB9l7Z1rwn
25,Felices los 4,Maluma,248169,2018-01-12--2018-01-19,pe,0qYTZCo5Bwh1nsUFGZP3zn
26,Bella,Wolfine,238657,2018-01-12--2018-01-19,pe,4R55IUi2x7S5ek2SpebOiE
27,Como Antes (feat. Wisin),Yandel,236826,2018-01-12--2018-01-19,pe,5YzA563GXTuwQaRq24z1k5
28,Vivo Pensando En Ti (feat. Maluma),Felipe Peláez,234952,2018-01-12--2018-01-19,pe,0H7cz1bR7w9PulJL7Na774
29,Bonita,J Balvin,231733,2018-01-12--2018-01-19,pe,693iqPOQvhI7PobtR8CC8v
30,Quiero Repetir,Ozuna,225780,2018-01-12--2018-01-19,pe,0MIcPSq9n2z5H8TAfEstri
31,Havana (feat. Young Thug),Camila Cabello,222329,2018-01-12--2018-01-19,pe,1rfofaqEpACxVEHIZBJe6W
32,3 A.M.,Jesse & Joy,218771,2018-01-12--2018-01-19,pe,0yyZN5ASdrYu0XYWFzfxUu
33,Besame,Valentino,218303,2018-01-12--2018-01-19,pe,7Ckhk1XW5NV2k4jpqtQNlz
34,Amantes,Greeicy,217081,2018-01-12--2018-01-19,pe,3IyPnNX142pvWx6D5CiimD
35,Ahora Dice,Chris Jedi,215985,2018-01-12--2018-01-19,pe,22eADXu8DfOAUEDw4vU8qy
36,Mi Gente,J Balvin,215172,2018-01-12--2018-01-19,pe,2rb5MvYT7ZIxbKW5hfcHx8
37,Déjate Llevar,Juan Magán,211996,2018-01-12--2018-01-19,pe,3xWEI23MLJrD0dpDcDUTW6
