Position,Track Name,Artist,Streams,date,region,spotify_id
1,Havana (feat. Young Thug),Camila Cabello,1411701,2018-01-12--2018-01-19,ph,1rfofaqEpACxVEHIZBJe6W
2,Perfect,Ed Sheeran,1079210,2018-01-12--2018-01-19,ph,0tgVpDi06FyKpA1z0VMD4v
3,Too Good At Goodbyes,Sam Smith,1048375,2018-01-12--2018-01-19,ph,1mXVgsBdtIVeCLJnSnmtdV
4,What Lovers Do (feat. SZA),Maroon 5,1027108,2018-01-12--2018-01-19,ph,3hBBKuWJfxlIlnd9QFoC8k
5,Finesse - Remix; feat. Cardi B,Bruno Mars,963707,2018-01-12--2018-01-19,ph,3Vo4wInECJQuz9BIBMOu8i
6,Super Far,LANY,922465,2018-01-12--2018-01-19,ph,74ODGXs4byLTRdnKGM4s6E
7,New Rules,Dua Lipa,898433,2018-01-12--2018-01-19,ph,2ekn2ttSfGqwhhate0LSR0
8,Never Be the Same,Camila Cabello,882888,2018-01-12--2018-01-19,ph,4eWQlBRaTjPPUlzacqEeoQ
9,Young Dumb & Broke,Khalid,852599,2018-01-12--2018-01-19,ph,5Z3GHaZ6ec9bsiI5BenrbY
10,IDGAF,Dua Lipa,847143,2018-01-12--2018-01-19,ph,76cy1WJvNGJTj78UqeA5zr
11,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,846272,2018-01-12--2018-01-19,ph,6M21eWbEw74XDdoQsNIinq
12,I Like Me Better,Lauv,844393,2018-01-12--2018-01-19,ph,1wjzFQodRWrPcQ0AnYnvQ9
13,Wolves,Selena Gomez,842570,2018-01-12--2018-01-19,ph,7EmGUiUaOSGDnUUQUDrOXC
14,Titibo-Tibo,Moira Dela Torre,819541,2018-01-12--2018-01-19,ph,42nrX5b8ZUYRcw2puNY8tb
15,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,810927,2018-01-12--2018-01-19,ph,5AEtlRudpgdT5FtNiuly6Y
16,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,765031,2018-01-12--2018-01-19,ph,7iDa6hUg2VgEL1o1HjmfBn
17,All The Stars (with SZA),Kendrick Lamar,665075,2018-01-12--2018-01-19,ph,12SJpYZEdj4kzWZ8FPFg4Y
18,"Torete - From ""Love You to the Stars And Back""",Moira Dela Torre,647214,2018-01-12--2018-01-19,ph,4aUf4lzQ1di5JajZ4a9FuI
19,Let You Down,NF,629345,2018-01-12--2018-01-19,ph,6mrKP2jyIQmM0rw6fQryjr
20,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,627809,2018-01-12--2018-01-19,ph,1bhUWB0zJMIKr9yVPrkEuI
21,River (feat. Ed Sheeran),Eminem,613662,2018-01-12--2018-01-19,ph,5UEnHoDYpsxlfzWLZIc7LD
22,"Dying Inside To Hold You - From "" All Of You"" Official Soundtrack",Darren Espanto,597847,2018-01-12--2018-01-19,ph,0qt9ivU6UEP3YdNUiZsnYR
23,How Long,Charlie Puth,588615,2018-01-12--2018-01-19,ph,32DGGj6KlNuBr6WaqRxpxi
24,I Miss You (feat. Julia Michaels),Clean Bandit,577193,2018-01-12--2018-01-19,ph,2xmrfQpmS2iJExTlklLoAL
25,Mama,Jonas Blue,555856,2018-01-12--2018-01-19,ph,0NiXXAI876aGImAd6rTj8w
26,Paris in the Rain,Lauv,551086,2018-01-12--2018-01-19,ph,0RGUIOZtmOXTWOy5EjvQbP
27,For You (Fifty Shades Freed) (& Rita Ora),Liam Payne,532785,2018-01-12--2018-01-19,ph,5hM6sP0Gh1jD57drszNueC
28,Say You Won't Let Go,James Arthur,529974,2018-01-12--2018-01-19,ph,5uCax9HTNlzGybIStD3vDh
29,"Sundo - From ""The Good Son""",Moira Dela Torre,521032,2018-01-12--2018-01-19,ph,1WtpRQUvbyZAoEchymInA9
30,Dahil Sa'Yo,Inigo Pascual,519630,2018-01-12--2018-01-19,ph,4ai7c2BUjNpElhZdZDH7qF
31,Why Can't It Be,Kaye Cal,516692,2018-01-12--2018-01-19,ph,0zFYa7NIpKhmom8zrZx7Ga
32,Thunder,Imagine Dragons,513480,2018-01-12--2018-01-19,ph,0tKcYR2II1VCQWT79i5NrW
33,Strip That Down,Liam Payne,506607,2018-01-12--2018-01-19,ph,6EpRaXYhGOB3fj4V2uDkMJ
34,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,505475,2018-01-12--2018-01-19,ph,3DXncPQOG4VBw3QHh3S817
35,"Two Less Lonely People in the World (Official Movie Theme Song Of ""Kita Kita"")",KZ Tandingan,500922,2018-01-12--2018-01-19,ph,46ixegtxjERQMCutmp09Sa
36,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,497707,2018-01-12--2018-01-19,ph,1NDxZ7cFAo481dtYWdrUnR
37,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,493609,2018-01-12--2018-01-19,ph,7F9vK8hNFMml4GtHsaXui6
38,Lonely Together (feat. Rita Ora),Avicii,460300,2018-01-12--2018-01-19,ph,2OALaHcDdKkjYEpAr0Qzab
39,Sorry Not Sorry,Demi Lovato,453303,2018-01-12--2018-01-19,ph,3m660poUr1chesgkkjQM7P
40,New,Daya,447243,2018-01-12--2018-01-19,ph,7y4JznkAv2W3IKw9T1o2VK
41,Slow Hands,Niall Horan,446684,2018-01-12--2018-01-19,ph,38yBBH2jacvDxrznF7h08J
42,A Different Way (with Lauv),DJ Snake,446101,2018-01-12--2018-01-19,ph,0Wv5wuenRLI3BcwgT3HPIP
43,ILYSB,LANY,443119,2018-01-12--2018-01-19,ph,0dPBlz8N0veeceejtuvpPz
44,Symphony (feat. Zara Larsson),Clean Bandit,440233,2018-01-12--2018-01-19,ph,1x5sYLZiu9r5E43kMlt9f8
45,Shape of You,Ed Sheeran,435859,2018-01-12--2018-01-19,ph,7qiZfU4dY1lWllzX7mPBI3
46,Tadhana,Up Dharma Down,433225,2018-01-12--2018-01-19,ph,6NFKf8vBApSvtzkapYmnVR
47,Don't Know What To Do (Don't Know What To Say),Mark Carpio,420255,2018-01-12--2018-01-19,ph,1ER60P43ftVOLaMRvBfpnt
48,My My My!,Troye Sivan,418323,2018-01-12--2018-01-19,ph,2Tq2R8sRftNEqdgJK5HadO
49,Fresh Eyes,Andy Grammer,407245,2018-01-12--2018-01-19,ph,5NDUXbMwcnTQp66tI2zcdR
