Position,Track Name,Artist,Streams,date,region,spotify_id
1,Yanıyoruz,Burak King,636502,2018-01-12--2018-01-19,tr,2BJkinM7TmdcsDGNvmZds8
2,Heyecanı Yok,Gazapizm,477254,2018-01-12--2018-01-19,tr,4sa0pXDdQkBZ1r5NZWQJyV
3,Gömün Beni Çukura,Eypio,418779,2018-01-12--2018-01-19,tr,5dLtu0lS5pP9ivMerk3uMA
4,rockstar,Post Malone,380382,2018-01-12--2018-01-19,tr,7wGoVu4Dady5GV0Sv4UIsx
5,Havana (feat. Young Thug),Camila Cabello,380023,2018-01-12--2018-01-19,tr,1rfofaqEpACxVEHIZBJe6W
6,İmkansızım,Ezhel,371662,2018-01-12--2018-01-19,tr,5Y3ZTBwRNrgj3AlXYASvDe
7,İki Aşık,Ersay Üner,356331,2018-01-12--2018-01-19,tr,5uyGQAXeaYJ7X7FcN8JJiq
8,Geceler,Ezhel,345115,2018-01-12--2018-01-19,tr,0R0o8uOkDz40XsR6uwThfQ
9,Şehrimin Tadı,Ezhel,301720,2018-01-12--2018-01-19,tr,5JaXKUIcNxwSuUyD4CsphL
10,New Rules,Dua Lipa,287942,2018-01-12--2018-01-19,tr,2ekn2ttSfGqwhhate0LSR0
11,Zalım,Ceylan Ertem,272523,2018-01-12--2018-01-19,tr,2tcTksk6qFbYSaZogGmgfO
12,Üzülmedin mi?,Simge,260664,2018-01-12--2018-01-19,tr,6Ld3bnYoP3JnmHMbtqMXYY
13,Him & I (with Halsey),G-Eazy,259939,2018-01-12--2018-01-19,tr,5k38wzpLb15YgncyWdTZE4
14,Raf,Deeperise,230360,2018-01-12--2018-01-19,tr,3xtNRxaUY785OdDP78yrpG
15,İnceden İnceden,Tuğba Yurt,226310,2018-01-12--2018-01-19,tr,2QD387ZxhUxTJQYLe11w9D
16,Dusk Till Dawn - Radio Edit,ZAYN,214632,2018-01-12--2018-01-19,tr,1j4kHkkpqZRBwE0A4CN4Yv
17,Muhbir,Sıla,213983,2018-01-12--2018-01-19,tr,7gPMdD5iUC8i3LsFxr01jw
18,Eteği Belinde,Manuş Baba,212815,2018-01-12--2018-01-19,tr,3lPrs1fylHXjPPfSioDXDg
19,Alo,Ezhel,209896,2018-01-12--2018-01-19,tr,3hdXIz9eY9u5QoEUkBs5yN
20,River (feat. Ed Sheeran),Eminem,202545,2018-01-12--2018-01-19,tr,5UEnHoDYpsxlfzWLZIc7LD
21,Shape of You,Ed Sheeran,201211,2018-01-12--2018-01-19,tr,7qiZfU4dY1lWllzX7mPBI3
22,Suspus,Ceza,196305,2018-01-12--2018-01-19,tr,1JvUmKSl9Mg6mQnmbjLYyz
23,Ne Farkeder,Yüzyüzeyken Konuşuruz,190498,2018-01-12--2018-01-19,tr,23KSyhPMqyUVrrLo300YiW
24,Wolves,Selena Gomez,187299,2018-01-12--2018-01-19,tr,7EmGUiUaOSGDnUUQUDrOXC
25,Beni Vur - Akustik,Deniz Tekin,186793,2018-01-12--2018-01-19,tr,3CPBzUohQI0fVoFFMSZouO
26,Ya Bu İşler Ne,Mabel Matiz,183975,2018-01-12--2018-01-19,tr,2qM7yVNhMjZGVvXhPQ5TFS
27,Sıfır Tolerans - Mahmut Orhan Remix,Hadise,181248,2018-01-12--2018-01-19,tr,5T8Fiq5hPALY1La8BqlYYn
28,Six Days War - Mahmut Orhan Remix,Colonel Bagshot,180419,2018-01-12--2018-01-19,tr,2PYUMHjLGRwYw4JEHlvMRu
29,Thunder,Imagine Dragons,176243,2018-01-12--2018-01-19,tr,0tKcYR2II1VCQWT79i5NrW
30,Gucci Gang,Lil Pump,171894,2018-01-12--2018-01-19,tr,43ZyHQITOjhciSUUNPVRHc
31,IDGAF,Dua Lipa,168376,2018-01-12--2018-01-19,tr,76cy1WJvNGJTj78UqeA5zr
32,Bazen (feat. Emel),Ezhel,168245,2018-01-12--2018-01-19,tr,6qkXhA5mVvG1DLyliRS1Yf
33,Believer,Imagine Dragons,165647,2018-01-12--2018-01-19,tr,0CcQNd8CINkwQfe1RDtGV6
34,Çok Çok,EDIS,164173,2018-01-12--2018-01-19,tr,045FwWlfQeVoaCNDvShp7m
35,Mihriban,Musa Eroğlu,164108,2018-01-12--2018-01-19,tr,04aT9IT86qeDS7p9DQGa6z
36,Kısır Döngü,Allame,156599,2018-01-12--2018-01-19,tr,1eIbAIEu7naoaUglyets9l
37,Dönersen Islık Çal,Manuş Baba,154728,2018-01-12--2018-01-19,tr,4JWAN1SBE6r2PHbXTHzQNx
38,When We're High,LP,154212,2018-01-12--2018-01-19,tr,7ohDUXs6SsU3XjTI9pcKTS
39,Attention,Charlie Puth,149590,2018-01-12--2018-01-19,tr,4iLqG9SeJSnt0cSPICSjxv
40,Ağlar mıyım? Ağlamam,Ziynet Sali,147231,2018-01-12--2018-01-19,tr,1KZ2GIHODjEmMoEGUcgZKB
41,Gel De Uyu,Soner Sarıkabadayı,145273,2018-01-12--2018-01-19,tr,17KyYoAhToJhgiFV2Bt41b
42,Lost on You,LP,145235,2018-01-12--2018-01-19,tr,3SqvR3HYLlCTYzbDXJ52OC
43,Koştum Hekime,Burak King,144770,2018-01-12--2018-01-19,tr,3SiNhRfBah30npNwyaoS22
44,Beni Sen İnandır,Pinhani,144750,2018-01-12--2018-01-19,tr,1rY4UYyZ3PcuYgWIddkcnL
45,Never Be the Same,Camila Cabello,144092,2018-01-12--2018-01-19,tr,4eWQlBRaTjPPUlzacqEeoQ
46,Vermem Seni Ellere - Yol Arkadaşım Orijinal Film Müziği,Oğuzhan Koç,143573,2018-01-12--2018-01-19,tr,5m0xKFMim80XzJ1HM0IBwW
47,Mi Gente,J Balvin,139863,2018-01-12--2018-01-19,tr,2rb5MvYT7ZIxbKW5hfcHx8
48,Dünya Gül Bana,No.1,138407,2018-01-12--2018-01-19,tr,73F8RdXGiuw93C7cEiPYIR
49,Sandal,Yüzyüzeyken Konuşuruz,134742,2018-01-12--2018-01-19,tr,2j69gw8fSyTDksf3glQaCH
50,Unforgettable,French Montana,130878,2018-01-12--2018-01-19,tr,3B54sVLJ402zGa6Xm4YGNe
51,Feel It Still,Portugal. The Man,128543,2018-01-12--2018-01-19,tr,6QgjcU0zLnzq5OrUoSZ3OK
52,Sen Olsan Bari,Aleyna Tilki,127566,2018-01-12--2018-01-19,tr,1BSsv8bVGdxyvW0NPiZy1A
53,Real Friends,Camila Cabello,125555,2018-01-12--2018-01-19,tr,3iq9nhbI8fcnNamxMft1uv
54,Yalnız Ölmek,Can Güngör,124052,2018-01-12--2018-01-19,tr,1jeezFfn6ccRfWEUlDT7gO
55,Ruleta (feat. Erik),INNA,123985,2018-01-12--2018-01-19,tr,58aGvhMxUHn88sbJpirQ1T
56,What Lovers Do (feat. SZA),Maroon 5,121224,2018-01-12--2018-01-19,tr,3hBBKuWJfxlIlnd9QFoC8k
57,All The Stars (with SZA),Kendrick Lamar,119825,2018-01-12--2018-01-19,tr,12SJpYZEdj4kzWZ8FPFg4Y
58,Küvet,Ezhel,119095,2018-01-12--2018-01-19,tr,1anxoJyGm5QOWpPtDkXIfc
59,Mask Off,Future,117107,2018-01-12--2018-01-19,tr,0VgkVdmE4gld66l8iyGjgx
60,Angela Merkel,Xir,112386,2018-01-12--2018-01-19,tr,1SUA45wCGWq7yyx7Nby58E
61,No Limit,G-Eazy,111626,2018-01-12--2018-01-19,tr,2DQ1ITjI0YoLFzuADN1ZBW
62,How Long,Charlie Puth,109486,2018-01-12--2018-01-19,tr,32DGGj6KlNuBr6WaqRxpxi
