Position,Track Name,Artist,Streams,date,region,spotify_id
1,Havana (feat. Young Thug),Camila Cabello,171141,2018-01-12--2018-01-19,tw,1rfofaqEpACxVEHIZBJe6W
2,Never Be the Same,Camila Cabello,166525,2018-01-12--2018-01-19,tw,4eWQlBRaTjPPUlzacqEeoQ
3,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,151839,2018-01-12--2018-01-19,tw,0OlnLZY4cmQzT6ZGttvWBM
4,Wolves,Selena Gomez,151272,2018-01-12--2018-01-19,tw,7EmGUiUaOSGDnUUQUDrOXC
5,Rewrite The Stars,Zac Efron,136738,2018-01-12--2018-01-19,tw,630sXRhIcfwr2e4RdNtjKN
6,連名帶姓,A-Mei Chang,124225,2018-01-12--2018-01-19,tw,2HVlPD7l46qVItJl26XsLi
7,Finesse - Remix; feat. Cardi B,Bruno Mars,119190,2018-01-12--2018-01-19,tw,3Vo4wInECJQuz9BIBMOu8i
8,This Is Me,Keala Settle,113886,2018-01-12--2018-01-19,tw,2xGjteMU3E1tkEPVFBO08U
9,Him & I (with Halsey),G-Eazy,111401,2018-01-12--2018-01-19,tw,5k38wzpLb15YgncyWdTZE4
10,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,107756,2018-01-12--2018-01-19,tw,5AEtlRudpgdT5FtNiuly6Y
11,River (feat. Ed Sheeran),Eminem,107411,2018-01-12--2018-01-19,tw,5UEnHoDYpsxlfzWLZIc7LD
12,What Lovers Do (feat. SZA),Maroon 5,106506,2018-01-12--2018-01-19,tw,3hBBKuWJfxlIlnd9QFoC8k
13,All The Stars (with SZA),Kendrick Lamar,101200,2018-01-12--2018-01-19,tw,12SJpYZEdj4kzWZ8FPFg4Y
14,追光者 - 電視劇夏至未至插曲,Yoyo Sham,98641,2018-01-12--2018-01-19,tw,66LKcDWIHdqWEaviZhcMTx
15,All Falls Down (feat. Juliander),Alan Walker,96597,2018-01-12--2018-01-19,tw,5yFSF6qQA1rcLsQRnBsZgb
16,Shape of You,Ed Sheeran,94411,2018-01-12--2018-01-19,tw,7qiZfU4dY1lWllzX7mPBI3
17,Something Just Like This,The Chainsmokers,94165,2018-01-12--2018-01-19,tw,6RUKPb4LETWmmr3iAEQktW
18,身後,A-Mei Chang,89813,2018-01-12--2018-01-19,tw,5AI9vJ8S0wtuqJNrgH1Oyi
19,如果雨之後,Eric Chou,89330,2018-01-12--2018-01-19,tw,6kabSi7XCHHGThNme6J2tL
20,I Miss You (feat. Julia Michaels),Clean Bandit,87537,2018-01-12--2018-01-19,tw,2xmrfQpmS2iJExTlklLoAL
21,偷故事的人,A-Mei Chang,86713,2018-01-12--2018-01-19,tw,4HAiI0c2CxB5iUFlo7cbbP
22,New Rules,Dua Lipa,84223,2018-01-12--2018-01-19,tw,2ekn2ttSfGqwhhate0LSR0
23,Too Good At Goodbyes,Sam Smith,83202,2018-01-12--2018-01-19,tw,1mXVgsBdtIVeCLJnSnmtdV
24,魚仔 - 電視劇<花甲男孩轉大人>主題曲,Crowd Lu,80318,2018-01-12--2018-01-19,tw,2sb6AZQLeoD3VgA4zglQB6
25,偉大的渺小,JJ Lin,80082,2018-01-12--2018-01-19,tw,1P2RxojrM3KEoKgM7pbc9i
26,My My My!,Troye Sivan,79843,2018-01-12--2018-01-19,tw,2Tq2R8sRftNEqdgJK5HadO
27,How Long,Charlie Puth,78707,2018-01-12--2018-01-19,tw,32DGGj6KlNuBr6WaqRxpxi
28,演員,Joker Xue,78439,2018-01-12--2018-01-19,tw,6LunoYd3xpZ19sICOXS8Xd
29,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,77547,2018-01-12--2018-01-19,tw,1bhUWB0zJMIKr9yVPrkEuI
30,Let You Down,NF,75795,2018-01-12--2018-01-19,tw,6mrKP2jyIQmM0rw6fQryjr
31,IDGAF,Dua Lipa,75508,2018-01-12--2018-01-19,tw,76cy1WJvNGJTj78UqeA5zr
32,黑夜問白天,JJ Lin,74275,2018-01-12--2018-01-19,tw,5KNh5YQgfduzV4028Cfh3J
33,Never Enough,Loren Allred,73565,2018-01-12--2018-01-19,tw,0Gl5s8IhMmQE5YQwM8Qx1J
34,For You (Fifty Shades Freed) (& Rita Ora),Liam Payne,73081,2018-01-12--2018-01-19,tw,5hM6sP0Gh1jD57drszNueC
35,Real Friends,Camila Cabello,72111,2018-01-12--2018-01-19,tw,3iq9nhbI8fcnNamxMft1uv
36,The Greatest Show,Hugh Jackman,69868,2018-01-12--2018-01-19,tw,43ay9lQZ5rfNcOOHhRF2cM
37,飄向北方,Namewee,69735,2018-01-12--2018-01-19,tw,5mS0BGxAAebA3amJg6LkVk
38,言不由衷,LaLa Hsu,69680,2018-01-12--2018-01-19,tw,3AIvgFB3YTo349ZlcfOnOo
39,Anywhere,Rita Ora,69036,2018-01-12--2018-01-19,tw,7EI6Iki24tBHAMxtb4xQN2
40,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,69008,2018-01-12--2018-01-19,tw,7iDa6hUg2VgEL1o1HjmfBn
41,Perfect,Ed Sheeran,68285,2018-01-12--2018-01-19,tw,0tgVpDi06FyKpA1z0VMD4v
42,光年之外 (電影 《Passengers》 中國區主題曲),G.E.M.,67808,2018-01-12--2018-01-19,tw,1bkvGbgK4HU8B7Ue4k7O7I
43,Filthy,Justin Timberlake,67177,2018-01-12--2018-01-19,tw,1L3NV7VrCiuE8C5QlhdeQL
44,She Loves Control,Camila Cabello,66277,2018-01-12--2018-01-19,tw,5HwnezK198pJCEj1l2Adjy
45,Dusk Till Dawn - Radio Edit,ZAYN,66236,2018-01-12--2018-01-19,tw,1j4kHkkpqZRBwE0A4CN4Yv
46,rockstar,Post Malone,65057,2018-01-12--2018-01-19,tw,7wGoVu4Dady5GV0Sv4UIsx
47,Silence,Marshmello,62627,2018-01-12--2018-01-19,tw,7vGuf3Y35N4wmASOKLUVVU
48,灰色,LaLa Hsu,60659,2018-01-12--2018-01-19,tw,1dIKxlEtHBABzk1DlRNCxc
49,說散就散,JC 陳詠桐,60172,2018-01-12--2018-01-19,tw,3CE1HoJJ0FVKo7JHsWIuvC
50,年輪說,Rainie Yang,59971,2018-01-12--2018-01-19,tw,51PYzHOuwTngW2whaPoYFW
51,刚好遇见你,Li Yugang,58742,2018-01-12--2018-01-19,tw,262Q20zX8BmAOIA6cFB2t9
52,Attention,Charlie Puth,57856,2018-01-12--2018-01-19,tw,4iLqG9SeJSnt0cSPICSjxv
53,在沒有你以後 (feat. 張智成),R-chord,57344,2018-01-12--2018-01-19,tw,4mDGkFRAqaYosoyWUI7QzM
54,後來的我們,Mayday,56331,2018-01-12--2018-01-19,tw,0qepAQsUGIzofBj82iP17C
55,你說了算,A-Mei Chang,55913,2018-01-12--2018-01-19,tw,6AajTEPliMJm4rJ9UMPUP2
56,家家酒,Jia Jia,55193,2018-01-12--2018-01-19,tw,6cqG6uyhuGDqsRyBwFrzxJ
57,壞的好人,A-Mei Chang,54895,2018-01-12--2018-01-19,tw,2GxItcqsVBFX2ZdZL1WO1y
58,MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS,54232,2018-01-12--2018-01-19,tw,7Ed6BkggCS2KaKY5YlINaF
59,Closer,The Chainsmokers,53518,2018-01-12--2018-01-19,tw,7BKLCZ1jbUBVqRi2FVlTVw
