Position,Track Name,Artist,Streams,date,region,spotify_id
1,X,KESI,802322,2019-01-11--2019-01-18,dk,7iNiRaxUOvd4seviLprqeb
2,Wow.,Post Malone,543953,2019-01-11--2019-01-18,dk,6MWtB6iiXyIwun0YzU6DFP
3,Kolde Nætter,Gilli,508666,2019-01-11--2019-01-18,dk,6OuXYdo2VotwVcV9kEBqS9
4,Shallow,Lady Gaga,464668,2019-01-11--2019-01-18,dk,2VxeLyX666F8uXCJ0dZF8B
5,Sweet but Psycho,Ava Max,457595,2019-01-11--2019-01-18,dk,25sgk305KZfyuqVBQIahim
6,Without Me,Halsey,409211,2019-01-11--2019-01-18,dk,5p7ujcrUXASCNwRaWNHR1C
7,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,378183,2019-01-11--2019-01-18,dk,3KkXRkHbMCARz0aVfEt68P
8,NÅR DU DØR,AMAL,312592,2019-01-11--2019-01-18,dk,4JP5xrNLDGEgPGaiGQ7yvV
9,JUNGLE,MellemFingaMuzik,305221,2019-01-11--2019-01-18,dk,0VWTSWZVask2dSMShSphvM
10,Pesto - Ternet Ninja,Anders Matthesen,304128,2019-01-11--2019-01-18,dk,21arwdlVJ7vEb6M1EUG2EB
11,Lost in the Fire,Gesaffelstein,297058,2019-01-11--2019-01-18,dk,7wFybC8jBH3zE139OpCtpG
12,Be Alright,Dean Lewis,292505,2019-01-11--2019-01-18,dk,3EPXxR3ImUwfayaurPi3cm
13,"thank u, next",Ariana Grande,286921,2019-01-11--2019-01-18,dk,2rPE9A1vEgShuZxxzR2tZH
14,Love Someone,Lukas Graham,284615,2019-01-11--2019-01-18,dk,3id2EVGKc3eFAMn9nFnB0r
15,Dancing With A Stranger (with Normani),Sam Smith,283511,2019-01-11--2019-01-18,dk,6Qs4SXO9dwPj5GKvVOv8Ki
16,Synger For Mig,Citybois,272925,2019-01-11--2019-01-18,dk,152DVKl9x5rMk7PWfHcxyr
17,Narcos,Jamaika,272236,2019-01-11--2019-01-18,dk,27h0bXSfmLjRu1jbTqgeEe
18,High Hopes,Panic! At The Disco,267168,2019-01-11--2019-01-18,dk,1rqqCSm0Qe4I9rUvWncaom
19,Ligemeget (feat. Fouli),Omar,243380,2019-01-11--2019-01-18,dk,6xWOpzURtPgFqFeGTu7uqC
20,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,237529,2019-01-11--2019-01-18,dk,27rdGxbavYJeBphck5MZAF
21,Eastside (with Halsey & Khalid),benny blanco,233749,2019-01-11--2019-01-18,dk,7FGq80cy8juXBCD2nrqdWU
22,Irony,Christopher,210142,2019-01-11--2019-01-18,dk,0UEszsTJ5SezkEQPeAM9S9
23,Saturday Nights,Khalid,207755,2019-01-11--2019-01-18,dk,5kfNriitmkNE8mUbZ7gbq8
24,Happier,Marshmello,200670,2019-01-11--2019-01-18,dk,2dpaYNEQHiRxtZbfNsse99
25,Uuh (feat. Branco & Kesi),Benny Jamz,199861,2019-01-11--2019-01-18,dk,1wS6eqgFznjq4P11vtBH7k
26,Folk Som Os,Hjalmer,199770,2019-01-11--2019-01-18,dk,6xJPEJfevLa5A8qo2aPxTX
27,Better,Khalid,197479,2019-01-11--2019-01-18,dk,6zeeWid2sgw4lap2jV61PZ
28,Ruin My Life,Zara Larsson,196124,2019-01-11--2019-01-18,dk,5tAa8Uaqr4VvA3693mbIhU
29,Always Remember Us This Way,Lady Gaga,190005,2019-01-11--2019-01-18,dk,2rbDhOo9Fh61Bbu23T2qCk
30,Ka Du Ik,Omar,186750,2019-01-11--2019-01-18,dk,4jm5AHENFhFjz5m9kXgwQ9
31,Body (feat. brando),Loud Luxury,186324,2019-01-11--2019-01-18,dk,7K7MUBCnzgBAvMVW2RTWNs
32,SICKO MODE,Travis Scott,184188,2019-01-11--2019-01-18,dk,2xLMifQCjDGFmkHkpNLD9h
33,Mama (feat. Kesi),Gilli,183614,2019-01-11--2019-01-18,dk,10CdS6lWzNxOaIX1PCuFW5
