Position,Track Name,Artist,Streams,date,region,spotify_id
1,Harmaa Rinne,Teflon Brothers,374925,2019-01-11--2019-01-18,fi,4RYtaqxjDJUOY2GrtkLTFf
2,Wow.,Post Malone,365673,2019-01-11--2019-01-18,fi,6MWtB6iiXyIwun0YzU6DFP
3,Sweet but Psycho,Ava Max,294146,2019-01-11--2019-01-18,fi,25sgk305KZfyuqVBQIahim
4,Pidä pää ylhääl (feat. Reeta),Roope Salminen & Koirat,286918,2019-01-11--2019-01-18,fi,5MbDEe6OHY5vhdpOnLUF9P
5,High Hopes,Panic! At The Disco,276292,2019-01-11--2019-01-18,fi,1rqqCSm0Qe4I9rUvWncaom
6,Lost in the Fire,Gesaffelstein,271064,2019-01-11--2019-01-18,fi,7wFybC8jBH3zE139OpCtpG
7,Without Me,Halsey,250456,2019-01-11--2019-01-18,fi,5p7ujcrUXASCNwRaWNHR1C
8,Tavallinen,Keko Salata,247261,2019-01-11--2019-01-18,fi,00WO1oBxZcj9aBoeiODXDx
9,Speechless (feat. Erika Sirola),Robin Schulz,242365,2019-01-11--2019-01-18,fi,1rCcsYnmqbMYdkG7kS9GC5
10,Dancing With A Stranger (with Normani),Sam Smith,223008,2019-01-11--2019-01-18,fi,6Qs4SXO9dwPj5GKvVOv8Ki
11,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,209821,2019-01-11--2019-01-18,fi,27rdGxbavYJeBphck5MZAF
12,"thank u, next",Ariana Grande,204771,2019-01-11--2019-01-18,fi,2rPE9A1vEgShuZxxzR2tZH
13,Äänii,Mouhous,203065,2019-01-11--2019-01-18,fi,7qCT0FQxJYTzpUyoC10GEQ
14,Kokonaan Mun,Adi L Hasla,199042,2019-01-11--2019-01-18,fi,7goUH0oJQ8iS0nVoQMRTuK
15,Veitsenterällä,Reino Nordin,194632,2019-01-11--2019-01-18,fi,0oBvt8baC0AaCjY1r9iI3x
16,ZEZE (feat. Travis Scott & Offset),Kodak Black,186478,2019-01-11--2019-01-18,fi,0FZ4Dmg8jJJAPJnvBIzD9z
17,Shallow,Lady Gaga,184894,2019-01-11--2019-01-18,fi,2VxeLyX666F8uXCJ0dZF8B
18,Lonkeronvärinen taivas,STIG,176724,2019-01-11--2019-01-18,fi,2gbmrsnfYif0tF3Gj5xpyt
19,Juon sut pois,Benjamin,172887,2019-01-11--2019-01-18,fi,5wPMYlLEaddsrnogZ0oCAt
20,Bad Liar,Imagine Dragons,167709,2019-01-11--2019-01-18,fi,2RSHsoi04658QL5xgQVov3
21,Diamond Heart,Alan Walker,167658,2019-01-11--2019-01-18,fi,0nrWZWkJM62ftQJSI8fDc0
22,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,167599,2019-01-11--2019-01-18,fi,3KkXRkHbMCARz0aVfEt68P
23,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,164849,2019-01-11--2019-01-18,fi,5JEx7HbmvHQQswJCsoo9rA
24,Giant (with Rag'n'Bone Man),Calvin Harris,162253,2019-01-11--2019-01-18,fi,5itOtNx0WxtJmi1TQ3RuRd
25,Different World (feat. CORSAK),Alan Walker,158579,2019-01-11--2019-01-18,fi,4heFQCyiW0RUEX1Q1lb008
26,Be Alright,Dean Lewis,156015,2019-01-11--2019-01-18,fi,3EPXxR3ImUwfayaurPi3cm
27,Kiss and Make Up,Dua Lipa,155013,2019-01-11--2019-01-18,fi,13hvHEstJ4sNbzdroPrPI3
28,Suomen muotoisen pilven alla,Arttu Wiskari,152884,2019-01-11--2019-01-18,fi,2lvZlCIDkDHWc2Q9Y51GUJ
29,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,149371,2019-01-11--2019-01-18,fi,2LskIZrCeLxRvCiGP8gxlh
30,"Fire On Fire - From ""Watership Down""",Sam Smith,149256,2019-01-11--2019-01-18,fi,5rFj8OzffT0iggSjcBaeND
31,Palavaa vettä,Lauri Tähkä,148968,2019-01-11--2019-01-18,fi,44BHl3n0aFIzMhz1bv7jUG
32,Tehdään jotain kaunista,Happoradio,145838,2019-01-11--2019-01-18,fi,6MkDqxB9BUQ0klSOZjaQrZ
33,Falling Down - Bonus Track,Lil Peep,142687,2019-01-11--2019-01-18,fi,4jvjzW7Hm0yK4LvvE0Paz9
34,Nostalgiaa,Evelina,139075,2019-01-11--2019-01-18,fi,1P371Va3PjCvUQEyepocHQ
35,when the party's over,Billie Eilish,136050,2019-01-11--2019-01-18,fi,14JzyD6FlBD5z0wV5P07YI
36,HENDRIX (feat. Aleksanteri Hakaniemi),Lukas Leon,135255,2019-01-11--2019-01-18,fi,2ng98WyIOWGTCm71TXB4gi
37,Loppuun Asti,Elastinen,134831,2019-01-11--2019-01-18,fi,2DZEeHq94eVl4b2pkDuu5G
38,XTC,Lukas Leon,129296,2019-01-11--2019-01-18,fi,17OUBczN4xbjuCDcx0xmXL
39,lovely,Billie Eilish,128861,2019-01-11--2019-01-18,fi,1NJcg626wLln4pGHpiV7mf
40,SICKO MODE,Travis Scott,127485,2019-01-11--2019-01-18,fi,2xLMifQCjDGFmkHkpNLD9h
41,Jättiläinen,Pyhimys,124513,2019-01-11--2019-01-18,fi,3bEc0e8OHd73jfhSjXMoKb
42,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,124130,2019-01-11--2019-01-18,fi,4w8niZpiMy6qz1mntFA5uM
43,Kuuma,BESS,119266,2019-01-11--2019-01-18,fi,5HRACecbFjvjmGVstMayEf
44,Sun Kyydissä,Mäkki,116863,2019-01-11--2019-01-18,fi,4rBvqjf38GjJ5WM2ZqfoID
45,Vihasenakin Ihana,MEGA-Ertsi,116123,2019-01-11--2019-01-18,fi,4JVYIxsNlmvIH0WyXhXqQW
46,Better Now,Post Malone,115104,2019-01-11--2019-01-18,fi,7dt6x5M1jzdTEt8oCbisTK
47,Ota varovasti,Vesta,114473,2019-01-11--2019-01-18,fi,46wULtWD6WHdbYNXk2KLMJ
48,Lumi,Gasellit,114217,2019-01-11--2019-01-18,fi,4rs41LGZD258N9nOf9a3rg
49,Suomi,Yksi Totuus,112255,2019-01-11--2019-01-18,fi,0gIspzcmfUWg5tbXB9Qavx
50,In My Mind,Dynoro,111322,2019-01-11--2019-01-18,fi,0E9ZjEAyAwOXZ7wJC0PD33
51,Look Back at It,A Boogie Wit da Hoodie,108555,2019-01-11--2019-01-18,fi,3Ol2xnObFdKV9pmRD2t9x8
52,Lucid Dreams,Juice WRLD,103850,2019-01-11--2019-01-18,fi,285pBltuF7vW8TeWk8hdRR
53,whoa (mind in awe),XXXTENTACION,103231,2019-01-11--2019-01-18,fi,7pdF27mSDuPWhppnHAmWHa
54,Mo Bamba,Sheck Wes,103200,2019-01-11--2019-01-18,fi,1xzBco0xcoJEDXktl7Jxrr
55,rockstar (feat. 21 Savage),Post Malone,97046,2019-01-11--2019-01-18,fi,0e7ipj03S05BNilyu5bRzt
56,Ruin My Life,Zara Larsson,96835,2019-01-11--2019-01-18,fi,5tAa8Uaqr4VvA3693mbIhU
57,Palasina,Vilma Alina,96544,2019-01-11--2019-01-18,fi,4zdSpPwmYl5s4kcfPPRn72
58,Going Bad (feat. Drake),Meek Mill,94583,2019-01-11--2019-01-18,fi,2IRZnDFmlqMuOrYOLnZZyc
59,SAD!,XXXTENTACION,93310,2019-01-11--2019-01-18,fi,3ee8Jmje8o58CHK66QrVC2
60,Solo (feat. Demi Lovato),Clean Bandit,91595,2019-01-11--2019-01-18,fi,3NuK5xMlSlB6K2Qp16zf3h
61,Happier,Marshmello,91566,2019-01-11--2019-01-18,fi,2dpaYNEQHiRxtZbfNsse99
62,Mul ei oo lapsuudensankarii,Vesala,88313,2019-01-11--2019-01-18,fi,5TQi38BdiVSRgcavKGenIf
63,Let Me Down Slowly,Alec Benjamin,88307,2019-01-11--2019-01-18,fi,2qxmye6gAegTMjLKEBoR3d
64,Vierasta Miestä,Mäkki,87293,2019-01-11--2019-01-18,fi,6tQaEvr7u3NLRGqaIBjb0V
65,Let You Love Me,Rita Ora,87251,2019-01-11--2019-01-18,fi,5Fla3zyOCcIRqrDoKLU0DP
66,"Tule lähemmäs Beibi 2018 (feat. Jenni Vartiainen, Vesala & SANNI)",Kaija Koo,83672,2019-01-11--2019-01-18,fi,2uH6hlfi6k8ZUU78bYm9D4
67,Eastside (with Halsey & Khalid),benny blanco,81191,2019-01-11--2019-01-18,fi,7FGq80cy8juXBCD2nrqdWU
68,Roses (with Juice WRLD feat. Brendon Urie),benny blanco,80701,2019-01-11--2019-01-18,fi,1KVczjazCcCCgM3gXXUl47
69,Bohemian Rhapsody - Remastered 2011,Queen,80564,2019-01-11--2019-01-18,fi,7tFiyTwD0nx5a1eklYtX2J
70,Kevät,Adi L Hasla,78231,2019-01-11--2019-01-18,fi,7xrMRHovEoiZ72bQxDuev8
71,Darkside,Alan Walker,78208,2019-01-11--2019-01-18,fi,6SRWhUJcD2YKahCwHavz3X
72,Ota Shottii Ku Sotilas,Lord Est,76478,2019-01-11--2019-01-18,fi,6NZlAeHQlU5ZzcBjq0gvoz
73,Grip,Seeb,75501,2019-01-11--2019-01-18,fi,3gicyfiEVMGONgzygpWjNT
74,Suojelusenkeli (feat. Petra),Arttu Lindeman,74182,2019-01-11--2019-01-18,fi,74ttBoVCAYbtaAyw8z1rst
75,Butterfly Doors,Lil Pump,72548,2019-01-11--2019-01-18,fi,4NdXQlDTzxbOMkzJGWFtz3
76,Natural,Imagine Dragons,72266,2019-01-11--2019-01-18,fi,2FY7b99s15jUprqC0M5NCT
77,Dracula,SANNI,71768,2019-01-11--2019-01-18,fi,7mYWSi9EXUnXdp6uPNqCPv
78,Popkorni,JVG,71510,2019-01-11--2019-01-18,fi,7m101w73Md4O2MDgxjSwop
79,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,71343,2019-01-11--2019-01-18,fi,3DGar7krWlmrXRFHBcQF6z
80,Taste (feat. Offset),Tyga,70841,2019-01-11--2019-01-18,fi,5IaHrVsrferBYDm0bDyABy
81,Ignite (feat. SEUNGRI),K-391,70053,2019-01-11--2019-01-18,fi,0UMLejbZXf7YVgnfxURvVr
82,Solmussa (feat. BEHM),Pikku G,69868,2019-01-11--2019-01-18,fi,6uiksUqzgp6WyHHNsgTBHt
83,Happy Now,Kygo,69580,2019-01-11--2019-01-18,fi,14sOS5L36385FJ3OL8hew4
84,Esson baariin,Poju,68930,2019-01-11--2019-01-18,fi,3AVOlegKLZkDe3GSnM8XpF
85,Polta se pois,TIPPA,68555,2019-01-11--2019-01-18,fi,4AbSADTsmaUIqyXk64m8c9
86,Drip Too Hard (Lil Baby & Gunna),Lil Baby,68107,2019-01-11--2019-01-18,fi,78QR3Wp35dqAhFEc2qAGjE
87,Plää plää plää,Mira Luoti,68001,2019-01-11--2019-01-18,fi,6r2HPn1r67iGjx319QtLGr
88,Promises (with Sam Smith),Calvin Harris,67722,2019-01-11--2019-01-18,fi,5N5k9nd479b1xpDZ4usjrg
89,Planeetat,Ida Paul & Kalle Lindroth,67654,2019-01-11--2019-01-18,fi,5T0V37aEWjTmR1EKDVrCT1
90,Say My Name,David Guetta,66752,2019-01-11--2019-01-18,fi,0YammaEkYSeo9vQYZ1OwS6
91,Youngblood,5 Seconds of Summer,66499,2019-01-11--2019-01-18,fi,2iUXsYOEPhVqEBwsqP70rE
92,Bäng Bäng typerä sydän (feat. eetu),Ellinoora,65814,2019-01-11--2019-01-18,fi,5g4KyDNIMfAVhrMh3zJGRH
93,Mun sydän,Kaija Koo,65610,2019-01-11--2019-01-18,fi,1wPQdWUqzqCRKjdP5zOXQy
94,Moonlight,XXXTENTACION,65518,2019-01-11--2019-01-18,fi,0JP9xo3adEtGSdUEISiszL
95,Mulkut - Vain Elämää Kausi 9,Pyhimys,65407,2019-01-11--2019-01-18,fi,2kby1hpTWuRzTfM20T9mrq
96,hope is a dangerous thing for a woman like me to have - but I have it,Lana Del Rey,64736,2019-01-11--2019-01-18,fi,1PfUKiMDKIlPEF9FfdJawc
97,Jacuzzi,SANNI,64143,2019-01-11--2019-01-18,fi,20HxqjE03spuS8c4mz6HDz
98,KIKA,6ix9ine,64064,2019-01-11--2019-01-18,fi,6Gy7rXB6Ku5vIWC7WGWsl3
99,Yhen elämän juttu,ABREU,63252,2019-01-11--2019-01-18,fi,0IXLyheDMnOQ4mmTrScjAR
100,WHEN I WAS OLDER - Music Inspired By The Film ROMA,Billie Eilish,63103,2019-01-11--2019-01-18,fi,7tGEAA1f8MydT7eVbbO9Zy
101,Leave Me Alone,Flipp Dinero,62454,2019-01-11--2019-01-18,fi,14mHfNsSHN0FbLftyjrV9g
102,Jocelyn Flores,XXXTENTACION,61737,2019-01-11--2019-01-18,fi,7m9OqQk4RVRkw9JJdeAw96
103,How You Love Me (feat. Conor Maynard & Snoop Dogg),Hardwell,60848,2019-01-11--2019-01-18,fi,0cge96qsW6ifXppeiiRIGd
104,Lucky You (feat. Joyner Lucas),Eminem,60399,2019-01-11--2019-01-18,fi,60SdxE8apGAxMiRrpbmLY0
105,Iron Sky,Sunrise Avenue,59481,2019-01-11--2019-01-18,fi,5l1bAjDmqj4e3nBZCqqDqs
106,Nössö,Petri Nygård,59379,2019-01-11--2019-01-18,fi,0gySKxqIOHTVD3YObTsJug
107,idontwannabeyouanymore,Billie Eilish,58831,2019-01-11--2019-01-18,fi,40T5GIqQ1CegGm2PTEl8Bu
108,Mitä Mä Malagas?,Gasellit,58792,2019-01-11--2019-01-18,fi,4Q1ixIPlK5hR16qZgRNKcN
109,Tyhjää (feat. Jenna Alexa),Juno,58595,2019-01-11--2019-01-18,fi,3O8wREdosF8kHyd6KgUpEj
110,Perutaan Häät - Vain Elämää Kausi 9,Teflon Brothers,57829,2019-01-11--2019-01-18,fi,6lz4EdYV6oWYdAADxOleEz
111,Rikkinäinen Prinsessa,Nikke Ankara,57612,2019-01-11--2019-01-18,fi,5eKpOnlRJC70PfzunR3UWO
112,Forza Italia,Spekti,57508,2019-01-11--2019-01-18,fi,7JEv9Hj3qJbFqcNqwsVMUh
113,Faded,Alan Walker,57065,2019-01-11--2019-01-18,fi,698ItKASDavgwZ3WjaWjtz
114,Always Remember Us This Way,Lady Gaga,56741,2019-01-11--2019-01-18,fi,2rbDhOo9Fh61Bbu23T2qCk
115,no tears left to cry,Ariana Grande,56622,2019-01-11--2019-01-18,fi,2qT1uLXPVPzGgFOx4jtEuo
116,imagine,Ariana Grande,56621,2019-01-11--2019-01-18,fi,0todbbT9g5uQGbeFCiBf2F
117,Better,Khalid,56543,2019-01-11--2019-01-18,fi,6zeeWid2sgw4lap2jV61PZ
118,Ei suomalaiset tanssi,Haloo Helsinki!,55747,2019-01-11--2019-01-18,fi,36knYZNgwftBUhMZOzmtmE
119,Edelleen Edellä,MKDMSK,55557,2019-01-11--2019-01-18,fi,72nkkzVRNM4QFqtndfdPtn
120,Wake Up in the Sky,Gucci Mane,55533,2019-01-11--2019-01-18,fi,2G1tXoGBaEMJ7FKGnkf6ud
121,Saturday Nights,Khalid,55185,2019-01-11--2019-01-18,fi,5kfNriitmkNE8mUbZ7gbq8
122,Supervoimii,Elastinen,55180,2019-01-11--2019-01-18,fi,7rehjyv0IQ0WQoB6wZRfnY
123,Aina ku Aira (Vain elämää kausi 9),Ellinoora,54950,2019-01-11--2019-01-18,fi,7Heo6ppyE5geqOCIbcArIl
124,Made in Heaven,Jenni Vartiainen,54811,2019-01-11--2019-01-18,fi,5V7QO5EdUB91ksf7FgBcCc
125,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,54730,2019-01-11--2019-01-18,fi,5Z01UMMf7V1o0MzF86s6WJ
126,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,54689,2019-01-11--2019-01-18,fi,7ycWLEP1GsNjVvcjawXz3z
127,Believer,Imagine Dragons,54580,2019-01-11--2019-01-18,fi,0pqnGHJpmpxLKifKRmU6WP
128,Kaksi ihmistä,Haloo Helsinki!,54207,2019-01-11--2019-01-18,fi,4h1nlsgutqwzk2ZqYaZdOF
129,I'm a Mess,Bebe Rexha,54122,2019-01-11--2019-01-18,fi,04ZTP5KsCypmtCmQg5tH9R
130,MIA (feat. Drake),Bad Bunny,53877,2019-01-11--2019-01-18,fi,116H0KvKr2Zl4RPuVBruDO
131,Se Olit Aina Sinä,Ressu Redford,53737,2019-01-11--2019-01-18,fi,4rbpq6L1OGHugLNYJg6ngd
132,Valoo,Kasmir,53636,2019-01-11--2019-01-18,fi,0a4gZac0HfpUPcPID1PaUn
133,Turvallista sotaa,Vesta,53436,2019-01-11--2019-01-18,fi,4b2Va2IKYugIdfuw6LnsDr
134,Kuka Antais Pukille?,Teflon Brothers,53137,2019-01-11--2019-01-18,fi,7zyofXGhXgaqT8fhvLufdf
135,Love Someone,Lukas Graham,53071,2019-01-11--2019-01-18,fi,3id2EVGKc3eFAMn9nFnB0r
