Position,Track Name,Artist,Streams,date,region,spotify_id
1,Madrina,Maes,1391010,2019-01-11--2019-01-18,fr,4miiqu2dxOhBguQDHtqssH
2,Tout oublier,Angèle,1356451,2019-01-11--2019-01-18,fr,06O3hxudc6V0BOuoCFSy71
3,Sale mood,Bramsito,1326125,2019-01-11--2019-01-18,fr,7oxSh7uiB74lWGVIv2Qtlm
4,1000°C,Lomepal,1234536,2019-01-11--2019-01-18,fr,6l7PqWKsgm4NLomOE7Veou
5,Binks to Binks 6,Ninho,1090945,2019-01-11--2019-01-18,fr,4zrEmFA3R3JngfWR70zu3w
6,Trop beau,Lomepal,1060029,2019-01-11--2019-01-18,fr,4WB9OeauHXnGOMUK4s80gM
7,On Fleek,Eva,998282,2019-01-11--2019-01-18,fr,4MSFxqmkiMxq7e61jTqgqt
8,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,987006,2019-01-11--2019-01-18,fr,4w8niZpiMy6qz1mntFA5uM
9,MIA (feat. Drake),Bad Bunny,941380,2019-01-11--2019-01-18,fr,116H0KvKr2Zl4RPuVBruDO
10,Jaloux,Dadju,913352,2019-01-11--2019-01-18,fr,0QnEGWGECQUPuE3m8L6hdT
11,Sweet but Psycho,Ava Max,909633,2019-01-11--2019-01-18,fr,25sgk305KZfyuqVBQIahim
12,La dot,Aya Nakamura,844603,2019-01-11--2019-01-18,fr,3aRgAfrt6aQW8IimLq2aVG
13,Rêves bizarres (feat. Damso),Orelsan,836078,2019-01-11--2019-01-18,fr,7lhuM9WUqdThw72dCBRmQW
14,High Hopes,Panic! At The Disco,833217,2019-01-11--2019-01-18,fr,1rqqCSm0Qe4I9rUvWncaom
15,Shallow,Lady Gaga,829227,2019-01-11--2019-01-18,fr,2VxeLyX666F8uXCJ0dZF8B
16,Say My Name,David Guetta,818919,2019-01-11--2019-01-18,fr,0YammaEkYSeo9vQYZ1OwS6
17,KYLL,Medine,782233,2019-01-11--2019-01-18,fr,1VYTP4prOc62xQe1KWf3S5
18,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,773490,2019-01-11--2019-01-18,fr,2LskIZrCeLxRvCiGP8gxlh
19,Copines,Aya Nakamura,755930,2019-01-11--2019-01-18,fr,1Bhm5HNO1cq8olDbBmokyL
20,Billets verts,Maes,747584,2019-01-11--2019-01-18,fr,3uTNli5uz5rNOqD6qZFi8L
21,In My Mind,Dynoro,713503,2019-01-11--2019-01-18,fr,0E9ZjEAyAwOXZ7wJC0PD33
22,Solo,Lacrim,712760,2019-01-11--2019-01-18,fr,0VUHYCOoWRgUV9uhdXo52u
23,"thank u, next",Ariana Grande,691095,2019-01-11--2019-01-18,fr,2rPE9A1vEgShuZxxzR2tZH
24,Air Max,Rim'K,672623,2019-01-11--2019-01-18,fr,6qk9lEM6UIxNbAuI0PpOLu
25,Moonlight,XXXTENTACION,663170,2019-01-11--2019-01-18,fr,0JP9xo3adEtGSdUEISiszL
26,Sheitana (feat. Ninho),Hornet La Frappe,652596,2019-01-11--2019-01-18,fr,1GOIfWQmA3Tp6GlwcCd35K
27,Ma 6t a craqué (feat. Ninho),Kpoint,627204,2019-01-11--2019-01-18,fr,2NUIWpL6IsYGkwfSN7basS
28,Mauvais,GLK,611717,2019-01-11--2019-01-18,fr,3ABwQntK8i49EGOd3SSj7Q
29,Je te le donne (en duo avec Slimane),Vitaa,584586,2019-01-11--2019-01-18,fr,4yjqpsuyrbjyXHB6rC0mWo
30,Ramenez la coupe à la maison,Vegedream,576060,2019-01-11--2019-01-18,fr,1m0UFnuTktOkksvjbF9z0m
31,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,575012,2019-01-11--2019-01-18,fr,3KkXRkHbMCARz0aVfEt68P
32,Bae,RK,565639,2019-01-11--2019-01-18,fr,5as5HurTt4u7BuFIT5j8am
33,Promises (with Sam Smith),Calvin Harris,558068,2019-01-11--2019-01-18,fr,5N5k9nd479b1xpDZ4usjrg
34,Tiago,Kendji Girac,554501,2019-01-11--2019-01-18,fr,63eflEIBAF5VmO5AdVuZF7
35,BB,Booba,551110,2019-01-11--2019-01-18,fr,0YCMh9HQkRpAtkj0i1sZqH
36,X-men,Lomepal,548986,2019-01-11--2019-01-18,fr,6A3bL3MlU0l54kKlgpw0UT
37,À nos souvenirs,Trois Cafés Gourmands,545970,2019-01-11--2019-01-18,fr,4h3SqMd5F16XJVdGp5fsZG
38,Later Bitches,The Prince Karma,543081,2019-01-11--2019-01-18,fr,0uL88Lp7C6i2WGHub1zrJ9
39,Ma che beauté,Jul,542906,2019-01-11--2019-01-18,fr,0XXooKwo0L6gxn0OxZFDXw
40,Happier,Marshmello,541529,2019-01-11--2019-01-18,fr,2dpaYNEQHiRxtZbfNsse99
41,Sucette (feat. Niska),Aya Nakamura,535708,2019-01-11--2019-01-18,fr,3qHs2PoiJMPvdxgyRSvqAl
42,Ta reine,Angèle,518306,2019-01-11--2019-01-18,fr,3iXhLi33EpUfcOwasC8un1
