Position,Track Name,Artist,Streams,date,region,spotify_id
1,Næsta,JóiPé,62133,2019-01-11--2019-01-18,is,1YC7llsHtz0ScDtiLEVHZG
2,Shallow,Lady Gaga,45944,2019-01-11--2019-01-18,is,2VxeLyX666F8uXCJ0dZF8B
3,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,43290,2019-01-11--2019-01-18,is,3KkXRkHbMCARz0aVfEt68P
4,Wow.,Post Malone,40091,2019-01-11--2019-01-18,is,6MWtB6iiXyIwun0YzU6DFP
5,Upp Til Hópa,Herra Hnetusmjör,35309,2019-01-11--2019-01-18,is,4OSdc34FbsNO5PmjuPDXRS
6,Keyra,Herra Hnetusmjör,32274,2019-01-11--2019-01-18,is,0RqvzJVa3bWHIzif8hPfVJ
7,"thank u, next",Ariana Grande,28157,2019-01-11--2019-01-18,is,2rPE9A1vEgShuZxxzR2tZH
8,Sweet but Psycho,Ava Max,26779,2019-01-11--2019-01-18,is,25sgk305KZfyuqVBQIahim
9,Always Remember Us This Way,Lady Gaga,25917,2019-01-11--2019-01-18,is,2rbDhOo9Fh61Bbu23T2qCk
10,Veist Af Mér,Huginn,24648,2019-01-11--2019-01-18,is,6FRoRSdJqU7wFb8XW7B0oR
11,Without Me,Halsey,24037,2019-01-11--2019-01-18,is,5p7ujcrUXASCNwRaWNHR1C
12,Vay,Aron Can,23924,2019-01-11--2019-01-18,is,0Hz8VBLbdH3nIX6XKrOpvI
13,Dancing With A Stranger (with Normani),Sam Smith,23397,2019-01-11--2019-01-18,is,6Qs4SXO9dwPj5GKvVOv8Ki
14,Eina Sem Ég Vil,ClubDub,23375,2019-01-11--2019-01-18,is,52oeIc4mgVs9J0o0QuZEag
15,Hata að hafa þig ekki hér (SAMSUNG SESSJÓN),Friðrik Dór,23163,2019-01-11--2019-01-18,is,2VvV5w6oTybLoO9pcRpgTz
16,00:26,JóiPé,23005,2019-01-11--2019-01-18,is,7tp89E9Daxb7xoLggXzWU7
17,Vangaveltur,Herra Hnetusmjör,22830,2019-01-11--2019-01-18,is,71dVVh8uCnG4u6GhCoXitz
18,when the party's over,Billie Eilish,22167,2019-01-11--2019-01-18,is,14JzyD6FlBD5z0wV5P07YI
19,Flippa Flippa,Yung Nigo Drippin',21823,2019-01-11--2019-01-18,is,3dPOcIqGzN8ksssaeJPkod
20,ZEZE (feat. Travis Scott & Offset),Kodak Black,21089,2019-01-11--2019-01-18,is,0FZ4Dmg8jJJAPJnvBIzD9z
21,SICKO MODE,Travis Scott,20785,2019-01-11--2019-01-18,is,2xLMifQCjDGFmkHkpNLD9h
22,Lost in the Fire,Gesaffelstein,20597,2019-01-11--2019-01-18,is,7wFybC8jBH3zE139OpCtpG
23,Hetjan (feat. Herra Hnetusmjör),Huginn,20398,2019-01-11--2019-01-18,is,7GM3D2CyLuQ3QwsO7ZIee6
24,Mo Bamba,Sheck Wes,19940,2019-01-11--2019-01-18,is,1xzBco0xcoJEDXktl7Jxrr
25,Be Alright,Dean Lewis,19764,2019-01-11--2019-01-18,is,3EPXxR3ImUwfayaurPi3cm
26,In My Mind,Dynoro,19583,2019-01-11--2019-01-18,is,0E9ZjEAyAwOXZ7wJC0PD33
27,High Hopes,Panic! At The Disco,18035,2019-01-11--2019-01-18,is,1rqqCSm0Qe4I9rUvWncaom
28,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,17800,2019-01-11--2019-01-18,is,27rdGxbavYJeBphck5MZAF
29,Lætur mig,GDRN,17548,2019-01-11--2019-01-18,is,0bnCxmktCsoiwb1Witnnrd
30,Djamm Queen,Séra Bjössi,17202,2019-01-11--2019-01-18,is,09yIPZYopQjhfVyp5ULXzS
31,Gengur Alltaf Vel,Yung Nigo Drippin',16729,2019-01-11--2019-01-18,is,1ciZ98FGfssRQeoWdyK95f
32,"Fire On Fire - From ""Watership Down""",Sam Smith,16470,2019-01-11--2019-01-18,is,5rFj8OzffT0iggSjcBaeND
33,Í Átt Að Tunglinu,JóiPé,16252,2019-01-11--2019-01-18,is,4wBY9TNUoxtKiRh4JjAS7x
34,Kem Eftir Fimm,Yung Nigo Drippin',16114,2019-01-11--2019-01-18,is,0e1O9L2YYn1kb7JDaNPJ0N
35,Promises (with Sam Smith),Calvin Harris,15702,2019-01-11--2019-01-18,is,5N5k9nd479b1xpDZ4usjrg
36,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,15421,2019-01-11--2019-01-18,is,2LskIZrCeLxRvCiGP8gxlh
37,Kuldakast,Yung Nigo Drippin',15259,2019-01-11--2019-01-18,is,3lv4Hx5zokuY9lJt7FZO68
38,Hver Er Munurinn,Yung Nigo Drippin',15096,2019-01-11--2019-01-18,is,7IV17HOAQWxAOL4WcuItIS
39,Butterfly Doors,Lil Pump,15040,2019-01-11--2019-01-18,is,4NdXQlDTzxbOMkzJGWFtz3
40,Með þér,Jón Jónsson,14763,2019-01-11--2019-01-18,is,0fYnjjXtO2bSkrNrVdv8LI
41,Bohemian Rhapsody - Remastered 2011,Queen,14739,2019-01-11--2019-01-18,is,7tFiyTwD0nx5a1eklYtX2J
42,whoa (mind in awe),XXXTENTACION,14538,2019-01-11--2019-01-18,is,7pdF27mSDuPWhppnHAmWHa
43,Hvað Er Planið,24/7,14154,2019-01-11--2019-01-18,is,6BmmlIH5j3nR5Cxzc4RG74
44,Going Bad (feat. Drake),Meek Mill,14044,2019-01-11--2019-01-18,is,2IRZnDFmlqMuOrYOLnZZyc
45,Feimin(n),BRÍET,13941,2019-01-11--2019-01-18,is,3vzAXUZHQCiuHTOUeG5pKC
46,Better Now,Post Malone,13916,2019-01-11--2019-01-18,is,7dt6x5M1jzdTEt8oCbisTK
