Position,Track Name,Artist,Streams,date,region,spotify_id
1,今夜このまま,Aimyon,356088,2019-01-11--2019-01-18,jp,0sSG83UxY15ft1E2N9THYF
2,マリーゴールド,Aimyon,318951,2019-01-11--2019-01-18,jp,0jWVUKsIoyo3zw64RaEWYg
3,君はロックを聴かない,Aimyon,269145,2019-01-11--2019-01-18,jp,59eluCMn0XbOWqeWQ91FTM
4,愛を伝えたいだとか,Aimyon,226357,2019-01-11--2019-01-18,jp,0N8Xztr4pBHJ7V0moJWhbO
5,U.S.A.,DA PUMP,210872,2019-01-11--2019-01-18,jp,5HXCP7b8k64WdZ1G0Bbc13
6,打上花火,DAOKO,209794,2019-01-11--2019-01-18,jp,4IouQaO9GkaHC7AtMErdSa
7,Bohemian Rhapsody - Remastered 2011,Queen,187768,2019-01-11--2019-01-18,jp,7tFiyTwD0nx5a1eklYtX2J
8,HANABI,Mr.Children,174236,2019-01-11--2019-01-18,jp,77lmDcPPyY6kK907gdgC6i
9,アイノカタチ,MISIA,173616,2019-01-11--2019-01-18,jp,76flsS3UnNr7UQIz6JmVT3
10,Shape of You,Ed Sheeran,168952,2019-01-11--2019-01-18,jp,7qiZfU4dY1lWllzX7mPBI3
11,Stand Out Fit In,ONE OK ROCK,168129,2019-01-11--2019-01-18,jp,1vVm7saDXHk99SU5BFUDpp
12,"thank u, next",Ariana Grande,165379,2019-01-11--2019-01-18,jp,2rPE9A1vEgShuZxxzR2tZH
13,さよならエレジー,Masaki Suda,162649,2019-01-11--2019-01-18,jp,0QKmcZNAST4GytJYmkN05D
14,貴方解剖純愛歌〜死ね〜,Aimyon,161027,2019-01-11--2019-01-18,jp,2H3bOGOE50qEo5wAYoJiwL
15,ワタリドリ,[Alexandros],156097,2019-01-11--2019-01-18,jp,0ve9Tpz8Yw0I4eXhWsy21o
16,366日,HY,155986,2019-01-11--2019-01-18,jp,22aZD7yaGYfhgCYazL4nbc
17,愛をこめて花束を,Superfly,155141,2019-01-11--2019-01-18,jp,7CmWXD3w1xOO53AAO4LRVQ
18,YES or YES,TWICE,153285,2019-01-11--2019-01-18,jp,184XtKkzoAl83quIarUAJP
19,小さな恋のうた,MONGOL800,153208,2019-01-11--2019-01-18,jp,7swIKcU4tFRk4iFJpi12Fg
20,恋音と雨空,AAA,150063,2019-01-11--2019-01-18,jp,46gSY0U7ZZCmd7EuJuo15N
21,Shallow,Lady Gaga,138532,2019-01-11--2019-01-18,jp,2VxeLyX666F8uXCJ0dZF8B
22,生きていたんだよな,Aimyon,138417,2019-01-11--2019-01-18,jp,69jrtjVjyzRyPCDg0dHYCX
23,満月の夜なら,Aimyon,131446,2019-01-11--2019-01-18,jp,6UrocZrUx9Nb490ACF5UBP
24,帰り道は遠回りしたくなる,Nogizaka46,130135,2019-01-11--2019-01-18,jp,08XBLK5BlN5ZBLukMO49jy
25,僕のこと,Mrs. GREEN APPLE,129554,2019-01-11--2019-01-18,jp,27VzBf5TfcPrhoylqxQ46v
26,Somebody To Love - Remastered 2011,Queen,128308,2019-01-11--2019-01-18,jp,6cFZ4PLC19taNlpl9pbGMf
27,Wherever you are,ONE OK ROCK,127955,2019-01-11--2019-01-18,jp,0YAMQSmHk6BSUGTYpaoqTJ
28,Story,AI,124955,2019-01-11--2019-01-18,jp,0V2axJ946WH1vt9t5SGMLV
29,Change,ONE OK ROCK,124598,2019-01-11--2019-01-18,jp,6KBj27Bko8gh71gpx0PzIG
30,ハナミズキ,Yo Hitoto,123372,2019-01-11--2019-01-18,jp,4PqDkR6YM80Sy590Qsy6mm
31,Stand By You,Official HIGE DANdism,121414,2019-01-11--2019-01-18,jp,0XvOvUbvflmXxU8yqnF8Cp
32,新宝島,Sakanaction,121241,2019-01-11--2019-01-18,jp,6ODZT1FGTE2q4two05giS1
33,まっしろ,Vickeblanka,119353,2019-01-11--2019-01-18,jp,2PwOOgg8PavBNIWsPLIkr3
34,Another One Bites The Dust - Remastered 2011,Queen,118872,2019-01-11--2019-01-18,jp,5vdp5UmvTsnMEMESIF2Ym7
35,What is Love?,TWICE,118066,2019-01-11--2019-01-18,jp,5Ek40FyMPprcvtyZDjqylX
36,Don't Stop Me Now - Remastered 2011,Queen,114981,2019-01-11--2019-01-18,jp,5T8EDUDqKcs6OSOwEsfqG7
37,My Boo,Shota Shimizu,113974,2019-01-11--2019-01-18,jp,2gasr6aemUqZIBBN05EO03
38,奏(かなで),Sukima Switch,113940,2019-01-11--2019-01-18,jp,5RbMlPFL4gVyEHW2lEOuzG
39,鱗(うろこ),Motohiro Hata,112897,2019-01-11--2019-01-18,jp,4IubwxgmXeZtDtYjTaT9gN
40,We Will Rock You - Remastered,Queen,112886,2019-01-11--2019-01-18,jp,4pbJqGIASGPr0ZpGpnWkDn
41,愛唄,GReeeeN,111671,2019-01-11--2019-01-18,jp,7iXHLtPosbHvglVSJ4rxLq
42,キセキ,GReeeeN,111532,2019-01-11--2019-01-18,jp,7ztdl6cnbJgHRdMkKldkts
43,Symphony (feat. Zara Larsson),Clean Bandit,111074,2019-01-11--2019-01-18,jp,72gv4zhNvRVdQA0eOenCal
44,Killer Queen - Remastered 2011,Queen,109828,2019-01-11--2019-01-18,jp,7GqWnsKhMtEW0nzki5o0d8
45,シンクロニシティ,Nogizaka46,106237,2019-01-11--2019-01-18,jp,77m6PiiPEQGUxjNELzMyiF
46,花束を君に,Hikaru Utada,105696,2019-01-11--2019-01-18,jp,31yv1hR9gw1WSEmtqsaZbD
47,Stay,Zedd,103198,2019-01-11--2019-01-18,jp,0I20rLT2MJDhcF96AjbNYo
48,君に届け,flumpool,102169,2019-01-11--2019-01-18,jp,0kA7SWxWPYqSyIbMl51X5b
49,Under Pressure - Remastered 2011,Queen,97985,2019-01-11--2019-01-18,jp,2fuCquhmrzHpu5xcA1ci9x
50,Closer,The Chainsmokers,97331,2019-01-11--2019-01-18,jp,7BKLCZ1jbUBVqRi2FVlTVw
51,no tears left to cry,Ariana Grande,95149,2019-01-11--2019-01-18,jp,2qT1uLXPVPzGgFOx4jtEuo
52,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,94630,2019-01-11--2019-01-18,jp,3KkXRkHbMCARz0aVfEt68P
53,どんなときも。,Noriyuki Makihara,92474,2019-01-11--2019-01-18,jp,4feDzcxtXRU8clyOluco5Y
54,Happier,Marshmello,90656,2019-01-11--2019-01-18,jp,2dpaYNEQHiRxtZbfNsse99
55,ふたりの世界,Aimyon,89117,2019-01-11--2019-01-18,jp,5xJgF12zKoxMqayN8YldLB
56,LIKEY - Japanese ver.,TWICE,88638,2019-01-11--2019-01-18,jp,446I5WnjEJvkvmGhUf5IzT
57,Dancing With A Stranger (with Normani),Sam Smith,86654,2019-01-11--2019-01-18,jp,6Qs4SXO9dwPj5GKvVOv8Ki
58,青と夏,Mrs. GREEN APPLE,86188,2019-01-11--2019-01-18,jp,0a3587n25Xhw098UeEbeJq
59,Waste It On Me (feat. BTS),Steve Aoki,84611,2019-01-11--2019-01-18,jp,2J0X46UkpfLlWbuCXFgDLr
60,La Vie en Rose,IZ*ONE,83486,2019-01-11--2019-01-18,jp,1fRaznZsAB2i63TtmYv2Hc
61,Without Me,Halsey,82781,2019-01-11--2019-01-18,jp,5p7ujcrUXASCNwRaWNHR1C
62,The Middle,Zedd,82122,2019-01-11--2019-01-18,jp,09IStsImFySgyp0pIQdqAc
63,AM11:00,HY,80787,2019-01-11--2019-01-18,jp,6YcvfXy4wTvjaIniIBuh30
64,Rise,Jonas Blue,78776,2019-01-11--2019-01-18,jp,3KLygy1YWhmrQx0GRs7IOx
65,Wolves,Selena Gomez,78611,2019-01-11--2019-01-18,jp,0tBbt8CrmxbjRP0pueQkyU
66,Sweet but Psycho,Ava Max,77749,2019-01-11--2019-01-18,jp,25sgk305KZfyuqVBQIahim
67,Wow.,Post Malone,77165,2019-01-11--2019-01-18,jp,6MWtB6iiXyIwun0YzU6DFP
68,WE DO,Ikimonogakari,76362,2019-01-11--2019-01-18,jp,27UJxpZmZwr7ruF0R7m4Hy
69,High Hopes,Panic! At The Disco,76214,2019-01-11--2019-01-18,jp,1rqqCSm0Qe4I9rUvWncaom
70,FAKE LOVE,BTS,75272,2019-01-11--2019-01-18,jp,3aW0ds4A4tSQDIp75FqWTo
71,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,74788,2019-01-11--2019-01-18,jp,4w8niZpiMy6qz1mntFA5uM
72,2002,Anne-Marie,74633,2019-01-11--2019-01-18,jp,2BgEsaKNfHUdlh97KmvFyo
73,WanteD! WanteD!,Mrs. GREEN APPLE,74135,2019-01-11--2019-01-18,jp,7M3TZDUNvaNBo0qtWVaZif
74,Dance The Night Away,TWICE,74094,2019-01-11--2019-01-18,jp,281tmNk46TBQS9ACYMLYyA
75,ロビンソン,SPITZ,73994,2019-01-11--2019-01-18,jp,5YP52gnoypy9H1jg5RIwUW
76,漂白,Aimyon,73536,2019-01-11--2019-01-18,jp,5lP7oqYYLpIhUv33KdS4HX
77,さよならの前に,AAA,73266,2019-01-11--2019-01-18,jp,7vwXjDrZT2mqiFynlEwwgG
78,LIKEY,TWICE,73162,2019-01-11--2019-01-18,jp,4Eb5cLWxKQUoUQaKUYSRgI
79,獣ゆく細道,Sheena Ringo,72983,2019-01-11--2019-01-18,jp,3UJIq4L2TI6vdKyW0ed0e4
80,The Beginning,ONE OK ROCK,72854,2019-01-11--2019-01-18,jp,4f3nDjgqXurMryYBSp0TZD
81,カタオモイ,Aimer,72841,2019-01-11--2019-01-18,jp,6g93YtKKHU2H1qIqhLIL0Y
82,ノーダウト,Official HIGE DANdism,72538,2019-01-11--2019-01-18,jp,5DMEvbg3gUmiR5HIBWdveV
83,HOME,Shota Shimizu,72262,2019-01-11--2019-01-18,jp,5PF0IW8iHqOcTWAyRqiDzb
84,RAIN,SEKAI NO OWARI,71883,2019-01-11--2019-01-18,jp,40cPkRjw5aLQIOjaqgUVnB
85,I LOVE YOU,Chris Hart,70703,2019-01-11--2019-01-18,jp,0mf82mK5aeZm4vN9HM2InQ
86,一緒にいこう,GReeeeN,70389,2019-01-11--2019-01-18,jp,7zFmKU0eBvvyo1NC9iDcl5
87,Girls Like You (feat. Cardi B),Maroon 5,70236,2019-01-11--2019-01-18,jp,7fa9MBXhVfQ8P8Df9OEbD8
88,Don't Think Twice,Hikaru Utada,69981,2019-01-11--2019-01-18,jp,0u2DOByL0CghKtcvSkQAiQ
89,君が好き,Shota Shimizu,69412,2019-01-11--2019-01-18,jp,5Bg0HkfaRYRx8A7tMrjT9Z
90,innocent world,Mr.Children,69387,2019-01-11--2019-01-18,jp,70xcWRujaf34LOu0Vdubtp
91,Slumberland,King Gnu,69268,2019-01-11--2019-01-18,jp,2sjLKDbVSbXXipEvGT7yc6
92,トリコ,Nissy,69074,2019-01-11--2019-01-18,jp,04vWAqnvToa2v4D4A2yhzH
93,NAO,HY,68229,2019-01-11--2019-01-18,jp,2PeCrMLUayMPZnLZPkJxOJ
94,マトリョーシカ,Aimyon,67939,2019-01-11--2019-01-18,jp,4E88SLBhlKjBh2cpIHrYso
95,We Are The Champions - Remastered 2011,Queen,66832,2019-01-11--2019-01-18,jp,1lCRw5FEZ1gPDNPzy1K4zW
96,Blizzard,Daichi Miura,66791,2019-01-11--2019-01-18,jp,7b740cSOAeaW9SWiD1G823
