Position,Track Name,Artist,Streams,date,region,spotify_id
1,Wow.,Post Malone,744192,2019-01-11--2019-01-18,no,6MWtB6iiXyIwun0YzU6DFP
2,Lost Control,Alan Walker,676265,2019-01-11--2019-01-18,no,0lG6QM1jjbbX5UUn3DPmrZ
3,Sweet but Psycho,Ava Max,656559,2019-01-11--2019-01-18,no,25sgk305KZfyuqVBQIahim
4,Shallow,Lady Gaga,625678,2019-01-11--2019-01-18,no,2VxeLyX666F8uXCJ0dZF8B
5,Without Me,Halsey,584410,2019-01-11--2019-01-18,no,5p7ujcrUXASCNwRaWNHR1C
6,Diamond Heart,Alan Walker,520959,2019-01-11--2019-01-18,no,0nrWZWkJM62ftQJSI8fDc0
7,Lay By Me,Ruben,515192,2019-01-11--2019-01-18,no,4l6boTiX3Erh3HYpKOa0D6
8,Be Alright,Dean Lewis,490761,2019-01-11--2019-01-18,no,3EPXxR3ImUwfayaurPi3cm
9,when the party's over,Billie Eilish,465939,2019-01-11--2019-01-18,no,14JzyD6FlBD5z0wV5P07YI
10,"thank u, next",Ariana Grande,455778,2019-01-11--2019-01-18,no,2rPE9A1vEgShuZxxzR2tZH
11,Let Me Down Slowly,Alec Benjamin,447102,2019-01-11--2019-01-18,no,2qxmye6gAegTMjLKEBoR3d
12,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,432731,2019-01-11--2019-01-18,no,3KkXRkHbMCARz0aVfEt68P
13,Dancing With A Stranger (with Normani),Sam Smith,421294,2019-01-11--2019-01-18,no,6Qs4SXO9dwPj5GKvVOv8Ki
14,Happy Now,Kygo,414011,2019-01-11--2019-01-18,no,14sOS5L36385FJ3OL8hew4
15,High Hopes,Panic! At The Disco,387083,2019-01-11--2019-01-18,no,1rqqCSm0Qe4I9rUvWncaom
16,Love Someone,Lukas Graham,386531,2019-01-11--2019-01-18,no,3id2EVGKc3eFAMn9nFnB0r
17,"Fire On Fire - From ""Watership Down""",Sam Smith,347949,2019-01-11--2019-01-18,no,5rFj8OzffT0iggSjcBaeND
18,Bad Liar,Imagine Dragons,340179,2019-01-11--2019-01-18,no,2RSHsoi04658QL5xgQVov3
19,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,335834,2019-01-11--2019-01-18,no,2LskIZrCeLxRvCiGP8gxlh
20,Lost in the Fire,Gesaffelstein,328816,2019-01-11--2019-01-18,no,7wFybC8jBH3zE139OpCtpG
21,Emotion,Astrid S,324285,2019-01-11--2019-01-18,no,09rj7jigutgAkveJGpSDBT
22,Balkong,Unge Ferrari,321807,2019-01-11--2019-01-18,no,6sWtJNUxC5SYEKQ0zFGeNT
23,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,321293,2019-01-11--2019-01-18,no,27rdGxbavYJeBphck5MZAF
24,Trouble,CLMD,294161,2019-01-11--2019-01-18,no,2b2Ji9u1hRwfvO5dk1ixYi
25,Grip,Seeb,286322,2019-01-11--2019-01-18,no,3gicyfiEVMGONgzygpWjNT
26,Ruin My Life,Zara Larsson,280189,2019-01-11--2019-01-18,no,5tAa8Uaqr4VvA3693mbIhU
27,Eastside (with Halsey & Khalid),benny blanco,277943,2019-01-11--2019-01-18,no,7FGq80cy8juXBCD2nrqdWU
28,Not Gonna Cry,Emma Steinbakken,270339,2019-01-11--2019-01-18,no,4qT3t47e2tqOPa5HVtUKey
29,Saturday Nights,Khalid,262881,2019-01-11--2019-01-18,no,5kfNriitmkNE8mUbZ7gbq8
30,Always Remember Us This Way,Lady Gaga,261735,2019-01-11--2019-01-18,no,2rbDhOo9Fh61Bbu23T2qCk
31,Happier,Marshmello,258354,2019-01-11--2019-01-18,no,2dpaYNEQHiRxtZbfNsse99
32,Before I Go,Øystein Hegvik,258289,2019-01-11--2019-01-18,no,4MCgkMjV0hK7vaaQI9jR7e
33,True Colors (feat. Maya Avedis),XO Cupid,253376,2019-01-11--2019-01-18,no,4AMY0oGSt7vZwgxDnHCJBr
34,Someone You Loved,Lewis Capaldi,251879,2019-01-11--2019-01-18,no,2TIlqbIneP0ZY1O0EzYLlc
35,REMEDY,Alesso,243665,2019-01-11--2019-01-18,no,6jreFSOTUAViWjKyzOC4Kg
36,ZEZE (feat. Travis Scott & Offset),Kodak Black,242049,2019-01-11--2019-01-18,no,0FZ4Dmg8jJJAPJnvBIzD9z
37,Giant (with Rag'n'Bone Man),Calvin Harris,238288,2019-01-11--2019-01-18,no,5itOtNx0WxtJmi1TQ3RuRd
38,Darkside,Alan Walker,234953,2019-01-11--2019-01-18,no,6SRWhUJcD2YKahCwHavz3X
39,Different World (feat. CORSAK),Alan Walker,233416,2019-01-11--2019-01-18,no,4heFQCyiW0RUEX1Q1lb008
40,SICKO MODE,Travis Scott,231033,2019-01-11--2019-01-18,no,2xLMifQCjDGFmkHkpNLD9h
41,Mother,Ina Wroldsen,227947,2019-01-11--2019-01-18,no,3nHtJ3HtqFomq1Qz7OzRR0
42,In My Mind,Dynoro,226380,2019-01-11--2019-01-18,no,0E9ZjEAyAwOXZ7wJC0PD33
43,Vi Kanke Være Venner,Unge Ferrari,225790,2019-01-11--2019-01-18,no,0S0n02HdUboPxJSpDtOqS5
44,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,221333,2019-01-11--2019-01-18,no,6mQLN3zRtAp6ovjusyYKrV
45,lovely,Billie Eilish,220558,2019-01-11--2019-01-18,no,1NJcg626wLln4pGHpiV7mf
46,Butterfly Doors,Lil Pump,219066,2019-01-11--2019-01-18,no,4NdXQlDTzxbOMkzJGWFtz3
47,Roses (with Juice WRLD feat. Brendon Urie),benny blanco,215095,2019-01-11--2019-01-18,no,1KVczjazCcCCgM3gXXUl47
48,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,205616,2019-01-11--2019-01-18,no,4w8niZpiMy6qz1mntFA5uM
49,Mo Bamba,Sheck Wes,199450,2019-01-11--2019-01-18,no,1xzBco0xcoJEDXktl7Jxrr
50,Better Now,Post Malone,184613,2019-01-11--2019-01-18,no,7dt6x5M1jzdTEt8oCbisTK
51,Going Bad (feat. Drake),Meek Mill,179334,2019-01-11--2019-01-18,no,2IRZnDFmlqMuOrYOLnZZyc
52,Closer,Astrid S,178666,2019-01-11--2019-01-18,no,0beQOSJ5aUkQky6XYlC8m6
53,Ignite (feat. SEUNGRI),K-391,171967,2019-01-11--2019-01-18,no,0UMLejbZXf7YVgnfxURvVr
54,Let You Love Me,Rita Ora,155619,2019-01-11--2019-01-18,no,5Fla3zyOCcIRqrDoKLU0DP
55,La det swinge,Hver gang vi møtes,154440,2019-01-11--2019-01-18,no,6N62U0Rw1idbr0p4Lo4o97
56,Look Back at It,A Boogie Wit da Hoodie,153410,2019-01-11--2019-01-18,no,3Ol2xnObFdKV9pmRD2t9x8
57,SAD!,XXXTENTACION,153076,2019-01-11--2019-01-18,no,3ee8Jmje8o58CHK66QrVC2
58,La meg være i fred,Kjartan Lauritzen,149571,2019-01-11--2019-01-18,no,5sqHj02NSEs25s3eAcxwjn
59,Hope,The Chainsmokers,147367,2019-01-11--2019-01-18,no,4BiiOzZCrXEzHRLYcYFiD5
60,Lucid Dreams,Juice WRLD,147232,2019-01-11--2019-01-18,no,285pBltuF7vW8TeWk8hdRR
61,Youngblood,5 Seconds of Summer,143446,2019-01-11--2019-01-18,no,2iUXsYOEPhVqEBwsqP70rE
62,Ikke som de andre,Sondre Justad,142974,2019-01-11--2019-01-18,no,3lYlbSVfxrSDE7FwO5fzzI
63,imagine,Ariana Grande,140441,2019-01-11--2019-01-18,no,0todbbT9g5uQGbeFCiBf2F
64,KIKA,6ix9ine,140403,2019-01-11--2019-01-18,no,6Gy7rXB6Ku5vIWC7WGWsl3
65,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,135875,2019-01-11--2019-01-18,no,5JEx7HbmvHQQswJCsoo9rA
66,Natural,Imagine Dragons,134056,2019-01-11--2019-01-18,no,2FY7b99s15jUprqC0M5NCT
67,Say Love,James TW,133710,2019-01-11--2019-01-18,no,6r3JPmyGO3Gbpyx1FD5txL
68,Bagasje,Unge Ferrari,133027,2019-01-11--2019-01-18,no,7cfivmjZltpH75EZseJhwx
69,Drip Too Hard (Lil Baby & Gunna),Lil Baby,130989,2019-01-11--2019-01-18,no,78QR3Wp35dqAhFEc2qAGjE
70,Promises (with Sam Smith),Calvin Harris,130348,2019-01-11--2019-01-18,no,5N5k9nd479b1xpDZ4usjrg
71,rockstar (feat. 21 Savage),Post Malone,129724,2019-01-11--2019-01-18,no,0e7ipj03S05BNilyu5bRzt
72,monster,21 Savage,125523,2019-01-11--2019-01-18,no,2FUNBaa5DwItJtYEBgAblU
