Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shallow,Lady Gaga,431084,2019-01-11--2019-01-18,pl,2VxeLyX666F8uXCJ0dZF8B
2,High Hopes,Panic! At The Disco,415981,2019-01-11--2019-01-18,pl,1rqqCSm0Qe4I9rUvWncaom
3,Sweet but Psycho,Ava Max,396039,2019-01-11--2019-01-18,pl,25sgk305KZfyuqVBQIahim
4,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,354012,2019-01-11--2019-01-18,pl,27rdGxbavYJeBphck5MZAF
5,Bestia,Young Igi,333381,2019-01-11--2019-01-18,pl,5b9RQx9CLZRZcO1W8PvmcB
6,Chłopaki nie płaczą,Bedoes,324707,2019-01-11--2019-01-18,pl,4glBRF3uJCf3bTG4hhIhpn
7,Without Me,Halsey,316695,2019-01-11--2019-01-18,pl,5p7ujcrUXASCNwRaWNHR1C
8,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,284666,2019-01-11--2019-01-18,pl,5JEx7HbmvHQQswJCsoo9rA
9,Toy Story,Bedoes,280034,2019-01-11--2019-01-18,pl,1bpjCGto1wM6A8UOmX32o4
10,"Bad Boy (feat. Beteo, ReTo & Siles)",Kubi Producent,278976,2019-01-11--2019-01-18,pl,7r3oAZHfnjuPNOsp8S8NvP
11,Małomiasteczkowy,Dawid Podsiadło,269653,2019-01-11--2019-01-18,pl,77vLpSAMNzeYL4EBeZxWqI
12,"Survive (feat. Emeli Sandé, Gucci Mane)",Don Diablo,264601,2019-01-11--2019-01-18,pl,1gnKUue6F9gXXHQshCBwEs
13,"thank u, next",Ariana Grande,262449,2019-01-11--2019-01-18,pl,2rPE9A1vEgShuZxxzR2tZH
14,Początek,Męskie Granie Orkiestra 2018,255630,2019-01-11--2019-01-18,pl,6TfeSFGbqxGjIKuKLQOsKC
15,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,249500,2019-01-11--2019-01-18,pl,3KkXRkHbMCARz0aVfEt68P
16,Be Alright,Dean Lewis,248239,2019-01-11--2019-01-18,pl,3EPXxR3ImUwfayaurPi3cm
17,Hinata,Szpaku,244524,2019-01-11--2019-01-18,pl,77URj1iTPpQ2UF0RCqadLv
