Position,Track Name,Artist,Streams,date,region,spotify_id
1,Adan y Eva,Paulo Londra,229396,2019-01-11--2019-01-18,py,6FyRXC8tJUh863JCkyWqtk
2,Desconocidos,Mau y Ricky,212321,2019-01-11--2019-01-18,py,0s5DNDV6LAKn2u2Ufa3VjQ
3,Calma - Remix,Pedro Capó,169709,2019-01-11--2019-01-18,py,5iwz1NiezX7WWjnCgY5TH4
4,Amanece,Anuel AA,169516,2019-01-11--2019-01-18,py,1LiN0Z98FkR1t0m8KmLcAH
5,Ella Quiere Beber - Remix,Anuel AA,150966,2019-01-11--2019-01-18,py,2cYnZNzFRFK0H7vSNxPsUq
6,Bubalu,Becky G,150879,2019-01-11--2019-01-18,py,7dNwJbsT0sg1le5kVugGJb
7,Adictiva,Daddy Yankee,144431,2019-01-11--2019-01-18,py,6MJUCumnQsQEKbCy28tbCP
8,MIA (feat. Drake),Bad Bunny,141803,2019-01-11--2019-01-18,py,116H0KvKr2Zl4RPuVBruDO
9,PPP,Kevin Roldan,112314,2019-01-11--2019-01-18,py,1DcxnVNFAyVl2sDQ646pXS
10,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,111185,2019-01-11--2019-01-18,py,4w8niZpiMy6qz1mntFA5uM
11,Solo de Mi,Bad Bunny,103506,2019-01-11--2019-01-18,py,4uP3pUP18ennmz0tb3GphR
12,Reggaeton,J Balvin,103113,2019-01-11--2019-01-18,py,2D3z17LBMJ2HEHeBFFjTLi
13,Cuando Te Besé,Becky G,102852,2019-01-11--2019-01-18,py,2XXMDz7SPZ4mSFN1PXfHUy
14,Imposible,Luis Fonsi,102106,2019-01-11--2019-01-18,py,3ao3OVxHlb3C08vAaApUlm
15,Culpables,KAROL G,96588,2019-01-11--2019-01-18,py,6q8Lb50EtqNeeJXXe8mMAH
16,Ya No Tiene Novio,Sebastian Yatra,91299,2019-01-11--2019-01-18,py,7uQmJ1jgNzBpATSoWKSPFu
17,Vaina Loca,Ozuna,91166,2019-01-11--2019-01-18,py,48zFZh27QU5qsrBjn4C2FA
18,A Solas - Remix,Lunay,88881,2019-01-11--2019-01-18,py,3T5QSIgoaPIh07SwixRDp7
19,Sola,Manuel Turizo,80107,2019-01-11--2019-01-18,py,675w3ACw5xZR3ODhUJlEVN
20,Te Vi,Piso 21,80055,2019-01-11--2019-01-18,py,059bcIhyc2SBwm6sw2AZzd
21,Ibiza,Ozuna,76963,2019-01-11--2019-01-18,py,1h9P5WJwyvK8OB7O2YiXgp
22,Puntos Suspensivos,Piso 21,75946,2019-01-11--2019-01-18,py,04cd1MHVq1D8v1nuTZoCdv
23,Hipócrita,Anuel AA,75409,2019-01-11--2019-01-18,py,6XBjCetHKdO5L9cwMDVffw
24,Asesina - Remix,Brytiago,73814,2019-01-11--2019-01-18,py,59PYgzOiOjGDzjDT5N5oOX
25,NI BIEN NI MAL,Bad Bunny,72017,2019-01-11--2019-01-18,py,278kSqsZIiYp8p3QjYAqa8
26,La Forma en Que Me Miras,Super Yei,71155,2019-01-11--2019-01-18,py,6t94PGXYAuo9GbJEnMpPcW
27,Créeme,KAROL G,69893,2019-01-11--2019-01-18,py,1mT47pKLXUwPYGwB91GcNz
28,Secreto,Anuel AA,69445,2019-01-11--2019-01-18,py,5W83ErFkO3aKAIS1WMi6u0
29,Mala Mía,Maluma,66818,2019-01-11--2019-01-18,py,62o8KoI44JfN7aYxgTnPvh
30,Quiere Beber,Anuel AA,65806,2019-01-11--2019-01-18,py,3rPAD722s5FFNnwjC91t7Z
31,Devuelveme,Ozuna,63322,2019-01-11--2019-01-18,py,5uvucCRBTkxv7VxIDLOqe7
32,BEBE,6ix9ine,62960,2019-01-11--2019-01-18,py,4KkUjFkcQvGvWekl8RATDn
33,Mocca - Remix,Lalo Ebratt,61508,2019-01-11--2019-01-18,py,1usoXi4f0BnMART4uActEA
34,Amigos Con Derechos,Reik,59922,2019-01-11--2019-01-18,py,2zDj4WjbNDmrRL6Z4YjjCA
35,MALA,6ix9ine,59731,2019-01-11--2019-01-18,py,0LQ1J0BCzA2qnAgp9MkkNE
36,No Es Justo,J Balvin,57321,2019-01-11--2019-01-18,py,5qFeMRz4TvetPmzjre9Dq7
37,Ni Gucci Ni Prada,Kenny Man,55851,2019-01-11--2019-01-18,py,32lexhcz93AinKK0qLTZaZ
38,Baila Baila Baila,Ozuna,53970,2019-01-11--2019-01-18,py,7uH27oIt4a6cIFCA8ZPcyG
39,Luz Apaga,Ozuna,53473,2019-01-11--2019-01-18,py,5Q3e16qE1RE5oilN3ukasm
40,Tanta Falta,Bryant Myers,50416,2019-01-11--2019-01-18,py,0sPTfDSZgE3KvcvqaKPtEx
41,Mocca,Lalo Ebratt,50398,2019-01-11--2019-01-18,py,0NKoPGc72yUKTIneVhFfg1
42,La Mentira,Brytiago,50100,2019-01-11--2019-01-18,py,59xZZeF6Ve0ZfCd7AcFvXr
43,Baby,Amenazzy,46712,2019-01-11--2019-01-18,py,2IA8cFA46DkjgbsRG7kKbp
44,Coolant - Remix,Farruko,46054,2019-01-11--2019-01-18,py,4lnVigld8DSkCx0RWXiuKd
45,La player (Bandolera),Zion & Lennox,45909,2019-01-11--2019-01-18,py,0VKkyBKCXyR99navhVRqcP
46,Agora é Tudo Meu,DENNIS,44266,2019-01-11--2019-01-18,py,5yH8pYxNckOU1cxfPsMIaz
47,Te Boté - Remix,Nio Garcia,43454,2019-01-11--2019-01-18,py,3V8UKqhEK5zBkBb6d6ub8i
48,Miss Lonely - Dimelo Flow Remix,Sech,41208,2019-01-11--2019-01-18,py,3tRtlS9YUyYqVgqO3iM4bW
49,Me Vas a Extrañar - En Vivo,Damas Gratis,40971,2019-01-11--2019-01-18,py,3CACzG9I3AoKUKA3ODE5zW
50,Por Perro,Sebastian Yatra,40892,2019-01-11--2019-01-18,py,2alIsNw1mqEShbWyO1HXZZ
51,Callao,Wisin & Yandel,40318,2019-01-11--2019-01-18,py,3gu0fRSgFuc4FmrtIv0DnC
52,Brindemos,Anuel AA,40261,2019-01-11--2019-01-18,py,7LeQ55Z5jPBB0ggYJtAiYO
53,Si Estuviésemos Juntos,Bad Bunny,34522,2019-01-11--2019-01-18,py,35wvL50xvKpCHEJPxLOLPI
54,Chica Paranormal,Paulo Londra,32793,2019-01-11--2019-01-18,py,7zAGi1cps7yYhAajGXlFTH
55,Déjalo,Nacho,32242,2019-01-11--2019-01-18,py,4VTTpwcAxVSQNzEZLi75d0
56,Me Voy,Rombai,30472,2019-01-11--2019-01-18,py,22sESxzbY1O1E19xjOTaYf
57,Está Rico,Marc Anthony,28653,2019-01-11--2019-01-18,py,2wRkBumdItthjYP9XknImg
58,O Bebê,MC Kevinho,28143,2019-01-11--2019-01-18,py,51HrDv54pSe1IqynORNXBd
59,Nena Maldición (feat. Lenny Tavárez),Paulo Londra,27705,2019-01-11--2019-01-18,py,2aMVyJSuDFFL1sTjJnvk7X
60,Sin Culpa (feat. DrefQuila),Duki,27394,2019-01-11--2019-01-18,py,3dLiBBKbeUIhzGNeuo5JGS
61,Llegaste Tú,CNCO,27376,2019-01-11--2019-01-18,py,6tT4Ks1N04Ut0lSQ3xjSaZ
62,Mala Mía - Remix,Maluma,26773,2019-01-11--2019-01-18,py,6sAwJPgaSQ9Q4XGnbx1gZb
63,Ta To Gucci (Remix),Cauty,26250,2019-01-11--2019-01-18,py,7kuRvjpeUcn6qNV9IBXC2C
64,Reggaetón en lo Oscuro,Wisin & Yandel,25442,2019-01-11--2019-01-18,py,7LLXLd0pisbEAdIVK502VM
65,Sin Pijama,Becky G,25415,2019-01-11--2019-01-18,py,2ijef6ni2amuunRoKTlgww
66,No Me Acuerdo,Thalia,24239,2019-01-11--2019-01-18,py,1G586ld1gbaECg4Bc6w40O
67,No Te Creas Tan Importante - En Vivo,Damas Gratis,24100,2019-01-11--2019-01-18,py,3trowLiYwwOoiwapLISNyk
68,Dentro do Carro,MC Kevin o Chris,23887,2019-01-11--2019-01-18,py,6FWMkcaZyKS8I60zR6ro7h
69,Darte Remix,Alex Rose,23794,2019-01-11--2019-01-18,py,6xqbec9MHRmW7qtEINAlRx
70,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,23612,2019-01-11--2019-01-18,py,1j6xOGusnyXq3l6IryKF3G
71,"thank u, next",Ariana Grande,23522,2019-01-11--2019-01-18,py,2rPE9A1vEgShuZxxzR2tZH
72,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,23510,2019-01-11--2019-01-18,py,5q2JbCNi4FcnglgPfxcV65
73,Culpables,Manuel Turizo,23504,2019-01-11--2019-01-18,py,3RD0PGolM0mETGHaprwgMn
74,Te Amo,Piso 21,23241,2019-01-11--2019-01-18,py,2RVrdr062uLFxXwIxwdXPH
75,Estamos Bien,Bad Bunny,22432,2019-01-11--2019-01-18,py,2OWVCFTolecLiGZPquvWvT
76,Epa Wei,Danny Ocean,22342,2019-01-11--2019-01-18,py,2QmsKag0YaqhAbpR9Nwmpn
77,Replay,Maikel Delacalle,22244,2019-01-11--2019-01-18,py,07w6jp4Fq8GGqhLoDYoVkb
78,Girls Like You (feat. Cardi B),Maroon 5,22136,2019-01-11--2019-01-18,py,7fa9MBXhVfQ8P8Df9OEbD8
79,Ella Fuma,Plan B,21720,2019-01-11--2019-01-18,py,4IYxcqhcFFJ025qfWJeulF
80,Tú Y Yo (feat. Nicky Jam & Justin Quiles),Valentino,21696,2019-01-11--2019-01-18,py,58smOywZbVu8AjWutppiQA
81,Happier,Marshmello,21441,2019-01-11--2019-01-18,py,2dpaYNEQHiRxtZbfNsse99
82,Baby Girl (feat. Lalo Ebratt),Mario Bautista,21374,2019-01-11--2019-01-18,py,6o8ogTrSX8H0F66Pdz3Tsc
83,Madura (feat. Bad Bunny),Cosculluela,21169,2019-01-11--2019-01-18,py,0r9d60ZYPAlFHq8qnUtkXN
84,Dile la Verdad,The Rudeboyz,21151,2019-01-11--2019-01-18,py,6qP73DRFGojLuIk1siIhNE
85,Hola,Zion & Lennox,20976,2019-01-11--2019-01-18,py,2dYJKHEqAUTCk2U9zntaS1
86,Supuestamente,Ozuna,20710,2019-01-11--2019-01-18,py,1ZBU5DSoYQwaZVgep6pfn2
87,Triste,Bryant Myers,20684,2019-01-11--2019-01-18,py,5MNS5FF4LrTX0jIaI0gory
88,Otra Noche en Miami,Bad Bunny,20463,2019-01-11--2019-01-18,py,4vCAzANUWDE24URV6wQ4ra
89,Desde el Corazón,Bad Bunny,19929,2019-01-11--2019-01-18,py,1R2mapMAUiYqre6jcFX57g
90,Pa Mí,Dímelo Flow,19845,2019-01-11--2019-01-18,py,4glDjeIwMMMfU9jw2vYRpL
91,Dejate Llevar,Alex Rose,19729,2019-01-11--2019-01-18,py,4kMA4DdOlkzJGUhx8tMcAv
92,Me Rehúso,Danny Ocean,19678,2019-01-11--2019-01-18,py,6De0lHrwBfPfrhorm9q1Xl
93,Me Gusta,Natti Natasha,19533,2019-01-11--2019-01-18,py,2hNwoBCLppnljA7HVvwZns
94,I Like It,Cardi B,19170,2019-01-11--2019-01-18,py,58q2HKrzhC3ozto2nDdN4z
95,Caro,Bad Bunny,18999,2019-01-11--2019-01-18,py,6it15CsDlkqB7N4lF0C1qM
96,Domingo (feat. Cosculluela),Reykon,18954,2019-01-11--2019-01-18,py,6ayCEojiJIe5d8DwXVlGU4
97,Parado no Bailão,MC L da Vinte,18780,2019-01-11--2019-01-18,py,3Hb9kUdm4yf839Fle4RIdT
98,Te Guste,Jennifer Lopez,18570,2019-01-11--2019-01-18,py,0ifLplTQxXkFZKMQpWCHii
99,Ella Y Yo - Featuring Don Omar,Aventura,18427,2019-01-11--2019-01-18,py,6G4U9avyBNEfP0fAIduev3
100,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,18425,2019-01-11--2019-01-18,py,3KkXRkHbMCARz0aVfEt68P
101,Believer,Imagine Dragons,18369,2019-01-11--2019-01-18,py,0pqnGHJpmpxLKifKRmU6WP
102,Asesina,Brytiago,17842,2019-01-11--2019-01-18,py,6rbhaJsE4uLzpPf8WYSHDK
103,Esperándote,Manuel Turizo,17806,2019-01-11--2019-01-18,py,1nfyE13arjOuO54HH0zmqj
104,Bohemian Rhapsody - Remastered 2011,Queen,17658,2019-01-11--2019-01-18,py,7tFiyTwD0nx5a1eklYtX2J
105,Veneno,Anitta,17605,2019-01-11--2019-01-18,py,1KFN3kB4hc6r7ILpifFsqf
106,Noche De Fantasia,Bryant Myers,17462,2019-01-11--2019-01-18,py,3gcAbJ38vIQvT6No64cIcn
107,Cuando Perriabas,Bad Bunny,17213,2019-01-11--2019-01-18,py,5mj8WVFcKdGA8p9HWGTSLc
108,¿Cual es tu plan?,Bad Bunny,17041,2019-01-11--2019-01-18,py,4HRDBtek0ayfLQ6uc7rjO9
109,Otra vez (feat. J Balvin),Zion & Lennox,16612,2019-01-11--2019-01-18,py,3QwBODjSEzelZyVjxPOHdq
110,Hoje Eu Vou Parar Na Gaiola,Mc Livinho,16523,2019-01-11--2019-01-18,py,0IQCOAw9ZAI6WnXIrl481F
111,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",Nicki Minaj,16476,2019-01-11--2019-01-18,py,4Uy3kNxW2kB8AEoXljEcth
112,Booty,C. Tangana,16384,2019-01-11--2019-01-18,py,4W3FJapn5CD6Fnrlfj4HFe
113,200 Mph,Bad Bunny,16289,2019-01-11--2019-01-18,py,5jGUJXnELDaDTgiRjD9lsg
114,Coolant,Farruko,16283,2019-01-11--2019-01-18,py,2fHOqQ9K6eY0wsbVZiYZPw
115,Me Niego (feat. Ozuna & Wisin),Reik,16263,2019-01-11--2019-01-18,py,6jA8JUuPCGYjFcgw0AoM5T
116,Unica,Ozuna,16150,2019-01-11--2019-01-18,py,33b2wX9d0kxqxhi7lcsC1A
117,Quem Me Dera,Márcia Fellipe,16023,2019-01-11--2019-01-18,py,2lAyctg5FocS67eksHoyIg
118,Vuelve,Sebastian Yatra,15975,2019-01-11--2019-01-18,py,6WSAPEkvEfcEUgSTAo1D3S
119,Clandestino,Shakira,15806,2019-01-11--2019-01-18,py,7DrluKkTviBwCc8AV3VGmf
120,Me Dijeron,Ozuna,15798,2019-01-11--2019-01-18,py,17UUYZ290omPaJY4wKeyHh
121,Na' Personal,Miky Woodz,15731,2019-01-11--2019-01-18,py,16fZpc0Md2q1SGu8FMTo6x
122,Mi Cama - Remix,KAROL G,15698,2019-01-11--2019-01-18,py,38QmUDpkoYlNbMKvpvAsrE
