Position,Track Name,Artist,Streams,date,region,spotify_id
1,Wow.,Post Malone,38449,2019-01-11--2019-01-18,sk,6MWtB6iiXyIwun0YzU6DFP
2,Without Me,Halsey,34846,2019-01-11--2019-01-18,sk,5p7ujcrUXASCNwRaWNHR1C
3,Shallow,Lady Gaga,33997,2019-01-11--2019-01-18,sk,2VxeLyX666F8uXCJ0dZF8B
4,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,32827,2019-01-11--2019-01-18,sk,3KkXRkHbMCARz0aVfEt68P
5,Sweet but Psycho,Ava Max,30150,2019-01-11--2019-01-18,sk,25sgk305KZfyuqVBQIahim
6,High Hopes,Panic! At The Disco,29466,2019-01-11--2019-01-18,sk,1rqqCSm0Qe4I9rUvWncaom
7,Lepšia Pesnička,DMS,28512,2019-01-11--2019-01-18,sk,6ntmdHcXnxQFnjFhgaInIV
8,Lost in the Fire,Gesaffelstein,27865,2019-01-11--2019-01-18,sk,7wFybC8jBH3zE139OpCtpG
9,Zlatí a Zároveň Kanál,DMS,25762,2019-01-11--2019-01-18,sk,5N3u2S8O3cm6F23FNGGPwi
10,Gauč Storytelling,Gleb,23659,2019-01-11--2019-01-18,sk,0NVocBNVd5KHLcRssFWmTv
11,"thank u, next",Ariana Grande,23522,2019-01-11--2019-01-18,sk,2rPE9A1vEgShuZxxzR2tZH
12,Dancing With A Stranger (with Normani),Sam Smith,23134,2019-01-11--2019-01-18,sk,6Qs4SXO9dwPj5GKvVOv8Ki
13,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,21897,2019-01-11--2019-01-18,sk,5JEx7HbmvHQQswJCsoo9rA
14,In My Mind,Dynoro,20879,2019-01-11--2019-01-18,sk,0E9ZjEAyAwOXZ7wJC0PD33
15,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,20870,2019-01-11--2019-01-18,sk,27rdGxbavYJeBphck5MZAF
16,Bohemian Rhapsody - Remastered 2011,Queen,20380,2019-01-11--2019-01-18,sk,7tFiyTwD0nx5a1eklYtX2J
17,Eastside (with Halsey & Khalid),benny blanco,20076,2019-01-11--2019-01-18,sk,7FGq80cy8juXBCD2nrqdWU
18,Bad Liar,Imagine Dragons,19813,2019-01-11--2019-01-18,sk,2RSHsoi04658QL5xgQVov3
19,Stále Málo,DMS,19713,2019-01-11--2019-01-18,sk,0CwtMawWVnJh4bHJdiVk32
20,Kardio,DMS,19406,2019-01-11--2019-01-18,sk,7hank1dOJsHakKfvRjhnej
21,Hope,The Chainsmokers,18834,2019-01-11--2019-01-18,sk,4BiiOzZCrXEzHRLYcYFiD5
22,YYASMIN,Zayo,18619,2019-01-11--2019-01-18,sk,37707WWKlfDSxYbmOEDZtF
23,Better Now,Post Malone,18413,2019-01-11--2019-01-18,sk,7dt6x5M1jzdTEt8oCbisTK
24,Natural,Imagine Dragons,18337,2019-01-11--2019-01-18,sk,2FY7b99s15jUprqC0M5NCT
25,Happier,Marshmello,18103,2019-01-11--2019-01-18,sk,2dpaYNEQHiRxtZbfNsse99
26,Saturday Nights,Khalid,17910,2019-01-11--2019-01-18,sk,5kfNriitmkNE8mUbZ7gbq8
27,Horsia Pesnička,DMS,17766,2019-01-11--2019-01-18,sk,3wojPDIdheM2BJUgzwlEpl
28,when the party's over,Billie Eilish,17391,2019-01-11--2019-01-18,sk,14JzyD6FlBD5z0wV5P07YI
29,Look Back at It,A Boogie Wit da Hoodie,17255,2019-01-11--2019-01-18,sk,3Ol2xnObFdKV9pmRD2t9x8
30,SICKO MODE,Travis Scott,17053,2019-01-11--2019-01-18,sk,2xLMifQCjDGFmkHkpNLD9h
31,Colštok,DMS,16412,2019-01-11--2019-01-18,sk,02rkQAsROrDDlwiT0hvk95
32,Be Alright,Dean Lewis,16220,2019-01-11--2019-01-18,sk,3EPXxR3ImUwfayaurPi3cm
33,ZEZE (feat. Travis Scott & Offset),Kodak Black,16043,2019-01-11--2019-01-18,sk,0FZ4Dmg8jJJAPJnvBIzD9z
