Position,Track Name,Artist,Streams,date,region,spotify_id
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,14731867,2019-01-11--2019-01-18,us,3KkXRkHbMCARz0aVfEt68P
2,Wow.,Post Malone,12219706,2019-01-11--2019-01-18,us,6MWtB6iiXyIwun0YzU6DFP
3,Going Bad (feat. Drake),Meek Mill,9585656,2019-01-11--2019-01-18,us,2IRZnDFmlqMuOrYOLnZZyc
4,Drip Too Hard (Lil Baby & Gunna),Lil Baby,9127844,2019-01-11--2019-01-18,us,78QR3Wp35dqAhFEc2qAGjE
5,Without Me,Halsey,8836191,2019-01-11--2019-01-18,us,5p7ujcrUXASCNwRaWNHR1C
6,SICKO MODE,Travis Scott,8555892,2019-01-11--2019-01-18,us,2xLMifQCjDGFmkHkpNLD9h
7,Lost in the Fire,Gesaffelstein,7736059,2019-01-11--2019-01-18,us,7wFybC8jBH3zE139OpCtpG
8,"thank u, next",Ariana Grande,7724153,2019-01-11--2019-01-18,us,2rPE9A1vEgShuZxxzR2tZH
9,ZEZE (feat. Travis Scott & Offset),Kodak Black,7671153,2019-01-11--2019-01-18,us,0FZ4Dmg8jJJAPJnvBIzD9z
10,Mo Bamba,Sheck Wes,7407324,2019-01-11--2019-01-18,us,1xzBco0xcoJEDXktl7Jxrr
11,Look Back at It,A Boogie Wit da Hoodie,7213638,2019-01-11--2019-01-18,us,3Ol2xnObFdKV9pmRD2t9x8
12,Dancing With A Stranger (with Normani),Sam Smith,7123194,2019-01-11--2019-01-18,us,6Qs4SXO9dwPj5GKvVOv8Ki
13,Leave Me Alone,Flipp Dinero,6450631,2019-01-11--2019-01-18,us,14mHfNsSHN0FbLftyjrV9g
14,Saturday Nights,Khalid,5901591,2019-01-11--2019-01-18,us,5kfNriitmkNE8mUbZ7gbq8
15,a lot,21 Savage,5824988,2019-01-11--2019-01-18,us,2t8yVaLvJ0RenpXUIAC52d
16,Wake Up in the Sky,Gucci Mane,5658478,2019-01-11--2019-01-18,us,2G1tXoGBaEMJ7FKGnkf6ud
17,High Hopes,Panic! At The Disco,5657370,2019-01-11--2019-01-18,us,1rqqCSm0Qe4I9rUvWncaom
18,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,5109932,2019-01-11--2019-01-18,us,0jAfdqv18goRTUxm3ilRjb
19,Lucid Dreams,Juice WRLD,5073633,2019-01-11--2019-01-18,us,285pBltuF7vW8TeWk8hdRR
20,Better Now,Post Malone,5065632,2019-01-11--2019-01-18,us,7dt6x5M1jzdTEt8oCbisTK
21,SAD!,XXXTENTACION,5055461,2019-01-11--2019-01-18,us,3ee8Jmje8o58CHK66QrVC2
22,Happier,Marshmello,4935604,2019-01-11--2019-01-18,us,2dpaYNEQHiRxtZbfNsse99
23,Money,Cardi B,4877306,2019-01-11--2019-01-18,us,2GGMabyHXnJmjY6CXhhB2e
24,whoa (mind in awe),XXXTENTACION,4684242,2019-01-11--2019-01-18,us,7pdF27mSDuPWhppnHAmWHa
25,Eastside (with Halsey & Khalid),benny blanco,4567413,2019-01-11--2019-01-18,us,7FGq80cy8juXBCD2nrqdWU
26,Better,Khalid,4529391,2019-01-11--2019-01-18,us,6zeeWid2sgw4lap2jV61PZ
27,monster,21 Savage,4420565,2019-01-11--2019-01-18,us,2FUNBaa5DwItJtYEBgAblU
28,Armed And Dangerous,Juice WRLD,4377143,2019-01-11--2019-01-18,us,5wujBwqG7INdStqGd4tRMX
29,when the party's over,Billie Eilish,4359623,2019-01-11--2019-01-18,us,14JzyD6FlBD5z0wV5P07YI
30,Moonlight,XXXTENTACION,4277917,2019-01-11--2019-01-18,us,0JP9xo3adEtGSdUEISiszL
31,MIA (feat. Drake),Bad Bunny,4045995,2019-01-11--2019-01-18,us,116H0KvKr2Zl4RPuVBruDO
32,YOSEMITE,Travis Scott,3990538,2019-01-11--2019-01-18,us,7lAK3oHbfEnvUQWosrMMpR
33,Nonstop,Drake,3961214,2019-01-11--2019-01-18,us,0TlLq3lA83rQOYtrqBqSct
34,Taste (feat. Offset),Tyga,3930328,2019-01-11--2019-01-18,us,5IaHrVsrferBYDm0bDyABy
35,Splashin,Rich The Kid,3915820,2019-01-11--2019-01-18,us,79OEIr4J4FHV0O3KrhaXRb
36,lovely,Billie Eilish,3826980,2019-01-11--2019-01-18,us,1NJcg626wLln4pGHpiV7mf
37,Space Cadet (feat. Gunna),Metro Boomin,3730034,2019-01-11--2019-01-18,us,1fewSx2d5KIZ04wsooEBOz
38,Butterfly Doors,Lil Pump,3716082,2019-01-11--2019-01-18,us,4NdXQlDTzxbOMkzJGWFtz3
39,Nuketown (feat. Juice WRLD),Ski Mask The Slump God,3690673,2019-01-11--2019-01-18,us,74lnM5V6ecvoTPV0fvptx9
40,BAD!,XXXTENTACION,3647134,2019-01-11--2019-01-18,us,22An65gG31JLf9n18qjdhZ
41,Crushed Up,Future,3620592,2019-01-11--2019-01-18,us,7AYuSG1LoaaFVKjOxsB6Vh
42,Jocelyn Flores,XXXTENTACION,3591684,2019-01-11--2019-01-18,us,7m9OqQk4RVRkw9JJdeAw96
43,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,3575704,2019-01-11--2019-01-18,us,2LskIZrCeLxRvCiGP8gxlh
44,Sweet but Psycho,Ava Max,3553586,2019-01-11--2019-01-18,us,25sgk305KZfyuqVBQIahim
45,Calling My Spirit,Kodak Black,3511458,2019-01-11--2019-01-18,us,2MShy1GSSgbmGUxADNIao5
46,rockstar (feat. 21 Savage),Post Malone,3507560,2019-01-11--2019-01-18,us,0e7ipj03S05BNilyu5bRzt
47,imagine,Ariana Grande,3498661,2019-01-11--2019-01-18,us,0todbbT9g5uQGbeFCiBf2F
48,Giant (with Rag'n'Bone Man),Calvin Harris,3479744,2019-01-11--2019-01-18,us,5itOtNx0WxtJmi1TQ3RuRd
49,idontwannabeyouanymore,Billie Eilish,3415154,2019-01-11--2019-01-18,us,40T5GIqQ1CegGm2PTEl8Bu
50,Yes Indeed,Lil Baby,3401060,2019-01-11--2019-01-18,us,6vN77lE9LK6HP2DewaN6HZ
51,Roses (with Juice WRLD feat. Brendon Urie),benny blanco,3395646,2019-01-11--2019-01-18,us,1KVczjazCcCCgM3gXXUl47
52,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,3335186,2019-01-11--2019-01-18,us,1wJRveJZLSb1rjhnUHQiv6
53,Fine China,Future,3310191,2019-01-11--2019-01-18,us,5274I4mUMnYczyeXkGDWZN
54,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,3298610,2019-01-11--2019-01-18,us,4w8niZpiMy6qz1mntFA5uM
55,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,3296280,2019-01-11--2019-01-18,us,5JEx7HbmvHQQswJCsoo9rA
56,I Like It,Cardi B,3187576,2019-01-11--2019-01-18,us,58q2HKrzhC3ozto2nDdN4z
57,Psycho (feat. Ty Dolla $ign),Post Malone,3149968,2019-01-11--2019-01-18,us,3swc6WTsr7rl9DqQKQA55C
58,I Fall Apart,Post Malone,3138686,2019-01-11--2019-01-18,us,75ZvA4QfFiZvzhj2xkaWAh
59,KIKA,6ix9ine,3117403,2019-01-11--2019-01-18,us,6Gy7rXB6Ku5vIWC7WGWsl3
60,Nights Like This (feat. Ty Dolla $ign),Kehlani,3101619,2019-01-11--2019-01-18,us,7e4KQkp5ZR1gXCAalRjX6B
61,Demons and Angels (feat. Juice WRLD),A Boogie Wit da Hoodie,3022750,2019-01-11--2019-01-18,us,3L19besdNQzd342qL78xqm
62,Pure Cocaine,Lil Baby,3018158,2019-01-11--2019-01-18,us,577YBGuskWkVDCxZrLRB4v
63,Shallow,Lady Gaga,2956905,2019-01-11--2019-01-18,us,2VxeLyX666F8uXCJ0dZF8B
64,Fuck Love (feat. Trippie Redd),XXXTENTACION,2953640,2019-01-11--2019-01-18,us,7AQim7LbvFVZJE3O8TYgf2
65,Beautiful (feat. Camila Cabello),Bazzi,2919231,2019-01-11--2019-01-18,us,4VUwkH455At9kENOfzTqmF
66,No Stylist (feat. Drake),French Montana,2882709,2019-01-11--2019-01-18,us,04MLEeAMuV9IlHEsD8vF6A
67,Noticed,Lil Mosey,2880602,2019-01-11--2019-01-18,us,6JQvHMSaR8flFsN53ypOfP
68,FEFE,6ix9ine,2864192,2019-01-11--2019-01-18,us,4QIyEq7TcTdAcxjI2AFlAK
