Position,Track Name,Artist,Streams,date,region,spotify_id
1,Calma - Remix,Pedro Capó,220762,2019-01-11--2019-01-18,uy,5iwz1NiezX7WWjnCgY5TH4
2,Adan y Eva,Paulo Londra,182844,2019-01-11--2019-01-18,uy,6FyRXC8tJUh863JCkyWqtk
3,Leña para el Carbón,DJ Alex,146795,2019-01-11--2019-01-18,uy,5lcL51XmmTrQy09H85wIJZ
4,Desconocidos,Mau y Ricky,115454,2019-01-11--2019-01-18,uy,0s5DNDV6LAKn2u2Ufa3VjQ
5,MIA (feat. Drake),Bad Bunny,105836,2019-01-11--2019-01-18,uy,116H0KvKr2Zl4RPuVBruDO
6,Adictiva,Daddy Yankee,105583,2019-01-11--2019-01-18,uy,6MJUCumnQsQEKbCy28tbCP
7,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,105339,2019-01-11--2019-01-18,uy,4w8niZpiMy6qz1mntFA5uM
8,Me Voy,Rombai,100831,2019-01-11--2019-01-18,uy,22sESxzbY1O1E19xjOTaYf
9,Reggaeton,J Balvin,99805,2019-01-11--2019-01-18,uy,2D3z17LBMJ2HEHeBFFjTLi
10,Sin Culpa (feat. DrefQuila),Duki,90411,2019-01-11--2019-01-18,uy,3dLiBBKbeUIhzGNeuo5JGS
11,Ya No Tiene Novio,Sebastian Yatra,87261,2019-01-11--2019-01-18,uy,7uQmJ1jgNzBpATSoWKSPFu
12,Imposible,Luis Fonsi,87156,2019-01-11--2019-01-18,uy,3ao3OVxHlb3C08vAaApUlm
13,Cuando Te Besé,Becky G,86047,2019-01-11--2019-01-18,uy,2XXMDz7SPZ4mSFN1PXfHUy
14,Ella Quiere Beber - Remix,Anuel AA,75740,2019-01-11--2019-01-18,uy,2cYnZNzFRFK0H7vSNxPsUq
15,Amanece,Anuel AA,73230,2019-01-11--2019-01-18,uy,1LiN0Z98FkR1t0m8KmLcAH
16,Vaina Loca,Ozuna,72862,2019-01-11--2019-01-18,uy,48zFZh27QU5qsrBjn4C2FA
17,Me Vas a Extrañar - En Vivo,Damas Gratis,64605,2019-01-11--2019-01-18,uy,3CACzG9I3AoKUKA3ODE5zW
18,Créeme,KAROL G,58864,2019-01-11--2019-01-18,uy,1mT47pKLXUwPYGwB91GcNz
19,Bubalu,Becky G,57949,2019-01-11--2019-01-18,uy,7dNwJbsT0sg1le5kVugGJb
20,Baila Baila Baila,Ozuna,56800,2019-01-11--2019-01-18,uy,7uH27oIt4a6cIFCA8ZPcyG
21,NI BIEN NI MAL,Bad Bunny,56422,2019-01-11--2019-01-18,uy,278kSqsZIiYp8p3QjYAqa8
22,Amigos Con Derechos,Reik,55665,2019-01-11--2019-01-18,uy,2zDj4WjbNDmrRL6Z4YjjCA
23,Puntos Suspensivos,Piso 21,54728,2019-01-11--2019-01-18,uy,04cd1MHVq1D8v1nuTZoCdv
24,Solo de Mi,Bad Bunny,54104,2019-01-11--2019-01-18,uy,4uP3pUP18ennmz0tb3GphR
25,Te Vi,Piso 21,53805,2019-01-11--2019-01-18,uy,059bcIhyc2SBwm6sw2AZzd
26,PPP,Kevin Roldan,52614,2019-01-11--2019-01-18,uy,1DcxnVNFAyVl2sDQ646pXS
27,Tan Bien (feat. Agus Padilla),Lit Killah,51293,2019-01-11--2019-01-18,uy,43Q1jBoHh3pQkh3Oy7TA1g
28,Mala Mía,Maluma,49714,2019-01-11--2019-01-18,uy,62o8KoI44JfN7aYxgTnPvh
29,BEBE,6ix9ine,47851,2019-01-11--2019-01-18,uy,4KkUjFkcQvGvWekl8RATDn
30,Control,Agus Padilla,47073,2019-01-11--2019-01-18,uy,6r9zwDnLXcLWcNgx9SDy3Y
31,Sola,Manuel Turizo,46867,2019-01-11--2019-01-18,uy,675w3ACw5xZR3ODhUJlEVN
32,Ta To Gucci (Remix),Cauty,46327,2019-01-11--2019-01-18,uy,7kuRvjpeUcn6qNV9IBXC2C
33,No Es Justo,J Balvin,44650,2019-01-11--2019-01-18,uy,5qFeMRz4TvetPmzjre9Dq7
34,Asesina - Remix,Brytiago,40285,2019-01-11--2019-01-18,uy,59PYgzOiOjGDzjDT5N5oOX
35,Hablar Es Gratis,Dame 5,39974,2019-01-11--2019-01-18,uy,0fuV4yFwwUcB76eboj0qwF
36,Te Boté - Remix,Nio Garcia,39817,2019-01-11--2019-01-18,uy,3V8UKqhEK5zBkBb6d6ub8i
37,Booty,C. Tangana,39645,2019-01-11--2019-01-18,uy,4W3FJapn5CD6Fnrlfj4HFe
38,MALA,6ix9ine,39535,2019-01-11--2019-01-18,uy,0LQ1J0BCzA2qnAgp9MkkNE
39,Culpables,KAROL G,39433,2019-01-11--2019-01-18,uy,6q8Lb50EtqNeeJXXe8mMAH
40,Árabe,Papichamp,37676,2019-01-11--2019-01-18,uy,58qmrrvUkA09szrox83VDp
41,Luz Apaga,Ozuna,37013,2019-01-11--2019-01-18,uy,5Q3e16qE1RE5oilN3ukasm
42,Quiere Beber,Anuel AA,34934,2019-01-11--2019-01-18,uy,3rPAD722s5FFNnwjC91t7Z
43,Chica Paranormal,Paulo Londra,34483,2019-01-11--2019-01-18,uy,7zAGi1cps7yYhAajGXlFTH
44,Sin Pijama,Becky G,34150,2019-01-11--2019-01-18,uy,2ijef6ni2amuunRoKTlgww
45,Ella Fuma,Plan B,33736,2019-01-11--2019-01-18,uy,4IYxcqhcFFJ025qfWJeulF
46,No Te Creas Tan Importante - En Vivo,Damas Gratis,32978,2019-01-11--2019-01-18,uy,3trowLiYwwOoiwapLISNyk
47,No Me Acuerdo,Thalia,32924,2019-01-11--2019-01-18,uy,1G586ld1gbaECg4Bc6w40O
48,Ibiza,Ozuna,32739,2019-01-11--2019-01-18,uy,1h9P5WJwyvK8OB7O2YiXgp
49,Mala Mía - Remix,Maluma,31277,2019-01-11--2019-01-18,uy,6sAwJPgaSQ9Q4XGnbx1gZb
50,Hola,Zion & Lennox,30330,2019-01-11--2019-01-18,uy,2dYJKHEqAUTCk2U9zntaS1
51,LeBron,Duki,27967,2019-01-11--2019-01-18,uy,0mAkTqg7vQ8YmpQ7o1I6gR
52,Callao,Wisin & Yandel,27760,2019-01-11--2019-01-18,uy,3gu0fRSgFuc4FmrtIv0DnC
53,Hipócrita,Anuel AA,26555,2019-01-11--2019-01-18,uy,6XBjCetHKdO5L9cwMDVffw
54,Llegaste Tú,CNCO,26301,2019-01-11--2019-01-18,uy,6tT4Ks1N04Ut0lSQ3xjSaZ
55,Baby,Amenazzy,25502,2019-01-11--2019-01-18,uy,2IA8cFA46DkjgbsRG7kKbp
