Position,Track Name,Artist,Streams,date,region,spotify_id
1,Roller,Apache 207,245143,2020-01-10--2020-01-17,at,6hw1Sy9wZ8UCxYGdpKrU6M
2,"OK, OK",RAF Camora,227619,2020-01-10--2020-01-17,at,7toATElzwxfGneKp8oA2sS
3,Dance Monkey,Tones And I,219562,2020-01-10--2020-01-17,at,1rgnBhdG2JDFTbYkYRZAku
4,FEFE 488,RAF Camora,192431,2020-01-10--2020-01-17,at,0gt65qh9oOl8vXQsilX1qR
5,Maschine,RAF Camora,189519,2020-01-10--2020-01-17,at,0C6NMPWYqsLIuuYSNP8KqE
6,Es geht voran,RAF Camora,188088,2020-01-10--2020-01-17,at,4q4c1LAerpInH9yUanIIBv
7,Legenda,RAF Camora,181548,2020-01-10--2020-01-17,at,6exBa0zr8dQkN2TnKn1iNI
8,Falling,Trevor Daniel,164434,2020-01-10--2020-01-17,at,4TnjEaWOeW0eKTKIEvJyCa
9,Blinding Lights,The Weeknd,153151,2020-01-10--2020-01-17,at,0sf12qNH5qcw8qpgymFOqD
10,Life Is Good (feat. Drake),Future,147737,2020-01-10--2020-01-17,at,5yY9lUy8nbvjM1Uyo1Uqoc
11,The Box,Roddy Ricch,138202,2020-01-10--2020-01-17,at,0nbXyq5TXYPCO7pr3N8S4I
12,Skifahren (feat. Joshi Mizu),The Cratez,137071,2020-01-10--2020-01-17,at,1E1YyZjbteIz2XQyLvtRxD
13,ROSÉ,RAF Camora,128155,2020-01-10--2020-01-17,at,6dRvOrsGFxCp87mXZptjVb
14,Don't Start Now,Dua Lipa,127612,2020-01-10--2020-01-17,at,6WrI0LAC5M1Rw2MnX2ZvEg
15,Yummy,Justin Bieber,126452,2020-01-10--2020-01-17,at,41L3O37CECZt3N7ziG2z7l
16,ROXANNE,Arizona Zervas,124446,2020-01-10--2020-01-17,at,696DnlkuDOXcMAnKlTgXXK
17,6AM.........,Dardan,120745,2020-01-10--2020-01-17,at,36J10AwMabBYxgNrV2S8gd
18,Lento,RAF Camora,119790,2020-01-10--2020-01-17,at,1Ad4rRP7I79WDxg1ER63Tm
19,110,Capital Bra,118390,2020-01-10--2020-01-17,at,67ojvEGRPAUCOohuMPqoRC
20,Ich hol dich ab,Jamule,115488,2020-01-10--2020-01-17,at,5NYzvVxuyXiHSqn7PojgKC
21,Vor der Tür,Gzuz,112740,2020-01-10--2020-01-17,at,2LgsKzO8lCeXk0TMd9veWW
22,Ride It,Regard,111641,2020-01-10--2020-01-17,at,2tnVG71enUj33Ic2nFN6kZ
23,Ayy Macarena,Tyga,111029,2020-01-10--2020-01-17,at,6LcauUZjF1eXQrgqMUecHX
24,KEIN SCHLAF,Nimo,110014,2020-01-10--2020-01-17,at,1B89LtaW92jj4AqT7OZ0Fj
25,Memories,Maroon 5,109948,2020-01-10--2020-01-17,at,2b8fOow8UzyDFAE27YhOZM
26,everything i wanted,Billie Eilish,109031,2020-01-10--2020-01-17,at,3ZCTVFBt2Brf31RLEnCkWJ
27,Flex,RAF Camora,108569,2020-01-10--2020-01-17,at,5T96knMmBmjXra31HHqj2I
28,200 km/h,Apache 207,108374,2020-01-10--2020-01-17,at,2PGA1AsJal6cyMNmKyE56q
29,Circles,Post Malone,106757,2020-01-10--2020-01-17,at,21jGcNKet2qwijlDFuPiPb
30,Puta Madre - Bonustrack,RAF Camora,106055,2020-01-10--2020-01-17,at,0bg9us6qbMWTAMSF3y4egO
31,Bin weg,RAF Camora,104580,2020-01-10--2020-01-17,at,0lLpITHcMJcjxzbHDQxwcD
32,Nur zur Info,Ufo361,102086,2020-01-10--2020-01-17,at,6Y7ZEVr7lgO8FKGk2vZ2hi
33,Lose You To Love Me,Selena Gomez,101865,2020-01-10--2020-01-17,at,4l0Mvzj72xxOpRrp6h8nHi
34,Gewarnt,RAF Camora,99584,2020-01-10--2020-01-17,at,6fJ3FRCppFhv7szCAgaKzI
35,Rare,Selena Gomez,99103,2020-01-10--2020-01-17,at,7HMmFQsKsljwTw8bS7lu19
36,bad guy,Billie Eilish,98564,2020-01-10--2020-01-17,at,2Fxmhks0bxGSBdJ92vM42m
37,hot girl bummer,blackbear,97555,2020-01-10--2020-01-17,at,7aiClxsDWFRQ0Kzk5KI5ku
38,Benzo,Elias,97119,2020-01-10--2020-01-17,at,2eAtC4umRoDcvRcsyFzGL9
39,Wer weiß schon,RAF Camora,94819,2020-01-10--2020-01-17,at,0lz508NS4kmbsT5wzvaeNP
40,Keine Liebe,RIN,93728,2020-01-10--2020-01-17,at,4OVF6uwZlMOSlZmHDnwliX
41,COLT,Samra,93243,2020-01-10--2020-01-17,at,76IVpz47q3ghkxoUeTTEKb
42,Adriana,RAF Camora,93145,2020-01-10--2020-01-17,at,5YbcMbH4xHRfep9rSxLRDt
43,Wieso tust Du dir das an?,Apache 207,92902,2020-01-10--2020-01-17,at,6dNB3XdAzx7kTf5wa8Rg89
44,Roses - Imanbek Remix,SAINt JHN,91702,2020-01-10--2020-01-17,at,24Yi9hE78yPEbZ4kxyoXAI
45,Unnormal,RAF Camora,91638,2020-01-10--2020-01-17,at,7CzSP7spDpZBP8edbtPIwI
46,100%,Senidah,91325,2020-01-10--2020-01-17,at,58cWbqYLz06X69SqJiYeky
47,Der Bratan bleibt der gleiche,Capital Bra,89986,2020-01-10--2020-01-17,at,2M39v73rNJmAXUXIW0oagP
48,Someone You Loved,Lewis Capaldi,89280,2020-01-10--2020-01-17,at,7qEHsqek33rTcFNT9PFqLf
49,Tilidin,Capital Bra,86315,2020-01-10--2020-01-17,at,0Dlcu2fgHklOnajVu2dUNU
50,Alien,RIN,86239,2020-01-10--2020-01-17,at,2RaKlveGCllSaXloN8kmzV
51,2002,Sido,83668,2020-01-10--2020-01-17,at,2u8AXJyk8pICzj2wyPBL0b
52,Honda Civic,The Cratez,81738,2020-01-10--2020-01-17,at,0WFgtxiLNr99YaoSdYR3Ud
53,500 PS,Bonez MC,78100,2020-01-10--2020-01-17,at,4UOXo3xWnxYdTf3sFyRaUG
54,You should be sad,Halsey,76414,2020-01-10--2020-01-17,at,2usxQITOSDqvkYiI0oIwao
55,Señorita,Shawn Mendes,73748,2020-01-10--2020-01-17,at,6v3KW9xbzN5yKLt9YKDYA2
56,My Oh My (feat. DaBaby),Camila Cabello,72641,2020-01-10--2020-01-17,at,3yOlyBJuViE2YSGn3nVE1K
57,Vermissen (feat. Henning May),Juju,72425,2020-01-10--2020-01-17,at,07f2b3CTdgKKlhv0mqUksz
58,KARMA,Nimo,72065,2020-01-10--2020-01-17,at,3uTiW4Tjt6FqSPRYNgzW5t
