Position,Track Name,Artist,Streams,date,region,spotify_id
1,Dance Monkey,Tones And I,1614184,2020-01-10--2020-01-17,au,1rgnBhdG2JDFTbYkYRZAku
2,Blinding Lights,The Weeknd,1575874,2020-01-10--2020-01-17,au,0sf12qNH5qcw8qpgymFOqD
3,The Box,Roddy Ricch,1573370,2020-01-10--2020-01-17,au,0nbXyq5TXYPCO7pr3N8S4I
4,ROXANNE,Arizona Zervas,1572381,2020-01-10--2020-01-17,au,696DnlkuDOXcMAnKlTgXXK
5,Don't Start Now,Dua Lipa,1569546,2020-01-10--2020-01-17,au,6WrI0LAC5M1Rw2MnX2ZvEg
6,Yummy,Justin Bieber,1543435,2020-01-10--2020-01-17,au,41L3O37CECZt3N7ziG2z7l
7,Circles,Post Malone,1416040,2020-01-10--2020-01-17,au,21jGcNKet2qwijlDFuPiPb
8,Falling,Trevor Daniel,1264855,2020-01-10--2020-01-17,au,4TnjEaWOeW0eKTKIEvJyCa
9,Memories,Maroon 5,1219753,2020-01-10--2020-01-17,au,2b8fOow8UzyDFAE27YhOZM
10,Lose Control,MEDUZA,1145856,2020-01-10--2020-01-17,au,7CHi4DtfK4heMlQaudCuHK
11,Adore You,Harry Styles,1140158,2020-01-10--2020-01-17,au,3jjujdWJ72nww5eGnfs2E7
12,Life Is Good (feat. Drake),Future,1133501,2020-01-10--2020-01-17,au,5yY9lUy8nbvjM1Uyo1Uqoc
13,Never Seen the Rain,Tones And I,1128690,2020-01-10--2020-01-17,au,2grAr8pWMuLWn8ZYEE9wDV
14,Ride It,Regard,1106905,2020-01-10--2020-01-17,au,2tnVG71enUj33Ic2nFN6kZ
15,Before You Go,Lewis Capaldi,1088623,2020-01-10--2020-01-17,au,2gMXnyrvIjhVBUZwvLZDMP
16,everything i wanted,Billie Eilish,1071370,2020-01-10--2020-01-17,au,3ZCTVFBt2Brf31RLEnCkWJ
17,SUGAR,BROCKHAMPTON,1015821,2020-01-10--2020-01-17,au,6U0FIYXCQ3TGrk4tFpLrEA
18,My Oh My (feat. DaBaby),Camila Cabello,885439,2020-01-10--2020-01-17,au,3yOlyBJuViE2YSGn3nVE1K
19,Lose You To Love Me,Selena Gomez,853308,2020-01-10--2020-01-17,au,4l0Mvzj72xxOpRrp6h8nHi
20,hot girl bummer,blackbear,839895,2020-01-10--2020-01-17,au,7aiClxsDWFRQ0Kzk5KI5ku
21,Rare,Selena Gomez,821511,2020-01-10--2020-01-17,au,7HMmFQsKsljwTw8bS7lu19
22,Someone You Loved,Lewis Capaldi,802005,2020-01-10--2020-01-17,au,7qEHsqek33rTcFNT9PFqLf
23,Watermelon Sugar,Harry Styles,784393,2020-01-10--2020-01-17,au,6UelLqGlWMcVH1E5c4H7lY
24,Rushing Back,Flume,778520,2020-01-10--2020-01-17,au,2zoNNEAyPK2OGDfajardlY
25,Trampoline (with ZAYN),SHAED,762327,2020-01-10--2020-01-17,au,2ez6qvOTHKeI3ss80NGqnI
26,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,755010,2020-01-10--2020-01-17,au,4vUmTMuQqjdnvlZmAH61Qk
27,Glitter,BENEE,726557,2020-01-10--2020-01-17,au,23TPP1eeElFfvYVznskwCY
28,bad guy,Billie Eilish,712425,2020-01-10--2020-01-17,au,2Fxmhks0bxGSBdJ92vM42m
29,Señorita,Shawn Mendes,693371,2020-01-10--2020-01-17,au,6v3KW9xbzN5yKLt9YKDYA2
30,No Idea,Don Toliver,691191,2020-01-10--2020-01-17,au,3VyjsVV24RmBIbWJAeUJNu
31,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,680537,2020-01-10--2020-01-17,au,07Oz5StQ7GRoygNLaXs2pd
32,"10,000 Hours (with Justin Bieber)",Dan + Shay,666348,2020-01-10--2020-01-17,au,2wrJq5XKLnmhRXHIAf9xBa
33,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,649077,2020-01-10--2020-01-17,au,0RiRZpuVRbi7oqRdSMwhQY
34,One Thing Right,Marshmello,638484,2020-01-10--2020-01-17,au,4hPpVbbakQNv8YTHYaOJP4
35,Turn Me On (feat. Vula),Riton,630483,2020-01-10--2020-01-17,au,0qaWEvPkts34WF68r8Dzx9
36,Good News,Mac Miller,621755,2020-01-10--2020-01-17,au,3ClBKQkKoaUQ6UOhe2xlJK
37,German,No Money Enterprise,614687,2020-01-10--2020-01-17,au,4pMEp90aY5XZcQQGaH7ahu
38,Yellow Hearts,Ant Saunders,600886,2020-01-10--2020-01-17,au,2W4yABdLc4Jnds67Poi5Nl
39,Post Malone (feat. RANI),Sam Feldt,599476,2020-01-10--2020-01-17,au,36orMWv2PgvnzXsd5CJ0yL
40,Sorry,Joel Corry,585076,2020-01-10--2020-01-17,au,6y1UtRcHQU07aUs3oxZ8Yn
41,I Don't Care (with Justin Bieber),Ed Sheeran,583763,2020-01-10--2020-01-17,au,0hVXuCcriWRGvwMV1r5Yn9
