Position,Track Name,Artist,Streams,date,region,spotify_id
1,Dance Monkey,Tones And I,477660,2020-01-10--2020-01-17,be,1rgnBhdG2JDFTbYkYRZAku
2,Blinding Lights,The Weeknd,441847,2020-01-10--2020-01-17,be,0sf12qNH5qcw8qpgymFOqD
3,ROXANNE,Arizona Zervas,313959,2020-01-10--2020-01-17,be,696DnlkuDOXcMAnKlTgXXK
4,The Box,Roddy Ricch,291585,2020-01-10--2020-01-17,be,0nbXyq5TXYPCO7pr3N8S4I
5,Don't Start Now,Dua Lipa,286144,2020-01-10--2020-01-17,be,6WrI0LAC5M1Rw2MnX2ZvEg
6,everything i wanted,Billie Eilish,267821,2020-01-10--2020-01-17,be,3ZCTVFBt2Brf31RLEnCkWJ
7,Yummy,Justin Bieber,258074,2020-01-10--2020-01-17,be,41L3O37CECZt3N7ziG2z7l
8,Ride It,Regard,256915,2020-01-10--2020-01-17,be,2tnVG71enUj33Ic2nFN6kZ
9,Ne reviens pas,Gradur,255051,2020-01-10--2020-01-17,be,4TnFANpjVwVKWzkxNzIyFH
10,Memories,Maroon 5,251225,2020-01-10--2020-01-17,be,2b8fOow8UzyDFAE27YhOZM
11,Falling,Trevor Daniel,238315,2020-01-10--2020-01-17,be,4TnjEaWOeW0eKTKIEvJyCa
12,Lose You To Love Me,Selena Gomez,228068,2020-01-10--2020-01-17,be,4l0Mvzj72xxOpRrp6h8nHi
13,Lose Control,MEDUZA,213484,2020-01-10--2020-01-17,be,7CHi4DtfK4heMlQaudCuHK
14,Trampoline (with ZAYN),SHAED,197565,2020-01-10--2020-01-17,be,2ez6qvOTHKeI3ss80NGqnI
15,Circles,Post Malone,194292,2020-01-10--2020-01-17,be,21jGcNKet2qwijlDFuPiPb
16,Life Is Good (feat. Drake),Future,192254,2020-01-10--2020-01-17,be,5yY9lUy8nbvjM1Uyo1Uqoc
17,Before You Go,Lewis Capaldi,188060,2020-01-10--2020-01-17,be,2gMXnyrvIjhVBUZwvLZDMP
18,Moulaga,Heuss L'enfoiré,185645,2020-01-10--2020-01-17,be,5BfCoUcWNXcpyJfjXRIeyC
19,Señorita,Shawn Mendes,184006,2020-01-10--2020-01-17,be,6v3KW9xbzN5yKLt9YKDYA2
20,Someone You Loved,Lewis Capaldi,177857,2020-01-10--2020-01-17,be,7qEHsqek33rTcFNT9PFqLf
21,Memories,Boef,177756,2020-01-10--2020-01-17,be,7muicvRPVglfHRtBHpSFqH
22,hot girl bummer,blackbear,177272,2020-01-10--2020-01-17,be,7aiClxsDWFRQ0Kzk5KI5ku
23,RITMO (Bad Boys For Life),Black Eyed Peas,176304,2020-01-10--2020-01-17,be,6cy3ki60hLwimwIje7tALf
24,Oui ou non,Angèle,175305,2020-01-10--2020-01-17,be,7rBP4bLjMLNkix1nGHjheP
25,Hoe Het Danst,Marco Borsato,173112,2020-01-10--2020-01-17,be,5cYOVkA2cnjKid9yigaMwq
26,bad guy,Billie Eilish,172800,2020-01-10--2020-01-17,be,2Fxmhks0bxGSBdJ92vM42m
27,My Oh My (feat. DaBaby),Camila Cabello,160789,2020-01-10--2020-01-17,be,3yOlyBJuViE2YSGn3nVE1K
28,Smoorverliefd,Snelle,154878,2020-01-10--2020-01-17,be,2ryMKWtH2SEQY8fTAclFYb
29,Roses - Imanbek Remix,SAINt JHN,154441,2020-01-10--2020-01-17,be,24Yi9hE78yPEbZ4kxyoXAI
30,Reünie,Snelle,151224,2020-01-10--2020-01-17,be,5S7YAM3lcfPNBSTVyciwCu
31,Rare,Selena Gomez,143824,2020-01-10--2020-01-17,be,7HMmFQsKsljwTw8bS7lu19
32,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,142255,2020-01-10--2020-01-17,be,07Oz5StQ7GRoygNLaXs2pd
33,Lalala,Y2K,138564,2020-01-10--2020-01-17,be,51Fjme0JiitpyXKuyQiCDo
34,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,137201,2020-01-10--2020-01-17,be,4vUmTMuQqjdnvlZmAH61Qk
35,Turn Me On (feat. Vula),Riton,134611,2020-01-10--2020-01-17,be,0qaWEvPkts34WF68r8Dzx9
36,Pookie,Aya Nakamura,133343,2020-01-10--2020-01-17,be,2QpUWi6VSNOt2WyH5FIeLD
37,Adore You,Harry Styles,131194,2020-01-10--2020-01-17,be,3jjujdWJ72nww5eGnfs2E7
38,Sun is Shining,Lost Frequencies,128181,2020-01-10--2020-01-17,be,5ucCPnp8gVYluxSXiy4J5d
39,Beautiful People (feat. Khalid),Ed Sheeran,128027,2020-01-10--2020-01-17,be,70eFcWOvlMObDhURTqT4Fv
40,Baianá,Bakermat,120220,2020-01-10--2020-01-17,be,430efk5Jc5wGay4EWP4snS
41,Instagram,Dimitri Vegas & Like Mike,116953,2020-01-10--2020-01-17,be,0U6bQIAh6MCGo1xjbIIx2S
42,POPOPOP,Gambi,116916,2020-01-10--2020-01-17,be,18HNGxDOcshRU2Hdu8tMOM
43,I Don't Care (with Justin Bieber),Ed Sheeran,113534,2020-01-10--2020-01-17,be,0hVXuCcriWRGvwMV1r5Yn9
44,How Do You Sleep?,Sam Smith,112981,2020-01-10--2020-01-17,be,6b2RcmUt1g9N9mQ3CbjX2Y
45,Lucid Dreams,Juice WRLD,111949,2020-01-10--2020-01-17,be,285pBltuF7vW8TeWk8hdRR
46,Liar,Camila Cabello,108883,2020-01-10--2020-01-17,be,073ILU1C3APNRGF66VhtyA
47,Ransom,Lil Tecca,108439,2020-01-10--2020-01-17,be,1lOe9qE0vR9zwWQAOk6CoO
48,Higher Love,Kygo,107841,2020-01-10--2020-01-17,be,6oJ6le65B3SEqPwMRNXWjY
