Position,Track Name,Artist,Streams,date,region,spotify_id
1,Life Is Good (feat. Drake),Future,3186906,2020-01-10--2020-01-17,ca,5yY9lUy8nbvjM1Uyo1Uqoc
2,The Box,Roddy Ricch,3081886,2020-01-10--2020-01-17,ca,0nbXyq5TXYPCO7pr3N8S4I
3,Dance Monkey,Tones And I,1829959,2020-01-10--2020-01-17,ca,1rgnBhdG2JDFTbYkYRZAku
4,ROXANNE,Arizona Zervas,1493781,2020-01-10--2020-01-17,ca,696DnlkuDOXcMAnKlTgXXK
5,Yummy,Justin Bieber,1463603,2020-01-10--2020-01-17,ca,41L3O37CECZt3N7ziG2z7l
6,Good News,Mac Miller,1302992,2020-01-10--2020-01-17,ca,3ClBKQkKoaUQ6UOhe2xlJK
7,Circles,Post Malone,1192532,2020-01-10--2020-01-17,ca,21jGcNKet2qwijlDFuPiPb
8,Blinding Lights,The Weeknd,1176756,2020-01-10--2020-01-17,ca,0sf12qNH5qcw8qpgymFOqD
9,Falling,Trevor Daniel,1110169,2020-01-10--2020-01-17,ca,4TnjEaWOeW0eKTKIEvJyCa
10,Rare,Selena Gomez,1034362,2020-01-10--2020-01-17,ca,7HMmFQsKsljwTw8bS7lu19
11,Don't Start Now,Dua Lipa,1015160,2020-01-10--2020-01-17,ca,6WrI0LAC5M1Rw2MnX2ZvEg
12,Memories,Maroon 5,938912,2020-01-10--2020-01-17,ca,2b8fOow8UzyDFAE27YhOZM
13,My Oh My (feat. DaBaby),Camila Cabello,918494,2020-01-10--2020-01-17,ca,3yOlyBJuViE2YSGn3nVE1K
14,Lose You To Love Me,Selena Gomez,917525,2020-01-10--2020-01-17,ca,4l0Mvzj72xxOpRrp6h8nHi
15,BOP,DaBaby,889864,2020-01-10--2020-01-17,ca,6Ozh9Ok6h4Oi1wUSLtBseN
16,You should be sad,Halsey,874405,2020-01-10--2020-01-17,ca,2usxQITOSDqvkYiI0oIwao
17,Futsal Shuffle 2020,Lil Uzi Vert,860589,2020-01-10--2020-01-17,ca,2Ec33AVlkTTq8BHFgBTdQs
18,Someone You Loved,Lewis Capaldi,849365,2020-01-10--2020-01-17,ca,7qEHsqek33rTcFNT9PFqLf
19,everything i wanted,Billie Eilish,833320,2020-01-10--2020-01-17,ca,3ZCTVFBt2Brf31RLEnCkWJ
20,Bandit (with YoungBoy Never Broke Again),Juice WRLD,809627,2020-01-10--2020-01-17,ca,6Gg1gjgKi2AK4e0qzsR7sd
21,Ballin' (with Roddy Ricch),Mustard,788940,2020-01-10--2020-01-17,ca,3QzAOrNlsabgbMwlZt7TAY
22,Suicidal,YNW Melly,787868,2020-01-10--2020-01-17,ca,1iSqfoUFnQwV0QW1EfUit8
23,Adore You,Harry Styles,759066,2020-01-10--2020-01-17,ca,3jjujdWJ72nww5eGnfs2E7
24,hot girl bummer,blackbear,735119,2020-01-10--2020-01-17,ca,7aiClxsDWFRQ0Kzk5KI5ku
25,Eleven,Khalid,726054,2020-01-10--2020-01-17,ca,1ToprX3cpBiXoAe5eNSk74
26,If the World Was Ending - feat. Julia Michaels,JP Saxe,708024,2020-01-10--2020-01-17,ca,2kJwzbxV2ppxnQoYw4GLBZ
27,Heartless,The Weeknd,696511,2020-01-10--2020-01-17,ca,57vxBYXtHMk6H1aD29V7PU
28,Sum 2 Prove,Lil Baby,696463,2020-01-10--2020-01-17,ca,2u3EyuCqqV31woqGvO9LBz
29,Señorita,Shawn Mendes,668410,2020-01-10--2020-01-17,ca,6v3KW9xbzN5yKLt9YKDYA2
30,VIBEZ,DaBaby,664145,2020-01-10--2020-01-17,ca,0fySG6A6qLE8IvDpayb5bM
31,SUGAR,BROCKHAMPTON,655715,2020-01-10--2020-01-17,ca,6U0FIYXCQ3TGrk4tFpLrEA
32,HIGHEST IN THE ROOM,Travis Scott,630559,2020-01-10--2020-01-17,ca,3eekarcy7kvN4yt5ZFzltW
33,No Idea,Don Toliver,623743,2020-01-10--2020-01-17,ca,3VyjsVV24RmBIbWJAeUJNu
34,Watermelon Sugar,Harry Styles,610748,2020-01-10--2020-01-17,ca,6UelLqGlWMcVH1E5c4H7lY
35,Before You Go,Lewis Capaldi,603950,2020-01-10--2020-01-17,ca,2gMXnyrvIjhVBUZwvLZDMP
36,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,593196,2020-01-10--2020-01-17,ca,0RiRZpuVRbi7oqRdSMwhQY
37,bad guy,Billie Eilish,582945,2020-01-10--2020-01-17,ca,2Fxmhks0bxGSBdJ92vM42m
38,RITMO (Bad Boys For Life),Black Eyed Peas,580050,2020-01-10--2020-01-17,ca,6cy3ki60hLwimwIje7tALf
39,"10,000 Hours (with Justin Bieber)",Dan + Shay,573789,2020-01-10--2020-01-17,ca,2wrJq5XKLnmhRXHIAf9xBa
40,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,567936,2020-01-10--2020-01-17,ca,2FvD20Z8aoWIePi7PoN8sG
41,Woah,Lil Baby,564289,2020-01-10--2020-01-17,ca,598yNsG1JFrGd4n2kMoz7F
42,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,535685,2020-01-10--2020-01-17,ca,7h0d2h0fUmzbs7zeFigJPn
43,Lucid Dreams,Juice WRLD,527006,2020-01-10--2020-01-17,ca,285pBltuF7vW8TeWk8hdRR
44,Say So,Doja Cat,514494,2020-01-10--2020-01-17,ca,3Dv1eDb0MEgF93GpLXlucZ
45,Money In The Grave (Drake ft. Rick Ross),Drake,513204,2020-01-10--2020-01-17,ca,5ry2OE6R2zPQFDO85XkgRb
46,Ransom,Lil Tecca,508449,2020-01-10--2020-01-17,ca,1lOe9qE0vR9zwWQAOk6CoO
47,Ayy Macarena,Tyga,501865,2020-01-10--2020-01-17,ca,6LcauUZjF1eXQrgqMUecHX
48,July,Noah Cyrus,492846,2020-01-10--2020-01-17,ca,5a6pdCHlWS2ekOOQ70QnAr
49,Trampoline (with ZAYN),SHAED,477677,2020-01-10--2020-01-17,ca,2ez6qvOTHKeI3ss80NGqnI
50,One Thing Right,Marshmello,474929,2020-01-10--2020-01-17,ca,4hPpVbbakQNv8YTHYaOJP4
51,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,468649,2020-01-10--2020-01-17,ca,4vUmTMuQqjdnvlZmAH61Qk
52,I Don't Care (with Justin Bieber),Ed Sheeran,464982,2020-01-10--2020-01-17,ca,0hVXuCcriWRGvwMV1r5Yn9
53,Beautiful People (feat. Khalid),Ed Sheeran,463612,2020-01-10--2020-01-17,ca,70eFcWOvlMObDhURTqT4Fv
54,Ride It,Regard,454129,2020-01-10--2020-01-17,ca,2tnVG71enUj33Ic2nFN6kZ
55,OUT WEST (feat. Young Thug),JACKBOYS,446877,2020-01-10--2020-01-17,ca,6gi6y1xwmVszDWkUqab1qw
56,Lalala,Y2K,443576,2020-01-10--2020-01-17,ca,51Fjme0JiitpyXKuyQiCDo
57,High Fashion (feat. Mustard),Roddy Ricch,441365,2020-01-10--2020-01-17,ca,07KXEDMj78x68D884wgVEm
58,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,431146,2020-01-10--2020-01-17,ca,07Oz5StQ7GRoygNLaXs2pd
59,Start Wit Me (feat. Gunna),Roddy Ricch,431116,2020-01-10--2020-01-17,ca,7A20WnLkjtZU2d7hIB6Ziu
60,Robbery,Juice WRLD,428526,2020-01-10--2020-01-17,ca,6Hj9jySrnFppAI0sEMCZpJ
61,Yellow Hearts,Ant Saunders,425736,2020-01-10--2020-01-17,ca,2W4yABdLc4Jnds67Poi5Nl
62,Stuck In A Dream (feat. Gunna),Lil Mosey,425429,2020-01-10--2020-01-17,ca,7iHHxY2NLlJRAmlAmC4ahQ
63,Truth Hurts,Lizzo,421338,2020-01-10--2020-01-17,ca,5qmq61DAAOUaW8AUo8xKhh
64,Goodbyes (Feat. Young Thug),Post Malone,420182,2020-01-10--2020-01-17,ca,6vBdBCoOhKHiYDDOcorfNo
65,LOYAL (feat. Drake),PARTYNEXTDOOR,416760,2020-01-10--2020-01-17,ca,5bvnqVuq7UFl0txSlHpsfS
66,GANG GANG,JACKBOYS,405477,2020-01-10--2020-01-17,ca,6uJONCdr2rC65BNmCnTBWK
67,Burberry faygo,Lil Adrei,403867,2020-01-10--2020-01-17,ca,3B36YnwXzR3VKm4hHYmGtr
68,Wow.,Post Malone,400425,2020-01-10--2020-01-17,ca,7xQAfvXzm3AkraOtGPWIZg
69,Suge,DaBaby,399877,2020-01-10--2020-01-17,ca,2gwkD6igEhQbDQegRCcdoB
70,GOODMORNINGTOKYO!,TOKYO’S REVENGE,394310,2020-01-10--2020-01-17,ca,0Q2n5yzl2XRqYbV77tZNYp
71,Roses - Imanbek Remix,SAINt JHN,393121,2020-01-10--2020-01-17,ca,24Yi9hE78yPEbZ4kxyoXAI
72,223's (feat. 9lokknine),YNW Melly,393097,2020-01-10--2020-01-17,ca,29ZXwWOOLz9t5fa3eT3i7T
73,Look At Her Now,Selena Gomez,393027,2020-01-10--2020-01-17,ca,7eOkHIcaoUhngxxypM5Ajr
74,Old Town Road - Remix,Lil Nas X,393018,2020-01-10--2020-01-17,ca,2YpeDb67231RjR0MgVLzsG
75,20/20,Lil Tjay,389680,2020-01-10--2020-01-17,ca,4Hqh0dS4x07zuRw6eBTO7p
76,VALENTINO,24kGoldn,387147,2020-01-10--2020-01-17,ca,6piAUJJQFD8oHDUr0b7l7q
77,It's You,Ali Gatie,380169,2020-01-10--2020-01-17,ca,5DqdesEfbRyOlSS3Tf6c29
78,How Do You Sleep?,Sam Smith,378771,2020-01-10--2020-01-17,ca,6b2RcmUt1g9N9mQ3CbjX2Y
79,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,375405,2020-01-10--2020-01-17,ca,7CZyCXKG6d5ALeq41sLzbw
80,FML,Arizona Zervas,374160,2020-01-10--2020-01-17,ca,6lruHh1jF7ezgbLv72xYmf
