Position,Track Name,Artist,Streams,date,region,spotify_id
1,Tusa,KAROL G,910643,2020-01-10--2020-01-17,co,7k4t7uLgtOxPwTpFmtJNTY
2,Sigues Con El,Dímelo Flow,649740,2020-01-10--2020-01-17,co,7sQKy5vlPQllr0k9IjYJv3
3,Morado,J Balvin,611661,2020-01-10--2020-01-17,co,3mQ6SLdxxaL52Yte7KF2Ks
4,Dance Monkey,Tones And I,548756,2020-01-10--2020-01-17,co,1rgnBhdG2JDFTbYkYRZAku
5,Fantasias,Rauw Alejandro,509856,2020-01-10--2020-01-17,co,6mAN61JH0dzyZpWslS11jy
6,Hola - Remix,Dalex,477289,2020-01-10--2020-01-17,co,5stPVcRqb4qixbafP9e8lt
7,Blanco,J Balvin,461337,2020-01-10--2020-01-17,co,2rc7BkzO8qepMFAxHtOrXc
8,Vete,Bad Bunny,426718,2020-01-10--2020-01-17,co,5DxXgozhkPLgrbKFY91w0c
9,RITMO (Bad Boys For Life),Black Eyed Peas,421504,2020-01-10--2020-01-17,co,6cy3ki60hLwimwIje7tALf
10,LA CANCIÓN,J Balvin,364657,2020-01-10--2020-01-17,co,0fea68AdmYNygeTGI4RC18
11,China,Anuel AA,363202,2020-01-10--2020-01-17,co,2ksOAxtIxY8yElEWw8RhgK
12,Quizas,Rich Music LTD,334636,2020-01-10--2020-01-17,co,5Id5B3dxJZhPcV9GzgYZZe
13,Adicto (with Anuel AA & Ozuna),Tainy,330894,2020-01-10--2020-01-17,co,3jbT1Y5MoPwEIpZndDDwVq
14,Loco,Beéle,322151,2020-01-10--2020-01-17,co,2J9B63FawlTaPdg4eH5X03
15,No Me Conoce - Remix,Jhay Cortez,315728,2020-01-10--2020-01-17,co,4R8BJggjosTswLxtkw8V7P
16,Callaita,Bad Bunny,297864,2020-01-10--2020-01-17,co,2TH65lNHgvLxCKXM3apjxI
17,Whine Up,Nicky Jam,295932,2020-01-10--2020-01-17,co,2pWOMNQJW3g2zmGjP0Vkb0
18,Infeliz,Arcangel,283353,2020-01-10--2020-01-17,co,4z6wo6PJG4Fve45OXK6D9m
19,Si Te Vas,Sech,276867,2020-01-10--2020-01-17,co,6Y4PDQv4XjYjHLeLmvyOt0
20,Indeciso,Reik,271128,2020-01-10--2020-01-17,co,59s0s39NFWScuHDbHytI14
21,QUE PRETENDES,J Balvin,262996,2020-01-10--2020-01-17,co,25ZAibhr3bdlMCLmubZDVt
22,Bellaquita - Remix,Dalex,261823,2020-01-10--2020-01-17,co,1Xnn1TPyr5h0hpRAT4B4EA
23,Alguien Me Gusta,Andy Rivera,252009,2020-01-10--2020-01-17,co,4iFTIshL0xDCw8JJUl5AJ3
24,Muévelo,Nicky Jam,239535,2020-01-10--2020-01-17,co,4VgYtXCVJ7IbWAZ5ryfvEQ
25,Aventura,Lunay,239179,2020-01-10--2020-01-17,co,37zdqI4r1gswIzczSBkRon
26,Tutu,Camilo,238400,2020-01-10--2020-01-17,co,1nocRtwyNPVtGcIJqfgdzZ
27,Detente,Mike Bahía,236076,2020-01-10--2020-01-17,co,0x1k6gSTSxaLxe0F2IThaX
28,Señorita,Shawn Mendes,227577,2020-01-10--2020-01-17,co,6v3KW9xbzN5yKLt9YKDYA2
29,Pa' Olvidarme De Ella,Piso 21,222324,2020-01-10--2020-01-17,co,1cVlW9WQiGlFdWUXFdFZGh
30,Que Tire Pa Lante,Daddy Yankee,222259,2020-01-10--2020-01-17,co,6RyaV7owmVU6fzEPE17sF1
31,Qué Pena,Maluma,219494,2020-01-10--2020-01-17,co,5099x34vBakWpGkHourFxP
32,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,208005,2020-01-10--2020-01-17,co,1ndyl3wJCFs872XZ3ztPk6
33,Don't Start Now,Dua Lipa,207287,2020-01-10--2020-01-17,co,6WrI0LAC5M1Rw2MnX2ZvEg
34,Yummy,Justin Bieber,205762,2020-01-10--2020-01-17,co,41L3O37CECZt3N7ziG2z7l
35,Soltera - Remix,Lunay,204119,2020-01-10--2020-01-17,co,4t9a07PAghtQMRAIP9FQ7Z
36,11 PM,Maluma,200433,2020-01-10--2020-01-17,co,7KbF6AdprOXEEHlsq11Z6d
37,La Playa - Remix,Myke Towers,200111,2020-01-10--2020-01-17,co,70zg99pT51vB4wlMS7e4q7
38,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dímelo Flow,198774,2020-01-10--2020-01-17,co,684EjRHwNsZQ9hCQxL4NYL
39,Te Vi,Piso 21,192944,2020-01-10--2020-01-17,co,059bcIhyc2SBwm6sw2AZzd
40,Desconocidos,Mau y Ricky,189883,2020-01-10--2020-01-17,co,56f5qnyAlZdlz8wrUDA50h
41,Pa Mí - Remix,Dalex,187628,2020-01-10--2020-01-17,co,7g8YaUQABMal0zWe7a2ijz
42,Que Mas Pues - Remix,Sech,184249,2020-01-10--2020-01-17,co,7fODjB7BrQTGqh0hogW6XD
43,Con Altura,ROSALÍA,181656,2020-01-10--2020-01-17,co,2qG5sZ7Si6sdK74qLxedYM
44,Si Se Da - Remix,Myke Towers,181637,2020-01-10--2020-01-17,co,6K5BsR04ijf3FHNzjbaagD
45,"Yo x Ti, Tu x Mi",ROSALÍA,177317,2020-01-10--2020-01-17,co,7BlBVFwvbWvcwNcUarQmjk
46,Destino,Greeicy,171007,2020-01-10--2020-01-17,co,041Kcvnw8nOdq8xiRibPTG
47,Otro Trago,Sech,170932,2020-01-10--2020-01-17,co,1Ej96GIBCTvgH7tNX1r3qr
48,Una Vida Para Recordar,Piso 21,169482,2020-01-10--2020-01-17,co,7pxL0DzPpCjjcdfQccvnus
49,Cuaderno,Dalex,164380,2020-01-10--2020-01-17,co,7anSoGdgtmJTAPZBzcPhO6
50,Me Gusta,Shakira,156664,2020-01-10--2020-01-17,co,5Xhqh4lwJPtMUTsdBztN1a
