Position,Track Name,Artist,Streams,date,region,spotify_id
1,The Box,Roddy Ricch,45126,2020-01-10--2020-01-17,lv,0nbXyq5TXYPCO7pr3N8S4I
2,Falling,Trevor Daniel,34418,2020-01-10--2020-01-17,lv,4TnjEaWOeW0eKTKIEvJyCa
3,everything i wanted,Billie Eilish,29292,2020-01-10--2020-01-17,lv,3ZCTVFBt2Brf31RLEnCkWJ
4,Blinding Lights,The Weeknd,28583,2020-01-10--2020-01-17,lv,0sf12qNH5qcw8qpgymFOqD
5,Dance Monkey,Tones And I,26883,2020-01-10--2020-01-17,lv,1rgnBhdG2JDFTbYkYRZAku
6,ROXANNE,Arizona Zervas,26052,2020-01-10--2020-01-17,lv,696DnlkuDOXcMAnKlTgXXK
7,Life Is Good (feat. Drake),Future,25983,2020-01-10--2020-01-17,lv,5yY9lUy8nbvjM1Uyo1Uqoc
8,Circles,Post Malone,22669,2020-01-10--2020-01-17,lv,21jGcNKet2qwijlDFuPiPb
9,Don't Start Now,Dua Lipa,22552,2020-01-10--2020-01-17,lv,6WrI0LAC5M1Rw2MnX2ZvEg
10,Yummy,Justin Bieber,18936,2020-01-10--2020-01-17,lv,41L3O37CECZt3N7ziG2z7l
11,No Idea,Don Toliver,18828,2020-01-10--2020-01-17,lv,3VyjsVV24RmBIbWJAeUJNu
12,HIGHEST IN THE ROOM,Travis Scott,18244,2020-01-10--2020-01-17,lv,3eekarcy7kvN4yt5ZFzltW
13,Rare,Selena Gomez,17982,2020-01-10--2020-01-17,lv,7HMmFQsKsljwTw8bS7lu19
14,Adore You,Harry Styles,17165,2020-01-10--2020-01-17,lv,3jjujdWJ72nww5eGnfs2E7
15,Lose You To Love Me,Selena Gomez,16891,2020-01-10--2020-01-17,lv,4l0Mvzj72xxOpRrp6h8nHi
16,Good News,Mac Miller,16739,2020-01-10--2020-01-17,lv,3ClBKQkKoaUQ6UOhe2xlJK
17,bad guy,Billie Eilish,16570,2020-01-10--2020-01-17,lv,2Fxmhks0bxGSBdJ92vM42m
18,hot girl bummer,blackbear,16449,2020-01-10--2020-01-17,lv,7aiClxsDWFRQ0Kzk5KI5ku
19,Roses - Imanbek Remix,SAINt JHN,16330,2020-01-10--2020-01-17,lv,24Yi9hE78yPEbZ4kxyoXAI
20,Memories,Maroon 5,16142,2020-01-10--2020-01-17,lv,2b8fOow8UzyDFAE27YhOZM
21,Watermelon Sugar,Harry Styles,15732,2020-01-10--2020-01-17,lv,6UelLqGlWMcVH1E5c4H7lY
22,My Oh My (feat. DaBaby),Camila Cabello,15494,2020-01-10--2020-01-17,lv,3yOlyBJuViE2YSGn3nVE1K
23,Futsal Shuffle 2020,Lil Uzi Vert,14932,2020-01-10--2020-01-17,lv,2Ec33AVlkTTq8BHFgBTdQs
24,You should be sad,Halsey,14696,2020-01-10--2020-01-17,lv,2usxQITOSDqvkYiI0oIwao
25,Lose Control,MEDUZA,14671,2020-01-10--2020-01-17,lv,7CHi4DtfK4heMlQaudCuHK
26,Ride It,Regard,14474,2020-01-10--2020-01-17,lv,2tnVG71enUj33Ic2nFN6kZ
27,SUGAR,BROCKHAMPTON,14111,2020-01-10--2020-01-17,lv,6U0FIYXCQ3TGrk4tFpLrEA
28,Lucid Dreams,Juice WRLD,13969,2020-01-10--2020-01-17,lv,285pBltuF7vW8TeWk8hdRR
29,BOP,DaBaby,13433,2020-01-10--2020-01-17,lv,6Ozh9Ok6h4Oi1wUSLtBseN
30,Suicidal,YNW Melly,13130,2020-01-10--2020-01-17,lv,1iSqfoUFnQwV0QW1EfUit8
31,Say So,Doja Cat,12787,2020-01-10--2020-01-17,lv,3Dv1eDb0MEgF93GpLXlucZ
32,Heartless,The Weeknd,12738,2020-01-10--2020-01-17,lv,57vxBYXtHMk6H1aD29V7PU
33,Señorita,Shawn Mendes,12699,2020-01-10--2020-01-17,lv,6v3KW9xbzN5yKLt9YKDYA2
