Position,Track Name,Artist,Streams,date,region,spotify_id
1,Smoorverliefd,Snelle,2950364,2020-01-10--2020-01-17,nl,2ryMKWtH2SEQY8fTAclFYb
2,Blinding Lights,The Weeknd,1883429,2020-01-10--2020-01-17,nl,0sf12qNH5qcw8qpgymFOqD
3,Memories,Boef,1695609,2020-01-10--2020-01-17,nl,7muicvRPVglfHRtBHpSFqH
4,Dance Monkey,Tones And I,1610036,2020-01-10--2020-01-17,nl,1rgnBhdG2JDFTbYkYRZAku
5,Pa Olvidarte (Beste Zangers Seizoen 2019),Emma Heesters,1489057,2020-01-10--2020-01-17,nl,1RO8Q3w2Jkir8cvvGEApI0
6,ROXANNE,Arizona Zervas,1306287,2020-01-10--2020-01-17,nl,696DnlkuDOXcMAnKlTgXXK
7,Memories,Maroon 5,1223098,2020-01-10--2020-01-17,nl,2b8fOow8UzyDFAE27YhOZM
8,Don't Start Now,Dua Lipa,1186175,2020-01-10--2020-01-17,nl,6WrI0LAC5M1Rw2MnX2ZvEg
9,Yummy,Justin Bieber,1147467,2020-01-10--2020-01-17,nl,41L3O37CECZt3N7ziG2z7l
10,The Box,Roddy Ricch,1139635,2020-01-10--2020-01-17,nl,0nbXyq5TXYPCO7pr3N8S4I
11,everything i wanted,Billie Eilish,1067977,2020-01-10--2020-01-17,nl,3ZCTVFBt2Brf31RLEnCkWJ
12,Ze Huilt Maar Ze Lacht,Maan,1024705,2020-01-10--2020-01-17,nl,0JWaEkQmU8oaSukOBCbrJC
13,Circles,Post Malone,1014092,2020-01-10--2020-01-17,nl,21jGcNKet2qwijlDFuPiPb
14,Ride It,Regard,985248,2020-01-10--2020-01-17,nl,2tnVG71enUj33Ic2nFN6kZ
15,Falling,Trevor Daniel,957788,2020-01-10--2020-01-17,nl,4TnjEaWOeW0eKTKIEvJyCa
16,Before You Go,Lewis Capaldi,953113,2020-01-10--2020-01-17,nl,2gMXnyrvIjhVBUZwvLZDMP
17,3 Nights,Dominic Fike,920782,2020-01-10--2020-01-17,nl,0uI7yAKUf52Cn7y3sYyjiX
18,Life Is Good (feat. Drake),Future,879281,2020-01-10--2020-01-17,nl,5yY9lUy8nbvjM1Uyo1Uqoc
19,Ze Kent Mij,Snelle,861731,2020-01-10--2020-01-17,nl,3BiBIgQFa8K4EOxisyhXX7
20,My Oh My (feat. DaBaby),Camila Cabello,841811,2020-01-10--2020-01-17,nl,3yOlyBJuViE2YSGn3nVE1K
21,Lose You To Love Me,Selena Gomez,819762,2020-01-10--2020-01-17,nl,4l0Mvzj72xxOpRrp6h8nHi
22,Roller Coaster,Danny Vera,793841,2020-01-10--2020-01-17,nl,7rO7Pc5dkC2EIW1OKsCJtQ
23,Amsterdam,KA,792670,2020-01-10--2020-01-17,nl,0AYusekhLHnpX2dU0SOryJ
24,Stil In Mij (Verspijkerd),Josylvio,763662,2020-01-10--2020-01-17,nl,0jaehfKrOQzs0XRbJZH8XT
25,Reünie,Snelle,763370,2020-01-10--2020-01-17,nl,5S7YAM3lcfPNBSTVyciwCu
26,Lose Control,MEDUZA,761329,2020-01-10--2020-01-17,nl,7CHi4DtfK4heMlQaudCuHK
27,Nacht,Kraantje Pappie,740938,2020-01-10--2020-01-17,nl,06Wn0NldbOhwpKCsoTsUp7
28,Lippenstift,Marco Borsato,693084,2020-01-10--2020-01-17,nl,3D9MKbMaHCZjSEcCWf4wDm
