Position,Track Name,Artist,Streams,date,region,spotify_id
1,Mitten av september,Hov1,1665174,2020-01-10--2020-01-17,se,7jjLKYImKi4sXsvPKwLoRq
2,Blinding Lights,The Weeknd,1370264,2020-01-10--2020-01-17,se,0sf12qNH5qcw8qpgymFOqD
3,XO,Yasin,1129642,2020-01-10--2020-01-17,se,0JyOOPqNSdhIC7VrxrRNGt
4,Dance Monkey,Tones And I,1052629,2020-01-10--2020-01-17,se,1rgnBhdG2JDFTbYkYRZAku
5,Lev nu dö sen,Miss Li,1031574,2020-01-10--2020-01-17,se,6HJasLoTKvxglAMQH8nPcD
6,GFLOW,Z.E,969857,2020-01-10--2020-01-17,se,684jrXb96qFbfvBFkLJ08d
7,Våra vackra dar,Hov1,934942,2020-01-10--2020-01-17,se,3qqZaP3TSW6Rn8rwTBUKIn
8,Svartsjuk,Hov1,931297,2020-01-10--2020-01-17,se,3zYkiaVV22ZjeZPS1YrFRa
9,PT:1,Yasin,888116,2020-01-10--2020-01-17,se,0peCogN4G8UuuhSB9jPUnN
10,Första klivet,Lellow,876387,2020-01-10--2020-01-17,se,3rUb2v8JnqDwcQ3v3Yr057
11,ICE CREAM,Greekazo,829641,2020-01-10--2020-01-17,se,1XrJFPU2gbR0YzKyugold7
12,Kära mamma,Hov1,819595,2020-01-10--2020-01-17,se,2v9sTeANiy5mh60M9Ne77Q
13,Två sekunder på loftet,Hov1,812580,2020-01-10--2020-01-17,se,6VOFDrMvm3JNsfhtJF7J2w
14,The Box,Roddy Ricch,794719,2020-01-10--2020-01-17,se,0nbXyq5TXYPCO7pr3N8S4I
15,Yummy,Justin Bieber,782970,2020-01-10--2020-01-17,se,41L3O37CECZt3N7ziG2z7l
16,PIPPI,Dree Low,734314,2020-01-10--2020-01-17,se,3ySRhREV5ceozxdk0lPqIe
17,Tills mitt hjärta går under,Myra Granberg,716461,2020-01-10--2020-01-17,se,71q2qYTo4BzqNGpy5S7vV3
18,MANGO LASSI,Dree Low,656363,2020-01-10--2020-01-17,se,2fjYyl87s888GDWsQ4t8nb
19,Brev ifrån en storstad,Hov1,653372,2020-01-10--2020-01-17,se,0JClaLB3hKESxc1blSF2R4
20,FÖRSENT,1.Cuz,648769,2020-01-10--2020-01-17,se,6mDcLPGVCmdhMN4gBzNb7s
21,No Cap,Adel,630537,2020-01-10--2020-01-17,se,3G69nPByVZKPtgsesLKbx4
22,I love u so much,Hov1,624861,2020-01-10--2020-01-17,se,69U1FSJWDTztHG9OvOraxJ
23,TESLA,Macky,591709,2020-01-10--2020-01-17,se,4LZi20EAgNBhTR3OBWLzdr
24,Sex i taxin,Hov1,586534,2020-01-10--2020-01-17,se,6lW1rampOjL7HJi8xWRg39
25,everything i wanted,Billie Eilish,581814,2020-01-10--2020-01-17,se,3ZCTVFBt2Brf31RLEnCkWJ
26,Someone You Loved,Lewis Capaldi,570356,2020-01-10--2020-01-17,se,7qEHsqek33rTcFNT9PFqLf
27,Life Is Good (feat. Drake),Future,568361,2020-01-10--2020-01-17,se,5yY9lUy8nbvjM1Uyo1Uqoc
28,Falling,Trevor Daniel,555498,2020-01-10--2020-01-17,se,4TnjEaWOeW0eKTKIEvJyCa
29,Memories,Maroon 5,553357,2020-01-10--2020-01-17,se,2b8fOow8UzyDFAE27YhOZM
30,Valhalla,Ringnes-Ronny,535392,2020-01-10--2020-01-17,se,1icRHA6kFSipRbZREQPaA0
31,ROXANNE,Arizona Zervas,522679,2020-01-10--2020-01-17,se,696DnlkuDOXcMAnKlTgXXK
32,DSGIS,Yasin,504324,2020-01-10--2020-01-17,se,1ett0ayp7e0sad3oWQtJPQ
33,Det svåraste,estraden,498977,2020-01-10--2020-01-17,se,7Do7xOZdSa9a41RbBFORwe
34,Va Mig,Ant Wan,467577,2020-01-10--2020-01-17,se,5HsBJenkDnrzim7o7uKwQq
35,Don't Start Now,Dua Lipa,450584,2020-01-10--2020-01-17,se,6WrI0LAC5M1Rw2MnX2ZvEg
36,Cleopatra,Ant Wan,446308,2020-01-10--2020-01-17,se,5QrUrRVyvzJSzxiJoiFa9w
37,Some Say,Nea,443043,2020-01-10--2020-01-17,se,4poybupy26pTWPr9zY1i7h
38,"Alone, Pt. II",Alan Walker,430713,2020-01-10--2020-01-17,se,0bMbDctzMmTyK2j74j3nF3
39,HotSpot,Greekazo,428210,2020-01-10--2020-01-17,se,2W9WzW1Ot0YrWpJwWoRRVO
40,Circles,Post Malone,425787,2020-01-10--2020-01-17,se,21jGcNKet2qwijlDFuPiPb
41,Rare,Selena Gomez,413588,2020-01-10--2020-01-17,se,7HMmFQsKsljwTw8bS7lu19
42,Before You Go,Lewis Capaldi,410808,2020-01-10--2020-01-17,se,2gMXnyrvIjhVBUZwvLZDMP
43,bad guy,Billie Eilish,403842,2020-01-10--2020-01-17,se,2Fxmhks0bxGSBdJ92vM42m
44,Not For Sale,Yasin,400574,2020-01-10--2020-01-17,se,4URUc2gf1k0kjf7g7EsZV5
45,"Mi Amor (Blåmärkshårt) [feat. Cherrie, Molly Sandén, STOR]",Miriam Bryant,397330,2020-01-10--2020-01-17,se,1vmQXaFNMnSEBLTobPwME5
46,DANCE,CLMD,393351,2020-01-10--2020-01-17,se,6TfeXwJihJRuBW3mFpib6J
47,"Rosa himmel (från ""Störst av allt"")",Molly Sandén,389840,2020-01-10--2020-01-17,se,3xkGJKpWrn1n6Bk2m84bJP
48,Lose You To Love Me,Selena Gomez,382267,2020-01-10--2020-01-17,se,4l0Mvzj72xxOpRrp6h8nHi
49,Tillfälligheter,Veronica Maggio,371378,2020-01-10--2020-01-17,se,0rBj6lYQUMHwTJ33sdj6Qz
50,If the World Was Ending - feat. Julia Michaels,JP Saxe,371226,2020-01-10--2020-01-17,se,2kJwzbxV2ppxnQoYw4GLBZ
51,Adore You,Harry Styles,362147,2020-01-10--2020-01-17,se,3jjujdWJ72nww5eGnfs2E7
