Position,Track Name,Artist,Streams,date,region,spotify_id
1,Reggaetón Lento (Bailemos),CNCO,1320990,2017-01-13--2017-01-20,ar,3AEZUABDXNtecAOSC1qTfo
2,Chantaje (feat. Maluma),Shakira,1268854,2017-01-13--2017-01-20,ar,6mICuAdrwEjh6Y6lroV2Kg
3,Cuando Se Pone a Bailar,Rombai,1048361,2017-01-13--2017-01-20,ar,1MpKZi1zTXpERKwxmOu1PH
4,Vente Pa' Ca (feat. Maluma),Ricky Martin,888114,2017-01-13--2017-01-20,ar,7DM4BPaS7uofFul3ywMe46
5,Safari,J Balvin,815060,2017-01-13--2017-01-20,ar,6rQSrBHf7HlZjtcMZ4S4bO
6,Traicionera,Sebastian Yatra,778272,2017-01-13--2017-01-20,ar,5J1c3M4EldCfNxXwrwt8mT
7,Otra vez (feat. J Balvin),Zion & Lennox,717202,2017-01-13--2017-01-20,ar,3QwBODjSEzelZyVjxPOHdq
8,Shaky Shaky,Daddy Yankee,607534,2017-01-13--2017-01-20,ar,58IL315gMSTD37DOZPJ2hf
9,Me llamas (feat. Maluma) - Remix,Piso 21,605060,2017-01-13--2017-01-20,ar,5hEM0JchdVzQ5PwvSfITeX
10,Dile Que Tu Me Quieres,Ozuna,582981,2017-01-13--2017-01-20,ar,20ZAJdsKB5IGbGj4ilRt2o
11,Despacito (Featuring Daddy Yankee),Luis Fonsi,566104,2017-01-13--2017-01-20,ar,4aWmUDTfIPGksMNLV2rQP2
12,Andas En Mi Cabeza,Chino & Nacho,557669,2017-01-13--2017-01-20,ar,5mey7CLLuFToM2P68Qu1gF
13,Vacaciones,Wisin,549148,2017-01-13--2017-01-20,ar,3dQDid3IUNhZy1OehIfYfE
14,Gyal You A Party Animal - Remix,Charly Black,545117,2017-01-13--2017-01-20,ar,1AkTW13ysu0AJrwuM6UY0I
15,Shape of You,Ed Sheeran,544120,2017-01-13--2017-01-20,ar,7qiZfU4dY1lWllzX7mPBI3
16,Let Me Love You,DJ Snake,516642,2017-01-13--2017-01-20,ar,4pdPtRcBmOSQDlJ3Fk945m
17,La Bicicleta,Carlos Vives,509306,2017-01-13--2017-01-20,ar,0sXvAOmXgjR2QUqLK1MltU
18,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,497954,2017-01-13--2017-01-20,ar,6stYbAJgTszHAHZMPxWWCY
19,24K Magic,Bruno Mars,487396,2017-01-13--2017-01-20,ar,6b8Be6ljOzmkOmFslEb23P
20,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,474567,2017-01-13--2017-01-20,ar,5knuzwU65gJK7IF5yJsuaW
21,La Noche No Es para Dormir,Mano Arriba,459794,2017-01-13--2017-01-20,ar,3gEebOzxHpEwElicl1XBy0
22,Carnavalintro,CHANO,448829,2017-01-13--2017-01-20,ar,0tGAPnTFwRJA6FZgYZ0BAe
23,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,444669,2017-01-13--2017-01-20,ar,0JoHqmlqE0W0i9prt6kcHR
24,My Way,Calvin Harris,417461,2017-01-13--2017-01-20,ar,1vvNmPOiUuyCbgWmtc6yfm
25,Don't Wanna Know,Maroon 5,412799,2017-01-13--2017-01-20,ar,5MFzQMkrl1FOOng9tq6R9r
26,Manicomio,Cosculluela,409687,2017-01-13--2017-01-20,ar,3n58u3LOFw8mITLvfPvQBz
27,Desde Esa Noche (feat. Maluma),Thalia,407211,2017-01-13--2017-01-20,ar,1pWYnQIlqxTh5bxuPmTG4E
28,Borro Cassette,Maluma,395578,2017-01-13--2017-01-20,ar,6DUdDIRgLqCGq1DwkNWQTN
29,Te Quiero Pa´Mi,Don Omar,385305,2017-01-13--2017-01-20,ar,3BY2mafsbsoKGqS380Xnuz
30,Starboy,The Weeknd,384738,2017-01-13--2017-01-20,ar,5aAx2yezTd8zXrkmtKl66Z
31,Cold Water (feat. Justin Bieber & MØ),Major Lazer,381289,2017-01-13--2017-01-20,ar,6DNtNfH8hXkqOX1sjqmI7p
32,Closer,The Chainsmokers,379554,2017-01-13--2017-01-20,ar,7BKLCZ1jbUBVqRi2FVlTVw
33,No Llores,LOAN,362683,2017-01-13--2017-01-20,ar,07GOnZWIiHWjLzUsaTv5yO
34,Side To Side,Ariana Grande,362328,2017-01-13--2017-01-20,ar,4pLwZjInHj3SimIyN9SnOz
35,DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,360891,2017-01-13--2017-01-20,ar,6YZdkObH88npeKrrkb8Ggf
36,In the Name of Love,Martin Garrix,358208,2017-01-13--2017-01-20,ar,04DwTuZ2VBdJCCC5TROn7L
37,Llamame Mas Temprano,Mano Arriba,341679,2017-01-13--2017-01-20,ar,5aHJug2wnupoGfgfxRudsk
38,Traicionera - Remix,Sebastian Yatra,332834,2017-01-13--2017-01-20,ar,2webQDZmtGioeu3zUUi9We
39,La Bicicleta (feat. Maluma) - Remix,Carlos Vives,329356,2017-01-13--2017-01-20,ar,7IRuf7FrdQvOGs0g9mSNGr
40,Pasarla Bien,Marama,327668,2017-01-13--2017-01-20,ar,0ZzVPCGdkpKcxAzMNDD5UZ
41,Tu Ritmo,Los Bonnitos,307759,2017-01-13--2017-01-20,ar,0BFgCEE7ozbyB1PpLpLyhM
42,No Quiere Enamorarse (Remix) [feat. Daddy Yankee],Ozuna,306732,2017-01-13--2017-01-20,ar,4vlbjBSMqycZk6t4HVRpnC
