Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,1764942,2017-01-13--2017-01-20,au,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,1243364,2017-01-13--2017-01-20,au,6PCUP3dWmTjcTtXY02oFdT
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,984486,2017-01-13--2017-01-20,au,3NdDpSvN911VPGivFlV5d0
4,Starboy,The Weeknd,943620,2017-01-13--2017-01-20,au,5aAx2yezTd8zXrkmtKl66Z
5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,929112,2017-01-13--2017-01-20,au,5knuzwU65gJK7IF5yJsuaW
6,I Feel It Coming,The Weeknd,838020,2017-01-13--2017-01-20,au,5GXAXm5YOmYT0kL5jHvYBt
7,Call On Me - Ryan Riback Extended Remix,Starley,836576,2017-01-13--2017-01-20,au,78rIJddV4X0HkNAInEcYde
8,Closer,The Chainsmokers,796573,2017-01-13--2017-01-20,au,7BKLCZ1jbUBVqRi2FVlTVw
9,Paris,The Chainsmokers,763225,2017-01-13--2017-01-20,au,72jbDTw1piOOj770jWNeaG
10,Say You Won't Let Go,James Arthur,745206,2017-01-13--2017-01-20,au,5uCax9HTNlzGybIStD3vDh
11,Sexual,NEIKED,717722,2017-01-13--2017-01-20,au,3AsAuGTaDQzavZZThyYlop
12,Love$ick,Mura Masa,699532,2017-01-13--2017-01-20,au,5v9N8Rx3QsFvr50cxyQcA3
13,Stranger (feat. Elliphant),Peking Duk,692904,2017-01-13--2017-01-20,au,0jVPEBd4wyHupkTHwzQRyc
14,Chameleon,PNAU,685325,2017-01-13--2017-01-20,au,4rex1k9pBVFaIVKBBssZzi
15,Don't Wanna Know,Maroon 5,677341,2017-01-13--2017-01-20,au,5MFzQMkrl1FOOng9tq6R9r
16,I Would Like,Zara Larsson,665963,2017-01-13--2017-01-20,au,4Q4jmPHwu0wrJvqrld0FQ6
17,Fresh Eyes,Andy Grammer,660323,2017-01-13--2017-01-20,au,4nMlau89VAjmV7agkl7OY3
18,Just Hold On,Steve Aoki,651895,2017-01-13--2017-01-20,au,3EmmCZoqpWOTY1g2GBwJoR
19,Scars To Your Beautiful,Alessia Cara,615694,2017-01-13--2017-01-20,au,0prNGof3XqfTvNDxHonvdK
20,Now and Later,Sage The Gemini,609256,2017-01-13--2017-01-20,au,43jBqV3j3Xi1g6wO0bhIMd
21,All Night,The Vamps,591329,2017-01-13--2017-01-20,au,1yNyoWWWikbLhwIGWjZuDW
22,Bad Things (with Camila Cabello),Machine Gun Kelly,587275,2017-01-13--2017-01-20,au,1PSBzsahR2AKwLJgx8ehBj
23,Capsize,FRENSHIP,580930,2017-01-13--2017-01-20,au,2XMTqoHHSH0lvuXrvIEdco
24,The Mack,Nevada,578139,2017-01-13--2017-01-20,au,7aV2mflaASUmGhCErm7kBO
25,Shed a Light,Robin Schulz,577862,2017-01-13--2017-01-20,au,1cG0umU5TKStygKsPFZ9pY
26,Let Me Love You,DJ Snake,572903,2017-01-13--2017-01-20,au,4pdPtRcBmOSQDlJ3Fk945m
27,24K Magic,Bruno Mars,571013,2017-01-13--2017-01-20,au,6b8Be6ljOzmkOmFslEb23P
28,Fake Love,Drake,570485,2017-01-13--2017-01-20,au,343YBumqHu19cGoGARUTsd
29,All We Know,The Chainsmokers,547823,2017-01-13--2017-01-20,au,2rizacJSyD9S1IQUxUxnsK
30,Black Beatles,Rae Sremmurd,546239,2017-01-13--2017-01-20,au,6fujklziTHa8uoM5OQSfIo
31,Cocoon,Milky Chance,533081,2017-01-13--2017-01-20,au,0L87MffumRNWrY2SNUFcvs
32,By Your Side,Jonas Blue,524860,2017-01-13--2017-01-20,au,1D3ODoXHBLpdxolZRHWV1j
33,Cold Water (feat. Justin Bieber & MØ),Major Lazer,519821,2017-01-13--2017-01-20,au,6DNtNfH8hXkqOX1sjqmI7p
34,My Way,Calvin Harris,507286,2017-01-13--2017-01-20,au,1vvNmPOiUuyCbgWmtc6yfm
35,Starving,Hailee Steinfeld,481567,2017-01-13--2017-01-20,au,1qOLh0tI7trd1zdDKxYZTe
36,In the Name of Love,Martin Garrix,470352,2017-01-13--2017-01-20,au,04DwTuZ2VBdJCCC5TROn7L
37,Catch 22 (feat. Anne-Marie),Illy,465759,2017-01-13--2017-01-20,au,2bWrml86uwGVvznX8KKtwx
38,Water Under the Bridge,Adele,463538,2017-01-13--2017-01-20,au,4vb4mFvYsr2h6enhjJsq9Y
