Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,323850,2017-01-13--2017-01-20,ch,7qiZfU4dY1lWllzX7mPBI3
2,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,152348,2017-01-13--2017-01-20,ch,5knuzwU65gJK7IF5yJsuaW
3,Castle on the Hill,Ed Sheeran,150830,2017-01-13--2017-01-20,ch,6PCUP3dWmTjcTtXY02oFdT
4,Starboy,The Weeknd,131062,2017-01-13--2017-01-20,ch,5aAx2yezTd8zXrkmtKl66Z
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,125827,2017-01-13--2017-01-20,ch,3NdDpSvN911VPGivFlV5d0
6,Paris,The Chainsmokers,119658,2017-01-13--2017-01-20,ch,72jbDTw1piOOj770jWNeaG
7,Call On Me - Ryan Riback Extended Remix,Starley,113875,2017-01-13--2017-01-20,ch,78rIJddV4X0HkNAInEcYde
8,Say You Won't Let Go,James Arthur,110527,2017-01-13--2017-01-20,ch,5uCax9HTNlzGybIStD3vDh
9,Alone,Alan Walker,110422,2017-01-13--2017-01-20,ch,0JiVRyTJcJnmlwCZ854K4p
10,I Feel It Coming,The Weeknd,105568,2017-01-13--2017-01-20,ch,5GXAXm5YOmYT0kL5jHvYBt
11,Chantaje (feat. Maluma),Shakira,104974,2017-01-13--2017-01-20,ch,6mICuAdrwEjh6Y6lroV2Kg
12,Don't Wanna Know,Maroon 5,95373,2017-01-13--2017-01-20,ch,5MFzQMkrl1FOOng9tq6R9r
13,Closer,The Chainsmokers,93250,2017-01-13--2017-01-20,ch,7BKLCZ1jbUBVqRi2FVlTVw
14,Let Me Love You,DJ Snake,90493,2017-01-13--2017-01-20,ch,4pdPtRcBmOSQDlJ3Fk945m
15,Just Hold On,Steve Aoki,87043,2017-01-13--2017-01-20,ch,3EmmCZoqpWOTY1g2GBwJoR
16,Love Me Now,John Legend,86684,2017-01-13--2017-01-20,ch,6nxQdXa1uAL0rY72wPZu89
17,Solo Dance,Martin Jensen,85084,2017-01-13--2017-01-20,ch,6HUnnBwYZqcED1eQztxMBN
18,Mercy,Shawn Mendes,84575,2017-01-13--2017-01-20,ch,4TZy1wLyHec06pwgFYDh1a
19,Fake Love,Drake,79524,2017-01-13--2017-01-20,ch,343YBumqHu19cGoGARUTsd
20,Shed a Light,Robin Schulz,78159,2017-01-13--2017-01-20,ch,1cG0umU5TKStygKsPFZ9pY
21,All We Know,The Chainsmokers,75710,2017-01-13--2017-01-20,ch,2rizacJSyD9S1IQUxUxnsK
22,All Night,The Vamps,75502,2017-01-13--2017-01-20,ch,1yNyoWWWikbLhwIGWjZuDW
23,Hear Me Now,Alok,71892,2017-01-13--2017-01-20,ch,1a5Yu5L18qNxVhXx38njON
24,Now and Later,Sage The Gemini,71525,2017-01-13--2017-01-20,ch,43jBqV3j3Xi1g6wO0bhIMd
25,"How Far I'll Go - From ""Moana""",Alessia Cara,70312,2017-01-13--2017-01-20,ch,5hYTyyh2odQKphUbMqc5gN
26,In the Name of Love,Martin Garrix,69721,2017-01-13--2017-01-20,ch,04DwTuZ2VBdJCCC5TROn7L
27,One Dance,Drake,69130,2017-01-13--2017-01-20,ch,1xznGGDReH1oQq0xzbwXa3
28,Bad Things (with Camila Cabello),Machine Gun Kelly,67951,2017-01-13--2017-01-20,ch,1PSBzsahR2AKwLJgx8ehBj
29,Scars To Your Beautiful,Alessia Cara,67830,2017-01-13--2017-01-20,ch,0prNGof3XqfTvNDxHonvdK
30,My Way,Calvin Harris,67643,2017-01-13--2017-01-20,ch,1vvNmPOiUuyCbgWmtc6yfm
31,Sunset Lover,Petit Biscuit,67057,2017-01-13--2017-01-20,ch,0hNduWmlWmEmuwEFcYvRu1
