Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,520863,2017-01-13--2017-01-20,id,7qiZfU4dY1lWllzX7mPBI3
2,Say You Won't Let Go,James Arthur,431473,2017-01-13--2017-01-20,id,5uCax9HTNlzGybIStD3vDh
3,Paris,The Chainsmokers,392744,2017-01-13--2017-01-20,id,72jbDTw1piOOj770jWNeaG
4,Closer,The Chainsmokers,355454,2017-01-13--2017-01-20,id,7BKLCZ1jbUBVqRi2FVlTVw
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,333714,2017-01-13--2017-01-20,id,3NdDpSvN911VPGivFlV5d0
6,All We Know,The Chainsmokers,333544,2017-01-13--2017-01-20,id,2rizacJSyD9S1IQUxUxnsK
7,Bad Things (with Camila Cabello),Machine Gun Kelly,325693,2017-01-13--2017-01-20,id,1PSBzsahR2AKwLJgx8ehBj
8,Don't Wanna Know,Maroon 5,313476,2017-01-13--2017-01-20,id,5MFzQMkrl1FOOng9tq6R9r
9,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,292447,2017-01-13--2017-01-20,id,5knuzwU65gJK7IF5yJsuaW
10,Castle on the Hill,Ed Sheeran,288560,2017-01-13--2017-01-20,id,6PCUP3dWmTjcTtXY02oFdT
11,Let Me Love You,DJ Snake,269198,2017-01-13--2017-01-20,id,4pdPtRcBmOSQDlJ3Fk945m
12,Starboy,The Weeknd,268784,2017-01-13--2017-01-20,id,5aAx2yezTd8zXrkmtKl66Z
13,Alone,Alan Walker,266372,2017-01-13--2017-01-20,id,0JiVRyTJcJnmlwCZ854K4p
14,Versace on the Floor,Bruno Mars,265521,2017-01-13--2017-01-20,id,0kN8xEmgMW9mh7UmDYHlJP
15,"How Far I'll Go - From ""Moana""",Alessia Cara,247578,2017-01-13--2017-01-20,id,5hYTyyh2odQKphUbMqc5gN
16,Starving,Hailee Steinfeld,245070,2017-01-13--2017-01-20,id,1qOLh0tI7trd1zdDKxYZTe
17,By Your Side,Jonas Blue,240392,2017-01-13--2017-01-20,id,1D3ODoXHBLpdxolZRHWV1j
18,24K Magic,Bruno Mars,238474,2017-01-13--2017-01-20,id,6b8Be6ljOzmkOmFslEb23P
19,Side To Side,Ariana Grande,228170,2017-01-13--2017-01-20,id,4pLwZjInHj3SimIyN9SnOz
20,I Feel It Coming,The Weeknd,226728,2017-01-13--2017-01-20,id,5GXAXm5YOmYT0kL5jHvYBt
21,Just Hold On,Steve Aoki,222714,2017-01-13--2017-01-20,id,3EmmCZoqpWOTY1g2GBwJoR
22,All Night,The Vamps,220364,2017-01-13--2017-01-20,id,1yNyoWWWikbLhwIGWjZuDW
23,Cold Water (feat. Justin Bieber & MØ),Major Lazer,207218,2017-01-13--2017-01-20,id,6DNtNfH8hXkqOX1sjqmI7p
24,Call On Me - Ryan Riback Extended Remix,Starley,200356,2017-01-13--2017-01-20,id,78rIJddV4X0HkNAInEcYde
25,Alone,Marshmello,199557,2017-01-13--2017-01-20,id,12mGwph2YzDIlChtq3EdXP
26,In the Name of Love,Martin Garrix,180856,2017-01-13--2017-01-20,id,04DwTuZ2VBdJCCC5TROn7L
27,Treat You Better,Shawn Mendes,174554,2017-01-13--2017-01-20,id,4Hf7WnR761jpxPr5D46Bcd
28,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,169665,2017-01-13--2017-01-20,id,68EMU2RD1ECNeOeJ5qAXCV
29,Mercy,Shawn Mendes,167567,2017-01-13--2017-01-20,id,4TZy1wLyHec06pwgFYDh1a
30,Perfect Strangers,Jonas Blue,167326,2017-01-13--2017-01-20,id,1CUVN2kn7mW5FjkqXTR2W1
31,Dia - Hits Single,Anji,159355,2017-01-13--2017-01-20,id,2ok6IGh97S4eIRse9K2sjg
32,Penantian Berharga,Rizky Febian,159068,2017-01-13--2017-01-20,id,1n6l1bcpVPXbKd8FhrwxT3
33,Till It Hurts,Yellow Claw,155201,2017-01-13--2017-01-20,id,6hJSH3jS9jG6khVclppBJw
34,All Time Low,Jon Bellion,152551,2017-01-13--2017-01-20,id,1CnPYaKxTVb4LWOtiGOm0m
35,Scars To Your Beautiful,Alessia Cara,151004,2017-01-13--2017-01-20,id,0prNGof3XqfTvNDxHonvdK
36,I Would Like,Zara Larsson,149612,2017-01-13--2017-01-20,id,4Q4jmPHwu0wrJvqrld0FQ6
37,Don't Let Me Down (feat. Daya),The Chainsmokers,148707,2017-01-13--2017-01-20,id,0QsvXIfqM0zZoerQfsI9lm
38,Fake Love,Drake,147497,2017-01-13--2017-01-20,id,343YBumqHu19cGoGARUTsd
39,Setting Fires,The Chainsmokers,142592,2017-01-13--2017-01-20,id,0B8B8cVRFIG1yznoQe7c9s
40,Faded,Alan Walker,141474,2017-01-13--2017-01-20,id,7gHs73wELdeycvS48JfIos
