Position,Track Name,Artist,Streams,date,region,spotify_id
1,打上花火,DAOKO,153405,2017-09-01--2017-09-08,jp,7pcTLUekZJQnzDOUDuExVJ
2,Shape of You,Ed Sheeran,146965,2017-09-01--2017-09-08,jp,7qiZfU4dY1lWllzX7mPBI3
3,Look What You Made Me Do,Taylor Swift,136061,2017-09-01--2017-09-08,jp,6uFsE1JgZ20EXyU0JQZbUR
4,Friends (with BloodPop®),Justin Bieber,107646,2017-09-01--2017-09-08,jp,7nZmah2llfvLDiUjm0kiyz
5,Despacito - Remix,Luis Fonsi,101879,2017-09-01--2017-09-08,jp,5CtI0qwDJkDQGwXD1H1cLb
6,2U (feat. Justin Bieber),David Guetta,86844,2017-09-01--2017-09-08,jp,3A7qX2QjDlPnazUsRk5y0M
7,Mama,Jonas Blue,86226,2017-09-01--2017-09-08,jp,0NiXXAI876aGImAd6rTj8w
8,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,85961,2017-09-01--2017-09-08,jp,5bcTCxgc7xVfSaMV3RuVke
9,New Rules,Dua Lipa,83739,2017-09-01--2017-09-08,jp,2ekn2ttSfGqwhhate0LSR0
10,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,79376,2017-09-01--2017-09-08,jp,3DXncPQOG4VBw3QHh3S817
11,Without You (feat. Sandro Cavazza),Avicii,78852,2017-09-01--2017-09-08,jp,6WbADFqMvR8N5u0BvtsWQE
12,Sorry Not Sorry,Demi Lovato,75494,2017-09-01--2017-09-08,jp,25C5CowdsfXld2jJanbiex
13,Attention,Charlie Puth,74111,2017-09-01--2017-09-08,jp,4iLqG9SeJSnt0cSPICSjxv
14,What Lovers Do (feat. SZA),Maroon 5,73071,2017-09-01--2017-09-08,jp,4mxWSdf71VFO52qFeY0fZt
15,There's Nothing Holdin' Me Back,Shawn Mendes,72518,2017-09-01--2017-09-08,jp,79cuOz3SPQTuFrp8WgftAu
16,TT - Japanese ver.,TWICE,71996,2017-09-01--2017-09-08,jp,0PAyiPTz8gL0udQnSasc5G
17,Something Just Like This,The Chainsmokers,70830,2017-09-01--2017-09-08,jp,6RUKPb4LETWmmr3iAEQktW
18,Your Song,Rita Ora,70635,2017-09-01--2017-09-08,jp,4c2W3VKsOFoIg2SFaO6DY5
19,Havana,Camila Cabello,69506,2017-09-01--2017-09-08,jp,0ofbQMrRDsUaVKq2mGLEAb
20,Mi Gente,J Balvin,69060,2017-09-01--2017-09-08,jp,2rb5MvYT7ZIxbKW5hfcHx8
21,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,68189,2017-09-01--2017-09-08,jp,1OAh8uOEOvTDqkKFsKksCi
