Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,22453,2017-01-13--2017-01-20,lu,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,10322,2017-01-13--2017-01-20,lu,6PCUP3dWmTjcTtXY02oFdT
3,Paris,The Chainsmokers,9794,2017-01-13--2017-01-20,lu,72jbDTw1piOOj770jWNeaG
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,9652,2017-01-13--2017-01-20,lu,3NdDpSvN911VPGivFlV5d0
5,Starboy,The Weeknd,9621,2017-01-13--2017-01-20,lu,5aAx2yezTd8zXrkmtKl66Z
6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,9518,2017-01-13--2017-01-20,lu,5knuzwU65gJK7IF5yJsuaW
7,Call On Me - Ryan Riback Extended Remix,Starley,8152,2017-01-13--2017-01-20,lu,78rIJddV4X0HkNAInEcYde
8,Say You Won't Let Go,James Arthur,7757,2017-01-13--2017-01-20,lu,5uCax9HTNlzGybIStD3vDh
9,I Feel It Coming,The Weeknd,7579,2017-01-13--2017-01-20,lu,5GXAXm5YOmYT0kL5jHvYBt
10,Don't Wanna Know,Maroon 5,6989,2017-01-13--2017-01-20,lu,5MFzQMkrl1FOOng9tq6R9r
11,Closer,The Chainsmokers,6763,2017-01-13--2017-01-20,lu,7BKLCZ1jbUBVqRi2FVlTVw
12,Fake Love,Drake,6485,2017-01-13--2017-01-20,lu,343YBumqHu19cGoGARUTsd
13,Just Hold On,Steve Aoki,6284,2017-01-13--2017-01-20,lu,3EmmCZoqpWOTY1g2GBwJoR
14,Let Me Love You,DJ Snake,6263,2017-01-13--2017-01-20,lu,4pdPtRcBmOSQDlJ3Fk945m
15,Chantaje (feat. Maluma),Shakira,6153,2017-01-13--2017-01-20,lu,6mICuAdrwEjh6Y6lroV2Kg
16,Mercy,Shawn Mendes,5530,2017-01-13--2017-01-20,lu,4TZy1wLyHec06pwgFYDh1a
17,Love Me Now,John Legend,5485,2017-01-13--2017-01-20,lu,6nxQdXa1uAL0rY72wPZu89
18,Now and Later,Sage The Gemini,5380,2017-01-13--2017-01-20,lu,43jBqV3j3Xi1g6wO0bhIMd
19,"How Far I'll Go - From ""Moana""",Alessia Cara,5285,2017-01-13--2017-01-20,lu,5hYTyyh2odQKphUbMqc5gN
20,Shed a Light,Robin Schulz,5248,2017-01-13--2017-01-20,lu,1cG0umU5TKStygKsPFZ9pY
21,One Dance,Drake,5206,2017-01-13--2017-01-20,lu,1xznGGDReH1oQq0xzbwXa3
22,In the Name of Love,Martin Garrix,4924,2017-01-13--2017-01-20,lu,04DwTuZ2VBdJCCC5TROn7L
23,All We Know,The Chainsmokers,4921,2017-01-13--2017-01-20,lu,2rizacJSyD9S1IQUxUxnsK
24,All Night,The Vamps,4868,2017-01-13--2017-01-20,lu,1yNyoWWWikbLhwIGWjZuDW
25,Bad Things (with Camila Cabello),Machine Gun Kelly,4778,2017-01-13--2017-01-20,lu,1PSBzsahR2AKwLJgx8ehBj
26,Black Beatles,Rae Sremmurd,4758,2017-01-13--2017-01-20,lu,6fujklziTHa8uoM5OQSfIo
27,Bad and Boujee (feat. Lil Uzi Vert),Migos,4753,2017-01-13--2017-01-20,lu,4Km5HrUvYTaSUfiSGPJeQR
28,Scars To Your Beautiful,Alessia Cara,4701,2017-01-13--2017-01-20,lu,0prNGof3XqfTvNDxHonvdK
29,24K Magic,Bruno Mars,4697,2017-01-13--2017-01-20,lu,6b8Be6ljOzmkOmFslEb23P
30,By Your Side,Jonas Blue,4644,2017-01-13--2017-01-20,lu,1D3ODoXHBLpdxolZRHWV1j
31,Solo Dance,Martin Jensen,4579,2017-01-13--2017-01-20,lu,6HUnnBwYZqcED1eQztxMBN
32,I Would Like,Zara Larsson,4549,2017-01-13--2017-01-20,lu,4Q4jmPHwu0wrJvqrld0FQ6
33,My Way,Calvin Harris,4352,2017-01-13--2017-01-20,lu,1vvNmPOiUuyCbgWmtc6yfm
34,Cold Water (feat. Justin Bieber & MØ),Major Lazer,4336,2017-01-13--2017-01-20,lu,6DNtNfH8hXkqOX1sjqmI7p
35,Heathens,Twenty One Pilots,4299,2017-01-13--2017-01-20,lu,6i0V12jOa3mr6uu4WYhUBr
36,Sunset Lover,Petit Biscuit,4232,2017-01-13--2017-01-20,lu,0hNduWmlWmEmuwEFcYvRu1
37,Alone,Alan Walker,4196,2017-01-13--2017-01-20,lu,0JiVRyTJcJnmlwCZ854K4p
38,All Time Low,Jon Bellion,4095,2017-01-13--2017-01-20,lu,1CnPYaKxTVb4LWOtiGOm0m
39,Hear Me Now,Alok,3966,2017-01-13--2017-01-20,lu,1a5Yu5L18qNxVhXx38njON
40,Lot to Learn,Luke Christopher,3960,2017-01-13--2017-01-20,lu,3TRFq09DUgYj1mug6RRqJW
41,Human,Rag'n'Bone Man,3762,2017-01-13--2017-01-20,lu,58zsLZPvfflaiIbNWoA22O
42,Weak,AJR,3754,2017-01-13--2017-01-20,lu,3E2Zh20GDCR9B1EYjfXWyv
43,Side To Side,Ariana Grande,3692,2017-01-13--2017-01-20,lu,4pLwZjInHj3SimIyN9SnOz
44,Don't Let Me Down (feat. Daya),The Chainsmokers,3663,2017-01-13--2017-01-20,lu,0QsvXIfqM0zZoerQfsI9lm
45,Starving,Hailee Steinfeld,3642,2017-01-13--2017-01-20,lu,1qOLh0tI7trd1zdDKxYZTe
46,Treat You Better,Shawn Mendes,3585,2017-01-13--2017-01-20,lu,4Hf7WnR761jpxPr5D46Bcd
47,Lighthouse - Andrelli Remix,Hearts & Colors,3212,2017-01-13--2017-01-20,lu,04CttTezSnv71USiiG9mIo
48,Cheap Thrills,Sia,3137,2017-01-13--2017-01-20,lu,27SdWb2rFzO6GWiYDBTD9j
49,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,3104,2017-01-13--2017-01-20,lu,6JV2JOEocMgcZxYSZelKcc
50,The Greatest (feat. Kendrick Lamar),Sia,2984,2017-01-13--2017-01-20,lu,7xHWNBFm6ObGEQPaUxHuKO
51,Not Going Home (feat. Gia Koka),DVBBS,2980,2017-01-13--2017-01-20,lu,042x9bsUBWW2fJgJ6fUh61
52,Don't Leave,Snakehips,2972,2017-01-13--2017-01-20,lu,0Zx8khUcEfCFK2AEoIhC92
53,Light,San Holo,2857,2017-01-13--2017-01-20,lu,7zTx8ePYAmPFQuxP3xlXZn
54,Photograph,Ed Sheeran,2848,2017-01-13--2017-01-20,lu,6fxVffaTuwjgEk5h9QyRjy
55,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,2819,2017-01-13--2017-01-20,lu,40UroIGvsMPLPBYwH8rMNA
56,I Got You,Bebe Rexha,2797,2017-01-13--2017-01-20,lu,1FUViuNSldssMIawrOXF2i
57,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,2738,2017-01-13--2017-01-20,lu,68EMU2RD1ECNeOeJ5qAXCV
58,Make Me (Cry),Noah Cyrus,2640,2017-01-13--2017-01-20,lu,2BrzlUj1u1CtvaJDGIKpsP
59,It's Gotta Be You,Isaiah Firebrace,2638,2017-01-13--2017-01-20,lu,6cAKeFFYW2aClZSUyvqAEW
60,Bounce Back,Big Sean,2614,2017-01-13--2017-01-20,lu,0SGkqnVQo9KPytSri1H6cF
61,Sexual,NEIKED,2588,2017-01-13--2017-01-20,lu,3AsAuGTaDQzavZZThyYlop
62,Some Kind Of Drug (feat. Marc E. Bassy),G-Eazy,2574,2017-01-13--2017-01-20,lu,1Bqxj0aH5KewYHKUg1IdrF
63,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,2545,2017-01-13--2017-01-20,lu,2wDjpPW3HZdA9quPPmZAMu
64,Setting Fires,The Chainsmokers,2505,2017-01-13--2017-01-20,lu,0B8B8cVRFIG1yznoQe7c9s
65,Broccoli (feat. Lil Yachty),Shelley FKA DRAM,2482,2017-01-13--2017-01-20,lu,7yyRTcZmCiyzzJlNzGC9Ol
66,History,Olivia Holt,2408,2017-01-13--2017-01-20,lu,0WCEaydwN65cvwaW8aqptF
67,Cake - Challenge Version,Flo Rida,2405,2017-01-13--2017-01-20,lu,6t2ubAB4iSYOuIpRAOGd4t
68,Water Under the Bridge,Adele,2340,2017-01-13--2017-01-20,lu,4vb4mFvYsr2h6enhjJsq9Y
69,No Lie,Sean Paul,2326,2017-01-13--2017-01-20,lu,3cFsmM51N5zMAuu1nNY4Tw
70,Party Monster,The Weeknd,2322,2017-01-13--2017-01-20,lu,4F7A0DXBrmUAkp32uenhZt
71,The Ocean (feat. Shy Martin),Mike Perry,2284,2017-01-13--2017-01-20,lu,2CPqh63wRVscbceKcPxwvv
72,Afro Trap Pt. 7 (La puissance),MHD,2264,2017-01-13--2017-01-20,lu,6x8j5V85ZJHtvOSjSamcVc
73,Oceans Away,A R I Z O N A,2262,2017-01-13--2017-01-20,lu,6A8dnC0xkiuWN4BshmTB2I
74,The Mack,Nevada,2259,2017-01-13--2017-01-20,lu,7aV2mflaASUmGhCErm7kBO
75,Taped up Heart (feat. Clara Mae),KREAM,2220,2017-01-13--2017-01-20,lu,26hcyzSE154xMZCbFdtInA
76,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2206,2017-01-13--2017-01-20,lu,17Fd6Yb7mSbinKG8LoWfFl
77,The Other,Lauv,2174,2017-01-13--2017-01-20,lu,1lntL1cI2UIWlxjL5QiN8g
78,Oh Lord,MiC LOWRY,2153,2017-01-13--2017-01-20,lu,1sTUEdVO85YU8Ymk2jeAls
79,Dancing On My Own,Calum Scott,2144,2017-01-13--2017-01-20,lu,02WacdrRpm4zlP8H7X6bnQ
80,Perfect Strangers,Jonas Blue,2117,2017-01-13--2017-01-20,lu,1CUVN2kn7mW5FjkqXTR2W1
81,Faded,Alan Walker,2097,2017-01-13--2017-01-20,lu,7gHs73wELdeycvS48JfIos
82,Panda,Desiigner,2075,2017-01-13--2017-01-20,lu,5OOkp4U9P9oL23maHFHL1h
83,Chöre,Mark Forster,2062,2017-01-13--2017-01-20,lu,2nYpbaLykC2cjU8Yt5KF1v
84,Caroline,Aminé,2052,2017-01-13--2017-01-20,lu,5GFDrUTLGJix84sNhjCG0g
85,Thinking out Loud,Ed Sheeran,2046,2017-01-13--2017-01-20,lu,1Slwb6dOYkBlWal1PGtnNg
86,Romantic - NOTD Remix,Stanaj,2034,2017-01-13--2017-01-20,lu,3SGWp9fJCzgK0WcpcKSQdy
87,Stressed Out,Twenty One Pilots,2007,2017-01-13--2017-01-20,lu,3CRDbSIZ4r5MsZ0YwxuEkn
88,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,1986,2017-01-13--2017-01-20,lu,4dASQiO1Eoo3RJvt74FtXB
89,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,1972,2017-01-13--2017-01-20,lu,0L7loeTIg6akW84aEQZpCT
90,Hymn for the Weekend - Seeb Remix,Coldplay,1971,2017-01-13--2017-01-20,lu,1OAiWI2oPmglaOiv9fdioU
91,Tuesday,Burak Yeter,1941,2017-01-13--2017-01-20,lu,7abpmGpF7PGep2rDU68GBR
92,Too Good,Drake,1915,2017-01-13--2017-01-20,lu,11KJSRSgaDxqydKYiD2Jew
93,Say Something Loving,The xx,1897,2017-01-13--2017-01-20,lu,728zbo72kOoYdGR3AhNsyF
94,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,1884,2017-01-13--2017-01-20,lu,4tCtwWceOPWzenK2HAIJSb
95,This Is What You Came For (feat. Rihanna),Calvin Harris,1859,2017-01-13--2017-01-20,lu,0azC730Exh71aQlOt9Zj3y
96,Capsize,FRENSHIP,1843,2017-01-13--2017-01-20,lu,2XMTqoHHSH0lvuXrvIEdco
97,Ride,Twenty One Pilots,1842,2017-01-13--2017-01-20,lu,2Z8WuEywRWYTKe1NybPQEW
98,Ohne mein Team,Bonez MC,1818,2017-01-13--2017-01-20,lu,05Mp2UJulSttxQ4E6hQPH3
99,Fast Car,Jonas Blue,1801,2017-01-13--2017-01-20,lu,6OZh916QF8XNunWaP97WEZ
100,7 Years,Lukas Graham,1785,2017-01-13--2017-01-20,lu,7129iqBafaphfc3WPCGC0L
101,Somebody Else,VÉRITÉ,1775,2017-01-13--2017-01-20,lu,34i4yxPrHWquuR4kjiivFO
102,On Hold,The xx,1747,2017-01-13--2017-01-20,lu,5CPqOpKSk0QcJ3dGdaWcRB
103,Love Yourself,Justin Bieber,1720,2017-01-13--2017-01-20,lu,3hB5DgAiMAQ4DzYbsMq1IT
104,Reggaetón Lento (Bailemos),CNCO,1715,2017-01-13--2017-01-20,lu,3AEZUABDXNtecAOSC1qTfo
105,Kokaina,Miami Yacine,1713,2017-01-13--2017-01-20,lu,2KHbPYI22yWIOgWUsApYIS
106,Final Song,MØ,1711,2017-01-13--2017-01-20,lu,4qqArAiTPueDxIp7cf87h7
107,Sex,Cheat Codes,1692,2017-01-13--2017-01-20,lu,5DA77EqppDmCTWGovd4oTP
108,Lost on You,LP,1691,2017-01-13--2017-01-20,lu,3SqvR3HYLlCTYzbDXJ52OC
109,Safari,J Balvin,1680,2017-01-13--2017-01-20,lu,6rQSrBHf7HlZjtcMZ4S4bO
110,Would I Lie to You - Radio Edit,David Guetta,1671,2017-01-13--2017-01-20,lu,4PdJSsESm34djLfBde9Pr2
111,Ain't My Fault,Zara Larsson,1665,2017-01-13--2017-01-20,lu,0ADG9OgdVTL7fgREP75BrZ
112,This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,1608,2017-01-13--2017-01-20,lu,0tICYNayWWhH9GPeFrfjfD
113,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,1605,2017-01-13--2017-01-20,lu,5Z01UMMf7V1o0MzF86s6WJ
114,Tchoin,Kaaris,1593,2017-01-13--2017-01-20,lu,0ban5QRXUveaKtQPGuaoQ9
115,Onizuka,PNL,1584,2017-01-13--2017-01-20,lu,4GCIYE1x1TWJCChPkpy9by
116,"i hate u, i love u (feat. olivia o'brien)",gnash,1575,2017-01-13--2017-01-20,lu,7vRriwrloYVaoAe3a9wJHe
117,Lean On (feat. MØ & DJ Snake),Major Lazer,1564,2017-01-13--2017-01-20,lu,4WjH9Bzt3kx7z8kl0awxh4
118,Let Me Hold You (Turn Me On),Dante Klein,1559,2017-01-13--2017-01-20,lu,0lmdsH1MIoLsMymnNpd6HU
119,Controlla,Drake,1544,2017-01-13--2017-01-20,lu,6F609ICg9Spjrw1epsAnpa
120,Deja Vu,J. Cole,1489,2017-01-13--2017-01-20,lu,6I6NX6tjGsxFAsIfGzY9lJ
121,T-Shirt,Migos,1477,2017-01-13--2017-01-20,lu,7KOlJ92bu51cltsD9KU5I7
122,Needed Me,Rihanna,1474,2017-01-13--2017-01-20,lu,1Tt4sE4pXi57mTD1GCzsqm
123,Naha,PNL,1471,2017-01-13--2017-01-20,lu,0lkQfsTMmtDA37tjjew9n0
124,Dangerous,The xx,1465,2017-01-13--2017-01-20,lu,33B2QbtAj8mbDpwvGTOnBt
125,Sorry,Justin Bieber,1438,2017-01-13--2017-01-20,lu,69bp2EbF7Q2rqc5N3ylezZ
126,Sugar (feat. Francesco Yates),Robin Schulz,1435,2017-01-13--2017-01-20,lu,5tf1VVWniHgryyumXyJM7w
127,Lush Life,Zara Larsson,1432,2017-01-13--2017-01-20,lu,1rIKgCH4H52lrvDcz50hS8
128,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Ed Sheeran,1429,2017-01-13--2017-01-20,lu,3B7udSGy2PfgoCniMSb523
129,Bad Ideas,Alle Farben,1426,2017-01-13--2017-01-20,lu,76gwG061wqdatYhicO2hG4
130,Hello,Adele,1416,2017-01-13--2017-01-20,lu,4sPmO7WMQUAf45kwMOtONw
131,Let It Go,James Bay,1416,2017-01-13--2017-01-20,lu,13HVjjWUZFaWilh2QUJKsP
132,Six Feet Under,The Weeknd,1405,2017-01-13--2017-01-20,lu,4mU5iXHeLgbR94siF7p1sY
133,Wake Up Where You Are,State of Sound,1399,2017-01-13--2017-01-20,lu,2s76aKBWKShlwPC4xTtEEE
134,Redbone,Childish Gambino,1394,2017-01-13--2017-01-20,lu,3kxfsdsCpFgN412fpnW85Y
135,Please Don't Go,Joel Adams,1382,2017-01-13--2017-01-20,lu,3cNjgVBKTJ1SvKhunrCdVy
136,The Sound of Silence,Disturbed,1364,2017-01-13--2017-01-20,lu,0eZBeB2xFIS65jQHerispi
137,September Song,JP Cooper,1356,2017-01-13--2017-01-20,lu,0FuTx2s3YH1ppmtiM6l0zI
138,An ihnen vorbei,Bonez MC,1343,2017-01-13--2017-01-20,lu,7istTRCq9OK5cEC8sPAc50
139,Dynamite (feat. Pretty Sister),Nause,1336,2017-01-13--2017-01-20,lu,2Ae5awwKvQpTBKQHr1TYCg
140,Love On The Brain,Rihanna,1334,2017-01-13--2017-01-20,lu,2aksifNn5ph8igDOkPBA02
141,Juju on That Beat (TZ Anthem),Zay Hilfigerrr,1330,2017-01-13--2017-01-20,lu,1lItf5ZXJc1by9SbPeljFd
142,Palmen aus Plastik,Bonez MC,1327,2017-01-13--2017-01-20,lu,6wHRm1KR8pzVDPdmR6Qovj
143,What Is Love 2016,Lost Frequencies,1327,2017-01-13--2017-01-20,lu,5hIR7SX1fSrr5evIAPDY5o
144,I Dare You,The xx,1325,2017-01-13--2017-01-20,lu,044qU7kwVZaDwzWnRsmVVL
145,Aloha,Møme,1318,2017-01-13--2017-01-20,lu,6HViP4DVYa8gQtxLndmhwu
146,Tenerife Sea,Ed Sheeran,1309,2017-01-13--2017-01-20,lu,6vSwxzO2Qf4BinHSXRwZJe
147,"Me, Myself & I",G-Eazy,1306,2017-01-13--2017-01-20,lu,40YcuQysJ0KlGQTeGUosTC
148,DKR,Booba,1300,2017-01-13--2017-01-20,lu,1iDQ2zCOU1uYeR8QcpqUZb
149,Purple Lamborghini (with Rick Ross),Skrillex,1292,2017-01-13--2017-01-20,lu,6JyuJFedEvPmdWQW0PkbGJ
150,Never Be Like You,Flume,1286,2017-01-13--2017-01-20,lu,12REd1n8PeiHHWOh066tpr
151,Never Give Up,Sia,1282,2017-01-13--2017-01-20,lu,1ssmjAYSU5PbmsjLq5yrNH
152,DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,1274,2017-01-13--2017-01-20,lu,6YZdkObH88npeKrrkb8Ggf
153,Places,Martin Solveig,1269,2017-01-13--2017-01-20,lu,6O85MfGECKBqAK2MgSbCaj
154,'Till I Collapse,Eminem,1260,2017-01-13--2017-01-20,lu,6yr8GiTHWvFfi4o6Q5ebdT
155,This Town,Niall Horan,1258,2017-01-13--2017-01-20,lu,5nA67Y0XX9JipZwYxX7Gl7
156,Sidewalks,The Weeknd,1246,2017-01-13--2017-01-20,lu,4h90qkbnW1Qq6pBhoPvwko
157,iSpy (feat. Lil Yachty),KYLE,1239,2017-01-13--2017-01-20,lu,2EEeOnHehOozLq4aS0n6SL
158,Mauvaise graine,Nekfeu,1237,2017-01-13--2017-01-20,lu,4kKJ5CjwCtksszPMntho4N
159,Jumpman,Drake,1234,2017-01-13--2017-01-20,lu,27GmP9AWRs744SzKcpJsTZ
160,Dans la légende,PNL,1232,2017-01-13--2017-01-20,lu,5NZpY9WeWFtlHVgepfCamX
161,Issues,Julia Michaels,1228,2017-01-13--2017-01-20,lu,1sXUWdKx03aP9Gmzft58rt
162,Stay (feat. Maty Noyes),Kygo,1212,2017-01-13--2017-01-20,lu,2FiSTH0GYpIioUgjfzMIja
163,A Violent Noise,The xx,1206,2017-01-13--2017-01-20,lu,661bbtA19xopO3lH0J4Qvr
164,Cocoon,Milky Chance,1206,2017-01-13--2017-01-20,lu,0L87MffumRNWrY2SNUFcvs
165,Lips,The xx,1199,2017-01-13--2017-01-20,lu,1onfcprzpSGh2LqrBh17AA
166,All of Me,John Legend,1192,2017-01-13--2017-01-20,lu,2q6tgiA9tpb6DMguABwCWE
167,10 Jahre,Gzuz,1189,2017-01-13--2017-01-20,lu,3KbCjPkewCmJt09FYtyVK5
168,No Money,Galantis,1184,2017-01-13--2017-01-20,lu,0gb1J5UrTpzaU1s3nupgCd
169,Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,1174,2017-01-13--2017-01-20,lu,5uDASfU19gDxSjW8cnCaBp
170,X (feat. Future),21 Savage,1170,2017-01-13--2017-01-20,lu,6fwdbPMwP1zVStm8FybmkO
171,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,1168,2017-01-13--2017-01-20,lu,3bidbhpOYeV4knp8AIu8Xn
172,Work,Rihanna,1161,2017-01-13--2017-01-20,lu,14WWzenpaEgQZlqPq2nk4v
173,Love on Me,Galantis,1160,2017-01-13--2017-01-20,lu,2MHCiOohBZEQuLgDTPvSzF
174,Dye My Hair,ALMA,1146,2017-01-13--2017-01-20,lu,5NafFxaLg9Ep21oTHBw7Zq
175,Not Afraid Anymore,Halsey,1143,2017-01-13--2017-01-20,lu,1uoL9GX45dTnmrWQ7Ii1Ft
176,Tout donner - Pilule violette,GIMS,1143,2017-01-13--2017-01-20,lu,5ASacvNO76BB7Dxtp74qqz
177,Reminder,The Weeknd,1141,2017-01-13--2017-01-20,lu,37F0uwRSrdzkBiuj0D5UHI
178,Don't Be So Shy - Filatov & Karas Remix,Imany,1140,2017-01-13--2017-01-20,lu,00vk0sEfb6mr2ehwSw0Uhn
179,Sneakin’,Drake,1139,2017-01-13--2017-01-20,lu,4ckuS4Nj4FZ7i3Def3Br8W
