Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,40054,2017-01-13--2017-01-20,lv,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,22148,2017-01-13--2017-01-20,lv,6PCUP3dWmTjcTtXY02oFdT
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,20514,2017-01-13--2017-01-20,lv,3NdDpSvN911VPGivFlV5d0
4,Starboy,The Weeknd,18774,2017-01-13--2017-01-20,lv,5aAx2yezTd8zXrkmtKl66Z
5,Paris,The Chainsmokers,16086,2017-01-13--2017-01-20,lv,72jbDTw1piOOj770jWNeaG
6,I Feel It Coming,The Weeknd,15084,2017-01-13--2017-01-20,lv,5GXAXm5YOmYT0kL5jHvYBt
7,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,14797,2017-01-13--2017-01-20,lv,5knuzwU65gJK7IF5yJsuaW
8,Call On Me - Ryan Riback Extended Remix,Starley,14170,2017-01-13--2017-01-20,lv,78rIJddV4X0HkNAInEcYde
9,Say You Won't Let Go,James Arthur,13330,2017-01-13--2017-01-20,lv,5uCax9HTNlzGybIStD3vDh
10,Fake Love,Drake,12215,2017-01-13--2017-01-20,lv,343YBumqHu19cGoGARUTsd
11,Just Hold On,Steve Aoki,12154,2017-01-13--2017-01-20,lv,3EmmCZoqpWOTY1g2GBwJoR
12,Don't Wanna Know,Maroon 5,12113,2017-01-13--2017-01-20,lv,5MFzQMkrl1FOOng9tq6R9r
13,All We Know,The Chainsmokers,11678,2017-01-13--2017-01-20,lv,2rizacJSyD9S1IQUxUxnsK
14,Closer,The Chainsmokers,11652,2017-01-13--2017-01-20,lv,7BKLCZ1jbUBVqRi2FVlTVw
15,All Night,The Vamps,11468,2017-01-13--2017-01-20,lv,1yNyoWWWikbLhwIGWjZuDW
16,All Time Low,Jon Bellion,11218,2017-01-13--2017-01-20,lv,1CnPYaKxTVb4LWOtiGOm0m
17,Bad Things (with Camila Cabello),Machine Gun Kelly,11102,2017-01-13--2017-01-20,lv,1PSBzsahR2AKwLJgx8ehBj
18,On Hold,The xx,11089,2017-01-13--2017-01-20,lv,5CPqOpKSk0QcJ3dGdaWcRB
19,Bad and Boujee (feat. Lil Uzi Vert),Migos,11019,2017-01-13--2017-01-20,lv,4Km5HrUvYTaSUfiSGPJeQR
20,Black Beatles,Rae Sremmurd,10798,2017-01-13--2017-01-20,lv,6fujklziTHa8uoM5OQSfIo
21,Hear Me Now,Alok,10677,2017-01-13--2017-01-20,lv,1a5Yu5L18qNxVhXx38njON
22,Tuesday,Burak Yeter,10479,2017-01-13--2017-01-20,lv,7abpmGpF7PGep2rDU68GBR
23,Shed a Light,Robin Schulz,10411,2017-01-13--2017-01-20,lv,1cG0umU5TKStygKsPFZ9pY
24,Solo Dance,Martin Jensen,10353,2017-01-13--2017-01-20,lv,6HUnnBwYZqcED1eQztxMBN
25,Love Me Now,John Legend,10253,2017-01-13--2017-01-20,lv,6nxQdXa1uAL0rY72wPZu89
26,"How Far I'll Go - From ""Moana""",Alessia Cara,10094,2017-01-13--2017-01-20,lv,5hYTyyh2odQKphUbMqc5gN
27,Sunset Lover,Petit Biscuit,9877,2017-01-13--2017-01-20,lv,0hNduWmlWmEmuwEFcYvRu1
28,Weak,AJR,9766,2017-01-13--2017-01-20,lv,3E2Zh20GDCR9B1EYjfXWyv
29,Now and Later,Sage The Gemini,9717,2017-01-13--2017-01-20,lv,43jBqV3j3Xi1g6wO0bhIMd
30,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,9219,2017-01-13--2017-01-20,lv,40UroIGvsMPLPBYwH8rMNA
31,Let Me Love You,DJ Snake,9102,2017-01-13--2017-01-20,lv,4pdPtRcBmOSQDlJ3Fk945m
32,Say Something Loving,The xx,8992,2017-01-13--2017-01-20,lv,728zbo72kOoYdGR3AhNsyF
33,I Would Like,Zara Larsson,8987,2017-01-13--2017-01-20,lv,4Q4jmPHwu0wrJvqrld0FQ6
34,By Your Side,Jonas Blue,8650,2017-01-13--2017-01-20,lv,1D3ODoXHBLpdxolZRHWV1j
35,Mercy,Shawn Mendes,8638,2017-01-13--2017-01-20,lv,4TZy1wLyHec06pwgFYDh1a
