Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,346142,2017-01-13--2017-01-20,my,7qiZfU4dY1lWllzX7mPBI3
2,Paris,The Chainsmokers,253708,2017-01-13--2017-01-20,my,72jbDTw1piOOj770jWNeaG
3,Say You Won't Let Go,James Arthur,244269,2017-01-13--2017-01-20,my,5uCax9HTNlzGybIStD3vDh
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,217737,2017-01-13--2017-01-20,my,3NdDpSvN911VPGivFlV5d0
5,Closer,The Chainsmokers,205784,2017-01-13--2017-01-20,my,7BKLCZ1jbUBVqRi2FVlTVw
6,Starboy,The Weeknd,197472,2017-01-13--2017-01-20,my,5aAx2yezTd8zXrkmtKl66Z
7,Bad Things (with Camila Cabello),Machine Gun Kelly,186331,2017-01-13--2017-01-20,my,1PSBzsahR2AKwLJgx8ehBj
8,All We Know,The Chainsmokers,170755,2017-01-13--2017-01-20,my,2rizacJSyD9S1IQUxUxnsK
9,Don't Wanna Know,Maroon 5,165634,2017-01-13--2017-01-20,my,5MFzQMkrl1FOOng9tq6R9r
10,Castle on the Hill,Ed Sheeran,162620,2017-01-13--2017-01-20,my,6PCUP3dWmTjcTtXY02oFdT
11,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,150448,2017-01-13--2017-01-20,my,5knuzwU65gJK7IF5yJsuaW
12,Let Me Love You,DJ Snake,150164,2017-01-13--2017-01-20,my,4pdPtRcBmOSQDlJ3Fk945m
13,"How Far I'll Go - From ""Moana""",Alessia Cara,148482,2017-01-13--2017-01-20,my,5hYTyyh2odQKphUbMqc5gN
14,All Time Low,Jon Bellion,139180,2017-01-13--2017-01-20,my,1CnPYaKxTVb4LWOtiGOm0m
15,I Feel It Coming,The Weeknd,128477,2017-01-13--2017-01-20,my,5GXAXm5YOmYT0kL5jHvYBt
16,Call On Me - Ryan Riback Extended Remix,Starley,126440,2017-01-13--2017-01-20,my,78rIJddV4X0HkNAInEcYde
17,Side To Side,Ariana Grande,126158,2017-01-13--2017-01-20,my,4pLwZjInHj3SimIyN9SnOz
18,All Night,The Vamps,123775,2017-01-13--2017-01-20,my,1yNyoWWWikbLhwIGWjZuDW
19,24K Magic,Bruno Mars,121017,2017-01-13--2017-01-20,my,6b8Be6ljOzmkOmFslEb23P
20,Starving,Hailee Steinfeld,119608,2017-01-13--2017-01-20,my,1qOLh0tI7trd1zdDKxYZTe
21,Stay With Me,CHANYEOL,117676,2017-01-13--2017-01-20,my,1HYzRuWjmS9LXCkdVHi25K
22,Scars To Your Beautiful,Alessia Cara,117447,2017-01-13--2017-01-20,my,0prNGof3XqfTvNDxHonvdK
23,Alone,Alan Walker,117056,2017-01-13--2017-01-20,my,0JiVRyTJcJnmlwCZ854K4p
24,Cold Water (feat. Justin Bieber & MØ),Major Lazer,113452,2017-01-13--2017-01-20,my,6DNtNfH8hXkqOX1sjqmI7p
25,Mercy,Shawn Mendes,110925,2017-01-13--2017-01-20,my,4TZy1wLyHec06pwgFYDh1a
26,Just Hold On,Steve Aoki,109835,2017-01-13--2017-01-20,my,3EmmCZoqpWOTY1g2GBwJoR
27,In the Name of Love,Martin Garrix,107285,2017-01-13--2017-01-20,my,04DwTuZ2VBdJCCC5TROn7L
28,Treat You Better,Shawn Mendes,105114,2017-01-13--2017-01-20,my,4Hf7WnR761jpxPr5D46Bcd
29,Faded,Alan Walker,104965,2017-01-13--2017-01-20,my,7gHs73wELdeycvS48JfIos
30,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,103525,2017-01-13--2017-01-20,my,68EMU2RD1ECNeOeJ5qAXCV
31,By Your Side,Jonas Blue,102556,2017-01-13--2017-01-20,my,1D3ODoXHBLpdxolZRHWV1j
32,Versace on the Floor,Bruno Mars,97537,2017-01-13--2017-01-20,my,0kN8xEmgMW9mh7UmDYHlJP
33,"i hate u, i love u (feat. olivia o'brien)",gnash,92533,2017-01-13--2017-01-20,my,7vRriwrloYVaoAe3a9wJHe
34,Don't Let Me Down (feat. Daya),The Chainsmokers,83650,2017-01-13--2017-01-20,my,0QsvXIfqM0zZoerQfsI9lm
35,Setting Fires,The Chainsmokers,82037,2017-01-13--2017-01-20,my,0B8B8cVRFIG1yznoQe7c9s
36,Fake Love,Drake,80470,2017-01-13--2017-01-20,my,343YBumqHu19cGoGARUTsd
37,Hear Me Now,Alok,80305,2017-01-13--2017-01-20,my,1a5Yu5L18qNxVhXx38njON
38,Wanita Terakhir,Fattah Amin,78952,2017-01-13--2017-01-20,my,71fkXsB3jlNbQ8p2R4HEsc
39,Photograph,Ed Sheeran,78606,2017-01-13--2017-01-20,my,6fxVffaTuwjgEk5h9QyRjy
40,Dirgahayu,Faizal Tahir,77070,2017-01-13--2017-01-20,my,1rw8VCZDhSjbuFTJvDhpeW
41,The Greatest (feat. Kendrick Lamar),Sia,76845,2017-01-13--2017-01-20,my,7xHWNBFm6ObGEQPaUxHuKO
42,I Would Like,Zara Larsson,75690,2017-01-13--2017-01-20,my,4Q4jmPHwu0wrJvqrld0FQ6
43,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,74860,2017-01-13--2017-01-20,my,2wDjpPW3HZdA9quPPmZAMu
44,The Ocean (feat. Shy Martin),Mike Perry,74532,2017-01-13--2017-01-20,my,2CPqh63wRVscbceKcPxwvv
45,Lot to Learn,Luke Christopher,74325,2017-01-13--2017-01-20,my,3TRFq09DUgYj1mug6RRqJW
46,Heathens,Twenty One Pilots,72677,2017-01-13--2017-01-20,my,6i0V12jOa3mr6uu4WYhUBr
47,Segalanya,Haqiem Rusli,71334,2017-01-13--2017-01-20,my,4ifzLaIjOAxbFMC12T7xxi
48,Beautiful,Crush,70997,2017-01-13--2017-01-20,my,6mzF8HvHdVrzJNd8M1uFCS
49,Sedalam-Dalam Rindu,Tajul,69759,2017-01-13--2017-01-20,my,6Rp7udnk6KsyeRLahxLc7D
50,Cheap Thrills,Sia,68794,2017-01-13--2017-01-20,my,27SdWb2rFzO6GWiYDBTD9j
51,Sunset Lover,Petit Biscuit,66735,2017-01-13--2017-01-20,my,0hNduWmlWmEmuwEFcYvRu1
52,Alone,Marshmello,62944,2017-01-13--2017-01-20,my,12mGwph2YzDIlChtq3EdXP
53,FXXK IT,BIGBANG,62518,2017-01-13--2017-01-20,my,0YVsrgp4OOUhFuYMAVQazV
54,Perfect Strangers,Jonas Blue,60142,2017-01-13--2017-01-20,my,1CUVN2kn7mW5FjkqXTR2W1
55,Love Me Now,John Legend,56299,2017-01-13--2017-01-20,my,6nxQdXa1uAL0rY72wPZu89
56,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,55687,2017-01-13--2017-01-20,my,6JV2JOEocMgcZxYSZelKcc
57,Weak,AJR,51351,2017-01-13--2017-01-20,my,3E2Zh20GDCR9B1EYjfXWyv
58,"Sit Still, Look Pretty",Daya,50927,2017-01-13--2017-01-20,my,2DpCdPMg1BADE4HDnxt3Rd
59,One Dance,Drake,50807,2017-01-13--2017-01-20,my,1xznGGDReH1oQq0xzbwXa3
60,LAST DANCE,BIGBANG,49202,2017-01-13--2017-01-20,my,7dhr1r6OWHxrpvrdHxfe1n
61,Harus Aku,Sufian Suhaimi,48421,2017-01-13--2017-01-20,my,2gkQ2yVzaer5qx2NzJnHXh
62,This Town,Niall Horan,46654,2017-01-13--2017-01-20,my,5nA67Y0XX9JipZwYxX7Gl7
63,You & Me,Marc E. Bassy,45986,2017-01-13--2017-01-20,my,4QdovcM8j50QPlyR7tH4xe
64,Middle,DJ Snake,45124,2017-01-13--2017-01-20,my,4OZEu0Vwq0RB2LAq14v99n
65,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,44691,2017-01-13--2017-01-20,my,40UroIGvsMPLPBYwH8rMNA
66,Secret Love Song (feat. Jason Derulo),Little Mix,44302,2017-01-13--2017-01-20,my,4JIo8RztBbELr2gWJ5OGK6
67,Shed a Light,Robin Schulz,44086,2017-01-13--2017-01-20,my,1cG0umU5TKStygKsPFZ9pY
68,Capsize,FRENSHIP,43469,2017-01-13--2017-01-20,my,2XMTqoHHSH0lvuXrvIEdco
69,Selamanya Cinta,Shila Amzah,43465,2017-01-13--2017-01-20,my,2otO94tZ2iksuJKWlMKeRA
70,Make Me (Cry),Noah Cyrus,43189,2017-01-13--2017-01-20,my,2BrzlUj1u1CtvaJDGIKpsP
71,Toothbrush,DNCE,42426,2017-01-13--2017-01-20,my,0CNjoQozZP0mB9rKVdrKGx
72,Solo Dance,Martin Jensen,42262,2017-01-13--2017-01-20,my,6HUnnBwYZqcED1eQztxMBN
