Position,Track Name,Artist,Streams,date,region,spotify_id
1,Versace on the Floor,Bruno Mars,1991800,2017-01-13--2017-01-20,ph,0kN8xEmgMW9mh7UmDYHlJP
2,Say You Won't Let Go,James Arthur,1790311,2017-01-13--2017-01-20,ph,5uCax9HTNlzGybIStD3vDh
3,Shape of You,Ed Sheeran,1785682,2017-01-13--2017-01-20,ph,7qiZfU4dY1lWllzX7mPBI3
4,Paris,The Chainsmokers,1159548,2017-01-13--2017-01-20,ph,72jbDTw1piOOj770jWNeaG
5,Closer,The Chainsmokers,1131610,2017-01-13--2017-01-20,ph,7BKLCZ1jbUBVqRi2FVlTVw
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1077526,2017-01-13--2017-01-20,ph,3NdDpSvN911VPGivFlV5d0
7,"How Far I'll Go - From ""Moana""",Alessia Cara,1073159,2017-01-13--2017-01-20,ph,5hYTyyh2odQKphUbMqc5gN
8,All We Know,The Chainsmokers,1066248,2017-01-13--2017-01-20,ph,2rizacJSyD9S1IQUxUxnsK
9,Don't Wanna Know,Maroon 5,1061142,2017-01-13--2017-01-20,ph,5MFzQMkrl1FOOng9tq6R9r
10,24K Magic,Bruno Mars,1031012,2017-01-13--2017-01-20,ph,6b8Be6ljOzmkOmFslEb23P
11,Castle on the Hill,Ed Sheeran,949505,2017-01-13--2017-01-20,ph,6PCUP3dWmTjcTtXY02oFdT
12,Bad Things (with Camila Cabello),Machine Gun Kelly,948921,2017-01-13--2017-01-20,ph,1PSBzsahR2AKwLJgx8ehBj
13,Starving,Hailee Steinfeld,944158,2017-01-13--2017-01-20,ph,1qOLh0tI7trd1zdDKxYZTe
14,Starboy,The Weeknd,854584,2017-01-13--2017-01-20,ph,5aAx2yezTd8zXrkmtKl66Z
15,All Night,The Vamps,809773,2017-01-13--2017-01-20,ph,1yNyoWWWikbLhwIGWjZuDW
16,Call On Me - Ryan Riback Extended Remix,Starley,794319,2017-01-13--2017-01-20,ph,78rIJddV4X0HkNAInEcYde
17,Perfect Strangers,Jonas Blue,788049,2017-01-13--2017-01-20,ph,1CUVN2kn7mW5FjkqXTR2W1
18,Cold Water (feat. Justin Bieber & MØ),Major Lazer,730189,2017-01-13--2017-01-20,ph,6DNtNfH8hXkqOX1sjqmI7p
19,By Your Side,Jonas Blue,726227,2017-01-13--2017-01-20,ph,1D3ODoXHBLpdxolZRHWV1j
20,Let Me Love You,DJ Snake,719964,2017-01-13--2017-01-20,ph,4pdPtRcBmOSQDlJ3Fk945m
21,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,711689,2017-01-13--2017-01-20,ph,5knuzwU65gJK7IF5yJsuaW
22,Fresh Eyes,Andy Grammer,689359,2017-01-13--2017-01-20,ph,4nMlau89VAjmV7agkl7OY3
23,Side To Side,Ariana Grande,664400,2017-01-13--2017-01-20,ph,4pLwZjInHj3SimIyN9SnOz
24,Just Hold On,Steve Aoki,650498,2017-01-13--2017-01-20,ph,3EmmCZoqpWOTY1g2GBwJoR
25,Sila,SUD,649996,2017-01-13--2017-01-20,ph,2IMODbij0lZ5CuAjZi0IDE
26,Jumpshot,Dawin,635479,2017-01-13--2017-01-20,ph,4izP2KMwrhAdZEtIyp8Z8w
27,Treat You Better,Shawn Mendes,622371,2017-01-13--2017-01-20,ph,4Hf7WnR761jpxPr5D46Bcd
28,In the Name of Love,Martin Garrix,616293,2017-01-13--2017-01-20,ph,04DwTuZ2VBdJCCC5TROn7L
29,Setting Fires,The Chainsmokers,558081,2017-01-13--2017-01-20,ph,0B8B8cVRFIG1yznoQe7c9s
30,All Time Low,Jon Bellion,553274,2017-01-13--2017-01-20,ph,1CnPYaKxTVb4LWOtiGOm0m
31,Shout Out to My Ex,Little Mix,550542,2017-01-13--2017-01-20,ph,0YHUITU3w6ws1v8ehT264g
32,Middle,DJ Snake,540223,2017-01-13--2017-01-20,ph,4OZEu0Vwq0RB2LAq14v99n
33,That's What I Like,Bruno Mars,523936,2017-01-13--2017-01-20,ph,0KKkJNfGyhkQ5aFogxQAPU
34,Mercy,Shawn Mendes,518467,2017-01-13--2017-01-20,ph,4TZy1wLyHec06pwgFYDh1a
35,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,517356,2017-01-13--2017-01-20,ph,68EMU2RD1ECNeOeJ5qAXCV
36,"i hate u, i love u (feat. olivia o'brien)",gnash,509798,2017-01-13--2017-01-20,ph,7vRriwrloYVaoAe3a9wJHe
37,Scars To Your Beautiful,Alessia Cara,505461,2017-01-13--2017-01-20,ph,0prNGof3XqfTvNDxHonvdK
38,I Feel It Coming,The Weeknd,504514,2017-01-13--2017-01-20,ph,5GXAXm5YOmYT0kL5jHvYBt
39,Pasensya Ka Na,Silent Sanctuary,488164,2017-01-13--2017-01-20,ph,0YyM8aEdbjGfLWPn6fdcn7
40,Lot to Learn,Luke Christopher,487404,2017-01-13--2017-01-20,ph,3TRFq09DUgYj1mug6RRqJW
41,YOUTH,Troye Sivan,487320,2017-01-13--2017-01-20,ph,1cOyWWUr3oXJIxY0AjJEx9
42,Fake Love,Drake,478430,2017-01-13--2017-01-20,ph,343YBumqHu19cGoGARUTsd
43,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,478049,2017-01-13--2017-01-20,ph,6M21eWbEw74XDdoQsNIinq
44,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,470257,2017-01-13--2017-01-20,ph,2wDjpPW3HZdA9quPPmZAMu
45,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,462216,2017-01-13--2017-01-20,ph,6JV2JOEocMgcZxYSZelKcc
46,Tadhana,Up Dharma Down,453271,2017-01-13--2017-01-20,ph,6NFKf8vBApSvtzkapYmnVR
47,Photograph,Ed Sheeran,435754,2017-01-13--2017-01-20,ph,6fxVffaTuwjgEk5h9QyRjy
48,"Sit Still, Look Pretty",Daya,435601,2017-01-13--2017-01-20,ph,2DpCdPMg1BADE4HDnxt3Rd
49,You & Me,Marc E. Bassy,398127,2017-01-13--2017-01-20,ph,4QdovcM8j50QPlyR7tH4xe
50,The Ocean (feat. Shy Martin),Mike Perry,367629,2017-01-13--2017-01-20,ph,2CPqh63wRVscbceKcPxwvv
51,Don't Let Me Down (feat. Daya),The Chainsmokers,365680,2017-01-13--2017-01-20,ph,0QsvXIfqM0zZoerQfsI9lm
52,Juju on That Beat (TZ Anthem),Zay Hilfigerrr,339912,2017-01-13--2017-01-20,ph,1lItf5ZXJc1by9SbPeljFd
53,Hanggang Kailan,Michael Pangilinan,309893,2017-01-13--2017-01-20,ph,01YEqVPCm0vqRLA9w43bic
54,I Would Like,Zara Larsson,297904,2017-01-13--2017-01-20,ph,4Q4jmPHwu0wrJvqrld0FQ6
