Position,Track Name,Artist,Streams,date,region,spotify_id
1,Reggaetón Lento (Bailemos),CNCO,76960,2017-01-13--2017-01-20,py,3AEZUABDXNtecAOSC1qTfo
2,Deu Onda,MC G15,75253,2017-01-13--2017-01-20,py,0EPxmvsG1BY5td4aTOkWBF
3,Chantaje (feat. Maluma),Shakira,66550,2017-01-13--2017-01-20,py,6mICuAdrwEjh6Y6lroV2Kg
4,Otra vez (feat. J Balvin),Zion & Lennox,61702,2017-01-13--2017-01-20,py,3QwBODjSEzelZyVjxPOHdq
5,Safari,J Balvin,59639,2017-01-13--2017-01-20,py,6rQSrBHf7HlZjtcMZ4S4bO
6,Vacaciones,Wisin,50687,2017-01-13--2017-01-20,py,3dQDid3IUNhZy1OehIfYfE
7,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,43381,2017-01-13--2017-01-20,py,6stYbAJgTszHAHZMPxWWCY
8,Vente Pa' Ca (feat. Maluma),Ricky Martin,43375,2017-01-13--2017-01-20,py,7DM4BPaS7uofFul3ywMe46
9,Dile Que Tu Me Quieres,Ozuna,42469,2017-01-13--2017-01-20,py,20ZAJdsKB5IGbGj4ilRt2o
10,Shape of You,Ed Sheeran,41746,2017-01-13--2017-01-20,py,7qiZfU4dY1lWllzX7mPBI3
11,Despacito (Featuring Daddy Yankee),Luis Fonsi,37424,2017-01-13--2017-01-20,py,4aWmUDTfIPGksMNLV2rQP2
12,Let Me Love You,DJ Snake,37394,2017-01-13--2017-01-20,py,4pdPtRcBmOSQDlJ3Fk945m
13,Me Rehúso,Danny Ocean,35243,2017-01-13--2017-01-20,py,6De0lHrwBfPfrhorm9q1Xl
14,Me llamas (feat. Maluma) - Remix,Piso 21,35020,2017-01-13--2017-01-20,py,5hEM0JchdVzQ5PwvSfITeX
15,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,34762,2017-01-13--2017-01-20,py,0JoHqmlqE0W0i9prt6kcHR
16,Closer,The Chainsmokers,33369,2017-01-13--2017-01-20,py,7BKLCZ1jbUBVqRi2FVlTVw
17,Bailame Despacio,Xantos,31845,2017-01-13--2017-01-20,py,4OaTpLJIa2harufGxfOPUu
18,Traicionera,Sebastian Yatra,31732,2017-01-13--2017-01-20,py,5J1c3M4EldCfNxXwrwt8mT
19,Te Quiero Pa´Mi,Don Omar,31674,2017-01-13--2017-01-20,py,3BY2mafsbsoKGqS380Xnuz
20,Don't Wanna Know,Maroon 5,31588,2017-01-13--2017-01-20,py,5MFzQMkrl1FOOng9tq6R9r
21,Gyal You A Party Animal - Remix,Charly Black,30254,2017-01-13--2017-01-20,py,1AkTW13ysu0AJrwuM6UY0I
22,Malandramente,DENNIS,29597,2017-01-13--2017-01-20,py,7DRP2VOMpy1rrk3iYFLCW9
23,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,28057,2017-01-13--2017-01-20,py,5knuzwU65gJK7IF5yJsuaW
24,Starboy,The Weeknd,27659,2017-01-13--2017-01-20,py,5aAx2yezTd8zXrkmtKl66Z
25,No Quiere Enamorarse (Remix) [feat. Daddy Yankee],Ozuna,27378,2017-01-13--2017-01-20,py,4vlbjBSMqycZk6t4HVRpnC
26,My Way,Calvin Harris,27263,2017-01-13--2017-01-20,py,1vvNmPOiUuyCbgWmtc6yfm
27,In the Name of Love,Martin Garrix,26387,2017-01-13--2017-01-20,py,04DwTuZ2VBdJCCC5TROn7L
28,24K Magic,Bruno Mars,25759,2017-01-13--2017-01-20,py,6b8Be6ljOzmkOmFslEb23P
29,Cold Water (feat. Justin Bieber & MØ),Major Lazer,25451,2017-01-13--2017-01-20,py,6DNtNfH8hXkqOX1sjqmI7p
30,Shaky Shaky,Daddy Yankee,24718,2017-01-13--2017-01-20,py,58IL315gMSTD37DOZPJ2hf
31,Don't Let Me Down (feat. Daya),The Chainsmokers,23187,2017-01-13--2017-01-20,py,0QsvXIfqM0zZoerQfsI9lm
32,One Dance,Drake,22868,2017-01-13--2017-01-20,py,1xznGGDReH1oQq0xzbwXa3
33,Borro Cassette,Maluma,22851,2017-01-13--2017-01-20,py,6DUdDIRgLqCGq1DwkNWQTN
34,Andas En Mi Cabeza,Chino & Nacho,22705,2017-01-13--2017-01-20,py,5mey7CLLuFToM2P68Qu1gF
35,Side To Side,Ariana Grande,22614,2017-01-13--2017-01-20,py,4pLwZjInHj3SimIyN9SnOz
36,Treat You Better,Shawn Mendes,21916,2017-01-13--2017-01-20,py,4Hf7WnR761jpxPr5D46Bcd
37,Bobo,J Balvin,21633,2017-01-13--2017-01-20,py,7AtlMCIauSQZqiXSlbBPW6
38,El Perdedor (feat. Yandel) - The Remix,Maluma,21388,2017-01-13--2017-01-20,py,4QsPTKvdpgkA7mBAvclZTa
39,El Sistema Solar (En Vivo),Kchiporros,21346,2017-01-13--2017-01-20,py,2Tw6DIblvFifUcmAApNYT3
40,La Bicicleta,Carlos Vives,21338,2017-01-13--2017-01-20,py,0sXvAOmXgjR2QUqLK1MltU
41,Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik,21079,2017-01-13--2017-01-20,py,2SSYqDX8KTgy01NlqtUo0F
42,Heathens,Twenty One Pilots,21018,2017-01-13--2017-01-20,py,6i0V12jOa3mr6uu4WYhUBr
