Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,2865679,2017-01-13--2017-01-20,se,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,1671931,2017-01-13--2017-01-20,se,6PCUP3dWmTjcTtXY02oFdT
3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1394555,2017-01-13--2017-01-20,se,3NdDpSvN911VPGivFlV5d0
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1311990,2017-01-13--2017-01-20,se,5knuzwU65gJK7IF5yJsuaW
5,5 fine frøkner,Gabrielle,1282011,2017-01-13--2017-01-20,se,2tFgv3sLFNc088KLtjxzVa
6,Alone,Alan Walker,1128697,2017-01-13--2017-01-20,se,0JiVRyTJcJnmlwCZ854K4p
7,Solo Dance,Martin Jensen,1081480,2017-01-13--2017-01-20,se,6HUnnBwYZqcED1eQztxMBN
8,Say You Won't Let Go,James Arthur,1030375,2017-01-13--2017-01-20,se,5uCax9HTNlzGybIStD3vDh
9,Call On Me - Ryan Riback Extended Remix,Starley,1010645,2017-01-13--2017-01-20,se,78rIJddV4X0HkNAInEcYde
10,Paris,The Chainsmokers,995605,2017-01-13--2017-01-20,se,72jbDTw1piOOj770jWNeaG
11,I Feel It Coming,The Weeknd,905541,2017-01-13--2017-01-20,se,5GXAXm5YOmYT0kL5jHvYBt
12,Starboy,The Weeknd,884531,2017-01-13--2017-01-20,se,5aAx2yezTd8zXrkmtKl66Z
13,All Night,The Vamps,818927,2017-01-13--2017-01-20,se,1yNyoWWWikbLhwIGWjZuDW
14,Hear Me Now,Alok,809287,2017-01-13--2017-01-20,se,1a5Yu5L18qNxVhXx38njON
15,Now and Later,Sage The Gemini,749477,2017-01-13--2017-01-20,se,43jBqV3j3Xi1g6wO0bhIMd
16,Everything,Miriam Bryant,719164,2017-01-13--2017-01-20,se,64F7bSuYMryLMef8BSvQw0
17,Just Hold On,Steve Aoki,699379,2017-01-13--2017-01-20,se,3EmmCZoqpWOTY1g2GBwJoR
18,I Would Like,Zara Larsson,695833,2017-01-13--2017-01-20,se,4Q4jmPHwu0wrJvqrld0FQ6
19,Closer,The Chainsmokers,667417,2017-01-13--2017-01-20,se,7BKLCZ1jbUBVqRi2FVlTVw
20,Make Me (Cry),Noah Cyrus,642232,2017-01-13--2017-01-20,se,2BrzlUj1u1CtvaJDGIKpsP
21,Don't Wanna Know,Maroon 5,624242,2017-01-13--2017-01-20,se,5MFzQMkrl1FOOng9tq6R9r
22,Let Me Love You,DJ Snake,623560,2017-01-13--2017-01-20,se,4pdPtRcBmOSQDlJ3Fk945m
23,It's Gotta Be You,Isaiah Firebrace,611567,2017-01-13--2017-01-20,se,6cAKeFFYW2aClZSUyvqAEW
24,Super 8,Danny Saucedo,599724,2017-01-13--2017-01-20,se,7dWJBwpPuUWqUoTZ0FXQg5
25,When You Love Someone,James TW,553742,2017-01-13--2017-01-20,se,5fX2oPyLCe5mBKqGDbOWqC
26,Lighthouse - Andrelli Remix,Hearts & Colors,549315,2017-01-13--2017-01-20,se,04CttTezSnv71USiiG9mIo
27,Black Beatles,Rae Sremmurd,547335,2017-01-13--2017-01-20,se,6fujklziTHa8uoM5OQSfIo
28,Scars To Your Beautiful,Alessia Cara,546987,2017-01-13--2017-01-20,se,0prNGof3XqfTvNDxHonvdK
29,Se på mig nu (feat. Linnea Henriksson) - Singelversion,Petter,519965,2017-01-13--2017-01-20,se,7rklm17yoayxw45lpzv5uv
30,Fake Love,Drake,503888,2017-01-13--2017-01-20,se,343YBumqHu19cGoGARUTsd
31,I Got You,Bebe Rexha,495912,2017-01-13--2017-01-20,se,1FUViuNSldssMIawrOXF2i
32,Mercy,Shawn Mendes,475417,2017-01-13--2017-01-20,se,4TZy1wLyHec06pwgFYDh1a
33,Nån Annan,Dani M,474041,2017-01-13--2017-01-20,se,2sQOFwtjo6sjNoutONMyUJ
34,Bad and Boujee (feat. Lil Uzi Vert),Migos,473458,2017-01-13--2017-01-20,se,4Km5HrUvYTaSUfiSGPJeQR
35,Dynamite (feat. Pretty Sister),Nause,465841,2017-01-13--2017-01-20,se,2Ae5awwKvQpTBKQHr1TYCg
36,Shed a Light,Robin Schulz,463529,2017-01-13--2017-01-20,se,1cG0umU5TKStygKsPFZ9pY
37,What Do You Love,Seeb,459986,2017-01-13--2017-01-20,se,0h4FK0CnlZ3oJnZ6quEk1P
38,Let Me Love You (feat. Chris Crone),SJUR,456040,2017-01-13--2017-01-20,se,2jfCy43LsFbCQoB6HyetlY
39,Bad Things (with Camila Cabello),Machine Gun Kelly,443529,2017-01-13--2017-01-20,se,1PSBzsahR2AKwLJgx8ehBj
40,Snap,Jireel,434328,2017-01-13--2017-01-20,se,26VKwUgkXYyYzHCwDMmJTN
41,Don't Be So Shy - Filatov & Karas Remix,Imany,432259,2017-01-13--2017-01-20,se,00vk0sEfb6mr2ehwSw0Uhn
42,Inside the Lines (feat. Casso),Mike Perry,429194,2017-01-13--2017-01-20,se,3qaYuV5XZAwiOvGE91HhwS
43,All We Know,The Chainsmokers,419138,2017-01-13--2017-01-20,se,2rizacJSyD9S1IQUxUxnsK
44,Dancing On My Own,Calum Scott,416741,2017-01-13--2017-01-20,se,02WacdrRpm4zlP8H7X6bnQ
45,One Dance,Drake,408083,2017-01-13--2017-01-20,se,1xznGGDReH1oQq0xzbwXa3
46,Playing With Fire,LIAMOO,406300,2017-01-13--2017-01-20,se,2JjYLNDThj8rm8W5m1blwV
47,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,402597,2017-01-13--2017-01-20,se,6JV2JOEocMgcZxYSZelKcc
48,"How Far I'll Go - From ""Moana""",Alessia Cara,381816,2017-01-13--2017-01-20,se,5hYTyyh2odQKphUbMqc5gN
49,Cold Water (feat. Justin Bieber & MØ),Major Lazer,380792,2017-01-13--2017-01-20,se,6DNtNfH8hXkqOX1sjqmI7p
50,Side To Side,Ariana Grande,370354,2017-01-13--2017-01-20,se,4pLwZjInHj3SimIyN9SnOz
51,24K Magic,Bruno Mars,369063,2017-01-13--2017-01-20,se,6b8Be6ljOzmkOmFslEb23P
52,Snacket på stan,Danny Saucedo,325422,2017-01-13--2017-01-20,se,0rleRAsgvRKxBVf44lmcY7
53,Starving,Hailee Steinfeld,314962,2017-01-13--2017-01-20,se,1qOLh0tI7trd1zdDKxYZTe
54,Bara Få Va Mig Själv,Laleh,297644,2017-01-13--2017-01-20,se,2FnUyLhe7sjXgnZlK9sc0z
55,Chantaje (feat. Maluma),Shakira,295464,2017-01-13--2017-01-20,se,6mICuAdrwEjh6Y6lroV2Kg
56,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,290911,2017-01-13--2017-01-20,se,40UroIGvsMPLPBYwH8rMNA
57,Säga mig,Linnea Henriksson,286595,2017-01-13--2017-01-20,se,7lP1Itp08ETqtjqJRTbmeh
