Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,49594,2017-01-13--2017-01-20,sk,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,23132,2017-01-13--2017-01-20,sk,6PCUP3dWmTjcTtXY02oFdT
3,Paris,The Chainsmokers,20633,2017-01-13--2017-01-20,sk,72jbDTw1piOOj770jWNeaG
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,19997,2017-01-13--2017-01-20,sk,3NdDpSvN911VPGivFlV5d0
5,Starboy,The Weeknd,19883,2017-01-13--2017-01-20,sk,5aAx2yezTd8zXrkmtKl66Z
6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,19126,2017-01-13--2017-01-20,sk,5knuzwU65gJK7IF5yJsuaW
7,I Feel It Coming,The Weeknd,14466,2017-01-13--2017-01-20,sk,5GXAXm5YOmYT0kL5jHvYBt
8,Call On Me - Ryan Riback Extended Remix,Starley,13964,2017-01-13--2017-01-20,sk,78rIJddV4X0HkNAInEcYde
9,Don't Wanna Know,Maroon 5,13338,2017-01-13--2017-01-20,sk,5MFzQMkrl1FOOng9tq6R9r
10,Closer,The Chainsmokers,13002,2017-01-13--2017-01-20,sk,7BKLCZ1jbUBVqRi2FVlTVw
11,Just Hold On,Steve Aoki,12369,2017-01-13--2017-01-20,sk,3EmmCZoqpWOTY1g2GBwJoR
12,Say You Won't Let Go,James Arthur,12317,2017-01-13--2017-01-20,sk,5uCax9HTNlzGybIStD3vDh
13,Let Me Love You,DJ Snake,11365,2017-01-13--2017-01-20,sk,4pdPtRcBmOSQDlJ3Fk945m
14,Black Beatles,Rae Sremmurd,10871,2017-01-13--2017-01-20,sk,6fujklziTHa8uoM5OQSfIo
15,All We Know,The Chainsmokers,10699,2017-01-13--2017-01-20,sk,2rizacJSyD9S1IQUxUxnsK
16,All Night,The Vamps,10663,2017-01-13--2017-01-20,sk,1yNyoWWWikbLhwIGWjZuDW
17,Alone,Alan Walker,10513,2017-01-13--2017-01-20,sk,0JiVRyTJcJnmlwCZ854K4p
18,All Time Low,Jon Bellion,10206,2017-01-13--2017-01-20,sk,1CnPYaKxTVb4LWOtiGOm0m
19,"How Far I'll Go - From ""Moana""",Alessia Cara,10173,2017-01-13--2017-01-20,sk,5hYTyyh2odQKphUbMqc5gN
20,Bad Things (with Camila Cabello),Machine Gun Kelly,10059,2017-01-13--2017-01-20,sk,1PSBzsahR2AKwLJgx8ehBj
21,Solo Dance,Martin Jensen,9959,2017-01-13--2017-01-20,sk,6HUnnBwYZqcED1eQztxMBN
22,Mercy,Shawn Mendes,9649,2017-01-13--2017-01-20,sk,4TZy1wLyHec06pwgFYDh1a
23,Fake Love,Drake,9615,2017-01-13--2017-01-20,sk,343YBumqHu19cGoGARUTsd
24,Now and Later,Sage The Gemini,9524,2017-01-13--2017-01-20,sk,43jBqV3j3Xi1g6wO0bhIMd
25,Human,Rag'n'Bone Man,9363,2017-01-13--2017-01-20,sk,58zsLZPvfflaiIbNWoA22O
26,My Way,Calvin Harris,9099,2017-01-13--2017-01-20,sk,1vvNmPOiUuyCbgWmtc6yfm
27,Chantaje (feat. Maluma),Shakira,8737,2017-01-13--2017-01-20,sk,6mICuAdrwEjh6Y6lroV2Kg
28,Heathens,Twenty One Pilots,8650,2017-01-13--2017-01-20,sk,6i0V12jOa3mr6uu4WYhUBr
29,Hear Me Now,Alok,8576,2017-01-13--2017-01-20,sk,1a5Yu5L18qNxVhXx38njON
30,I Would Like,Zara Larsson,8420,2017-01-13--2017-01-20,sk,4Q4jmPHwu0wrJvqrld0FQ6
