Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,199631,2017-01-13--2017-01-20,tw,7qiZfU4dY1lWllzX7mPBI3
2,Paris,The Chainsmokers,166197,2017-01-13--2017-01-20,tw,72jbDTw1piOOj770jWNeaG
3,Closer,The Chainsmokers,128468,2017-01-13--2017-01-20,tw,7BKLCZ1jbUBVqRi2FVlTVw
4,Castle on the Hill,Ed Sheeran,125836,2017-01-13--2017-01-20,tw,6PCUP3dWmTjcTtXY02oFdT
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,123966,2017-01-13--2017-01-20,tw,3NdDpSvN911VPGivFlV5d0
6,Say You Won't Let Go,James Arthur,117832,2017-01-13--2017-01-20,tw,5uCax9HTNlzGybIStD3vDh
7,Starboy,The Weeknd,110236,2017-01-13--2017-01-20,tw,5aAx2yezTd8zXrkmtKl66Z
8,演員,Joker Xue,105183,2017-01-13--2017-01-20,tw,6LunoYd3xpZ19sICOXS8Xd
9,Don't Wanna Know,Maroon 5,103086,2017-01-13--2017-01-20,tw,5MFzQMkrl1FOOng9tq6R9r
10,Bad Things (with Camila Cabello),Machine Gun Kelly,101292,2017-01-13--2017-01-20,tw,1PSBzsahR2AKwLJgx8ehBj
11,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,100202,2017-01-13--2017-01-20,tw,5knuzwU65gJK7IF5yJsuaW
12,All We Know,The Chainsmokers,95490,2017-01-13--2017-01-20,tw,2rizacJSyD9S1IQUxUxnsK
13,帥到分手,NICKTHEREAL,94032,2017-01-13--2017-01-20,tw,2tG6FZtaX5NPWFA64d8DWz
14,Just Hold On,Steve Aoki,92979,2017-01-13--2017-01-20,tw,3EmmCZoqpWOTY1g2GBwJoR
15,Stay With Me,CHANYEOL,92730,2017-01-13--2017-01-20,tw,1HYzRuWjmS9LXCkdVHi25K
16,Call On Me - Ryan Riback Extended Remix,Starley,91401,2017-01-13--2017-01-20,tw,78rIJddV4X0HkNAInEcYde
17,Alone,Alan Walker,88137,2017-01-13--2017-01-20,tw,0JiVRyTJcJnmlwCZ854K4p
18,Let Me Love You,DJ Snake,82466,2017-01-13--2017-01-20,tw,4pdPtRcBmOSQDlJ3Fk945m
19,I Feel It Coming,The Weeknd,81475,2017-01-13--2017-01-20,tw,5GXAXm5YOmYT0kL5jHvYBt
20,Faded,Alan Walker,78392,2017-01-13--2017-01-20,tw,7gHs73wELdeycvS48JfIos
21,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,76144,2017-01-13--2017-01-20,tw,68EMU2RD1ECNeOeJ5qAXCV
22,不為誰而作的歌,JJ Lin,74142,2017-01-13--2017-01-20,tw,0VqSdtXseb9khdZrnYVyM1
23,"你,好不好? - TVBS連續劇【遺憾拼圖】片尾曲",Eric Chou,73177,2017-01-13--2017-01-20,tw,2gug6MRv4xQFYi9LA3PJCS
24,By Your Side,Jonas Blue,72527,2017-01-13--2017-01-20,tw,1D3ODoXHBLpdxolZRHWV1j
25,你啊你啊 - 電視劇「用九柑仔店」插曲,Waa Wei,70601,2017-01-13--2017-01-20,tw,4nyO1azSuhT5JrETvzEahs
