Position,Track Name,Artist,Streams,date,region,spotify_id
1,Reggaetón Lento (Bailemos),CNCO,92411,2017-01-13--2017-01-20,uy,3AEZUABDXNtecAOSC1qTfo
2,Cuando Se Pone a Bailar,Rombai,91722,2017-01-13--2017-01-20,uy,1MpKZi1zTXpERKwxmOu1PH
3,Chantaje (feat. Maluma),Shakira,86268,2017-01-13--2017-01-20,uy,6mICuAdrwEjh6Y6lroV2Kg
4,Despacito (Featuring Daddy Yankee),Luis Fonsi,75056,2017-01-13--2017-01-20,uy,4aWmUDTfIPGksMNLV2rQP2
5,Safari,J Balvin,62471,2017-01-13--2017-01-20,uy,6rQSrBHf7HlZjtcMZ4S4bO
6,Carnavalintro,CHANO,59688,2017-01-13--2017-01-20,uy,0tGAPnTFwRJA6FZgYZ0BAe
7,Piel a Piel,Dame 5,59412,2017-01-13--2017-01-20,uy,2q3B7GLCEA4uYvuo2g5P82
8,Vente Pa' Ca (feat. Maluma),Ricky Martin,56817,2017-01-13--2017-01-20,uy,7DM4BPaS7uofFul3ywMe46
9,Otra vez (feat. J Balvin),Zion & Lennox,55270,2017-01-13--2017-01-20,uy,3QwBODjSEzelZyVjxPOHdq
10,Shape of You,Ed Sheeran,53731,2017-01-13--2017-01-20,uy,7qiZfU4dY1lWllzX7mPBI3
11,Pasarla Bien,Marama,49262,2017-01-13--2017-01-20,uy,0ZzVPCGdkpKcxAzMNDD5UZ
12,Traicionera,Sebastian Yatra,49146,2017-01-13--2017-01-20,uy,5J1c3M4EldCfNxXwrwt8mT
13,Amor para un Rato,Olvidate!,48226,2017-01-13--2017-01-20,uy,47EEKhimMiDtUfYNR5Ii58
14,Shaky Shaky,Daddy Yankee,47151,2017-01-13--2017-01-20,uy,58IL315gMSTD37DOZPJ2hf
15,Dile Que Tu Me Quieres,Ozuna,45678,2017-01-13--2017-01-20,uy,20ZAJdsKB5IGbGj4ilRt2o
16,Vacaciones,Wisin,43928,2017-01-13--2017-01-20,uy,3dQDid3IUNhZy1OehIfYfE
17,Me llamas (feat. Maluma) - Remix,Piso 21,42002,2017-01-13--2017-01-20,uy,5hEM0JchdVzQ5PwvSfITeX
18,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,41999,2017-01-13--2017-01-20,uy,5knuzwU65gJK7IF5yJsuaW
19,Gyal You A Party Animal - Remix,Charly Black,41967,2017-01-13--2017-01-20,uy,1AkTW13ysu0AJrwuM6UY0I
20,Let Me Love You,DJ Snake,38663,2017-01-13--2017-01-20,uy,4pdPtRcBmOSQDlJ3Fk945m
21,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,38388,2017-01-13--2017-01-20,uy,6stYbAJgTszHAHZMPxWWCY
22,La Bicicleta,Carlos Vives,36841,2017-01-13--2017-01-20,uy,0sXvAOmXgjR2QUqLK1MltU
23,Andas En Mi Cabeza,Chino & Nacho,35640,2017-01-13--2017-01-20,uy,5mey7CLLuFToM2P68Qu1gF
24,Don't Wanna Know,Maroon 5,35233,2017-01-13--2017-01-20,uy,5MFzQMkrl1FOOng9tq6R9r
25,Te Quiero Pa´Mi,Don Omar,34638,2017-01-13--2017-01-20,uy,3BY2mafsbsoKGqS380Xnuz
26,Manicomio,Cosculluela,33989,2017-01-13--2017-01-20,uy,3n58u3LOFw8mITLvfPvQBz
27,24K Magic,Bruno Mars,33701,2017-01-13--2017-01-20,uy,6b8Be6ljOzmkOmFslEb23P
28,My Way,Calvin Harris,32451,2017-01-13--2017-01-20,uy,1vvNmPOiUuyCbgWmtc6yfm
29,La Noche No Es para Dormir,Mano Arriba,31487,2017-01-13--2017-01-20,uy,3gEebOzxHpEwElicl1XBy0
30,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,31154,2017-01-13--2017-01-20,uy,0JoHqmlqE0W0i9prt6kcHR
31,Starboy,The Weeknd,30574,2017-01-13--2017-01-20,uy,5aAx2yezTd8zXrkmtKl66Z
32,Cold Water (feat. Justin Bieber & MØ),Major Lazer,30000,2017-01-13--2017-01-20,uy,6DNtNfH8hXkqOX1sjqmI7p
33,Borro Cassette,Maluma,29872,2017-01-13--2017-01-20,uy,6DUdDIRgLqCGq1DwkNWQTN
34,Closer,The Chainsmokers,29008,2017-01-13--2017-01-20,uy,7BKLCZ1jbUBVqRi2FVlTVw
35,Side To Side,Ariana Grande,28031,2017-01-13--2017-01-20,uy,4pLwZjInHj3SimIyN9SnOz
36,In the Name of Love,Martin Garrix,26849,2017-01-13--2017-01-20,uy,04DwTuZ2VBdJCCC5TROn7L
37,Lo Intentamos,Marama,26607,2017-01-13--2017-01-20,uy,4Kzk0koKwzCMiIx4rAqCZp
38,Chillax (feat. Ky-Mani Marley),Farruko,26530,2017-01-13--2017-01-20,uy,1lxswgIpzV6HhENRvkflES
39,El Equivocado,Mano Arriba,26152,2017-01-13--2017-01-20,uy,5vy1C7DD9xJ5fRB3KqV6Kq
40,DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,26111,2017-01-13--2017-01-20,uy,6YZdkObH88npeKrrkb8Ggf
41,Hasta Que Se Seque el Malecón (feat. Farruko) - Remix,Jacob Forever,26099,2017-01-13--2017-01-20,uy,6sMPwcpYtxm1mlgYbp1B0t
42,Comerte a Besos,Pijama Party,25716,2017-01-13--2017-01-20,uy,4UHZMWgKDjJ1zS0t6f6qPv
43,Traicionera - Remix,Sebastian Yatra,25299,2017-01-13--2017-01-20,uy,2webQDZmtGioeu3zUUi9We
44,Desde Esa Noche (feat. Maluma),Thalia,24949,2017-01-13--2017-01-20,uy,1pWYnQIlqxTh5bxuPmTG4E
45,Agua en la Boca,Miway,24862,2017-01-13--2017-01-20,uy,2DpNajWjveMpytQxipcWV5
46,I Feel It Coming,The Weeknd,24805,2017-01-13--2017-01-20,uy,5GXAXm5YOmYT0kL5jHvYBt
47,No Quiere Enamorarse (Remix) [feat. Daddy Yankee],Ozuna,24508,2017-01-13--2017-01-20,uy,4vlbjBSMqycZk6t4HVRpnC
48,Fuego,Juanes,24480,2017-01-13--2017-01-20,uy,0mwPE0lPOgnWf2bo14xedJ
49,Bobo,J Balvin,24003,2017-01-13--2017-01-20,uy,7AtlMCIauSQZqiXSlbBPW6
50,Llamame Mas Temprano,Mano Arriba,23839,2017-01-13--2017-01-20,uy,5aHJug2wnupoGfgfxRudsk
51,Bailame Despacio,Xantos,21113,2017-01-13--2017-01-20,uy,4OaTpLJIa2harufGxfOPUu
52,Si me dices que sí (feat. Nicky Jam),Cosculluela,20232,2017-01-13--2017-01-20,uy,3noN1TxpjbjjmKqssghvg8
53,El Perdedor (feat. Yandel) - The Remix,Maluma,20067,2017-01-13--2017-01-20,uy,4QsPTKvdpgkA7mBAvclZTa
54,No Llores,LOAN,19407,2017-01-13--2017-01-20,uy,07GOnZWIiHWjLzUsaTv5yO
55,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,19285,2017-01-13--2017-01-20,uy,17Fd6Yb7mSbinKG8LoWfFl
56,Just Hold On,Steve Aoki,19004,2017-01-13--2017-01-20,uy,3EmmCZoqpWOTY1g2GBwJoR
57,Treat You Better,Shawn Mendes,18357,2017-01-13--2017-01-20,uy,4Hf7WnR761jpxPr5D46Bcd
58,Castle on the Hill,Ed Sheeran,17936,2017-01-13--2017-01-20,uy,6PCUP3dWmTjcTtXY02oFdT
59,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,17477,2017-01-13--2017-01-20,uy,3NdDpSvN911VPGivFlV5d0
60,Ando buscando (feat. Piso 21),Carlos Baute,17430,2017-01-13--2017-01-20,uy,7BwJtE8KSbCQKOCTIAY3jX
61,Paris,The Chainsmokers,17162,2017-01-13--2017-01-20,uy,72jbDTw1piOOj770jWNeaG
62,Te Vas,Ozuna,16943,2017-01-13--2017-01-20,uy,2twUPIYOTqVivev47pf7bU
63,Se Pone Loca,CantoParaBailar,16745,2017-01-13--2017-01-20,uy,0FVuUna31PTRmWGLs8W1o4
64,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,16741,2017-01-13--2017-01-20,uy,6JV2JOEocMgcZxYSZelKcc
65,Tu Ritmo,Los Bonnitos,16703,2017-01-13--2017-01-20,uy,0BFgCEE7ozbyB1PpLpLyhM
66,El chisme,Reykon,16446,2017-01-13--2017-01-20,uy,4VXejnj5WgM6H72ct2fSgQ
67,Ruleta Rusa,Kevin Roldan,16328,2017-01-13--2017-01-20,uy,77KHmKnBmVGTjRCeMVXpWH
68,Shed a Light,Robin Schulz,16260,2017-01-13--2017-01-20,uy,1cG0umU5TKStygKsPFZ9pY
69,One Dance,Drake,16140,2017-01-13--2017-01-20,uy,1xznGGDReH1oQq0xzbwXa3
70,Hear Me Now,Alok,16116,2017-01-13--2017-01-20,uy,1a5Yu5L18qNxVhXx38njON
71,La Gozadera (feat. Marc Anthony),Gente De Zona,16026,2017-01-13--2017-01-20,uy,0OMRAvrtLWE2TvcXorRiB9
72,Aventura,Pijama Party,16002,2017-01-13--2017-01-20,uy,1y9mv4NMheIuIUKf9hsIsy
73,Mi tesoro (feat. Nicky Jam),Zion & Lennox,15907,2017-01-13--2017-01-20,uy,5HABnFSYvl6mTmg8nSdzHa
74,Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik,15726,2017-01-13--2017-01-20,uy,2SSYqDX8KTgy01NlqtUo0F
75,La Bicicleta (feat. Maluma) - Remix,Carlos Vives,15595,2017-01-13--2017-01-20,uy,7IRuf7FrdQvOGs0g9mSNGr
