Position,Track Name,Artist,Streams,date,region,spotify_id
1,Was du Liebe nennst,Bausa,137399,2018-01-12--2018-01-19,at,4hKWUzhQWsOkgT6LnDEASe
2,River (feat. Ed Sheeran),Eminem,133507,2018-01-12--2018-01-19,at,5UEnHoDYpsxlfzWLZIc7LD
3,Havana (feat. Young Thug),Camila Cabello,120567,2018-01-12--2018-01-19,at,1rfofaqEpACxVEHIZBJe6W
4,rockstar,Post Malone,117255,2018-01-12--2018-01-19,at,7wGoVu4Dady5GV0Sv4UIsx
5,Rooftop,Nico Santos,110560,2018-01-12--2018-01-19,at,637yH6Qs3wXdgjPjO7QGdr
6,Him & I (with Halsey),G-Eazy,101725,2018-01-12--2018-01-19,at,5k38wzpLb15YgncyWdTZE4
7,Let You Down,NF,100591,2018-01-12--2018-01-19,at,6mrKP2jyIQmM0rw6fQryjr
8,Wolves,Selena Gomez,100366,2018-01-12--2018-01-19,at,7EmGUiUaOSGDnUUQUDrOXC
9,Silence,Marshmello,96715,2018-01-12--2018-01-19,at,7vGuf3Y35N4wmASOKLUVVU
10,Qa bone,Azet,89101,2018-01-12--2018-01-19,at,6X0pg9AHaLYLq8Cy5j8Suz
11,9 Milly,Azet,83990,2018-01-12--2018-01-19,at,2vIZ2BKgzCFPF2qqUXVS3R
12,Perfect,Ed Sheeran,78669,2018-01-12--2018-01-19,at,0tgVpDi06FyKpA1z0VMD4v
13,Sag Nix,RAF Camora,77664,2018-01-12--2018-01-19,at,0tW4YbVJ0z6CeQjYBFd09V
14,Gotham City,RAF Camora,77304,2018-01-12--2018-01-19,at,2axf5shPhjS8qdaGr5MWaS
15,Katchi - Ofenbach vs. Nick Waterhouse,Ofenbach,75177,2018-01-12--2018-01-19,at,2NF8A7C6tICScdRaZ0BrEe
16,Stargazing,Kygo,73648,2018-01-12--2018-01-19,at,0Zbbxnx4SGGHoIow4PpISP
17,Dusk Till Dawn - Radio Edit,ZAYN,73519,2018-01-12--2018-01-19,at,1j4kHkkpqZRBwE0A4CN4Yv
18,Never Be the Same,Camila Cabello,72831,2018-01-12--2018-01-19,at,4eWQlBRaTjPPUlzacqEeoQ
19,Primo,RAF Camora,71059,2018-01-12--2018-01-19,at,7y5chiQbuvviOYUfUmOPqo
20,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,69229,2018-01-12--2018-01-19,at,0OlnLZY4cmQzT6ZGttvWBM
21,What Lovers Do (feat. SZA),Maroon 5,68724,2018-01-12--2018-01-19,at,3hBBKuWJfxlIlnd9QFoC8k
22,Feel It Still,Portugal. The Man,66366,2018-01-12--2018-01-19,at,6QgjcU0zLnzq5OrUoSZ3OK
23,New Rules,Dua Lipa,66192,2018-01-12--2018-01-19,at,2ekn2ttSfGqwhhate0LSR0
24,More Than You Know,Axwell /\ Ingrosso,65256,2018-01-12--2018-01-19,at,71bBFbfn2OBK5QwUJSLS44
25,I Like Me Better,Lauv,64422,2018-01-12--2018-01-19,at,1wjzFQodRWrPcQ0AnYnvQ9
26,Whatever It Takes,Imagine Dragons,60814,2018-01-12--2018-01-19,at,4IWAyPf1KMq7JCyGeCjTeH
27,Échame La Culpa,Luis Fonsi,60746,2018-01-12--2018-01-19,at,1zsG4eaZmkA1dvjDDsAGLK
