Position,Track Name,Artist,Streams,date,region,spotify_id
1,Vai malandra (feat. Tropkillaz & DJ Yuri Martins),Anitta,5365143,2018-01-12--2018-01-19,br,6u0EAxf1OJTLS7CvInuNd7
2,Agora Vai Sentar,MC's Jhowzinho & Kadinho,2783490,2018-01-12--2018-01-19,br,0pDaqgIForVNO4jrtTxcWT
3,Downtown,Anitta,2710187,2018-01-12--2018-01-19,br,3Ga6eKrUFf12ouh9Yw3v2D
4,Amar Amei,Mc Don Juan,2542656,2018-01-12--2018-01-19,br,1kNVJQEkobOlyfbctPZ4fs
5,Deixa Ela Beijar,Matheus & Kauan,2385679,2018-01-12--2018-01-19,br,7q5agbUOzZnVF4Yes3AD7I
6,Havana (feat. Young Thug),Camila Cabello,2342639,2018-01-12--2018-01-19,br,1rfofaqEpACxVEHIZBJe6W
7,Rabiola,MC Kevinho,2322195,2018-01-12--2018-01-19,br,228vRHzGfQh47EfLjuY1Yr
8,Apelido Carinhoso,Gusttavo Lima,2172800,2018-01-12--2018-01-19,br,6wXYGqXCLtEHx4VDb2TPcM
9,Permanecer (feat. MC G15),Lucas Lucco,2163758,2018-01-12--2018-01-19,br,3sIMCkwUZbQbWeNOTG3ET4
10,Que Tiro Foi Esse,Jojo Maronttinni,2082941,2018-01-12--2018-01-19,br,2ri2wEE24Tm7fOJ7sGiz7P
11,Ritmo Mexicano,Mc Gw,1963401,2018-01-12--2018-01-19,br,6ZR7rT7vfwtY0EqyLeyAaO
12,Deixe Me Ir - Acústico,1Kilo,1896649,2018-01-12--2018-01-19,br,2srL4DYBekshpbprS6H0mO
13,Ar-Condicionado No 15 - Ao Vivo,Wesley Safadão,1881012,2018-01-12--2018-01-19,br,5ac0YTpOaDX9wEYYyGCglL
14,Never Be the Same,Camila Cabello,1794673,2018-01-12--2018-01-19,br,4eWQlBRaTjPPUlzacqEeoQ
15,Big Jet Plane,Alok,1791735,2018-01-12--2018-01-19,br,1xd3OqTbx17HutN7RfJOTj
