Position,Track Name,Artist,Streams,date,region,spotify_id
1,River (feat. Ed Sheeran),Eminem,7326,2018-01-12--2018-01-19,cy,5UEnHoDYpsxlfzWLZIc7LD
2,rockstar,Post Malone,6695,2018-01-12--2018-01-19,cy,7wGoVu4Dady5GV0Sv4UIsx
3,Havana (feat. Young Thug),Camila Cabello,6665,2018-01-12--2018-01-19,cy,1rfofaqEpACxVEHIZBJe6W
4,Never Be the Same,Camila Cabello,5567,2018-01-12--2018-01-19,cy,4eWQlBRaTjPPUlzacqEeoQ
5,Him & I (with Halsey),G-Eazy,5264,2018-01-12--2018-01-19,cy,5k38wzpLb15YgncyWdTZE4
6,Finesse - Remix; feat. Cardi B,Bruno Mars,5221,2018-01-12--2018-01-19,cy,3Vo4wInECJQuz9BIBMOu8i
7,IDGAF,Dua Lipa,4484,2018-01-12--2018-01-19,cy,76cy1WJvNGJTj78UqeA5zr
8,Wolves,Selena Gomez,4381,2018-01-12--2018-01-19,cy,7EmGUiUaOSGDnUUQUDrOXC
9,No Limit,G-Eazy,4073,2018-01-12--2018-01-19,cy,2DQ1ITjI0YoLFzuADN1ZBW
10,All The Stars (with SZA),Kendrick Lamar,4031,2018-01-12--2018-01-19,cy,12SJpYZEdj4kzWZ8FPFg4Y
11,New Rules,Dua Lipa,3766,2018-01-12--2018-01-19,cy,2ekn2ttSfGqwhhate0LSR0
12,Silence,Marshmello,3721,2018-01-12--2018-01-19,cy,7vGuf3Y35N4wmASOKLUVVU
13,Bartier Cardi (feat. 21 Savage),Cardi B,3673,2018-01-12--2018-01-19,cy,75FDPwaULRdYDn4StFN2rT
14,I Miss You (feat. Julia Michaels),Clean Bandit,3577,2018-01-12--2018-01-19,cy,2xmrfQpmS2iJExTlklLoAL
15,Dusk Till Dawn - Radio Edit,ZAYN,3528,2018-01-12--2018-01-19,cy,1j4kHkkpqZRBwE0A4CN4Yv
16,Let You Down,NF,3517,2018-01-12--2018-01-19,cy,6mrKP2jyIQmM0rw6fQryjr
17,Anywhere,Rita Ora,3475,2018-01-12--2018-01-19,cy,7EI6Iki24tBHAMxtb4xQN2
18,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,3395,2018-01-12--2018-01-19,cy,1bhUWB0zJMIKr9yVPrkEuI
19,Real Friends,Camila Cabello,3293,2018-01-12--2018-01-19,cy,3iq9nhbI8fcnNamxMft1uv
20,Échame La Culpa,Luis Fonsi,3231,2018-01-12--2018-01-19,cy,1zsG4eaZmkA1dvjDDsAGLK
21,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,3131,2018-01-12--2018-01-19,cy,5AEtlRudpgdT5FtNiuly6Y
22,Perfect,Ed Sheeran,2991,2018-01-12--2018-01-19,cy,0tgVpDi06FyKpA1z0VMD4v
23,What Lovers Do (feat. SZA),Maroon 5,2922,2018-01-12--2018-01-19,cy,3hBBKuWJfxlIlnd9QFoC8k
24,Man's Not Hot,Big Shaq,2920,2018-01-12--2018-01-19,cy,2nUJvBO87SkxCViQsLc9Zr
25,Tip Toe (feat. French Montana),Jason Derulo,2882,2018-01-12--2018-01-19,cy,2z4pcBLQXF2BXKFvd0BuB6
26,I Fall Apart,Post Malone,2867,2018-01-12--2018-01-19,cy,75ZvA4QfFiZvzhj2xkaWAh
27,My My My!,Troye Sivan,2846,2018-01-12--2018-01-19,cy,2Tq2R8sRftNEqdgJK5HadO
28,Filthy,Justin Timberlake,2842,2018-01-12--2018-01-19,cy,1L3NV7VrCiuE8C5QlhdeQL
29,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,2687,2018-01-12--2018-01-19,cy,7iDa6hUg2VgEL1o1HjmfBn
30,How Long,Charlie Puth,2670,2018-01-12--2018-01-19,cy,32DGGj6KlNuBr6WaqRxpxi
31,Too Good At Goodbyes,Sam Smith,2614,2018-01-12--2018-01-19,cy,1mXVgsBdtIVeCLJnSnmtdV
32,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,2552,2018-01-12--2018-01-19,cy,0OlnLZY4cmQzT6ZGttvWBM
33,Gucci Gang,Lil Pump,2542,2018-01-12--2018-01-19,cy,43ZyHQITOjhciSUUNPVRHc
34,For You (Fifty Shades Freed) (& Rita Ora),Liam Payne,2463,2018-01-12--2018-01-19,cy,5hM6sP0Gh1jD57drszNueC
35,Naked,James Arthur,2462,2018-01-12--2018-01-19,cy,7krbSH3rd8lhIZvuzTV3Bl
36,Unforgettable,French Montana,2412,2018-01-12--2018-01-19,cy,3B54sVLJ402zGa6Xm4YGNe
37,Feel It Still,Portugal. The Man,2359,2018-01-12--2018-01-19,cy,6QgjcU0zLnzq5OrUoSZ3OK
38,Tell Me You Love Me,Demi Lovato,2344,2018-01-12--2018-01-19,cy,5Htb1uFQ1KrkFXlefS8oGj
39,Rewrite The Stars,Zac Efron,2344,2018-01-12--2018-01-19,cy,630sXRhIcfwr2e4RdNtjKN
40,Ric Flair Drip (& Metro Boomin),Offset,2322,2018-01-12--2018-01-19,cy,7sO5G9EABYOXQKNPNiE9NR
